,First component,Second component,SOC,Label,Occupation Category
0,10.102549,27.690023,11-1011.00,11,Management
1,44.118114,2.9202693,11-1011.03,11,Management
2,13.7457905,10.356337,11-1021.00,11,Management
3,4.8754344,25.173775,11-2011.00,11,Management
4,4.940964,25.879908,11-2021.00,11,Management
5,4.901631,27.074837,11-2022.00,11,Management
6,3.723807,24.942905,11-2031.00,11,Management
7,13.368499,10.714477,11-3011.00,11,Management
8,31.48983,2.07757,11-3021.00,11,Management
9,-5.2138486,37.178516,11-3031.01,11,Management
10,-4.651707,36.265514,11-3031.02,11,Management
11,18.901253,6.1117086,11-3051.00,11,Management
12,20.181307,5.823501,11-3051.01,11,Management
13,18.61635,4.0064487,11-3051.02,11,Management
14,19.868292,5.0049577,11-3051.03,11,Management
15,18.585058,4.3714247,11-3051.04,11,Management
16,18.944813,3.376828,11-3051.06,11,Management
17,1.6688166,28.725702,11-3061.00,11,Management
18,0.6920932,30.098616,11-3071.01,11,Management
19,14.354549,9.432765,11-3071.02,11,Management
20,0.77771854,29.414701,11-3071.03,11,Management
21,-2.9671037,34.34969,11-3111.00,11,Management
22,10.039313,29.341562,11-3121.00,11,Management
23,10.937248,30.133879,11-3131.00,11,Management
24,16.007433,1.5932493,11-9013.01,11,Management
25,18.170279,-0.19650877,11-9013.02,11,Management
26,16.884518,0.71419096,11-9013.03,11,Management
27,40.783558,0.6869049,11-9021.00,11,Management
28,12.985406,27.182135,11-9031.00,11,Management
29,11.919639,28.105532,11-9032.00,11,Management
30,10.339662,29.637825,11-9033.00,11,Management
31,7.633094,26.295444,11-9039.01,11,Management
32,24.724302,20.640448,11-9039.02,11,Management
33,41.15522,-0.88288265,11-9041.00,11,Management
34,32.214405,-11.138144,11-9041.01,11,Management
35,10.46607,7.8461037,11-9051.00,11,Management
36,8.814031,13.288598,11-9061.00,11,Management
37,12.685679,13.632737,11-9071.00,11,Management
38,15.751181,12.962951,11-9081.00,11,Management
39,8.189789,29.234467,11-9111.00,11,Management
40,43.894318,1.8523458,11-9121.00,11,Management
41,1.5775654,37.75873,11-9121.01,11,Management
