,First component,Second component,SOC,Label,Occupation Category
0,-33.299145,-2.8467014,11-1011.00,11,Management
1,-24.286356,-27.93236,11-1011.03,11,Management
2,-14.082432,-7.5161443,11-1021.00,11,Management
3,-29.309847,-4.382538,11-2011.00,11,Management
4,-29.659794,-4.923402,11-2021.00,11,Management
5,-29.46137,-6.1936946,11-2022.00,11,Management
6,-30.061907,-3.3216162,11-2031.00,11,Management
7,-14.04995,-6.7804217,11-3011.00,11,Management
8,-11.808921,-30.843433,11-3021.00,11,Management
9,-33.042603,-14.56079,11-3031.01,11,Management
10,-33.12505,-13.664563,11-3031.02,11,Management
11,-9.67722,-15.79626,11-3051.00,11,Management
12,-9.574798,-17.238474,11-3051.01,11,Management
13,-7.336009,-16.180708,11-3051.02,11,Management
14,-8.557993,-17.026676,11-3051.03,11,Management
15,-7.715869,-16.062916,11-3051.04,11,Management
16,-6.952776,-16.757524,11-3051.06,11,Management
17,-22.269896,-9.605934,11-3061.00,11,Management
18,-20.792297,-10.915373,11-3071.01,11,Management
19,-13.3653555,-8.2836485,11-3071.02,11,Management
20,-21.476326,-10.056051,11-3071.03,11,Management
21,-29.731565,-9.433461,11-3111.00,11,Management
22,-34.798687,-4.0420156,11-3121.00,11,Management
23,-36.242565,-3.6059632,11-3131.00,11,Management
24,-3.9401832,-15.684409,11-9013.01,11,Management
25,-2.478985,-17.847544,11-9013.02,11,Management
26,-3.0590713,-16.299482,11-9013.03,11,Management
27,-11.886533,-16.23354,11-9021.00,11,Management
28,-35.427917,-0.20323001,11-9031.00,11,Management
29,-34.732887,-2.0868177,11-9032.00,11,Management
30,-35.071945,-3.5639997,11-9033.00,11,Management
31,-38.255222,-7.2314806,11-9039.01,11,Management
32,-38.757442,14.889514,11-9039.02,11,Management
33,-23.365644,-34.484432,11-9041.00,11,Management
34,-13.525534,-39.38243,11-9041.01,11,Management
35,-9.378722,-7.1890807,11-9051.00,11,Management
36,-14.465214,-2.4232364,11-9061.00,11,Management
37,-16.431097,-7.8093615,11-9071.00,11,Management
38,-15.650219,-4.786136,11-9081.00,11,Management
39,-32.785908,-5.4107313,11-9111.00,11,Management
40,-21.781359,-30.383852,11-9121.00,11,Management
41,-26.37257,-15.087607,11-9121.01,11,Management
42,-21.683159,-33.174793,11-9121.02,11,Management
43,-16.821701,-9.104629,11-9131.00,11,Management
44,-19.138664,-0.20138977,11-9141.00,11,Management
45,-35.511314,-2.583431,11-9151.00,11,Management
46,-13.969528,-11.586223,11-9161.00,11,Management
47,-25.72518,-16.014505,11-9199.01,11,Management
48,-28.574549,-11.270467,11-9199.02,11,Management
49,-31.861814,-14.367335,11-9199.03,11,Management
50,-21.936218,-10.48239,11-9199.04,11,Management
51,-13.68799,-10.175965,11-9199.07,11,Management
52,-14.504789,-9.821722,11-9199.08,11,Management
53,-7.8612814,-15.008054,11-9199.09,11,Management
54,-23.239025,-28.69307,11-9199.10,11,Management
55,-23.136513,-29.332586,11-9199.11,11,Management
56,-29.45038,-1.1979653,13-1011.00,13,Business and Financial Operations
57,-17.406605,3.5917008,13-1021.00,13,Business and Financial Operations
58,-20.047316,5.0498447,13-1022.00,13,Business and Financial Operations
59,-22.767702,-9.02198,13-1023.00,13,Business and Financial Operations
60,-17.122976,11.407509,13-1031.01,13,Business and Financial Operations
61,-16.782393,12.105477,13-1031.02,13,Business and Financial Operations
62,-8.688147,2.7045257,13-1032.00,13,Business and Financial Operations
63,7.2395144,-21.18891,13-1041.01,13,Business and Financial Operations
64,-3.0667875,-1.8864899,13-1041.02,13,Business and Financial Operations
65,-32.535137,-9.898337,13-1041.03,13,Business and Financial Operations
66,6.4785995,-18.173946,13-1041.04,13,Business and Financial Operations
67,1.4212947,-4.616339,13-1041.06,13,Business and Financial Operations
68,-25.655949,-16.387316,13-1041.07,13,Business and Financial Operations
69,-25.782076,-9.675142,13-1051.00,13,Business and Financial Operations
70,-14.741889,17.121634,13-1071.00,13,Business and Financial Operations
71,18.288925,24.244415,13-1074.00,13,Business and Financial Operations
72,-31.750124,-9.0210285,13-1075.00,13,Business and Financial Operations
73,-21.902815,-11.266019,13-1081.00,13,Business and Financial Operations
74,-21.968346,-35.588295,13-1081.01,13,Business and Financial Operations
75,-25.075602,-12.12785,13-1081.02,13,Business and Financial Operations
76,-35.180683,-6.021453,13-1111.00,13,Business and Financial Operations
77,-14.835611,-5.0043216,13-1121.00,13,Business and Financial Operations
78,-30.085361,-2.3195863,13-1131.00,13,Business and Financial Operations
79,-29.291359,-10.598616,13-1141.00,13,Business and Financial Operations
80,-37.294266,-3.2921686,13-1151.00,13,Business and Financial Operations
81,-29.08892,-18.949564,13-1161.00,13,Business and Financial Operations
82,11.826456,-21.941563,13-1199.01,13,Business and Financial Operations
83,-10.175487,-33.54409,13-1199.02,13,Business and Financial Operations
84,-24.803288,-11.380298,13-1199.03,13,Business and Financial Operations
85,-23.638071,-13.205179,13-1199.04,13,Business and Financial Operations
86,-26.491402,-26.99396,13-1199.05,13,Business and Financial Operations
87,-20.859331,5.489405,13-1199.06,13,Business and Financial Operations
88,-23.364777,9.390698,13-2011.01,13,Business and Financial Operations
89,-31.362217,-15.065953,13-2011.02,13,Business and Financial Operations
90,-8.0113535,1.7806559,13-2021.01,13,Business and Financial Operations
91,-8.073227,1.5686487,13-2021.02,13,Business and Financial Operations
92,-29.60005,-15.056096,13-2031.00,13,Business and Financial Operations
93,-22.616404,10.031411,13-2041.00,13,Business and Financial Operations
94,-30.826557,-19.069288,13-2051.00,13,Business and Financial Operations
95,-30.916096,-13.6188135,13-2052.00,13,Business and Financial Operations
96,-21.196821,10.306598,13-2053.00,13,Business and Financial Operations
97,-31.455023,-16.12798,13-2061.00,13,Business and Financial Operations
98,-18.43905,9.363363,13-2071.00,13,Business and Financial Operations
99,-19.535042,12.0182085,13-2071.01,13,Business and Financial Operations
100,-20.52912,10.643856,13-2072.00,13,Business and Financial Operations
101,-17.856739,12.392374,13-2081.00,13,Business and Financial Operations
102,-17.16911,20.148605,13-2082.00,13,Business and Financial Operations
103,-32.255543,-19.589508,13-2099.01,13,Business and Financial Operations
104,-26.138279,-12.072027,13-2099.02,13,Business and Financial Operations
105,-28.768036,-12.1993685,13-2099.04,13,Business and Financial Operations
106,-14.754072,-31.334997,15-1111.00,15,Computers and Math
107,-12.614542,-29.359045,15-1121.00,15,Computers and Math
108,-39.655663,-8.170493,15-1121.01,15,Computers and Math
109,-11.186363,-29.507143,15-1122.00,15,Computers and Math
110,-14.33955,-26.467682,15-1131.00,15,Computers and Math
111,-14.58674,-28.96062,15-1132.00,15,Computers and Math
112,-12.261393,-26.620749,15-1133.00,15,Computers and Math
113,-13.755824,-27.680815,15-1134.00,15,Computers and Math
114,-11.641802,-29.270187,15-1141.00,15,Computers and Math
115,-10.182372,-30.933996,15-1142.00,15,Computers and Math
116,-15.683617,-29.984016,15-1143.00,15,Computers and Math
117,-7.8683066,-31.612127,15-1143.01,15,Computers and Math
118,-9.114158,-28.953175,15-1151.00,15,Computers and Math
119,-8.339149,-30.708292,15-1152.00,15,Computers and Math
120,-13.177989,-28.54296,15-1199.01,15,Computers and Math
121,-13.933342,-30.82032,15-1199.02,15,Computers and Math
122,-12.762851,-27.727432,15-1199.03,15,Computers and Math
123,-29.80045,-29.557339,15-1199.04,15,Computers and Math
124,-4.0856156,-37.247295,15-1199.05,15,Computers and Math
125,-15.486883,-28.162449,15-1199.06,15,Computers and Math
126,-15.649844,-27.556917,15-1199.07,15,Computers and Math
127,-28.90292,-20.054413,15-1199.08,15,Computers and Math
128,-23.128853,-13.254049,15-1199.09,15,Computers and Math
129,-27.82029,-20.324575,15-1199.10,15,Computers and Math
130,-17.510048,-21.667496,15-1199.11,15,Computers and Math
131,-26.590103,-20.657318,15-1199.12,15,Computers and Math
132,-32.34428,-18.323145,15-2011.00,15,Computers and Math
133,-33.270576,-23.370415,15-2021.00,15,Computers and Math
134,-33.20105,-23.066336,15-2031.00,15,Computers and Math
135,-33.748436,-24.99405,15-2041.00,15,Computers and Math
136,-33.740204,-25.377426,15-2041.01,15,Computers and Math
137,-25.18647,-18.601114,15-2041.02,15,Computers and Math
138,-25.546118,-34.627674,17-1011.00,17,Architechture and Engineering
139,-26.136843,-34.01274,17-1012.00,17,Architechture and Engineering
140,-2.4023242,-36.89806,17-1021.00,17,Architechture and Engineering
141,8.760231,-23.390873,17-1022.00,17,Architechture and Engineering
142,9.202146,-23.97348,17-1022.01,17,Architechture and Engineering
143,-20.9754,-38.492744,17-2011.00,17,Architechture and Engineering
144,-16.546848,-37.4838,17-2021.00,17,Architechture and Engineering
145,-14.731292,-43.42158,17-2031.00,17,Architechture and Engineering
146,-18.603365,-39.223274,17-2041.00,17,Architechture and Engineering
147,-23.673832,-36.04873,17-2051.00,17,Architechture and Engineering
148,-23.151644,-35.66197,17-2051.01,17,Architechture and Engineering
