,First component,Second component,SOC,Label,Occupation Category
0,-2.8084733,35.37838,11-1011.00,11,Management
1,-24.807932,36.67961,11-1011.03,11,Management
2,-7.1743846,6.081275,11-1021.00,11,Management
3,-4.921341,30.511211,11-2011.00,11,Management
4,-5.1744204,30.903555,11-2021.00,11,Management
5,-4.6031594,31.857409,11-2022.00,11,Management
6,-2.9414837,31.379189,11-2031.00,11,Management
7,-6.4665394,6.5370884,11-3011.00,11,Management
8,-21.38623,24.274849,11-3021.00,11,Management
9,8.270725,45.374023,11-3031.01,11,Management
10,8.484097,44.38771,11-3031.02,11,Management
11,-15.534229,6.4693236,11-3051.00,11,Management
12,-17.06804,6.9495053,11-3051.01,11,Management
13,-15.6711,4.503405,11-3051.02,11,Management
14,-17.139788,5.875288,11-3051.03,11,Management
15,-15.494714,4.834886,11-3051.04,11,Management
16,-16.364716,3.9525476,11-3051.06,11,Management
17,-9.2145195,33.645523,11-3061.00,11,Management
18,-11.246024,32.50271,11-3071.01,11,Management
19,-8.286964,5.8423285,11-3071.02,11,Management
20,-10.642933,32.805145,11-3071.03,11,Management
21,6.35282,40.383816,11-3111.00,11,Management
22,-1.200667,35.330505,11-3121.00,11,Management
23,-1.5939871,33.615013,11-3131.00,11,Management
24,-15.745728,1.1115996,11-9013.01,11,Management
25,-18.124037,-0.25317696,11-9013.02,11,Management
26,-16.687912,0.43301815,11-9013.03,11,Management
27,-28.623087,35.084496,11-9021.00,11,Management
28,-3.8646803,9.196796,11-9031.00,11,Management
29,0.69867486,34.79419,11-9032.00,11,Management
30,-1.067385,34.40225,11-9033.00,11,Management
31,-5.4327383,33.653294,11-9039.01,11,Management
32,7.0779085,10.65565,11-9039.02,11,Management
33,-30.278763,33.581436,11-9041.00,11,Management
34,-31.559021,11.282562,11-9041.01,11,Management
35,-1.8442765,3.8551576,11-9051.00,11,Management
36,6.298897,6.2278543,11-9061.00,11,Management
37,-4.8280754,5.016683,11-9071.00,11,Management
38,-6.6298428,9.370991,11-9081.00,11,Management
39,-5.136613,36.88069,11-9111.00,11,Management
40,-24.948725,35.086735,11-9121.00,11,Management
41,-6.136414,38.68885,11-9121.01,11,Management
42,-28.9092,31.254648,11-9121.02,11,Management
43,-6.4438076,5.5461063,11-9131.00,11,Management
44,23.306364,34.32756,11-9141.00,11,Management
45,-0.41969454,35.05959,11-9151.00,11,Management
46,-9.083773,10.250992,11-9161.00,11,Management
47,-7.5629797,39.687187,11-9199.01,11,Management
48,3.8868537,39.84988,11-9199.02,11,Management
49,6.7838907,45.353188,11-9199.03,11,Management
50,-10.283803,33.391632,11-9199.04,11,Management
51,-6.161564,2.415793,11-9199.07,11,Management
52,-5.5561194,3.5972433,11-9199.08,11,Management
53,-13.999059,4.846311,11-9199.09,11,Management
54,-27.060316,34.351154,11-9199.10,11,Management
55,-26.966267,33.624012,11-9199.11,11,Management
56,19.9979,30.6368,13-1011.00,13,Business and Financial Operations
57,21.134312,20.029633,13-1021.00,13,Business and Financial Operations
58,29.553087,30.295736,13-1022.00,13,Business and Financial Operations
59,-8.73509,32.83656,13-1023.00,13,Business and Financial Operations
60,27.675552,23.716133,13-1031.01,13,Business and Financial Operations
61,26.581959,23.747864,13-1031.02,13,Business and Financial Operations
62,32.012177,-9.356763,13-1032.00,13,Business and Financial Operations
63,-24.66266,-1.0346807,13-1041.01,13,Business and Financial Operations
64,-2.179971,-4.693058,13-1041.02,13,Business and Financial Operations
65,3.2740061,41.563255,13-1041.03,13,Business and Financial Operations
66,-22.031858,-2.2267892,13-1041.04,13,Business and Financial Operations
67,-5.7226534,-2.0139854,13-1041.06,13,Business and Financial Operations
68,-7.8348575,39.860535,13-1041.07,13,Business and Financial Operations
69,-11.506728,38.566235,13-1051.00,13,Business and Financial Operations
70,31.591246,18.447308,13-1071.00,13,Business and Financial Operations
71,21.375069,-23.424944,13-1074.00,13,Business and Financial Operations
72,2.0946312,39.651657,13-1075.00,13,Business and Financial Operations
73,-11.156181,33.56114,13-1081.00,13,Business and Financial Operations
74,-28.189486,29.289959,13-1081.01,13,Business and Financial Operations
75,-12.063222,35.55992,13-1081.02,13,Business and Financial Operations
76,-1.5385759,37.947456,13-1111.00,13,Business and Financial Operations
77,-5.6684127,8.861044,13-1121.00,13,Business and Financial Operations
78,20.783113,31.641989,13-1131.00,13,Business and Financial Operations
