,First component,Second component,SOC,Label,Occupation Category
0,13.134645,29.435137,11-1011.00,11,Management
1,22.626955,27.563267,11-1011.03,11,Management
2,2.5732381,12.791673,11-1021.00,11,Management
3,13.822851,24.009157,11-2011.00,11,Management
4,13.413391,24.884779,11-2021.00,11,Management
5,11.964841,26.708769,11-2022.00,11,Management
6,13.37474,23.260702,11-2031.00,11,Management
7,2.3248963,13.342485,11-3011.00,11,Management
8,18.56008,5.4232693,11-3021.00,11,Management
9,4.309553,36.585262,11-3031.01,11,Management
10,5.014464,37.32477,11-3031.02,11,Management
11,6.991916,8.224612,11-3051.00,11,Management
12,7.87673,7.152776,11-3051.01,11,Management
13,5.8203917,6.761002,11-3051.02,11,Management
14,7.2545023,6.7458735,11-3051.03,11,Management
15,5.954177,7.119937,11-3051.04,11,Management
16,6.003069,6.0415015,11-3051.06,11,Management
17,7.2459445,28.82695,11-3061.00,11,Management
18,7.9397836,27.461641,11-3071.01,11,Management
19,2.9412572,11.6970825,11-3071.02,11,Management
20,7.4283986,28.027925,11-3071.03,11,Management
21,5.047468,34.62846,11-3111.00,11,Management
22,14.131254,30.746895,11-3121.00,11,Management
23,15.215947,29.368208,11-3131.00,11,Management
24,3.4349225,5.1678543,11-9013.01,11,Management
25,4.3468103,2.8237023,11-9013.02,11,Management
26,3.6464493,4.166746,11-9013.03,11,Management
27,7.8114657,10.128606,11-9021.00,11,Management
28,16.078602,31.689148,11-9031.00,11,Management
29,15.112033,31.383194,11-9032.00,11,Management
30,14.385217,30.08091,11-9033.00,11,Management
31,15.20471,26.40465,11-9039.01,11,Management
32,-2.0670025,13.90363,11-9039.02,11,Management
33,23.165089,23.526165,11-9041.00,11,Management
34,21.848375,-10.685801,11-9041.01,11,Management
35,-0.7819142,11.69271,11-9051.00,11,Management
36,-0.80784976,17.578728,11-9061.00,11,Management
37,4.3970656,14.334531,11-9071.00,11,Management
38,1.9284542,16.983217,11-9081.00,11,Management
39,12.598837,31.235939,11-9111.00,11,Management
40,23.580635,26.313856,11-9121.00,11,Management
41,9.192992,35.017418,11-9121.01,11,Management
