,First component,Second component,SOC,Label,Occupation Category
0,12.083102,-32.94814,11-1011.00,11,Management
1,45.75051,8.206111,11-1011.03,11,Management
2,14.20852,-12.09904,11-1021.00,11,Management
3,9.240312,-29.376993,11-2011.00,11,Management
4,9.310906,-30.004684,11-2021.00,11,Management
5,8.842607,-31.475552,11-2022.00,11,Management
6,8.152316,-29.209118,11-2031.00,11,Management
7,13.857549,-12.330043,11-3011.00,11,Management
8,38.883327,3.769812,11-3021.00,11,Management
9,1.6546907,-42.71269,11-3031.01,11,Management
10,2.375865,-41.78566,11-3031.02,11,Management
11,24.374493,11.705396,11-3051.00,11,Management
12,25.264729,13.252655,11-3051.01,11,Management
13,22.655128,11.159587,11-3051.02,11,Management
14,23.678387,12.871609,11-3051.03,11,Management
15,22.947529,11.1306505,11-3051.04,11,Management
16,21.941244,10.890519,11-3051.06,11,Management
17,7.000217,-33.27151,11-3061.00,11,Management
18,5.176564,-33.826397,11-3071.01,11,Management
19,14.709467,-10.977441,11-3071.02,11,Management
20,5.821704,-33.844433,11-3071.03,11,Management
21,1.7728661,-38.952282,11-3111.00,11,Management
22,13.746345,-34.056164,11-3121.00,11,Management
23,14.900642,-32.44559,11-3131.00,11,Management
24,20.564978,13.341043,11-9013.01,11,Management
25,19.375631,14.509442,11-9013.02,11,Management
26,19.612112,13.372147,11-9013.03,11,Management
27,45.821613,11.377437,11-9021.00,11,Management
28,17.258972,-15.292879,11-9031.00,11,Management
29,13.454449,-32.11911,11-9032.00,11,Management
30,14.013642,-33.19606,11-9033.00,11,Management
31,13.657221,-29.671818,11-9039.01,11,Management
32,23.997488,-15.556429,11-9039.02,11,Management
33,45.31001,12.614225,11-9041.00,11,Management
34,30.409534,17.100248,11-9041.01,11,Management
35,10.073738,-8.126149,11-9051.00,11,Management
36,10.854989,-12.532449,11-9061.00,11,Management
37,17.179049,-13.5057535,11-9071.00,11,Management
38,15.980837,-11.96778,11-9081.00,11,Management
39,12.619527,-34.667763,11-9111.00,11,Management
40,44.142143,8.370231,11-9121.00,11,Management
41,10.801238,-38.43699,11-9121.01,11,Management
42,43.266087,11.719589,11-9121.02,11,Management
43,13.850876,-13.518367,11-9131.00,11,Management
44,-1.2122358,-31.994936,11-9141.00,11,Management
45,14.801577,-33.778255,11-9151.00,11,Management
46,17.844007,-10.057472,11-9161.00,11,Management
47,9.820934,-39.041573,11-9199.01,11,Management
48,5.359227,-39.55778,11-9199.02,11,Management
49,0.47349498,-42.562702,11-9199.03,11,Management
50,6.393784,-34.22882,11-9199.04,11,Management
51,17.642914,-10.914912,11-9199.07,11,Management
52,17.897907,-12.425193,11-9199.08,11,Management
53,22.764477,9.762841,11-9199.09,11,Management
54,45.424057,9.834243,11-9199.10,11,Management
55,44.94843,9.296258,11-9199.11,11,Management
56,5.800136,-28.011234,13-1011.00,13,Business and Financial Operations
57,-2.4343066,-27.705091,13-1021.00,13,Business and Financial Operations
58,-2.484898,-35.599365,13-1022.00,13,Business and Financial Operations
59,5.889529,-32.582424,13-1023.00,13,Business and Financial Operations
