,First component,Second component,SOC,Label,Occupation Category
0,-38.70874,11.1492,11-1011.00,11,Management
1,-32.77523,23.00445,11-1011.03,11,Management
2,-21.588932,-0.57705045,11-1021.00,11,Management
3,-35.82297,13.303799,11-2011.00,11,Management
4,-36.116047,13.8545685,11-2021.00,11,Management
5,-37.638054,12.95596,11-2022.00,11,Management
6,-34.926247,12.441879,11-2031.00,11,Management
7,-22.334314,-0.522231,11-3011.00,11,Management
8,-10.217022,25.7534,11-3021.00,11,Management
9,-25.15389,18.633415,11-3031.01,11,Management
10,-25.721579,18.460163,11-3031.02,11,Management
11,-15.456849,2.2353532,11-3051.00,11,Management
12,-14.684407,3.7832375,11-3051.01,11,Management
13,-12.941817,2.3104124,11-3051.02,11,Management
14,-13.942713,3.4332743,11-3051.03,11,Management
15,-12.645816,2.8071756,11-3051.04,11,Management
16,-11.832188,2.7356045,11-3051.06,11,Management
17,-30.369907,18.236464,11-3061.00,11,Management
18,-32.287342,18.77194,11-3071.01,11,Management
19,-20.66158,-0.8978991,11-3071.02,11,Management
20,-30.657965,19.248863,11-3071.03,11,Management
21,-27.008024,16.887358,11-3111.00,11,Management
22,-39.58244,9.6110325,11-3121.00,11,Management
23,-40.640823,10.077443,11-3131.00,11,Management
24,-13.834333,0.080285795,11-9013.01,11,Management
25,9.490597,8.921964,11-9013.02,11,Management
26,-12.644169,0.24574272,11-9013.03,11,Management
27,-12.311419,5.7697644,11-9021.00,11,Management
28,-26.168219,-0.13745597,11-9031.00,11,Management
29,-40.208984,8.275854,11-9032.00,11,Management
30,-39.80172,10.327632,11-9033.00,11,Management
31,-37.885143,16.076632,11-9039.01,11,Management
32,-32.08606,-16.030071,11-9039.02,11,Management
33,-11.815798,38.25322,11-9041.00,11,Management
34,5.223514,33.34066,11-9041.01,11,Management
35,-19.213226,1.6805966,11-9051.00,11,Management
36,-27.853813,-5.0142465,11-9061.00,11,Management
37,-24.513979,0.3026402,11-9071.00,11,Management
38,-29.548092,-1.5533711,11-9081.00,11,Management
39,-31.033676,16.618416,11-9111.00,11,Management
40,-33.763027,22.99247,11-9121.00,11,Management
41,-26.09178,21.563635,11-9121.01,11,Management
42,-10.064653,42.11909,11-9121.02,11,Management
43,-22.565912,-1.8474828,11-9131.00,11,Management
44,-25.44858,14.318695,11-9141.00,11,Management
45,-39.35451,8.816847,11-9151.00,11,Management
46,-39.24531,3.098826,11-9161.00,11,Management
47,-24.94384,22.48648,11-9199.01,11,Management
48,-27.477278,13.897956,11-9199.02,11,Management
49,-23.967857,17.864374,11-9199.03,11,Management
50,-30.922663,18.764338,11-9199.04,11,Management
51,-20.81956,-5.560379,11-9199.07,11,Management
52,-21.493074,-4.689422,11-9199.08,11,Management
53,-12.473549,3.9378834,11-9199.09,11,Management
54,-12.273151,43.350327,11-9199.10,11,Management
55,-11.569428,42.69496,11-9199.11,11,Management
56,-32.73408,12.704674,13-1011.00,13,Business and Financial Operations
57,-14.908863,13.100103,13-1021.00,13,Business and Financial Operations
