,First component,Second component,SOC,Label,Occupation Category
0,16.080212,-35.560715,11-1011.00,11,Management
1,-1.3007723,-37.671947,11-1011.03,11,Management
2,7.318988,-14.967103,11-1021.00,11,Management
3,8.482429,-37.186058,11-2011.00,11,Management
4,7.876895,-37.13377,11-2021.00,11,Management
5,6.921513,-36.26532,11-2022.00,11,Management
6,10.828259,-35.313667,11-2031.00,11,Management
7,7.995269,-15.259758,11-3011.00,11,Management
8,-25.27155,-13.265983,11-3021.00,11,Management
9,1.6903739,-29.870275,11-3031.01,11,Management
10,2.224451,-29.968397,11-3031.02,11,Management
11,0.1467138,-12.657965,11-3051.00,11,Management
12,-1.2694945,-13.446514,11-3051.01,11,Management
13,-2.4251926,-11.390322,11-3051.02,11,Management
14,-2.0473378,-12.755863,11-3051.03,11,Management
15,-2.8128462,-11.708201,11-3051.04,11,Management
16,-3.5002635,-11.351832,11-3051.06,11,Management
17,1.8779192,-33.071693,11-3061.00,11,Management
18,2.8497646,-34.655964,11-3071.01,11,Management
19,6.711182,-14.214483,11-3071.02,11,Management
20,1.2405765,-33.59333,11-3071.03,11,Management
21,4.6455,-30.996115,11-3111.00,11,Management
22,14.5989485,-33.19513,11-3121.00,11,Management
23,14.773446,-32.427456,11-3131.00,11,Management
24,-0.48000038,-9.688999,11-9013.01,11,Management
25,-5.274616,2.665757,11-9013.02,11,Management
26,-1.4850832,-9.079774,11-9013.03,11,Management
27,-4.340769,-14.55282,11-9021.00,11,Management
28,13.046334,-18.468765,11-9031.00,11,Management
29,16.410194,-33.954777,11-9032.00,11,Management
30,15.023477,-34.023342,11-9033.00,11,Management
31,5.255588,-39.201214,11-9039.01,11,Management
32,30.908909,-16.534843,11-9039.02,11,Management
33,-19.027164,-21.791061,11-9041.00,11,Management
34,-26.542997,-20.374653,11-9041.01,11,Management
35,3.5920525,-14.246408,11-9051.00,11,Management
36,16.138845,-16.62905,11-9061.00,11,Management
37,9.405452,-16.849998,11-9071.00,11,Management
38,15.809776,-19.626596,11-9081.00,11,Management
39,5.0045557,-33.098354,11-9111.00,11,Management
40,-3.595746,-36.946323,11-9121.00,11,Management
41,-2.5413568,-32.17074,11-9121.01,11,Management
42,-18.71929,-25.466442,11-9121.02,11,Management
43,8.916914,-14.045323,11-9131.00,11,Management
44,6.3193254,-23.96301,11-9141.00,11,Management
45,15.634626,-33.259262,11-9151.00,11,Management
