,First component,Second component,SOC,Label,Occupation Category
0,7.5883584,-34.01585,11-1011.00,11,Management
1,25.637123,-31.42808,11-1011.03,11,Management
2,5.6379514,-17.578957,11-1021.00,11,Management
3,17.061562,-36.076775,11-2011.00,11,Management
4,17.343672,-35.185043,11-2021.00,11,Management
5,18.066225,-33.63205,11-2022.00,11,Management
6,15.341846,-36.244614,11-2031.00,11,Management
7,5.2993793,-18.152975,11-3011.00,11,Management
8,28.296139,-26.06084,11-3021.00,11,Management
9,19.387325,-25.388683,11-3031.01,11,Management
10,18.719,-25.829357,11-3031.02,11,Management
11,9.970179,-12.247418,11-3051.00,11,Management
12,11.440082,-12.109871,11-3051.01,11,Management
13,11.363982,-9.955376,11-3051.02,11,Management
14,11.774146,-11.200803,11-3051.03,11,Management
15,11.864028,-10.059711,11-3051.04,11,Management
16,12.317456,-9.472569,11-3051.06,11,Management
17,20.151178,-28.603146,11-3061.00,11,Management
18,19.79964,-30.168468,11-3071.01,11,Management
19,5.52507,-16.60917,11-3071.02,11,Management
20,21.020197,-28.701544,11-3071.03,11,Management
21,17.00238,-27.241976,11-3111.00,11,Management
22,6.3864512,-35.60897,11-3121.00,11,Management
23,5.9508805,-36.241695,11-3131.00,11,Management
24,9.138168,-9.144949,11-9013.01,11,Management
25,11.731739,-4.4481564,11-9013.02,11,Management
26,9.676966,-8.071119,11-9013.03,11,Management
27,14.0049515,-11.935758,11-9021.00,11,Management
28,1.9124625,-25.746037,11-9031.00,11,Management
29,5.891413,-34.49141,11-9032.00,11,Management
30,7.157267,-35.456936,11-9033.00,11,Management
31,20.96494,-35.39318,11-9039.01,11,Management
32,-2.4207718,-26.104273,11-9039.02,11,Management
33,28.056076,-27.906925,11-9041.00,11,Management
34,39.115234,-0.30818343,11-9041.01,11,Management
35,7.9376287,-15.309487,11-9051.00,11,Management
36,0.95160025,-22.792585,11-9061.00,11,Management
37,5.725788,-19.60317,11-9071.00,11,Management
38,3.30489,-23.972803,11-9081.00,11,Management
39,17.362032,-30.15335,11-9111.00,11,Management
40,27.5406,-29.268414,11-9121.00,11,Management
41,15.635767,-29.17289,11-9121.01,11,Management
42,37.072033,-8.467664,11-9121.02,11,Management
43,3.9026723,-18.300957,11-9131.00,11,Management
44,11.95976,-21.8575,11-9141.00,11,Management
45,5.4200006,-35.347588,11-9151.00,11,Management
46,0.5198864,-31.190334,11-9161.00,11,Management
47,23.37313,-24.678713,11-9199.01,11,Management
