,First component,Second component,SOC,Label,Occupation Category
0,-31.06579,-8.480306,11-1011.00,11,Management
1,-35.502487,-16.25998,11-1011.03,11,Management
2,-19.531183,2.0543916,11-1021.00,11,Management
3,-32.742817,-12.754443,11-2011.00,11,Management
4,-33.308784,-12.787452,11-2021.00,11,Management
5,-33.453842,-9.607594,11-2022.00,11,Management
6,-35.803642,-8.566995,11-2031.00,11,Management
7,-18.848148,2.0195754,11-3011.00,11,Management
8,-32.361755,-23.91792,11-3021.00,11,Management
9,-40.18573,-14.9262,11-3031.01,11,Management
10,-37.519054,-10.411031,11-3031.02,11,Management
11,-3.1568258,-24.532242,11-3051.00,11,Management
12,-3.1475308,-25.767834,11-3051.01,11,Management
13,-0.96004015,-25.109142,11-3051.02,11,Management
14,-2.6482635,-25.856058,11-3051.03,11,Management
15,-1.2195933,-24.827837,11-3051.04,11,Management
16,-0.97980326,-26.343533,11-3051.06,11,Management
17,-36.73226,-12.827718,11-3061.00,11,Management
18,-35.03248,-13.18892,11-3071.01,11,Management
19,-19.271072,2.848577,11-3071.02,11,Management
20,-35.647213,-12.814303,11-3071.03,11,Management
21,-34.203876,13.562936,11-3111.00,11,Management
22,-33.93772,-8.700366,11-3121.00,11,Management
23,-33.634155,-7.416041,11-3131.00,11,Management
24,0.8431646,-23.456701,11-9013.01,11,Management
25,3.8638356,-27.908327,11-9013.02,11,Management
26,0.825197,-24.770172,11-9013.03,11,Management
27,-25.458746,-12.305928,11-9021.00,11,Management
28,-22.173433,-1.3460755,11-9031.00,11,Management
29,-31.73158,-7.103014,11-9032.00,11,Management
30,-34.422066,-8.04853,11-9033.00,11,Management
31,-35.113514,-15.664136,11-9039.01,11,Management
32,-13.79555,-1.2607473,11-9039.02,11,Management
33,-33.82031,-26.596352,11-9041.00,11,Management
34,-14.5718,-35.747196,11-9041.01,11,Management
35,-15.401007,1.6119947,11-9051.00,11,Management
36,-17.671452,6.5788684,11-9061.00,11,Management
37,-20.820911,-2.316883,11-9071.00,11,Management
38,-18.177065,-0.54099685,11-9081.00,11,Management
39,-34.905087,-11.258642,11-9111.00,11,Management
40,-34.84169,-17.23523,11-9121.00,11,Management
41,-39.695457,-11.717226,11-9121.01,11,Management
42,-34.15396,-30.599335,11-9121.02,11,Management
43,-20.417707,0.09469506,11-9131.00,11,Management
44,-29.765905,11.503822,11-9141.00,11,Management
45,-32.87417,-8.430437,11-9151.00,11,Management
46,-22.752476,-7.427274,11-9161.00,11,Management
47,-42.18059,-13.324179,11-9199.01,11,Management
48,-41.630447,-10.172032,11-9199.02,11,Management
49,-41.51573,-15.7615595,11-9199.03,11,Management
50,-36.496006,-13.425704,11-9199.04,11,Management
51,2.455196,-19.072432,11-9199.07,11,Management
52,-20.152111,-2.9087677,11-9199.08,11,Management
53,-0.568078,-23.618517,11-9199.09,11,Management
54,-32.74952,-15.039343,11-9199.10,11,Management
55,-35.02508,-28.273115,11-9199.11,11,Management
56,-31.444834,9.701629,13-1011.00,13,Business and Financial Operations
57,-22.563305,13.374286,13-1021.00,13,Business and Financial Operations
58,-23.440962,13.15136,13-1022.00,13,Business and Financial Operations
59,-37.98613,-11.846353,13-1023.00,13,Business and Financial Operations
60,-29.863735,17.337988,13-1031.01,13,Business and Financial Operations
61,-30.898897,16.444324,13-1031.02,13,Business and Financial Operations
62,-15.085188,17.370665,13-1032.00,13,Business and Financial Operations
63,14.030359,-26.824976,13-1041.01,13,Business and Financial Operations
64,10.118532,-22.352459,13-1041.02,13,Business and Financial Operations
65,-42.35057,8.924717,13-1041.03,13,Business and Financial Operations
66,12.376553,-26.415545,13-1041.04,13,Business and Financial Operations
67,5.749874,-20.252232,13-1041.06,13,Business and Financial Operations
68,-42.89108,-14.432868,13-1041.07,13,Business and Financial Operations
69,-35.994637,15.761414,13-1051.00,13,Business and Financial Operations
70,-27.932425,21.1274,13-1071.00,13,Business and Financial Operations
71,18.898685,24.377504,13-1074.00,13,Business and Financial Operations
72,-37.619305,-8.176052,13-1075.00,13,Business and Financial Operations
73,-37.71446,-13.629448,13-1081.00,13,Business and Financial Operations
74,-33.02274,-32.344574,13-1081.01,13,Business and Financial Operations
75,-42.839436,-17.006868,13-1081.02,13,Business and Financial Operations
76,-36.99071,-17.157774,13-1111.00,13,Business and Financial Operations
77,-18.370739,0.28444207,13-1121.00,13,Business and Financial Operations
78,-30.327736,9.991736,13-1131.00,13,Business and Financial Operations
79,-33.987083,15.109775,13-1141.00,13,Business and Financial Operations
80,-34.763683,-4.1990814,13-1151.00,13,Business and Financial Operations
81,-42.471478,-21.644289,13-1161.00,13,Business and Financial Operations
82,18.491476,-23.09563,13-1199.01,13,Business and Financial Operations
83,-19.887783,-28.7303,13-1199.02,13,Business and Financial Operations
84,-34.108833,18.900028,13-1199.03,13,Business and Financial Operations
85,-37.50963,-15.097686,13-1199.04,13,Business and Financial Operations
86,-38.994175,-18.557287,13-1199.05,13,Business and Financial Operations
87,-33.78905,16.762026,13-1199.06,13,Business and Financial Operations
88,-37.135513,16.926996,13-2011.01,13,Business and Financial Operations
89,-42.032692,-15.930439,13-2011.02,13,Business and Financial Operations
90,-15.498682,16.91328,13-2021.01,13,Business and Financial Operations
91,-15.922078,17.87616,13-2021.02,13,Business and Financial Operations
92,-36.7501,16.17162,13-2031.00,13,Business and Financial Operations
93,-37.303223,18.427462,13-2041.00,13,Business and Financial Operations
94,-43.618702,-23.34641,13-2051.00,13,Business and Financial Operations
95,-38.13556,12.316965,13-2052.00,13,Business and Financial Operations
96,-32.864613,21.100899,13-2053.00,13,Business and Financial Operations
97,-43.947266,-14.957251,13-2061.00,13,Business and Financial Operations
98,-28.215729,20.10736,13-2071.00,13,Business and Financial Operations
99,-31.168003,19.860003,13-2071.01,13,Business and Financial Operations
100,-30.802593,21.102373,13-2072.00,13,Business and Financial Operations
101,-30.254402,17.72297,13-2081.00,13,Business and Financial Operations
102,-27.369963,29.180925,13-2082.00,13,Business and Financial Operations
103,-44.667645,-22.13017,13-2099.01,13,Business and Financial Operations
104,-41.42465,-17.286215,13-2099.02,13,Business and Financial Operations
105,-40.871033,-11.061813,13-2099.04,13,Business and Financial Operations
106,-26.180962,-31.6958,15-1111.00,15,Computers and Math
107,-23.424505,-28.677198,15-1121.00,15,Computers and Math
108,-31.986422,-25.012917,15-1121.01,15,Computers and Math
109,-23.19911,-27.655582,15-1122.00,15,Computers and Math
110,-23.534199,-26.112783,15-1131.00,15,Computers and Math
111,-26.04816,-28.907906,15-1132.00,15,Computers and Math
112,-23.505257,-22.250845,15-1133.00,15,Computers and Math
113,-25.950443,-27.574976,15-1134.00,15,Computers and Math
114,-23.473886,-28.18056,15-1141.00,15,Computers and Math
115,-14.608934,-31.756233,15-1142.00,15,Computers and Math
116,-26.901287,-29.34392,15-1143.00,15,Computers and Math
117,-15.123745,-28.753529,15-1143.01,15,Computers and Math
118,5.139165,-1.6396044,15-1151.00,15,Computers and Math
119,-16.215725,-28.396158,15-1152.00,15,Computers and Math
120,-24.46838,-26.986303,15-1199.01,15,Computers and Math
121,-24.198328,-29.864931,15-1199.02,15,Computers and Math
122,-25.027884,-27.75014,15-1199.03,15,Computers and Math
123,-28.018665,-33.26053,15-1199.04,15,Computers and Math
124,-18.041058,-31.612747,15-1199.05,15,Computers and Math
125,-27.048084,-27.687243,15-1199.06,15,Computers and Math
126,-27.544714,-27.170507,15-1199.07,15,Computers and Math
127,-43.079533,-21.957726,15-1199.08,15,Computers and Math
128,-36.204327,-14.18397,15-1199.09,15,Computers and Math
129,-38.006,-21.732544,15-1199.10,15,Computers and Math
130,-27.86377,-20.897942,15-1199.11,15,Computers and Math
131,-25.76325,-23.412588,15-1199.12,15,Computers and Math
132,-44.733223,-18.169687,15-2011.00,15,Computers and Math
133,-47.166073,-22.257874,15-2021.00,15,Computers and Math
134,-46.388985,-22.45401,15-2031.00,15,Computers and Math
135,-46.50513,-21.639961,15-2041.00,15,Computers and Math
136,-45.61034,-24.072351,15-2041.01,15,Computers and Math
137,-43.59763,-19.743237,15-2041.02,15,Computers and Math
138,-37.140923,-32.72046,17-1011.00,17,Architechture and Engineering
139,-30.483778,-19.492552,17-1012.00,17,Architechture and Engineering
140,-20.444202,-21.454367,17-1021.00,17,Architechture and Engineering
141,19.187769,-24.615078,17-1022.00,17,Architechture and Engineering
142,20.234076,-24.775116,17-1022.01,17,Architechture and Engineering
143,-31.344275,-33.655704,17-2011.00,17,Architechture and Engineering
144,-14.804878,-40.11986,17-2021.00,17,Architechture and Engineering
145,-19.264898,-40.28317,17-2031.00,17,Architechture and Engineering
146,-31.790562,-35.8765,17-2041.00,17,Architechture and Engineering
147,-35.607685,-33.35003,17-2051.00,17,Architechture and Engineering
148,-33.945286,-32.962456,17-2051.01,17,Architechture and Engineering
149,-25.491539,-29.780909,17-2061.00,17,Architechture and Engineering
150,-22.315092,-33.82136,17-2071.00,17,Architechture and Engineering
151,-14.047515,-32.691185,17-2072.00,17,Architechture and Engineering
152,-17.38389,-29.428654,17-2072.01,17,Architechture and Engineering
153,-34.314697,-30.076008,17-2081.00,17,Architechture and Engineering
154,-33.372818,-33.237335,17-2081.01,17,Architechture and Engineering
155,-5.0556912,-35.93532,17-2111.01,17,Architechture and Engineering
156,-34.794773,-31.904608,17-2111.02,17,Architechture and Engineering
157,-21.712172,-31.857676,17-2111.03,17,Architechture and Engineering
158,-21.260258,-33.282307,17-2112.00,17,Architechture and Engineering
159,-31.48046,-31.07875,17-2112.01,17,Architechture and Engineering
160,-16.232296,-42.484783,17-2121.01,17,Architechture and Engineering
161,-30.010494,-35.11812,17-2121.02,17,Architechture and Engineering
162,-21.808247,-36.576427,17-2131.00,17,Architechture and Engineering
163,-19.348434,-39.68557,17-2141.00,17,Architechture and Engineering
164,-17.976112,-36.325108,17-2141.01,17,Architechture and Engineering
165,-14.702938,-40.70634,17-2141.02,17,Architechture and Engineering
166,-34.193882,-34.284428,17-2151.00,17,Architechture and Engineering
167,-32.832027,-34.769867,17-2161.00,17,Architechture and Engineering
168,-33.42124,-31.385172,17-2171.00,17,Architechture and Engineering
169,-15.719856,-37.558525,17-2199.01,17,Architechture and Engineering
170,-22.119667,-32.83554,17-2199.02,17,Architechture and Engineering
171,-31.792185,-32.210255,17-2199.03,17,Architechture and Engineering
172,-17.378841,-42.335575,17-2199.04,17,Architechture and Engineering
173,-17.139061,-34.290306,17-2199.05,17,Architechture and Engineering
174,-17.237103,-37.457924,17-2199.06,17,Architechture and Engineering
175,-19.763039,-37.054825,17-2199.07,17,Architechture and Engineering
176,-18.564163,-42.016163,17-2199.08,17,Architechture and Engineering
177,-20.763893,-37.31862,17-2199.09,17,Architechture and Engineering
178,-20.192322,-32.525578,17-2199.10,17,Architechture and Engineering
179,-12.72179,-36.067387,17-2199.11,17,Architechture and Engineering
180,-20.615767,-23.659597,17-3011.01,17,Architechture and Engineering
181,-21.966887,-21.862165,17-3011.02,17,Architechture and Engineering
182,-22.857527,-20.97597,17-3012.01,17,Architechture and Engineering
183,-22.194235,-21.663319,17-3012.02,17,Architechture and Engineering
184,-21.265629,-22.458805,17-3013.00,17,Architechture and Engineering
185,27.225965,-18.676802,17-3021.00,17,Architechture and Engineering
186,-21.003565,-31.011213,17-3022.00,17,Architechture and Engineering
187,24.809496,-18.843842,17-3023.01,17,Architechture and Engineering
188,26.073559,-17.878122,17-3023.03,17,Architechture and Engineering
189,32.91971,-17.389217,17-3024.00,17,Architechture and Engineering
190,30.918015,-17.98848,17-3024.01,17,Architechture and Engineering
191,20.094542,-23.426716,17-3025.00,17,Architechture and Engineering
192,-14.977598,-34.40972,17-3026.00,17,Architechture and Engineering
