,First component,Second component,SOC,Label,Occupation Category
0,27.733532,8.911052,11-1011.00,11,Management
1,22.827045,11.943179,11-1011.03,11,Management
2,11.580137,6.4943156,11-1021.00,11,Management
3,26.34172,14.15504,11-2011.00,11,Management
4,26.498085,13.131531,11-2021.00,11,Management
5,24.855104,8.099344,11-2022.00,11,Management
6,27.412474,14.060004,11-2031.00,11,Management
7,11.552856,5.6609573,11-3011.00,11,Management
8,16.232292,12.905158,11-3021.00,11,Management
9,25.460829,4.584446,11-3031.01,11,Management
10,25.840458,6.034257,11-3031.02,11,Management
11,11.581639,10.965753,11-3051.00,11,Management
12,10.874447,12.251755,11-3051.01,11,Management
13,9.320225,11.238596,11-3051.02,11,Management
14,10.299835,11.763051,11-3051.03,11,Management
15,9.483374,11.114122,11-3051.04,11,Management
16,9.150459,12.07082,11-3051.06,11,Management
17,22.965673,6.627855,11-3061.00,11,Management
18,24.607021,6.843826,11-3071.01,11,Management
19,10.80734,6.439243,11-3071.02,11,Management
20,22.558907,6.189362,11-3071.03,11,Management
21,27.47615,4.845113,11-3111.00,11,Management
22,28.598757,10.213403,11-3121.00,11,Management
23,28.81737,10.948384,11-3131.00,11,Management
24,6.6912766,9.785514,11-9013.01,11,Management
25,5.0538287,13.180404,11-9013.02,11,Management
26,6.0815372,10.850136,11-9013.03,11,Management
27,13.622367,10.934246,11-9021.00,11,Management
28,30.82941,11.1308365,11-9031.00,11,Management
29,29.630405,9.923813,11-9032.00,11,Management
30,28.11874,10.119725,11-9033.00,11,Management
31,21.244436,9.173931,11-9039.01,11,Management
32,21.660967,27.839174,11-9039.02,11,Management
33,16.746355,12.81872,11-9041.00,11,Management
34,-18.131514,33.63758,11-9041.01,11,Management
35,8.724395,4.5915437,11-9051.00,11,Management
36,12.600589,2.3231869,11-9061.00,11,Management
37,14.079611,7.878105,11-9071.00,11,Management
38,13.050538,4.132627,11-9081.00,11,Management
39,26.151583,7.5379286,11-9111.00,11,Management
40,18.106604,13.653827,11-9121.00,11,Management
41,22.46314,9.809576,11-9121.01,11,Management
42,-5.575973,32.23801,11-9121.02,11,Management
43,14.148531,6.177156,11-9131.00,11,Management
44,18.69709,-1.5678942,11-9141.00,11,Management
45,29.55006,10.995735,11-9151.00,11,Management
46,24.809164,27.4247,11-9161.00,11,Management
47,24.18849,3.5237186,11-9199.01,11,Management
48,25.906118,-0.8068542,11-9199.02,11,Management
49,26.192837,3.3781486,11-9199.03,11,Management
50,23.237116,6.8695884,11-9199.04,11,Management
51,10.526363,8.783876,11-9199.07,11,Management
52,12.524925,8.207027,11-9199.08,11,Management
53,9.802851,10.031196,11-9199.09,11,Management
54,19.79108,11.401844,11-9199.10,11,Management
55,19.542578,11.933356,11-9199.11,11,Management
56,28.621292,15.648745,13-1011.00,13,Business and Financial Operations
57,17.79252,-3.1753182,13-1021.00,13,Business and Financial Operations
58,18.519615,-3.2710233,13-1022.00,13,Business and Financial Operations
59,21.925663,4.7410493,13-1023.00,13,Business and Financial Operations
60,24.374205,-6.7502065,13-1031.01,13,Business and Financial Operations
61,25.154867,-7.2475147,13-1031.02,13,Business and Financial Operations
62,13.857002,-5.8461924,13-1032.00,13,Business and Financial Operations
63,-13.9472685,8.900772,13-1041.01,13,Business and Financial Operations
64,4.4104767,2.55903,13-1041.02,13,Business and Financial Operations
65,29.628105,2.2570915,13-1041.03,13,Business and Financial Operations
66,-9.602867,8.202632,13-1041.04,13,Business and Financial Operations
67,-5.5754867,10.326696,13-1041.06,13,Business and Financial Operations
68,23.507212,1.8482534,13-1041.07,13,Business and Financial Operations
69,22.55969,-0.75648516,13-1051.00,13,Business and Financial Operations
70,27.816225,-4.154356,13-1071.00,13,Business and Financial Operations
71,3.2994885,-28.194977,13-1074.00,13,Business and Financial Operations
72,29.018744,6.9903884,13-1075.00,13,Business and Financial Operations
73,24.375042,5.4994893,13-1081.00,13,Business and Financial Operations
74,-7.744517,32.289783,13-1081.01,13,Business and Financial Operations
75,22.843365,1.0103111,13-1081.02,13,Business and Financial Operations
76,24.197523,11.231083,13-1111.00,13,Business and Financial Operations
77,12.488843,4.2339935,13-1121.00,13,Business and Financial Operations
78,28.443285,14.639271,13-1131.00,13,Business and Financial Operations
79,24.913713,-2.0881896,13-1141.00,13,Business and Financial Operations
80,36.735706,30.280579,13-1151.00,13,Business and Financial Operations
81,1.4929041,29.520685,13-1161.00,13,Business and Financial Operations
82,-11.224121,8.743319,13-1199.01,13,Business and Financial Operations
83,-14.378965,23.036358,13-1199.02,13,Business and Financial Operations
84,22.810364,-1.9428686,13-1199.03,13,Business and Financial Operations
85,21.885172,11.35009,13-1199.04,13,Business and Financial Operations
86,21.643347,12.826167,13-1199.05,13,Business and Financial Operations
87,19.839779,-2.640793,13-1199.06,13,Business and Financial Operations
88,23.800562,-2.8332338,13-2011.01,13,Business and Financial Operations
89,24.208696,1.0588615,13-2011.02,13,Business and Financial Operations
90,14.181969,-5.2541194,13-2021.01,13,Business and Financial Operations
91,14.318534,-5.9976134,13-2021.02,13,Business and Financial Operations
92,23.760916,-1.052271,13-2031.00,13,Business and Financial Operations
93,23.411482,-4.40703,13-2041.00,13,Business and Financial Operations
94,3.8150194,29.692795,13-2051.00,13,Business and Financial Operations
95,26.213871,1.430403,13-2052.00,13,Business and Financial Operations
96,24.059353,-4.2264137,13-2053.00,13,Business and Financial Operations
97,24.421673,2.3354602,13-2061.00,13,Business and Financial Operations
98,27.800938,-2.9628472,13-2071.00,13,Business and Financial Operations
99,28.260637,-0.5075317,13-2071.01,13,Business and Financial Operations
100,25.353432,-4.289916,13-2072.00,13,Business and Financial Operations
101,24.40027,-7.78248,13-2081.00,13,Business and Financial Operations
102,24.281034,-17.293972,13-2082.00,13,Business and Financial Operations
103,3.581443,30.80761,13-2099.01,13,Business and Financial Operations
104,23.571798,0.61273366,13-2099.02,13,Business and Financial Operations
105,22.955406,9.495946,13-2099.04,13,Business and Financial Operations
106,-9.055607,28.768803,15-1111.00,15,Computers and Math
107,-7.6307273,23.873587,15-1121.00,15,Computers and Math
108,12.344568,26.76146,15-1121.01,15,Computers and Math
109,-8.340914,23.74864,15-1122.00,15,Computers and Math
110,-6.0006294,23.843884,15-1131.00,15,Computers and Math
111,-8.545266,26.695158,15-1132.00,15,Computers and Math
112,-9.899191,24.146585,15-1133.00,15,Computers and Math
113,-7.708493,25.715527,15-1134.00,15,Computers and Math
114,-7.3497086,23.512903,15-1141.00,15,Computers and Math
115,-18.911816,21.310917,15-1142.00,15,Computers and Math
116,-6.32861,26.067707,15-1143.00,15,Computers and Math
117,-20.195139,18.439253,15-1143.01,15,Computers and Math
118,-10.276601,-2.0960145,15-1151.00,15,Computers and Math
119,-20.115984,18.531015,15-1152.00,15,Computers and Math
120,-8.736786,24.30964,15-1199.01,15,Computers and Math
121,-10.009659,28.738926,15-1199.02,15,Computers and Math
122,-7.6995153,25.02933,15-1199.03,15,Computers and Math
123,-8.142435,30.0935,15-1199.04,15,Computers and Math
124,-15.133042,21.001734,15-1199.05,15,Computers and Math
125,-5.0821557,26.25589,15-1199.06,15,Computers and Math
126,-4.7013803,26.24943,15-1199.07,15,Computers and Math
127,1.4616308,29.318586,15-1199.08,15,Computers and Math
128,21.843082,10.830494,15-1199.09,15,Computers and Math
129,1.6285406,28.379795,15-1199.10,15,Computers and Math
130,18.385809,22.352684,15-1199.11,15,Computers and Math
131,19.910637,1.5966434,15-1199.12,15,Computers and Math
132,4.893042,31.271744,15-2011.00,15,Computers and Math
133,3.020293,34.05264,15-2021.00,15,Computers and Math
134,2.4997225,33.938786,15-2031.00,15,Computers and Math
135,2.8545794,32.231937,15-2041.00,15,Computers and Math
136,2.1794224,32.45242,15-2041.01,15,Computers and Math
137,1.3977914,24.890974,15-2041.02,15,Computers and Math
138,15.819377,21.799755,17-1011.00,17,Architechture and Engineering
139,16.094711,21.6809,17-1012.00,17,Architechture and Engineering
140,-13.968982,17.451857,17-1021.00,17,Architechture and Engineering
141,-18.729403,3.9834855,17-1022.00,17,Architechture and Engineering
142,-19.369688,4.744956,17-1022.01,17,Architechture and Engineering
143,-9.897352,32.655064,17-2011.00,17,Architechture and Engineering
144,-15.240748,35.13031,17-2021.00,17,Architechture and Engineering
145,-16.581112,28.91954,17-2031.00,17,Architechture and Engineering
146,-11.684302,32.97724,17-2041.00,17,Architechture and Engineering
147,-8.154547,34.65714,17-2051.00,17,Architechture and Engineering
148,-8.372268,33.540268,17-2051.01,17,Architechture and Engineering
149,-9.477415,26.916145,17-2061.00,17,Architechture and Engineering
150,-11.30263,29.322323,17-2071.00,17,Architechture and Engineering
151,-17.026669,30.49466,17-2072.00,17,Architechture and Engineering
152,-18.950478,19.753502,17-2072.01,17,Architechture and Engineering
153,-5.6805162,32.242252,17-2081.00,17,Architechture and Engineering
154,-6.572014,33.9654,17-2081.01,17,Architechture and Engineering
155,-7.813234,13.556539,17-2111.01,17,Architechture and Engineering
156,-7.189437,33.385975,17-2111.02,17,Architechture and Engineering
157,-12.430823,27.097256,17-2111.03,17,Architechture and Engineering
158,-12.739684,28.492882,17-2112.00,17,Architechture and Engineering
159,-5.7521696,34.43737,17-2112.01,17,Architechture and Engineering
160,-19.172781,31.000273,17-2121.01,17,Architechture and Engineering
161,-10.569748,33.81242,17-2121.02,17,Architechture and Engineering
162,-13.207381,31.791721,17-2131.00,17,Architechture and Engineering
163,-16.11421,28.96416,17-2141.00,17,Architechture and Engineering
164,-15.606109,33.258934,17-2141.01,17,Architechture and Engineering
165,-14.944974,35.18782,17-2141.02,17,Architechture and Engineering
166,-8.808487,33.712612,17-2151.00,17,Architechture and Engineering
167,-10.795143,31.538431,17-2161.00,17,Architechture and Engineering
168,-7.7074723,32.50916,17-2171.00,17,Architechture and Engineering
169,-16.042606,31.619139,17-2199.01,17,Architechture and Engineering
170,-12.25784,28.05409,17-2199.02,17,Architechture and Engineering
171,-9.2222595,32.194183,17-2199.03,17,Architechture and Engineering
172,-19.259369,29.883934,17-2199.04,17,Architechture and Engineering
173,-15.194371,27.002893,17-2199.05,17,Architechture and Engineering
174,-15.963204,31.587343,17-2199.06,17,Architechture and Engineering
175,-14.683006,32.889,17-2199.07,17,Architechture and Engineering
176,-18.47344,29.382748,17-2199.08,17,Architechture and Engineering
177,-14.231971,33.4143,17-2199.09,17,Architechture and Engineering
178,-12.329778,30.092857,17-2199.10,17,Architechture and Engineering
179,-17.550436,35.30014,17-2199.11,17,Architechture and Engineering
180,-11.928725,18.61549,17-3011.01,17,Architechture and Engineering
181,-13.042814,17.121487,17-3011.02,17,Architechture and Engineering
182,-12.537402,16.813171,17-3012.01,17,Architechture and Engineering
183,-13.138035,18.4557,17-3012.02,17,Architechture and Engineering
184,-13.148244,18.568232,17-3013.00,17,Architechture and Engineering
185,-24.55791,5.6685324,17-3021.00,17,Architechture and Engineering
186,-14.176641,19.45151,17-3022.00,17,Architechture and Engineering
187,-23.205372,7.6139364,17-3023.01,17,Architechture and Engineering
