,First component,Second component,SOC,Label,Occupation Category
0,-27.476727,1.955122,11-1011.00,11,Management
1,-34.19658,-1.187423,11-1011.03,11,Management
2,-16.179367,4.5554895,11-1021.00,11,Management
3,-33.254444,4.537254,11-2011.00,11,Management
4,-33.115612,4.010711,11-2021.00,11,Management
5,-30.511509,2.3989592,11-2022.00,11,Management
6,-33.22909,5.496861,11-2031.00,11,Management
7,-15.700282,4.0058846,11-3011.00,11,Management
8,-34.20383,-15.219715,11-3021.00,11,Management
9,-42.4906,6.318339,11-3031.01,11,Management
10,-31.15744,3.872395,11-3031.02,11,Management
11,-8.535639,-29.540724,11-3051.00,11,Management
12,-9.528547,-29.0251,11-3051.01,11,Management
13,-8.022148,-31.319912,11-3051.02,11,Management
14,-9.566478,-30.049322,11-3051.03,11,Management
15,-8.418982,-31.046204,11-3051.04,11,Management
16,-7.2237625,-30.796288,11-3051.06,11,Management
17,-32.319332,1.5141325,11-3061.00,11,Management
18,-31.78249,-0.0048234523,11-3071.01,11,Management
19,-15.23812,5.031481,11-3071.02,11,Management
20,-31.430943,0.7789271,11-3071.03,11,Management
21,-19.411076,21.206236,11-3111.00,11,Management
22,-29.873323,4.001653,11-3121.00,11,Management
23,-28.786057,5.4591627,11-3131.00,11,Management
24,-5.6536145,-32.442955,11-9013.01,11,Management
25,-4.543386,-35.67614,11-9013.02,11,Management
26,-5.938226,-33.267075,11-9013.03,11,Management
27,-22.16897,-0.056375466,11-9021.00,11,Management
28,-26.36045,4.485324,11-9031.00,11,Management
29,-26.421177,3.449029,11-9032.00,11,Management
30,-30.004637,4.8654213,11-9033.00,11,Management
31,-32.17765,-0.951894,11-9039.01,11,Management
32,-10.392327,-0.9439488,11-9039.02,11,Management
33,-37.825146,-15.536538,11-9041.00,11,Management
34,-25.25538,-30.023151,11-9041.01,11,Management
35,-12.720908,2.4499433,11-9051.00,11,Management
36,-12.901135,8.425444,11-9061.00,11,Management
37,-19.86374,1.8095509,11-9071.00,11,Management
38,-16.602705,2.2318273,11-9081.00,11,Management
39,-29.12786,3.230446,11-9111.00,11,Management
40,-35.748062,-2.0093312,11-9121.00,11,Management
41,-35.42392,1.7729055,11-9121.01,11,Management
42,-37.22099,-17.122578,11-9121.02,11,Management
43,-19.152317,3.687415,11-9131.00,11,Management
44,-15.297359,19.848993,11-9141.00,11,Management
45,-27.521423,4.3714514,11-9151.00,11,Management
46,-20.36481,-3.0099723,11-9161.00,11,Management
47,-38.671593,2.6942604,11-9199.01,11,Management
48,-37.744114,4.017712,11-9199.02,11,Management
49,-41.864475,5.135283,11-9199.03,11,Management
50,-33.06417,1.2190145,11-9199.04,11,Management
51,-9.048176,-33.152916,11-9199.07,11,Management
52,-19.126324,1.2877694,11-9199.08,11,Management
53,-8.407089,-32.69709,11-9199.09,11,Management
54,-32.941357,-3.4143033,11-9199.10,11,Management
55,-33.88886,-2.4611878,11-9199.11,11,Management
56,-34.663597,9.682654,13-1011.00,13,Business and Financial Operations
57,-11.597609,14.62926,13-1021.00,13,Business and Financial Operations
58,-12.215745,15.417418,13-1022.00,13,Business and Financial Operations
59,-29.822914,0.07846145,13-1023.00,13,Business and Financial Operations
60,-11.050718,23.298922,13-1031.01,13,Business and Financial Operations
61,-12.0387945,24.191822,13-1031.02,13,Business and Financial Operations
62,-6.519196,14.160296,13-1032.00,13,Business and Financial Operations
63,0.6446377,-26.530312,13-1041.01,13,Business and Financial Operations
64,10.749155,-6.2857337,13-1041.02,13,Business and Financial Operations
65,-36.18139,13.955302,13-1041.03,13,Business and Financial Operations
66,1.4784648,-25.662895,13-1041.04,13,Business and Financial Operations
67,4.0317764,-27.435623,13-1041.06,13,Business and Financial Operations
68,-39.370083,3.3244646,13-1041.07,13,Business and Financial Operations
69,-17.632572,23.578377,13-1051.00,13,Business and Financial Operations
