,First component,Second component,SOC,Label,Occupation Category
0,-35.095196,-11.6900625,11-1011.00,11,Management
1,-32.7522,-23.388227,11-1011.03,11,Management
2,-20.184782,-5.7437806,11-1021.00,11,Management
3,-32.549732,-18.193222,11-2011.00,11,Management
4,-32.305466,-19.211027,11-2021.00,11,Management
5,-32.05877,-12.035569,11-2022.00,11,Management
6,-32.168964,-15.669613,11-2031.00,11,Management
7,-20.643347,-5.192579,11-3011.00,11,Management
8,-31.361391,-26.691023,11-3021.00,11,Management
9,-24.563683,-26.315605,11-3031.01,11,Management
10,-26.308784,-25.079065,11-3031.02,11,Management
11,-16.169147,-7.4085484,11-3051.00,11,Management
12,-12.850746,-9.282097,11-3051.01,11,Management
13,-14.425299,-7.2245955,11-3051.02,11,Management
14,-12.962868,-8.562884,11-3051.03,11,Management
15,-13.992426,-7.730032,11-3051.04,11,Management
16,-12.226692,-8.067154,11-3051.06,11,Management
17,-28.243534,-23.524725,11-3061.00,11,Management
18,-28.677464,-21.92967,11-3071.01,11,Management
19,-19.308882,-5.2726974,11-3071.02,11,Management
20,-27.562925,-23.02413,11-3071.03,11,Management
21,-24.913301,-23.087097,11-3111.00,11,Management
22,-32.8682,-11.117215,11-3121.00,11,Management
23,-33.324863,-10.7847805,11-3131.00,11,Management
24,-15.614623,-5.4082923,11-9013.01,11,Management
25,-5.519592,-6.8365374,11-9013.02,11,Management
26,-12.421927,-6.0706196,11-9013.03,11,Management
27,-14.663335,-10.788489,11-9021.00,11,Management
28,-24.969896,-5.481109,11-9031.00,11,Management
29,-34.214634,-9.913186,11-9032.00,11,Management
30,-33.51022,-12.00966,11-9033.00,11,Management
31,-32.4525,-23.208204,11-9039.01,11,Management
32,-28.073454,-3.5366678,11-9039.02,11,Management
33,-32.173763,-27.227526,11-9041.00,11,Management
34,5.823707,-23.511248,11-9041.01,11,Management
35,-20.607698,-2.9785247,11-9051.00,11,Management
36,-24.39878,-0.38868418,11-9061.00,11,Management
37,-23.223566,-6.5658193,11-9071.00,11,Management
38,-25.579357,-2.8137686,11-9081.00,11,Management
39,-29.372833,-23.090961,11-9111.00,11,Management
40,-32.785126,-25.125082,11-9121.00,11,Management
41,-27.471937,-26.285849,11-9121.01,11,Management
42,-1.0174092,-37.236824,11-9121.02,11,Management
43,-22.463974,-4.1327157,11-9131.00,11,Management
44,-21.785654,-20.097233,11-9141.00,11,Management
45,-32.895866,-9.938841,11-9151.00,11,Management
46,-31.606882,-5.7803373,11-9161.00,11,Management
47,-25.284868,-24.245523,11-9199.01,11,Management
48,-22.957575,-18.117706,11-9199.02,11,Management
49,-23.95831,-27.73578,11-9199.03,11,Management
50,-28.58936,-23.80425,11-9199.04,11,Management
51,-17.474005,-0.62008905,11-9199.07,11,Management
52,-18.492855,-0.7549398,11-9199.08,11,Management
53,-13.032454,-7.0553794,11-9199.09,11,Management
54,-29.33702,-27.782877,11-9199.10,11,Management
55,-29.433657,-28.398638,11-9199.11,11,Management
56,-29.808105,-16.528093,13-1011.00,13,Business and Financial Operations
57,-20.90232,-20.132248,13-1021.00,13,Business and Financial Operations
58,-21.022417,-21.907207,13-1022.00,13,Business and Financial Operations
59,-24.029423,-24.651287,13-1023.00,13,Business and Financial Operations
60,-21.977598,-17.300947,13-1031.01,13,Business and Financial Operations
61,-23.60371,-15.797072,13-1031.02,13,Business and Financial Operations
62,3.1922739,-5.2486644,13-1032.00,13,Business and Financial Operations
63,13.504367,-20.594532,13-1041.01,13,Business and Financial Operations
64,0.19301462,-10.494398,13-1041.02,13,Business and Financial Operations
65,-38.9141,-12.636302,13-1041.03,13,Business and Financial Operations
66,1.9685056,-11.381042,13-1041.04,13,Business and Financial Operations
67,-18.165525,5.5677867,13-1041.06,13,Business and Financial Operations
68,-17.572172,-29.402164,13-1041.07,13,Business and Financial Operations
69,-20.008652,-25.506758,13-1051.00,13,Business and Financial Operations
70,-26.04771,-13.540012,13-1071.00,13,Business and Financial Operations
71,14.358048,21.223879,13-1074.00,13,Business and Financial Operations
72,-33.059372,-13.440997,13-1075.00,13,Business and Financial Operations
73,-27.265171,-24.192583,13-1081.00,13,Business and Financial Operations
74,0.122087866,-36.157566,13-1081.01,13,Business and Financial Operations
75,-17.183216,-30.011652,13-1081.02,13,Business and Financial Operations
76,-35.36765,-22.250126,13-1111.00,13,Business and Financial Operations
77,-24.643192,-2.3227172,13-1121.00,13,Business and Financial Operations
78,-31.506927,-15.73026,13-1131.00,13,Business and Financial Operations
79,-22.82362,-23.925776,13-1141.00,13,Business and Financial Operations
80,-39.60528,-2.4475174,13-1151.00,13,Business and Financial Operations
81,-11.853423,-35.288105,13-1161.00,13,Business and Financial Operations
82,15.496922,-21.824993,13-1199.01,13,Business and Financial Operations
83,0.7222206,-30.755426,13-1199.02,13,Business and Financial Operations
84,-18.212263,-23.567945,13-1199.03,13,Business and Financial Operations
85,-29.376223,-25.39099,13-1199.04,13,Business and Financial Operations
86,-31.236458,-24.361216,13-1199.05,13,Business and Financial Operations
87,-20.390713,-23.22762,13-1199.06,13,Business and Financial Operations
88,-17.69648,-26.60617,13-2011.01,13,Business and Financial Operations
89,-23.06092,-26.648836,13-2011.02,13,Business and Financial Operations
90,3.1239064,-5.6123433,13-2021.01,13,Business and Financial Operations
91,-14.323713,-24.95362,13-2021.02,13,Business and Financial Operations
92,-18.871439,-26.37324,13-2031.00,13,Business and Financial Operations
93,-16.303564,-26.177729,13-2041.00,13,Business and Financial Operations
94,-12.965229,-34.016895,13-2051.00,13,Business and Financial Operations
95,-23.876194,-21.524483,13-2052.00,13,Business and Financial Operations
96,-16.506023,-25.579039,13-2053.00,13,Business and Financial Operations
97,-19.32386,-29.845743,13-2061.00,13,Business and Financial Operations
98,-25.777212,-14.012553,13-2071.00,13,Business and Financial Operations
99,-16.449266,-17.95346,13-2071.01,13,Business and Financial Operations
100,-16.385237,-19.096205,13-2072.00,13,Business and Financial Operations
101,-22.10553,-16.57309,13-2081.00,13,Business and Financial Operations
102,-2.5154357,11.21398,13-2082.00,13,Business and Financial Operations
103,-13.842639,-36.538746,13-2099.01,13,Business and Financial Operations
104,-22.465725,-25.288702,13-2099.02,13,Business and Financial Operations
105,-26.864162,-26.999578,13-2099.04,13,Business and Financial Operations
106,-1.1201077,-41.497482,15-1111.00,15,Computers and Math
107,-2.2194233,-30.043694,15-1121.00,15,Computers and Math
108,-35.99486,-26.893595,15-1121.01,15,Computers and Math
109,-2.351015,-29.459166,15-1122.00,15,Computers and Math
110,-3.985148,-29.417198,15-1131.00,15,Computers and Math
111,-5.144945,-35.735138,15-1132.00,15,Computers and Math
112,-6.561798,-31.932186,15-1133.00,15,Computers and Math
113,-5.8530335,-34.607113,15-1134.00,15,Computers and Math
114,-2.9041197,-29.48096,15-1141.00,15,Computers and Math
115,6.300469,-29.247993,15-1142.00,15,Computers and Math
116,-5.01757,-33.886158,15-1143.00,15,Computers and Math
117,6.095758,-26.14905,15-1143.01,15,Computers and Math
118,9.819307,-10.310594,15-1151.00,15,Computers and Math
119,5.578831,-26.861765,15-1152.00,15,Computers and Math
120,-4.4750175,-31.578478,15-1199.01,15,Computers and Math
121,2.7222128,-31.873297,15-1199.02,15,Computers and Math
122,-5.3610315,-33.152615,15-1199.03,15,Computers and Math
123,-4.190937,-39.85274,15-1199.04,15,Computers and Math
124,-4.3084426,-37.994526,15-1199.05,15,Computers and Math
125,-6.8890495,-34.95428,15-1199.06,15,Computers and Math
126,-7.600782,-34.93941,15-1199.07,15,Computers and Math
127,-11.702474,-35.979336,15-1199.08,15,Computers and Math
128,-30.63627,-21.401262,15-1199.09,15,Computers and Math
129,-10.685028,-35.573288,15-1199.10,15,Computers and Math
130,-6.0023804,-19.920721,15-1199.11,15,Computers and Math
131,-10.349847,-29.395405,15-1199.12,15,Computers and Math
132,-15.620269,-34.506897,15-2011.00,15,Computers and Math
133,-14.049034,-38.447437,15-2021.00,15,Computers and Math
134,-13.700735,-37.62807,15-2031.00,15,Computers and Math
135,-15.332237,-36.36698,15-2041.00,15,Computers and Math
136,-5.2401047,-40.976948,15-2041.01,15,Computers and Math
137,-15.8415,-31.425194,15-2041.02,15,Computers and Math
138,-5.4454856,-23.358215,17-1011.00,17,Architechture and Engineering
139,-5.584302,-23.178717,17-1012.00,17,Architechture and Engineering
140,11.409102,-27.33818,17-1021.00,17,Architechture and Engineering
141,17.468971,-20.71192,17-1022.00,17,Architechture and Engineering
142,16.791525,-22.762522,17-1022.01,17,Architechture and Engineering
143,1.1305162,-40.918022,17-2011.00,17,Architechture and Engineering
144,5.241974,-35.284386,17-2021.00,17,Architechture and Engineering
145,11.608404,-40.04845,17-2031.00,17,Architechture and Engineering
146,4.5894866,-42.237785,17-2041.00,17,Architechture and Engineering
147,2.3823848,-35.328068,17-2051.00,17,Architechture and Engineering
148,1.8186274,-36.179565,17-2051.01,17,Architechture and Engineering
149,-4.6312537,-35.791683,17-2061.00,17,Architechture and Engineering
150,2.438727,-30.953022,17-2071.00,17,Architechture and Engineering
151,6.250146,-30.593966,17-2072.00,17,Architechture and Engineering
152,4.606947,-28.490395,17-2072.01,17,Architechture and Engineering
153,-0.5282829,-37.43284,17-2081.00,17,Architechture and Engineering
154,1.225144,-36.820316,17-2081.01,17,Architechture and Engineering
155,1.0515913,-15.330065,17-2111.01,17,Architechture and Engineering
156,0.8074459,-35.419746,17-2111.02,17,Architechture and Engineering
157,1.1778637,-27.663767,17-2111.03,17,Architechture and Engineering
158,2.3987947,-29.60061,17-2112.00,17,Architechture and Engineering
159,1.3628653,-33.333107,17-2112.01,17,Architechture and Engineering
160,12.218463,-37.14345,17-2121.01,17,Architechture and Engineering
161,2.4484546,-42.06344,17-2121.02,17,Architechture and Engineering
162,5.938449,-41.285103,17-2131.00,17,Architechture and Engineering
163,5.102407,-31.839655,17-2141.00,17,Architechture and Engineering
164,8.201889,-41.8874,17-2141.01,17,Architechture and Engineering
165,4.716216,-34.842445,17-2141.02,17,Architechture and Engineering
166,0.06006401,-34.41479,17-2151.00,17,Architechture and Engineering
167,1.2806319,-38.006832,17-2161.00,17,Architechture and Engineering
168,0.027666043,-35.666607,17-2171.00,17,Architechture and Engineering
169,8.805739,-37.75565,17-2199.01,17,Architechture and Engineering
170,1.1658752,-28.179285,17-2199.02,17,Architechture and Engineering
171,2.4803126,-33.458282,17-2199.03,17,Architechture and Engineering
172,12.513618,-38.157333,17-2199.04,17,Architechture and Engineering
173,9.405185,-40.34463,17-2199.05,17,Architechture and Engineering
174,9.321578,-39.31998,17-2199.06,17,Architechture and Engineering
175,8.463992,-43.854946,17-2199.07,17,Architechture and Engineering
176,12.444861,-39.372574,17-2199.08,17,Architechture and Engineering
177,6.6585298,-42.491055,17-2199.09,17,Architechture and Engineering
178,3.4207108,-29.890345,17-2199.10,17,Architechture and Engineering
179,10.753428,-33.52572,17-2199.11,17,Architechture and Engineering
180,-0.21505156,-21.735647,17-3011.01,17,Architechture and Engineering
181,-0.6344669,-23.946264,17-3011.02,17,Architechture and Engineering
182,-1.6059378,-23.909601,17-3012.01,17,Architechture and Engineering
183,-0.3456946,-23.64258,17-3012.02,17,Architechture and Engineering
184,0.20666613,-23.375978,17-3013.00,17,Architechture and Engineering
185,19.157425,-16.591892,17-3021.00,17,Architechture and Engineering
186,1.085817,-26.526188,17-3022.00,17,Architechture and Engineering
187,14.77491,-28.364418,17-3023.01,17,Architechture and Engineering
188,18.978186,-14.932649,17-3023.03,17,Architechture and Engineering
189,21.709143,-11.939596,17-3024.00,17,Architechture and Engineering
190,21.094393,-16.272879,17-3024.01,17,Architechture and Engineering
191,18.472672,-22.72942,17-3025.00,17,Architechture and Engineering
192,9.158396,-24.844103,17-3026.00,17,Architechture and Engineering
193,17.698809,-24.7502,17-3027.00,17,Architechture and Engineering
194,22.957338,-15.369297,17-3027.01,17,Architechture and Engineering
195,18.788643,-20.967413,17-3029.01,17,Architechture and Engineering
196,6.139976,-28.507755,17-3029.02,17,Architechture and Engineering
197,16.40181,-25.172852,17-3029.03,17,Architechture and Engineering
198,20.080622,-16.346191,17-3029.04,17,Architechture and Engineering
199,12.741919,-29.305979,17-3029.05,17,Architechture and Engineering
200,12.435838,-38.62154,17-3029.06,17,Architechture and Engineering
201,22.04316,-10.427729,17-3029.07,17,Architechture and Engineering
202,15.688223,-28.260235,17-3029.08,17,Architechture and Engineering
203,23.29904,-14.697131,17-3029.09,17,Architechture and Engineering
204,13.38812,-31.216913,17-3029.11,17,Architechture and Engineering
205,23.131226,-18.637924,17-3029.12,17,Architechture and Engineering
206,19.462103,-21.330126,17-3031.01,17,Architechture and Engineering
207,12.063488,-26.636158,17-3031.02,17,Architechture and Engineering
208,5.2146997,-37.16088,19-1011.00,19,"Life, Physical, and Social Science"
209,8.359548,-37.847675,19-1012.00,19,"Life, Physical, and Social Science"
210,5.9875255,-37.188816,19-1013.00,19,"Life, Physical, and Social Science"
211,7.695099,-35.150898,19-1020.01,19,"Life, Physical, and Social Science"
212,4.3236327,-39.61878,19-1021.00,19,"Life, Physical, and Social Science"
213,9.145453,-36.78455,19-1022.00,19,"Life, Physical, and Social Science"
214,8.437671,-21.255474,19-1023.00,19,"Life, Physical, and Social Science"
215,-3.6364098,-41.771683,19-1029.01,19,"Life, Physical, and Social Science"
216,3.9957743,-40.923363,19-1029.02,19,"Life, Physical, and Social Science"
217,4.6209145,-38.733288,19-1029.03,19,"Life, Physical, and Social Science"
218,6.947125,-20.262396,19-1031.01,19,"Life, Physical, and Social Science"
219,7.3371296,-19.647139,19-1031.02,19,"Life, Physical, and Social Science"
220,-30.382126,10.199229,19-1031.03,19,"Life, Physical, and Social Science"
221,7.652794,-20.149063,19-1032.00,19,"Life, Physical, and Social Science"
222,-8.3869505,-38.443398,19-1041.00,19,"Life, Physical, and Social Science"
223,-39.550014,-23.97024,19-1042.00,19,"Life, Physical, and Social Science"
224,2.651895,-44.44571,19-2011.00,19,"Life, Physical, and Social Science"
225,3.2531147,-44.1772,19-2012.00,19,"Life, Physical, and Social Science"
226,-6.6761684,-39.596397,19-2021.00,19,"Life, Physical, and Social Science"
227,10.244191,-35.598743,19-2031.00,19,"Life, Physical, and Social Science"
228,5.895821,-41.81435,19-2032.00,19,"Life, Physical, and Social Science"
229,6.450595,-35.39315,19-2041.00,19,"Life, Physical, and Social Science"
230,-10.554842,-37.534397,19-2041.01,19,"Life, Physical, and Social Science"
231,7.270057,-21.53978,19-2041.02,19,"Life, Physical, and Social Science"
232,-9.803279,-38.37396,19-2041.03,19,"Life, Physical, and Social Science"
233,6.775728,-36.60436,19-2042.00,19,"Life, Physical, and Social Science"
234,9.346926,-34.920353,19-2043.00,19,"Life, Physical, and Social Science"
235,-3.3331845,-40.1331,19-2099.01,19,"Life, Physical, and Social Science"
236,-14.0129385,-41.016148,19-3011.00,19,"Life, Physical, and Social Science"
237,-13.816649,-41.06225,19-3011.01,19,"Life, Physical, and Social Science"
238,-15.154312,-32.434494,19-3022.00,19,"Life, Physical, and Social Science"
239,-42.503666,7.167867,19-3031.01,19,"Life, Physical, and Social Science"
240,-45.808704,5.8737984,19-3031.02,19,"Life, Physical, and Social Science"
241,-45.458202,5.1424823,19-3031.03,19,"Life, Physical, and Social Science"
242,-36.239162,-22.88099,19-3032.00,19,"Life, Physical, and Social Science"
243,-40.560802,21.054451,19-3039.01,19,"Life, Physical, and Social Science"
244,-55.837254,-6.638567,19-3041.00,19,"Life, Physical, and Social Science"
245,-34.989933,-23.672333,19-3051.00,19,"Life, Physical, and Social Science"
246,-8.976341,-40.60129,19-3091.01,19,"Life, Physical, and Social Science"
247,6.476916,-38.102467,19-3091.02,19,"Life, Physical, and Social Science"
248,-8.106612,-40.135147,19-3092.00,19,"Life, Physical, and Social Science"
249,-52.402607,2.840541,19-3093.00,19,"Life, Physical, and Social Science"
250,-14.790891,-41.948753,19-3094.00,19,"Life, Physical, and Social Science"
251,-1.468411,-36.202694,19-3099.01,19,"Life, Physical, and Social Science"
252,19.61469,-7.0471587,19-4011.01,19,"Life, Physical, and Social Science"
253,11.882837,-13.111083,19-4011.02,19,"Life, Physical, and Social Science"
254,11.65463,-13.872389,19-4021.00,19,"Life, Physical, and Social Science"
255,21.86192,-24.0504,19-4031.00,19,"Life, Physical, and Social Science"
256,6.468823,-13.417785,19-4041.01,19,"Life, Physical, and Social Science"
257,19.661829,-23.863892,19-4041.02,19,"Life, Physical, and Social Science"
