,First component,Second component,SOC,Label,Occupation Category
0,-37.4891,8.660518,11-1011.00,11,Management
1,-33.788105,17.089825,11-1011.03,11,Management
2,-19.033504,-3.3516588,11-1021.00,11,Management
3,-32.298,12.995927,11-2011.00,11,Management
4,-32.429398,14.117004,11-2021.00,11,Management
5,-35.014046,9.761234,11-2022.00,11,Management
6,-31.80995,10.031413,11-2031.00,11,Management
7,-19.481909,-2.8090327,11-3011.00,11,Management
8,-32.076412,20.09984,11-3021.00,11,Management
9,-24.982906,21.217678,11-3031.01,11,Management
10,-26.86009,19.648542,11-3031.02,11,Management
11,-16.358366,-1.6211581,11-3051.00,11,Management
12,-13.853064,1.1158898,11-3051.01,11,Management
13,-14.571357,-1.3280225,11-3051.02,11,Management
14,-14.093358,0.58158785,11-3051.03,11,Management
15,-14.232261,-0.7643905,11-3051.04,11,Management
16,-13.112681,0.09865609,11-3051.06,11,Management
17,-28.980728,18.185202,11-3061.00,11,Management
18,-28.98401,16.54538,11-3071.01,11,Management
19,-18.098734,-3.13951,11-3071.02,11,Management
20,-28.227142,17.72095,11-3071.03,11,Management
21,-25.176212,17.913492,11-3111.00,11,Management
22,-35.488396,8.383263,11-3121.00,11,Management
23,-34.942722,8.016537,11-3131.00,11,Management
24,-14.517226,-3.573201,11-9013.01,11,Management
25,6.1804647,1.2086262,11-9013.02,11,Management
26,-12.619207,-1.553694,11-9013.03,11,Management
27,-17.501635,1.1910808,11-9021.00,11,Management
28,-23.27064,-1.7060636,11-9031.00,11,Management
29,-36.657803,7.343551,11-9032.00,11,Management
30,-35.999332,9.214875,11-9033.00,11,Management
31,-33.700394,17.184198,11-9039.01,11,Management
32,-20.105587,-8.126788,11-9039.02,11,Management
33,-33.01137,20.885483,11-9041.00,11,Management
34,9.525806,27.512953,11-9041.01,11,Management
35,-18.951448,-6.1266994,11-9051.00,11,Management
36,-23.723587,-6.74211,11-9061.00,11,Management
37,-20.957188,-0.6934375,11-9071.00,11,Management
38,-24.611109,-4.028087,11-9081.00,11,Management
39,-30.051538,17.550678,11-9111.00,11,Management
40,-33.945324,18.670818,11-9121.00,11,Management
41,-27.998295,20.896944,11-9121.01,11,Management
42,-3.348742,34.634052,11-9121.02,11,Management
43,-21.194517,-3.5709424,11-9131.00,11,Management
44,-21.156311,16.39719,11-9141.00,11,Management
45,-35.50398,7.1776743,11-9151.00,11,Management
46,-29.902136,-2.1841974,11-9161.00,11,Management
47,-25.75185,18.954283,11-9199.01,11,Management
48,-21.121626,13.966559,11-9199.02,11,Management
49,-24.47249,22.755129,11-9199.03,11,Management
50,-29.33782,18.434313,11-9199.04,11,Management
51,-18.046831,-1.8787919,11-9199.07,11,Management
52,-19.03768,-1.0553354,11-9199.08,11,Management
53,-15.3245535,-0.0048780837,11-9199.09,11,Management
54,-30.26275,21.663696,11-9199.10,11,Management
55,-30.515936,22.292973,11-9199.11,11,Management
56,-28.426445,10.368173,13-1011.00,13,Business and Financial Operations
57,-20.189705,16.532364,13-1021.00,13,Business and Financial Operations
58,-20.583296,18.512217,13-1022.00,13,Business and Financial Operations
59,-24.452795,19.677898,13-1023.00,13,Business and Financial Operations
60,-19.805191,13.169561,13-1031.01,13,Business and Financial Operations
61,-20.528332,11.156901,13-1031.02,13,Business and Financial Operations
62,2.5890303,6.1713247,13-1032.00,13,Business and Financial Operations
63,15.861099,23.840063,13-1041.01,13,Business and Financial Operations
64,3.072046,9.248918,13-1041.02,13,Business and Financial Operations
65,-40.952408,11.444152,13-1041.03,13,Business and Financial Operations
66,4.6147966,11.324068,13-1041.04,13,Business and Financial Operations
67,-13.538252,-13.132591,13-1041.06,13,Business and Financial Operations
68,-15.294597,26.936073,13-1041.07,13,Business and Financial Operations
69,-19.393087,22.074665,13-1051.00,13,Business and Financial Operations
70,-18.543001,9.570825,13-1071.00,13,Business and Financial Operations
71,16.40772,-17.126783,13-1074.00,13,Business and Financial Operations
72,-36.546738,10.717783,13-1075.00,13,Business and Financial Operations
73,-27.925163,18.784258,13-1081.00,13,Business and Financial Operations
74,-1.4905603,35.274525,13-1081.01,13,Business and Financial Operations
75,-14.768866,27.566114,13-1081.02,13,Business and Financial Operations
76,-36.919918,14.680594,13-1111.00,13,Business and Financial Operations
77,-23.605333,-4.7230988,13-1121.00,13,Business and Financial Operations
78,-31.200325,9.774871,13-1131.00,13,Business and Financial Operations
79,-23.016514,19.172735,13-1141.00,13,Business and Financial Operations
80,-39.787476,-3.3583674,13-1151.00,13,Business and Financial Operations
81,-12.482128,34.225555,13-1161.00,13,Business and Financial Operations
82,16.396996,26.304981,13-1199.01,13,Business and Financial Operations
83,1.8247663,29.623352,13-1199.02,13,Business and Financial Operations
84,-16.859447,19.778511,13-1199.03,13,Business and Financial Operations
85,-30.024927,19.732285,13-1199.04,13,Business and Financial Operations
86,-32.333878,17.70773,13-1199.05,13,Business and Financial Operations
87,-19.823046,19.997168,13-1199.06,13,Business and Financial Operations
88,-16.4745,23.087864,13-2011.01,13,Business and Financial Operations
89,-23.806868,21.687668,13-2011.02,13,Business and Financial Operations
90,2.7948558,6.516363,13-2021.01,13,Business and Financial Operations
91,-12.303106,22.020664,13-2021.02,13,Business and Financial Operations
92,-17.780275,22.870867,13-2031.00,13,Business and Financial Operations
93,-15.15356,22.341381,13-2041.00,13,Business and Financial Operations
94,-14.768288,34.246094,13-2051.00,13,Business and Financial Operations
95,-23.80873,16.493753,13-2052.00,13,Business and Financial Operations
96,-14.698394,21.376343,13-2053.00,13,Business and Financial Operations
97,-16.883722,27.06032,13-2061.00,13,Business and Financial Operations
98,-18.993366,9.635104,13-2071.00,13,Business and Financial Operations
99,-15.291011,17.476366,13-2071.01,13,Business and Financial Operations
100,-14.625626,16.358637,13-2072.00,13,Business and Financial Operations
101,-19.838793,12.480858,13-2081.00,13,Business and Financial Operations
102,-14.217467,20.157934,13-2082.00,13,Business and Financial Operations
103,-13.819408,36.22494,13-2099.01,13,Business and Financial Operations
104,-22.803844,20.322062,13-2099.02,13,Business and Financial Operations
105,-27.464977,21.724852,13-2099.04,13,Business and Financial Operations
106,-3.1970882,40.502472,15-1111.00,15,Computers and Math
107,-0.21989179,27.715935,15-1121.00,15,Computers and Math
108,-37.258015,19.90979,15-1121.01,15,Computers and Math
109,-0.19052818,27.05449,15-1122.00,15,Computers and Math
110,-1.668672,26.53443,15-1131.00,15,Computers and Math
111,-4.9523454,42.10765,15-1132.00,15,Computers and Math
112,-6.407409,29.390528,15-1133.00,15,Computers and Math
113,-6.1053896,41.933155,15-1134.00,15,Computers and Math
