,First component,Second component,SOC,Label,Occupation Category
0,31.00607,7.6708546,11-1011.00,11,Management
1,6.4077854,41.725544,11-1011.03,11,Management
2,15.12288,15.557018,11-1021.00,11,Management
3,14.57666,0.6783472,11-2011.00,11,Management
4,14.214066,0.22144818,11-2021.00,11,Management
5,13.5112705,-0.2456817,11-2022.00,11,Management
6,16.359907,1.247437,11-2031.00,11,Management
7,14.739394,15.056212,11-3011.00,11,Management
8,-7.4594584,7.1020126,11-3021.00,11,Management
9,25.936146,-4.980974,11-3031.01,11,Management
10,26.462152,-4.221559,11-3031.02,11,Management
11,7.1336694,25.013868,11-3051.00,11,Management
12,5.810497,25.256416,11-3051.01,11,Management
13,7.1236978,28.479845,11-3051.02,11,Management
14,4.5348024,26.209156,11-3051.03,11,Management
15,7.1384773,28.071308,11-3051.04,11,Management
16,8.012644,28.471275,11-3051.06,11,Management
17,19.668894,13.526385,11-3061.00,11,Management
18,18.578236,16.465199,11-3071.01,11,Management
19,17.174652,17.559082,11-3071.02,11,Management
20,18.711885,15.737379,11-3071.03,11,Management
21,23.985271,3.371101,11-3111.00,11,Management
22,29.944483,8.712694,11-3121.00,11,Management
23,30.246384,10.958881,11-3131.00,11,Management
24,3.6590912,24.043129,11-9013.01,11,Management
25,1.980776,26.366873,11-9013.02,11,Management
26,2.5426443,25.260805,11-9013.03,11,Management
27,2.139343,39.27176,11-9021.00,11,Management
28,27.964987,16.45194,11-9031.00,11,Management
29,32.154987,9.362644,11-9032.00,11,Management
30,30.300505,9.9047,11-9033.00,11,Management
31,29.298016,13.379541,11-9039.01,11,Management
32,37.800304,5.0948377,11-9039.02,11,Management
33,1.475873,40.49439,11-9041.00,11,Management
34,-12.116999,36.03916,11-9041.01,11,Management
35,14.342815,21.743814,11-9051.00,11,Management
36,37.238274,1.8495638,11-9061.00,11,Management
37,14.91303,13.814458,11-9071.00,11,Management
38,25.969597,17.441307,11-9081.00,11,Management
39,24.363613,9.852782,11-9111.00,11,Management
40,4.720765,41.02068,11-9121.00,11,Management
41,18.21296,30.20605,11-9121.01,11,Management
42,-1.1867247,40.44891,11-9121.02,11,Management
43,15.82416,16.50872,11-9131.00,11,Management
44,18.913918,8.40476,11-9141.00,11,Management
45,31.24733,9.522882,11-9151.00,11,Management
46,7.02811,16.401224,11-9161.00,11,Management
47,17.310768,31.257357,11-9199.01,11,Management
48,23.869507,7.2066846,11-9199.02,11,Management
49,24.158262,-5.052379,11-9199.03,11,Management
50,18.702663,15.061172,11-9199.04,11,Management
51,7.0037675,15.564685,11-9199.07,11,Management
52,8.000352,14.984219,11-9199.08,11,Management
53,8.814668,26.849115,11-9199.09,11,Management
54,3.4383237,39.687508,11-9199.10,11,Management
55,3.8427153,40.6915,11-9199.11,11,Management
56,17.57481,-0.10894129,13-1011.00,13,Business and Financial Operations
57,19.296902,18.113108,13-1021.00,13,Business and Financial Operations
58,14.204837,-5.5102425,13-1022.00,13,Business and Financial Operations
59,19.719772,13.858707,13-1023.00,13,Business and Financial Operations
60,18.312067,-11.711489,13-1031.01,13,Business and Financial Operations
61,18.023046,-11.828543,13-1031.02,13,Business and Financial Operations
62,11.902387,-25.057957,13-1032.00,13,Business and Financial Operations
63,-2.588508,29.625402,13-1041.01,13,Business and Financial Operations
64,4.938817,10.467646,13-1041.02,13,Business and Financial Operations
65,27.164104,5.521958,13-1041.03,13,Business and Financial Operations
66,-8.9654875,23.795732,13-1041.04,13,Business and Financial Operations
67,0.744192,13.976092,13-1041.06,13,Business and Financial Operations
68,17.436197,31.308544,13-1041.07,13,Business and Financial Operations
69,4.185165,38.301067,13-1051.00,13,Business and Financial Operations
70,22.98722,-18.598904,13-1071.00,13,Business and Financial Operations
71,-8.96971,-29.39053,13-1074.00,13,Business and Financial Operations
72,26.167185,5.730688,13-1075.00,13,Business and Financial Operations
73,19.417093,15.805784,13-1081.00,13,Business and Financial Operations
74,-0.8019385,45.10459,13-1081.01,13,Business and Financial Operations
75,21.553993,15.311674,13-1081.02,13,Business and Financial Operations
76,28.051954,10.028126,13-1111.00,13,Business and Financial Operations
77,12.601637,6.9896226,13-1121.00,13,Business and Financial Operations
78,17.211067,1.3028883,13-1131.00,13,Business and Financial Operations
79,24.391102,4.8449426,13-1141.00,13,Business and Financial Operations
80,30.663605,11.494721,13-1151.00,13,Business and Financial Operations
81,20.80463,-3.3271766,13-1161.00,13,Business and Financial Operations
82,-19.973736,24.434196,13-1199.01,13,Business and Financial Operations
83,3.7976258,35.75731,13-1199.02,13,Business and Financial Operations
84,22.169252,16.41673,13-1199.03,13,Business and Financial Operations
85,22.19067,13.216474,13-1199.04,13,Business and Financial Operations
86,6.9777946,42.085575,13-1199.05,13,Business and Financial Operations
87,14.766754,-4.306508,13-1199.06,13,Business and Financial Operations
88,26.512774,-8.085764,13-2011.01,13,Business and Financial Operations
89,25.139664,-5.084271,13-2011.02,13,Business and Financial Operations
90,15.108456,-11.841067,13-2021.01,13,Business and Financial Operations
91,15.0150585,-11.826797,13-2021.02,13,Business and Financial Operations
92,26.018671,-7.3598366,13-2031.00,13,Business and Financial Operations
93,26.081333,-9.071565,13-2041.00,13,Business and Financial Operations
94,22.87946,-4.1439524,13-2051.00,13,Business and Financial Operations
95,23.49027,-7.0623593,13-2052.00,13,Business and Financial Operations
96,21.174597,-9.91544,13-2053.00,13,Business and Financial Operations
97,27.205784,-6.7596016,13-2061.00,13,Business and Financial Operations
98,23.680248,-9.729638,13-2071.00,13,Business and Financial Operations
99,23.715572,-11.600966,13-2071.01,13,Business and Financial Operations
100,22.118174,-10.946605,13-2072.00,13,Business and Financial Operations
101,21.729574,-12.365455,13-2081.00,13,Business and Financial Operations
102,22.748705,-13.267604,13-2082.00,13,Business and Financial Operations
103,23.980812,26.873932,13-2099.01,13,Business and Financial Operations
104,20.216383,11.880154,13-2099.02,13,Business and Financial Operations
105,24.564695,6.0692925,13-2099.04,13,Business and Financial Operations
106,-8.952083,8.8816185,15-1111.00,15,Computers and Math
107,-5.720727,7.6145487,15-1121.00,15,Computers and Math
108,32.491325,14.443891,15-1121.01,15,Computers and Math
109,-7.787356,5.741461,15-1122.00,15,Computers and Math
110,-3.6703641,8.086628,15-1131.00,15,Computers and Math
111,-5.523231,9.842807,15-1132.00,15,Computers and Math
112,-7.363138,9.276461,15-1133.00,15,Computers and Math
