,First component,Second component,SOC,Label,Occupation Category
0,-26.578598,15.301277,11-1011.00,11,Management
1,-18.391644,-32.258488,11-1011.03,11,Management
2,-19.51778,5.1736264,11-1021.00,11,Management
3,-17.866343,16.580885,11-2011.00,11,Management
4,-18.583048,16.152449,11-2021.00,11,Management
5,-19.438574,15.289457,11-2022.00,11,Management
6,-17.663948,17.988056,11-2031.00,11,Management
7,-19.564941,5.9058385,11-3011.00,11,Management
8,-21.29567,-21.009777,11-3021.00,11,Management
9,-21.816315,31.058077,11-3031.01,11,Management
10,-20.482935,30.846788,11-3031.02,11,Management
11,-15.008631,-6.0688963,11-3051.00,11,Management
12,-13.794285,-6.7120743,11-3051.01,11,Management
13,-16.840652,-8.473652,11-3051.02,11,Management
14,-14.226321,-8.16931,11-3051.03,11,Management
15,-16.54458,-8.103344,11-3051.04,11,Management
16,-17.496181,-7.905127,11-3051.06,11,Management
17,-23.543703,2.5477288,11-3061.00,11,Management
18,-21.247713,2.7944071,11-3071.01,11,Management
19,-19.863092,2.1366856,11-3071.02,11,Management
20,-21.611473,1.9711468,11-3071.03,11,Management
21,-24.3,22.319748,11-3111.00,11,Management
22,-27.840273,16.099152,11-3121.00,11,Management
23,-29.554718,15.570268,11-3131.00,11,Management
24,-13.399445,-9.796687,11-9013.01,11,Management
25,-11.657369,-10.899862,11-9013.02,11,Management
26,-12.221048,-9.759839,11-9013.03,11,Management
27,-14.513476,-30.341505,11-9021.00,11,Management
28,-27.650904,12.277578,11-9031.00,11,Management
29,-27.965828,13.989381,11-9032.00,11,Management
30,-28.629597,15.556753,11-9033.00,11,Management
31,-22.395357,16.194492,11-9039.01,11,Management
32,-29.16056,9.693203,11-9039.02,11,Management
33,-14.3544655,-31.519747,11-9041.00,11,Management
34,4.1962967,-32.499638,11-9041.01,11,Management
35,-15.048627,3.8787053,11-9051.00,11,Management
36,-26.173302,8.688062,11-9061.00,11,Management
37,-20.590208,7.3101225,11-9071.00,11,Management
38,-21.820793,6.0015707,11-9081.00,11,Management
39,-23.545383,12.734807,11-9111.00,11,Management
40,-17.315674,-30.820543,11-9121.00,11,Management
41,-29.970991,-3.7513986,11-9121.01,11,Management
42,-12.4010515,-32.859386,11-9121.02,11,Management
43,-19.500986,3.760918,11-9131.00,11,Management
44,-17.208729,8.478477,11-9141.00,11,Management
45,-28.559637,14.292412,11-9151.00,11,Management
46,-9.474544,-0.67995965,11-9161.00,11,Management
47,-28.75178,-4.415132,11-9199.01,11,Management
48,-25.13889,5.6149154,11-9199.02,11,Management
49,-20.66141,29.453959,11-9199.03,11,Management
