,First component,Second component,SOC,Label,Occupation Category
0,-27.119808,-10.886639,11-1011.00,11,Management
1,-5.1577234,-40.50035,11-1011.03,11,Management
2,-2.9259489,-5.9233756,11-1021.00,11,Management
3,-21.690252,-15.106955,11-2011.00,11,Management
4,-21.787872,-15.770214,11-2021.00,11,Management
5,-21.849129,-17.298975,11-2022.00,11,Management
6,-23.124939,-14.068545,11-2031.00,11,Management
7,-3.380364,-5.8022666,11-3011.00,11,Management
8,-10.997092,-27.30288,11-3021.00,11,Management
9,-25.127827,-35.085266,11-3031.01,11,Management
10,-25.350151,-33.921192,11-3031.02,11,Management
11,-1.6711023,-8.949963,11-3051.00,11,Management
12,-1.0777094,-10.865004,11-3051.01,11,Management
13,2.0269217,-11.454356,11-3051.02,11,Management
14,-0.23049453,-11.063604,11-3051.03,11,Management
15,1.7378789,-11.204273,11-3051.04,11,Management
16,2.736002,-11.063478,11-3051.06,11,Management
17,-26.52454,-24.200157,11-3061.00,11,Management
18,-27.884447,-22.553408,11-3071.01,11,Management
19,-2.2201397,-5.1712947,11-3071.02,11,Management
20,-27.667753,-23.443073,11-3071.03,11,Management
21,-31.204206,-38.37498,11-3111.00,11,Management
22,-28.576792,-11.227256,11-3121.00,11,Management
23,-28.73664,-9.617033,11-3131.00,11,Management
24,6.3197684,-9.632157,11-9013.01,11,Management
25,8.444349,-10.90041,11-9013.02,11,Management
26,7.769608,-9.786435,11-9013.03,11,Management
27,1.5178962,-14.797524,11-9021.00,11,Management
28,-18.426294,-0.29700306,11-9031.00,11,Management
29,-27.36696,-7.549103,11-9032.00,11,Management
30,-28.530283,-10.367023,11-9033.00,11,Management
31,-19.64212,-15.027047,11-9039.01,11,Management
32,-23.062082,16.621918,11-9039.02,11,Management
33,2.248691,-39.782158,11-9041.00,11,Management
34,13.060558,-28.046692,11-9041.01,11,Management
35,-8.678758,4.851476,11-9051.00,11,Management
36,-12.075849,0.73334205,11-9061.00,11,Management
37,-4.827765,-3.4978843,11-9071.00,11,Management
38,-14.711566,-0.60940343,11-9081.00,11,Management
39,-26.823843,-18.610832,11-9111.00,11,Management
40,-5.3380256,-38.995884,11-9121.00,11,Management
41,-24.378868,-29.151798,11-9121.01,11,Management
42,-1.0458083,-38.83944,11-9121.02,11,Management
43,-2.9695587,-7.7319365,11-9131.00,11,Management
44,-29.069208,-25.771412,11-9141.00,11,Management
45,-27.662813,-8.790652,11-9151.00,11,Management
46,-3.1309812,-0.34418848,11-9161.00,11,Management
47,-23.019535,-29.699009,11-9199.01,11,Management
48,-26.380398,-26.622091,11-9199.02,11,Management
49,-24.149923,-34.665306,11-9199.03,11,Management
50,-26.935457,-23.409035,11-9199.04,11,Management
51,-2.3253002,-1.1716044,11-9199.07,11,Management
52,-3.1668365,-2.2757652,11-9199.08,11,Management
53,1.3740857,-9.979834,11-9199.09,11,Management
54,-3.7086148,-38.7024,11-9199.10,11,Management
55,-3.6120672,-39.18116,11-9199.11,11,Management
56,-24.136349,-13.098111,13-1011.00,13,Business and Financial Operations
57,-29.759857,-22.93407,13-1021.00,13,Business and Financial Operations
58,-20.47768,-22.095863,13-1022.00,13,Business and Financial Operations
59,-27.785912,-25.068523,13-1023.00,13,Business and Financial Operations
60,-28.822517,-28.984646,13-1031.01,13,Business and Financial Operations
61,-28.025766,-28.568125,13-1031.02,13,Business and Financial Operations
62,-4.7707353,-15.603356,13-1032.00,13,Business and Financial Operations
63,12.350912,-15.137667,13-1041.01,13,Business and Financial Operations
64,0.37748984,-1.8954145,13-1041.02,13,Business and Financial Operations
65,-29.848604,-14.219134,13-1041.03,13,Business and Financial Operations
66,12.603388,-12.217302,13-1041.04,13,Business and Financial Operations
67,1.0267982,1.4137396,13-1041.06,13,Business and Financial Operations
68,-22.70064,-29.934296,13-1041.07,13,Business and Financial Operations
69,-20.788048,-28.056469,13-1051.00,13,Business and Financial Operations
70,-32.9438,-38.552006,13-1071.00,13,Business and Financial Operations
71,11.22548,23.55646,13-1074.00,13,Business and Financial Operations
72,-29.189219,-13.17906,13-1075.00,13,Business and Financial Operations
73,-26.871508,-22.9192,13-1081.00,13,Business and Financial Operations
74,0.9345669,-36.92171,13-1081.01,13,Business and Financial Operations
75,-22.459785,-26.577711,13-1081.02,13,Business and Financial Operations
76,-29.955692,-11.543433,13-1111.00,13,Business and Financial Operations
77,-15.766563,-0.22060601,13-1121.00,13,Business and Financial Operations
78,-23.765675,-14.112032,13-1131.00,13,Business and Financial Operations
79,-27.13764,-27.171492,13-1141.00,13,Business and Financial Operations
80,-29.292116,-8.871555,13-1151.00,13,Business and Financial Operations
81,-20.062141,-33.396084,13-1161.00,13,Business and Financial Operations
82,16.625937,-14.724453,13-1199.01,13,Business and Financial Operations
83,-0.9605675,-34.104794,13-1199.02,13,Business and Financial Operations
84,-31.932558,-24.570696,13-1199.03,13,Business and Financial Operations
85,-24.182602,-23.965004,13-1199.04,13,Business and Financial Operations
86,-5.8802757,-40.681404,13-1199.05,13,Business and Financial Operations
87,-20.674786,-23.004107,13-1199.06,13,Business and Financial Operations
88,-27.53179,-36.5751,13-2011.01,13,Business and Financial Operations
89,-24.885983,-35.395107,13-2011.02,13,Business and Financial Operations
90,-4.593452,-16.839205,13-2021.01,13,Business and Financial Operations
91,-4.612277,-17.127186,13-2021.02,13,Business and Financial Operations
92,-26.845192,-36.085117,13-2031.00,13,Business and Financial Operations
93,-28.291237,-36.33818,13-2041.00,13,Business and Financial Operations
94,-21.449642,-34.72377,13-2051.00,13,Business and Financial Operations
95,-26.62169,-33.575356,13-2052.00,13,Business and Financial Operations
96,-31.754766,-33.0522,13-2053.00,13,Business and Financial Operations
97,-25.767273,-36.85637,13-2061.00,13,Business and Financial Operations
98,-27.871243,-31.403463,13-2071.00,13,Business and Financial Operations
99,-31.283855,-35.30262,13-2071.01,13,Business and Financial Operations
100,-30.56331,-33.746876,13-2072.00,13,Business and Financial Operations
101,-29.021648,-29.428215,13-2081.00,13,Business and Financial Operations
102,-32.954407,-33.142685,13-2082.00,13,Business and Financial Operations
103,-19.136309,-36.43655,13-2099.01,13,Business and Financial Operations
104,-25.90797,-25.088598,13-2099.02,13,Business and Financial Operations
105,-25.432476,-26.730434,13-2099.04,13,Business and Financial Operations
106,-9.286418,-31.521482,15-1111.00,15,Computers and Math
107,-12.119188,-28.562986,15-1121.00,15,Computers and Math
108,-26.623278,-17.2171,15-1121.01,15,Computers and Math
109,-11.772201,-27.094587,15-1122.00,15,Computers and Math
110,-10.833967,-29.317352,15-1131.00,15,Computers and Math
111,-12.573445,-31.43987,15-1132.00,15,Computers and Math
112,-10.882121,-30.775064,15-1133.00,15,Computers and Math
113,-13.433704,-30.107641,15-1134.00,15,Computers and Math
114,-12.225666,-27.218157,15-1141.00,15,Computers and Math
115,-10.495036,-26.167812,15-1142.00,15,Computers and Math
116,-11.295237,-32.228065,15-1143.00,15,Computers and Math
117,-8.492348,-25.222858,15-1143.01,15,Computers and Math
118,-11.136077,-24.845203,15-1151.00,15,Computers and Math
119,-9.862431,-25.630648,15-1152.00,15,Computers and Math
120,-12.15708,-29.489002,15-1199.01,15,Computers and Math
121,-10.273189,-30.620848,15-1199.02,15,Computers and Math
122,-13.607571,-29.02196,15-1199.03,15,Computers and Math
123,-5.127931,-32.902943,15-1199.04,15,Computers and Math
