,First component,Second component,SOC,Label,Occupation Category
0,5.129294,-33.92386,11-1011.00,11,Management
1,-26.761496,-31.087698,11-1011.03,11,Management
2,0.30020082,-7.68947,11-1021.00,11,Management
3,-4.9593244,-32.4325,11-2011.00,11,Management
4,-5.2201886,-32.831047,11-2021.00,11,Management
5,-5.0286646,-35.300053,11-2022.00,11,Management
6,-3.6428726,-32.321323,11-2031.00,11,Management
7,-0.05625295,-7.628398,11-3011.00,11,Management
8,-14.1464205,-22.354893,11-3021.00,11,Management
9,-5.09361,-44.301174,11-3031.01,11,Management
10,-3.8982632,-42.872143,11-3031.02,11,Management
11,-11.715224,-0.831903,11-3051.00,11,Management
12,-29.050968,-4.7668753,11-3051.01,11,Management
13,-25.799744,5.0395174,11-3051.02,11,Management
14,-28.345312,-2.6653376,11-3051.03,11,Management
15,-25.739382,4.90164,11-3051.04,11,Management
16,-25.36627,6.0397677,11-3051.06,11,Management
17,-14.375598,-36.123943,11-3061.00,11,Management
18,-17.139347,-34.70155,11-3071.01,11,Management
19,1.5141857,-6.922108,11-3071.02,11,Management
20,-16.48223,-35.46316,11-3071.03,11,Management
21,2.3765616,-40.649822,11-3111.00,11,Management
22,3.353622,-34.904533,11-3121.00,11,Management
23,2.8283615,-32.077003,11-3131.00,11,Management
24,-15.965673,0.013762704,11-9013.01,11,Management
25,-14.892988,1.0361625,11-9013.02,11,Management
26,-16.096708,1.6834334,11-9013.03,11,Management
27,-29.210508,-27.60735,11-9021.00,11,Management
28,5.4058814,-15.466957,11-9031.00,11,Management
29,6.5636683,-28.976164,11-9032.00,11,Management
30,3.627633,-33.032623,11-9033.00,11,Management
31,0.50271595,-30.125204,11-9039.01,11,Management
32,21.098965,-11.44057,11-9039.02,11,Management
33,-32.41894,-25.92143,11-9041.00,11,Management
34,-29.349785,-6.6297374,11-9041.01,11,Management
35,8.204631,-3.9804566,11-9051.00,11,Management
36,8.242131,-9.97435,11-9061.00,11,Management
37,1.3121867,-12.307149,11-9071.00,11,Management
38,2.3813562,-7.4174857,11-9081.00,11,Management
39,-0.8218611,-37.37568,11-9111.00,11,Management
40,-25.50995,-30.204384,11-9121.00,11,Management
41,-13.505249,-43.759785,11-9121.01,11,Management
42,-29.961025,-25.010899,11-9121.02,11,Management
43,0.53980994,-9.513365,11-9131.00,11,Management
44,-10.400576,-36.81877,11-9141.00,11,Management
45,4.8568063,-31.332607,11-9151.00,11,Management
46,-2.1140957,1.1760143,11-9161.00,11,Management
47,-14.056507,-42.477283,11-9199.01,11,Management
48,-0.4649918,-39.03341,11-9199.02,11,Management
49,-5.9425597,-43.056435,11-9199.03,11,Management
50,-15.73971,-35.37873,11-9199.04,11,Management
51,-2.8189836,1.4419341,11-9199.07,11,Management
52,2.3794842,-12.12747,11-9199.08,11,Management
53,-13.281427,-2.587934,11-9199.09,11,Management
54,-27.525118,-28.863863,11-9199.10,11,Management
55,-26.99322,-29.829754,11-9199.11,11,Management
56,-2.3030927,-31.859085,13-1011.00,13,Business and Financial Operations
57,-18.846716,-35.665844,13-1021.00,13,Business and Financial Operations
58,-2.2892518,-50.370995,13-1022.00,13,Business and Financial Operations
59,-14.360132,-36.92598,13-1023.00,13,Business and Financial Operations
60,0.0093856,-43.412544,13-1031.01,13,Business and Financial Operations
61,-0.20146751,-42.491978,13-1031.02,13,Business and Financial Operations
62,4.033267,1.1723051,13-1032.00,13,Business and Financial Operations
63,-21.59601,1.5108827,13-1041.01,13,Business and Financial Operations
64,-5.8373566,1.6144428,13-1041.02,13,Business and Financial Operations
65,3.6503754,-36.135826,13-1041.03,13,Business and Financial Operations
66,-10.668967,5.638166,13-1041.04,13,Business and Financial Operations
67,-3.6319015,3.8815758,13-1041.06,13,Business and Financial Operations
68,-13.834587,-42.750298,13-1041.07,13,Business and Financial Operations
69,-12.4651375,-39.137623,13-1051.00,13,Business and Financial Operations
70,5.464984,-42.951885,13-1071.00,13,Business and Financial Operations
71,15.97874,27.487442,13-1074.00,13,Business and Financial Operations
72,2.1371243,-37.79303,13-1075.00,13,Business and Financial Operations
73,-15.9946,-34.695717,13-1081.00,13,Business and Financial Operations
74,-21.12912,-30.621426,13-1081.01,13,Business and Financial Operations
75,-16.39212,-36.92181,13-1081.02,13,Business and Financial Operations
76,1.361892,-34.57075,13-1111.00,13,Business and Financial Operations
77,4.8745112,-12.455108,13-1121.00,13,Business and Financial Operations
78,-2.8259606,-32.967022,13-1131.00,13,Business and Financial Operations
79,1.2044755,-39.51371,13-1141.00,13,Business and Financial Operations
80,2.3369985,-32.03884,13-1151.00,13,Business and Financial Operations
81,-6.603903,-39.890118,13-1161.00,13,Business and Financial Operations
82,-17.594627,12.165118,13-1199.01,13,Business and Financial Operations
83,-27.116295,-26.85992,13-1199.02,13,Business and Financial Operations
84,-17.010796,-38.266205,13-1199.03,13,Business and Financial Operations
85,-12.681569,-33.576088,13-1199.04,13,Business and Financial Operations
86,-25.912619,-32.388557,13-1199.05,13,Business and Financial Operations
87,-3.6279984,-50.448273,13-1199.06,13,Business and Financial Operations
88,-4.0022664,-45.96149,13-2011.01,13,Business and Financial Operations
89,-5.506762,-43.618107,13-2011.02,13,Business and Financial Operations
90,-5.8763742,-6.9949913,13-2021.01,13,Business and Financial Operations
91,-5.8686676,-7.1750546,13-2021.02,13,Business and Financial Operations
