,First component,Second component,SOC,Label,Occupation Category
0,36.960243,-17.171932,11-1011.00,11,Management
1,-12.552348,-28.505568,11-1011.03,11,Management
2,-2.3706896,-16.442915,11-1021.00,11,Management
3,13.5613985,-23.472347,11-2011.00,11,Management
4,13.171186,-24.07203,11-2021.00,11,Management
5,12.429299,-24.833704,11-2022.00,11,Management
6,15.579622,-23.134245,11-2031.00,11,Management
7,-2.003782,-15.897769,11-3011.00,11,Management
8,7.001731,-36.11872,11-3021.00,11,Management
9,26.236742,-28.285904,11-3031.01,11,Management
10,25.598598,-26.98294,11-3031.02,11,Management
11,-7.060682,-15.716196,11-3051.00,11,Management
12,-8.084717,-17.048828,11-3051.01,11,Management
13,-11.713213,-16.570795,11-3051.02,11,Management
14,-13.742032,-13.890066,11-3051.03,11,Management
15,-11.365693,-16.339752,11-3051.04,11,Management
16,-11.8373995,-15.625464,11-3051.06,11,Management
17,-1.0835489,-24.58008,11-3061.00,11,Management
18,-0.9328093,-21.58021,11-3071.01,11,Management
19,-1.7074708,-19.057426,11-3071.02,11,Management
20,-1.6736797,-22.273434,11-3071.03,11,Management
21,31.559315,-21.003525,11-3111.00,11,Management
22,36.89647,-18.628736,11-3121.00,11,Management
23,39.684513,-16.715227,11-3131.00,11,Management
24,-13.545628,-11.729441,11-9013.01,11,Management
25,-16.220026,-12.514051,11-9013.02,11,Management
26,-15.033089,-12.469015,11-9013.03,11,Management
27,-17.054205,-28.242357,11-9021.00,11,Management
28,38.928795,-10.658247,11-9031.00,11,Management
29,39.000874,-14.286475,11-9032.00,11,Management
30,38.763226,-16.687664,11-9033.00,11,Management
31,16.178993,-18.40661,11-9039.01,11,Management
32,32.92147,6.6542463,11-9039.02,11,Management
33,-21.473839,-29.268938,11-9041.00,11,Management
34,-31.75487,-15.752248,11-9041.01,11,Management
35,-0.68730676,-11.351701,11-9051.00,11,Management
36,32.33856,3.2825048,11-9061.00,11,Management
37,-0.6610652,-15.1653805,11-9071.00,11,Management
38,-0.049453847,-17.679138,11-9081.00,11,Management
39,33.396973,-19.081833,11-9111.00,11,Management
40,-14.51967,-26.757975,11-9121.00,11,Management
41,15.034987,-37.344677,11-9121.01,11,Management
42,-19.055136,-26.57439,11-9121.02,11,Management
43,-3.1661232,-17.570562,11-9131.00,11,Management
44,5.565194,-25.662018,11-9141.00,11,Management
45,38.397808,-15.2503,11-9151.00,11,Management
46,-2.9739017,-6.4271564,11-9161.00,11,Management
47,14.417914,-35.89076,11-9199.01,11,Management
48,34.078327,-19.929743,11-9199.02,11,Management
49,24.566063,-28.78813,11-9199.03,11,Management
50,-2.2846072,-22.116558,11-9199.04,11,Management
51,-2.382337,-5.9982595,11-9199.07,11,Management
52,-1.0453051,-6.3476562,11-9199.08,11,Management
53,-9.812102,-15.00741,11-9199.09,11,Management
54,-15.535004,-28.64644,11-9199.10,11,Management
55,-15.17829,-27.380447,11-9199.11,11,Management
56,15.992475,-21.892153,13-1011.00,13,Business and Financial Operations
57,-3.1144924,-23.368092,13-1021.00,13,Business and Financial Operations
58,13.665759,-27.969282,13-1022.00,13,Business and Financial Operations
59,-1.1625512,-24.204697,13-1023.00,13,Business and Financial Operations
60,28.14215,-21.868893,13-1031.01,13,Business and Financial Operations
61,28.463139,-21.704075,13-1031.02,13,Business and Financial Operations
62,9.461536,6.0588627,13-1032.00,13,Business and Financial Operations
63,-21.550613,-15.423506,13-1041.01,13,Business and Financial Operations
64,2.5672443,-1.6754901,13-1041.02,13,Business and Financial Operations
65,36.27874,-20.95577,13-1041.03,13,Business and Financial Operations
66,-14.081401,-5.331669,13-1041.04,13,Business and Financial Operations
67,-3.3884373,-0.3723095,13-1041.06,13,Business and Financial Operations
68,14.402029,-36.04091,13-1041.07,13,Business and Financial Operations
69,-15.906463,-30.12882,13-1051.00,13,Business and Financial Operations
70,29.857454,-17.943554,13-1071.00,13,Business and Financial Operations
71,5.337016,22.507273,13-1074.00,13,Business and Financial Operations
72,35.372925,-20.536633,13-1075.00,13,Business and Financial Operations
73,-1.202211,-22.509924,13-1081.00,13,Business and Financial Operations
74,-16.723276,-32.259796,13-1081.01,13,Business and Financial Operations
75,0.75139433,-24.02868,13-1081.02,13,Business and Financial Operations
76,38.41005,-18.11096,13-1111.00,13,Business and Financial Operations
77,14.580158,-1.9766917,13-1121.00,13,Business and Financial Operations
78,16.474857,-23.424013,13-1131.00,13,Business and Financial Operations
79,33.10295,-20.803776,13-1141.00,13,Business and Financial Operations
80,40.40607,-16.532713,13-1151.00,13,Business and Financial Operations
81,21.053442,-29.537064,13-1161.00,13,Business and Financial Operations
82,-27.582176,-5.1124988,13-1199.01,13,Business and Financial Operations
83,-1.7865899,-28.310406,13-1199.02,13,Business and Financial Operations
84,1.719196,-23.08974,13-1199.03,13,Business and Financial Operations
85,0.5469262,-27.310907,13-1199.04,13,Business and Financial Operations
86,-12.310804,-28.111532,13-1199.05,13,Business and Financial Operations
87,13.876149,-26.441233,13-1199.06,13,Business and Financial Operations
