,First component,Second component,SOC,Label,Occupation Category
0,-20.602491,31.074518,11-1011.00,11,Management
1,20.621107,23.21998,11-1011.03,11,Management
2,7.722125,13.7679405,11-1021.00,11,Management
3,-4.9449897,24.337862,11-2011.00,11,Management
4,-4.3054748,24.321056,11-2021.00,11,Management
5,-3.2747743,24.095781,11-2022.00,11,Management
6,-6.5173807,25.842844,11-2031.00,11,Management
7,7.07788,13.482431,11-3011.00,11,Management
8,9.430174,33.34937,11-3021.00,11,Management
9,-7.5435076,38.121494,11-3031.01,11,Management
10,-7.6762567,36.91373,11-3031.02,11,Management
11,12.746239,11.138046,11-3051.00,11,Management
12,14.444009,11.894421,11-3051.01,11,Management
13,18.037004,9.440744,11-3051.02,11,Management
14,20.858276,7.448199,11-3051.03,11,Management
15,17.837088,9.164283,11-3051.04,11,Management
16,17.085138,9.428932,11-3051.06,11,Management
17,10.900118,20.919823,11-3061.00,11,Management
18,9.096136,18.727377,11-3071.01,11,Management
19,8.836516,16.365667,11-3071.02,11,Management
20,10.168859,19.094784,11-3071.03,11,Management
21,-14.422335,34.711876,11-3111.00,11,Management
22,-19.157492,30.378525,11-3121.00,11,Management
23,-19.997883,27.754673,11-3131.00,11,Management
24,20.90327,5.1975546,11-9013.01,11,Management
25,23.038578,6.6694922,11-9013.02,11,Management
26,22.495457,5.668394,11-9013.03,11,Management
27,24.899874,21.169436,11-9021.00,11,Management
28,-22.9314,21.439472,11-9031.00,11,Management
29,-23.02684,27.154127,11-9032.00,11,Management
30,-20.98884,28.223621,11-9033.00,11,Management
31,-16.041012,24.872488,11-9039.01,11,Management
32,-31.56291,7.040721,11-9039.02,11,Management
33,27.364004,20.368362,11-9041.00,11,Management
34,35.12925,10.683989,11-9041.01,11,Management
35,-3.7507493,2.6408608,11-9051.00,11,Management
36,-34.043354,4.3177476,11-9061.00,11,Management
37,5.542784,13.336702,11-9071.00,11,Management
38,6.758678,16.223824,11-9081.00,11,Management
39,-15.422589,30.021984,11-9111.00,11,Management
40,22.088799,22.90938,11-9121.00,11,Management
41,-12.388907,29.924885,11-9121.01,11,Management
42,28.127934,23.572552,11-9121.02,11,Management
43,9.188283,14.429675,11-9131.00,11,Management
44,2.9683926,20.49308,11-9141.00,11,Management
45,-21.9387,27.488829,11-9151.00,11,Management
46,7.979501,4.9208755,11-9161.00,11,Management
47,3.4817388,39.42404,11-9199.01,11,Management
48,-16.135256,30.708239,11-9199.02,11,Management
49,-5.836845,37.877876,11-9199.03,11,Management
50,10.472248,18.55835,11-9199.04,11,Management
51,7.442924,4.549518,11-9199.07,11,Management
52,6.106243,4.974608,11-9199.08,11,Management
53,15.576262,8.945532,11-9199.09,11,Management
54,23.392885,21.452503,11-9199.10,11,Management
55,22.9553,22.567768,11-9199.11,11,Management
56,-7.8382473,25.6534,13-1011.00,13,Business and Financial Operations
57,11.933709,18.987984,13-1021.00,13,Business and Financial Operations
58,-0.17751479,27.02892,13-1022.00,13,Business and Financial Operations
59,10.729453,20.674377,13-1023.00,13,Business and Financial Operations
60,-11.66681,32.238476,13-1031.01,13,Business and Financial Operations
61,-11.857828,32.27007,13-1031.02,13,Business and Financial Operations
62,-11.249131,-6.248389,13-1032.00,13,Business and Financial Operations
63,29.407875,4.1271234,13-1041.01,13,Business and Financial Operations
64,3.140396,-1.0397512,13-1041.02,13,Business and Financial Operations
65,-18.131672,32.24072,13-1041.03,13,Business and Financial Operations
66,18.143826,-0.97980505,13-1041.04,13,Business and Financial Operations
67,-38.770416,2.9070816,13-1041.06,13,Business and Financial Operations
68,3.6147327,39.411743,13-1041.07,13,Business and Financial Operations
69,23.593857,19.749369,13-1051.00,13,Business and Financial Operations
70,-16.082743,13.943529,13-1071.00,13,Business and Financial Operations
71,-13.528755,-19.511414,13-1074.00,13,Business and Financial Operations
72,-17.246716,31.789322,13-1075.00,13,Business and Financial Operations
73,9.731713,19.329609,13-1081.00,13,Business and Financial Operations
74,24.720207,18.50215,13-1081.01,13,Business and Financial Operations
75,9.334806,21.969292,13-1081.02,13,Business and Financial Operations
76,-21.20498,29.626116,13-1111.00,13,Business and Financial Operations
77,-13.654152,19.681063,13-1121.00,13,Business and Financial Operations
78,-6.567366,26.710283,13-1131.00,13,Business and Financial Operations
79,-15.928753,32.03164,13-1141.00,13,Business and Financial Operations
80,-19.715029,27.442024,13-1151.00,13,Business and Financial Operations
81,-2.6995418,36.882755,13-1161.00,13,Business and Financial Operations
82,28.470749,-6.3842974,13-1199.01,13,Business and Financial Operations
83,13.699237,23.651846,13-1199.02,13,Business and Financial Operations
84,8.08408,21.883595,13-1199.03,13,Business and Financial Operations
85,11.278239,23.654047,13-1199.04,13,Business and Financial Operations
86,20.168257,23.535131,13-1199.05,13,Business and Financial Operations
87,-1.9147301,26.354933,13-1199.06,13,Business and Financial Operations
88,-9.633937,39.09978,13-2011.01,13,Business and Financial Operations
89,-6.8889375,37.98054,13-2011.02,13,Business and Financial Operations
90,1.7870045,32.627323,13-2021.01,13,Business and Financial Operations
91,1.7906257,32.616405,13-2021.02,13,Business and Financial Operations
92,-9.839937,37.90019,13-2031.00,13,Business and Financial Operations
93,-8.713537,39.926342,13-2041.00,13,Business and Financial Operations
94,-4.803179,37.862988,13-2051.00,13,Business and Financial Operations
95,-6.850438,35.598186,13-2052.00,13,Business and Financial Operations
96,-4.3407965,32.798843,13-2053.00,13,Business and Financial Operations
97,-8.935021,39.135002,13-2061.00,13,Business and Financial Operations
98,-8.123491,34.632732,13-2071.00,13,Business and Financial Operations
99,-8.545493,32.64625,13-2071.01,13,Business and Financial Operations
100,-6.0997105,33.523495,13-2072.00,13,Business and Financial Operations
101,-10.045134,33.698357,13-2081.00,13,Business and Financial Operations
102,-6.160214,32.393063,13-2082.00,13,Business and Financial Operations
103,-3.5884922,40.19972,13-2099.01,13,Business and Financial Operations
104,11.7627735,21.120438,13-2099.02,13,Business and Financial Operations
105,-14.346857,32.57291,13-2099.04,13,Business and Financial Operations
106,12.248463,34.55237,15-1111.00,15,Computers and Math
107,7.890113,36.205147,15-1121.00,15,Computers and Math
108,-20.179968,25.19971,15-1121.01,15,Computers and Math
109,9.8077545,32.08265,15-1122.00,15,Computers and Math
110,9.328437,34.986748,15-1131.00,15,Computers and Math
111,9.93128,37.074474,15-1132.00,15,Computers and Math
112,11.317793,34.247704,15-1133.00,15,Computers and Math
113,7.5370936,35.2076,15-1134.00,15,Computers and Math
114,9.2816305,31.530647,15-1141.00,15,Computers and Math
115,10.574797,31.839954,15-1142.00,15,Computers and Math
116,12.814178,33.444313,15-1143.00,15,Computers and Math
117,14.098804,32.583992,15-1143.01,15,Computers and Math
118,10.78972,29.947668,15-1151.00,15,Computers and Math
119,10.709334,31.025566,15-1152.00,15,Computers and Math
120,8.18499,36.302296,15-1199.01,15,Computers and Math
121,11.053633,33.621666,15-1199.02,15,Computers and Math
122,7.181374,32.917076,15-1199.03,15,Computers and Math
123,29.833652,31.729841,15-1199.04,15,Computers and Math
124,31.199335,31.045755,15-1199.05,15,Computers and Math
125,9.341954,36.85343,15-1199.06,15,Computers and Math
126,8.665902,37.40389,15-1199.07,15,Computers and Math
127,-2.277661,34.57617,15-1199.08,15,Computers and Math
128,11.775147,24.193853,15-1199.09,15,Computers and Math
129,-3.3080904,27.862,15-1199.10,15,Computers and Math
130,-7.2258573,17.808496,15-1199.11,15,Computers and Math
131,7.2854857,32.179638,15-1199.12,15,Computers and Math
132,-5.80328,39.42448,15-2011.00,15,Computers and Math
133,10.832399,41.940243,15-2021.00,15,Computers and Math
134,10.724127,41.88862,15-2031.00,15,Computers and Math
135,7.4597697,42.137703,15-2041.00,15,Computers and Math
136,7.48251,41.982254,15-2041.01,15,Computers and Math
137,6.00355,39.047916,15-2041.02,15,Computers and Math
138,24.36369,27.710285,17-1011.00,17,Architechture and Engineering
139,24.09997,27.66969,17-1012.00,17,Architechture and Engineering
140,32.161396,31.908657,17-1021.00,17,Architechture and Engineering
141,29.982443,1.1271275,17-1022.00,17,Architechture and Engineering
142,30.986788,1.0857698,17-1022.01,17,Architechture and Engineering
143,35.58411,18.50106,17-2011.00,17,Architechture and Engineering
144,27.477127,11.870172,17-2021.00,17,Architechture and Engineering
145,36.92755,22.417133,17-2031.00,17,Architechture and Engineering
146,35.155014,21.931477,17-2041.00,17,Architechture and Engineering
147,26.263123,22.453564,17-2051.00,17,Architechture and Engineering
148,25.833862,23.468431,17-2051.01,17,Architechture and Engineering
149,38.80365,17.48994,17-2061.00,17,Architechture and Engineering
150,34.595955,18.21058,17-2071.00,17,Architechture and Engineering
151,33.46585,14.681956,17-2072.00,17,Architechture and Engineering
152,12.850065,31.838936,17-2072.01,17,Architechture and Engineering
153,28.428741,23.258017,17-2081.00,17,Architechture and Engineering
154,28.395039,22.324808,17-2081.01,17,Architechture and Engineering
155,20.282347,10.849594,17-2111.01,17,Architechture and Engineering
156,27.428938,22.007591,17-2111.02,17,Architechture and Engineering
157,21.09664,12.544394,17-2111.03,17,Architechture and Engineering
158,31.967056,17.75749,17-2112.00,17,Architechture and Engineering
159,18.994514,28.843884,17-2112.01,17,Architechture and Engineering
160,29.678844,14.903366,17-2121.01,17,Architechture and Engineering
161,29.519968,20.296436,17-2121.02,17,Architechture and Engineering
162,35.808815,20.858324,17-2131.00,17,Architechture and Engineering
163,34.265507,18.875952,17-2141.00,17,Architechture and Engineering
164,37.91928,19.943466,17-2141.01,17,Architechture and Engineering
165,28.879576,16.860485,17-2141.02,17,Architechture and Engineering
