,First component,Second component,SOC,Label,Occupation Category
0,32.836227,-1.43874,11-1011.00,11,Management
1,28.254631,-11.346216,11-1011.03,11,Management
2,21.80614,-3.4920685,11-1021.00,11,Management
3,31.421957,-6.9222045,11-2011.00,11,Management
4,30.868155,-6.610482,11-2021.00,11,Management
5,30.7867,-5.009477,11-2022.00,11,Management
6,32.076443,-6.139911,11-2031.00,11,Management
7,21.397856,-4.1882977,11-3011.00,11,Management
8,20.305367,-14.243415,11-3021.00,11,Management
9,31.139093,6.9219284,11-3031.01,11,Management
10,29.720818,-2.0083334,11-3031.02,11,Management
11,16.228098,-13.143226,11-3051.00,11,Management
12,14.885544,-13.877754,11-3051.01,11,Management
13,15.195097,-11.980573,11-3051.02,11,Management
14,13.640769,-13.1564665,11-3051.03,11,Management
15,15.443917,-12.158063,11-3051.04,11,Management
16,14.426932,-12.234048,11-3051.06,11,Management
17,28.508484,-6.199285,11-3061.00,11,Management
18,26.974213,-7.577479,11-3071.01,11,Management
19,20.865988,-2.8293977,11-3071.02,11,Management
20,26.99952,-7.085785,11-3071.03,11,Management
21,28.980825,8.917512,11-3111.00,11,Management
22,32.985928,-3.4966254,11-3121.00,11,Management
23,34.803974,-3.4897947,11-3131.00,11,Management
24,12.870581,-9.759814,11-9013.01,11,Management
25,11.204543,-11.841404,11-9013.02,11,Management
26,12.439952,-11.1290455,11-9013.03,11,Management
27,23.152191,-12.437739,11-9021.00,11,Management
28,26.560734,-2.1249225,11-9031.00,11,Management
29,34.160538,-2.0556457,11-9032.00,11,Management
30,33.7536,-3.126023,11-9033.00,11,Management
31,30.85523,-10.880749,11-9039.01,11,Management
32,19.455578,-0.37996793,11-9039.02,11,Management
33,24.027443,-13.638191,11-9041.00,11,Management
34,0.5893047,-30.694393,11-9041.01,11,Management
35,17.486046,-3.9740782,11-9051.00,11,Management
36,16.309322,0.4633015,11-9061.00,11,Management
37,25.394238,-2.4454365,11-9071.00,11,Management
38,23.493378,-4.8962297,11-9081.00,11,Management
39,31.574465,-3.270609,11-9111.00,11,Management
40,26.409018,-12.55107,11-9121.00,11,Management
41,30.895195,0.5774924,11-9121.01,11,Management
42,8.950166,-31.183634,11-9121.02,11,Management
43,22.398176,-3.594105,11-9131.00,11,Management
44,21.776348,16.269768,11-9141.00,11,Management
45,33.314617,-4.308171,11-9151.00,11,Management
46,34.762478,-5.9797516,11-9161.00,11,Management
47,30.778387,2.5092266,11-9199.01,11,Management
48,33.699486,9.569663,11-9199.02,11,Management
49,30.438707,7.810627,11-9199.03,11,Management
50,27.898476,-6.8938885,11-9199.04,11,Management
51,22.219362,-1.4714922,11-9199.07,11,Management
52,23.845324,-1.3036077,11-9199.08,11,Management
53,16.341995,-11.063783,11-9199.09,11,Management
54,24.963129,-11.42107,11-9199.10,11,Management
55,25.228777,-12.321595,11-9199.11,11,Management
56,28.920822,16.473854,13-1011.00,13,Business and Financial Operations
57,22.515802,15.209508,13-1021.00,13,Business and Financial Operations
58,23.151884,13.909083,13-1022.00,13,Business and Financial Operations
59,28.370321,-5.2579613,13-1023.00,13,Business and Financial Operations
60,20.298603,21.20743,13-1031.01,13,Business and Financial Operations
61,20.087576,20.187761,13-1031.02,13,Business and Financial Operations
