,First component,Second component,SOC,Label,Occupation Category
0,32.218452,-3.254497,11-1011.00,11,Management
1,28.215078,-8.389567,11-1011.03,11,Management
2,22.080557,-1.7856989,11-1021.00,11,Management
3,31.498236,2.5414805,11-2011.00,11,Management
4,31.329247,1.5454705,11-2021.00,11,Management
5,30.610052,-0.6126706,11-2022.00,11,Management
6,32.276054,3.3909633,11-2031.00,11,Management
7,21.790224,-0.8932874,11-3011.00,11,Management
8,21.853806,-10.250556,11-3021.00,11,Management
9,28.144558,22.600115,11-3031.01,11,Management
10,28.70285,-0.091089115,11-3031.02,11,Management
11,18.621962,-9.78464,11-3051.00,11,Management
12,17.604113,-10.84655,11-3051.01,11,Management
13,17.080675,-9.093977,11-3051.02,11,Management
14,16.390652,-10.6912,11-3051.03,11,Management
15,17.35861,-9.214614,11-3051.04,11,Management
16,16.380846,-9.554941,11-3051.06,11,Management
17,28.678625,-3.3383753,11-3061.00,11,Management
18,27.102345,-3.9661808,11-3071.01,11,Management
19,21.098902,-2.6283863,11-3071.02,11,Management
20,27.523298,-3.9282784,11-3071.03,11,Management
21,27.260958,19.96007,11-3111.00,11,Management
22,33.478054,-1.0266676,11-3121.00,11,Management
23,35.23767,-1.1368636,11-3131.00,11,Management
24,14.179698,-7.67102,11-9013.01,11,Management
25,13.198497,-10.246748,11-9013.02,11,Management
26,14.111121,-9.0140505,11-9013.03,11,Management
27,23.88578,-7.983227,11-9021.00,11,Management
28,34.191586,-2.9677553,11-9031.00,11,Management
29,35.153725,-2.4939466,11-9032.00,11,Management
30,34.080494,-0.6227415,11-9033.00,11,Management
31,30.410463,-7.57967,11-9039.01,11,Management
32,22.98705,2.53173,11-9039.02,11,Management
33,24.605286,-9.276306,11-9041.00,11,Management
34,2.2210426,-31.86996,11-9041.01,11,Management
35,18.153175,-1.1780888,11-9051.00,11,Management
36,19.886562,2.7935762,11-9061.00,11,Management
37,24.60039,-1.9323177,11-9071.00,11,Management
38,23.201529,0.60470396,11-9081.00,11,Management
39,32.12904,-1.494958,11-9111.00,11,Management
40,27.143719,-9.931414,11-9121.00,11,Management
41,30.14713,15.566651,11-9121.01,11,Management
42,9.443825,-33.04548,11-9121.02,11,Management
43,22.902878,-1.3364258,11-9131.00,11,Management
44,18.047514,18.014383,11-9141.00,11,Management
45,34.06654,-2.0158508,11-9151.00,11,Management
46,36.297184,-4.683531,11-9161.00,11,Management
47,28.79615,17.41087,11-9199.01,11,Management
48,31.431416,17.249805,11-9199.02,11,Management
49,26.859215,22.531979,11-9199.03,11,Management
50,28.518091,-4.2988815,11-9199.04,11,Management
51,21.964506,-3.6580815,11-9199.07,11,Management
52,23.40849,-3.3795602,11-9199.08,11,Management
53,17.886446,-8.007633,11-9199.09,11,Management
54,26.006569,-8.289535,11-9199.10,11,Management
55,26.101984,-9.009075,11-9199.11,11,Management
56,32.69409,6.420702,13-1011.00,13,Business and Financial Operations
57,19.114313,18.518946,13-1021.00,13,Business and Financial Operations
58,20.492353,18.702587,13-1022.00,13,Business and Financial Operations
59,28.64906,-2.4735758,13-1023.00,13,Business and Financial Operations
60,17.976809,24.384438,13-1031.01,13,Business and Financial Operations
61,18.506392,23.636177,13-1031.02,13,Business and Financial Operations
62,8.441323,19.069529,13-1032.00,13,Business and Financial Operations
63,2.280143,-18.19595,13-1041.01,13,Business and Financial Operations
64,6.7342978,7.1811323,13-1041.02,13,Business and Financial Operations
65,35.880924,16.735178,13-1041.03,13,Business and Financial Operations
66,2.0892394,-16.047035,13-1041.04,13,Business and Financial Operations
67,5.2275915,0.12230426,13-1041.06,13,Business and Financial Operations
68,28.457516,17.627943,13-1041.07,13,Business and Financial Operations
69,22.92323,19.841198,13-1051.00,13,Business and Financial Operations
70,21.248833,28.572254,13-1071.00,13,Business and Financial Operations
71,-18.80175,24.79364,13-1074.00,13,Business and Financial Operations
72,34.48042,13.920822,13-1075.00,13,Business and Financial Operations
73,27.493334,-4.8675675,13-1081.00,13,Business and Financial Operations
74,9.130214,-35.674644,13-1081.01,13,Business and Financial Operations
75,25.409044,17.994822,13-1081.02,13,Business and Financial Operations
76,31.472128,-11.835569,13-1111.00,13,Business and Financial Operations
77,21.881245,0.4810986,13-1121.00,13,Business and Financial Operations
78,32.645176,4.4082527,13-1131.00,13,Business and Financial Operations
79,25.965687,20.60386,13-1141.00,13,Business and Financial Operations
80,37.462482,-1.0282211,13-1151.00,13,Business and Financial Operations
81,25.245735,-27.132954,13-1161.00,13,Business and Financial Operations
82,-0.7899537,-17.637598,13-1199.01,13,Business and Financial Operations
83,-11.459174,-32.079113,13-1199.02,13,Business and Financial Operations
84,16.484041,22.157711,13-1199.03,13,Business and Financial Operations
85,28.83361,-7.2906013,13-1199.04,13,Business and Financial Operations
86,21.926834,-24.199158,13-1199.05,13,Business and Financial Operations
87,20.395851,19.886198,13-1199.06,13,Business and Financial Operations
88,24.121037,21.739809,13-2011.01,13,Business and Financial Operations
89,26.737494,21.789612,13-2011.02,13,Business and Financial Operations
90,9.516165,17.907927,13-2021.01,13,Business and Financial Operations
91,10.0826845,18.260517,13-2021.02,13,Business and Financial Operations
92,24.569643,21.342926,13-2031.00,13,Business and Financial Operations
93,18.788984,28.627478,13-2041.00,13,Business and Financial Operations
94,27.547829,-27.04265,13-2051.00,13,Business and Financial Operations
95,25.439411,23.610727,13-2052.00,13,Business and Financial Operations
96,18.053106,27.076563,13-2053.00,13,Business and Financial Operations
97,29.089945,20.79851,13-2061.00,13,Business and Financial Operations
98,21.997656,25.88659,13-2071.00,13,Business and Financial Operations
99,21.183464,26.614943,13-2071.01,13,Business and Financial Operations
100,18.987051,26.754885,13-2072.00,13,Business and Financial Operations
101,18.361828,25.594786,13-2081.00,13,Business and Financial Operations
102,17.004866,27.872906,13-2082.00,13,Business and Financial Operations
103,27.353262,-28.970814,13-2099.01,13,Business and Financial Operations
104,25.207048,18.497461,13-2099.02,13,Business and Financial Operations
105,31.361244,16.564886,13-2099.04,13,Business and Financial Operations
106,-3.1598184,-35.88763,15-1111.00,15,Computers and Math
107,-6.252057,-35.246784,15-1121.00,15,Computers and Math
108,11.83408,-39.768517,15-1121.01,15,Computers and Math
109,-7.8115554,-34.448475,15-1122.00,15,Computers and Math
110,-6.444601,-31.723524,15-1131.00,15,Computers and Math
111,-4.8911543,-34.28899,15-1132.00,15,Computers and Math
112,-0.994262,-25.640196,15-1133.00,15,Computers and Math
113,-5.9290743,-32.96913,15-1134.00,15,Computers and Math
114,-6.8773837,-35.053974,15-1141.00,15,Computers and Math
115,-5.2481503,-37.95139,15-1142.00,15,Computers and Math
116,-5.677321,-37.009678,15-1143.00,15,Computers and Math
117,-13.290396,-30.816679,15-1143.01,15,Computers and Math
118,-15.619763,-31.496504,15-1151.00,15,Computers and Math
119,-14.952079,-30.44288,15-1152.00,15,Computers and Math
120,-7.2036123,-32.9034,15-1199.01,15,Computers and Math
121,-4.079096,-35.63272,15-1199.02,15,Computers and Math
122,-6.9728675,-33.89493,15-1199.03,15,Computers and Math
123,18.037989,-27.816414,15-1199.04,15,Computers and Math
124,-5.7263503,-26.265543,15-1199.05,15,Computers and Math
125,-4.9660244,-32.793026,15-1199.06,15,Computers and Math
126,-4.9524283,-32.136345,15-1199.07,15,Computers and Math
127,26.242094,-27.413765,15-1199.08,15,Computers and Math
128,28.955908,-5.745808,15-1199.09,15,Computers and Math
129,26.561493,-25.000443,15-1199.10,15,Computers and Math
130,-2.5762572,-31.011475,15-1199.11,15,Computers and Math
131,26.883251,-23.451267,15-1199.12,15,Computers and Math
132,28.4628,-28.865297,15-2011.00,15,Computers and Math
133,26.68793,-31.595821,15-2021.00,15,Computers and Math
134,27.087288,-30.623297,15-2031.00,15,Computers and Math
135,25.76526,-31.550814,15-2041.00,15,Computers and Math
136,24.989223,-31.917452,15-2041.01,15,Computers and Math
137,23.05572,-31.127392,15-2041.02,15,Computers and Math
138,21.336552,-18.90725,17-1011.00,17,Architechture and Engineering
139,21.56971,-18.702415,17-1012.00,17,Architechture and Engineering
140,-3.383581,-24.608597,17-1021.00,17,Architechture and Engineering
141,-8.017416,-20.09533,17-1022.00,17,Architechture and Engineering
142,-8.263732,-20.822168,17-1022.01,17,Architechture and Engineering
143,7.232256,-39.119957,17-2011.00,17,Architechture and Engineering
144,4.9055676,-35.08805,17-2021.00,17,Architechture and Engineering
145,-1.0564688,-40.467762,17-2031.00,17,Architechture and Engineering
146,5.198809,-37.11425,17-2041.00,17,Architechture and Engineering
147,10.012809,-36.7157,17-2051.00,17,Architechture and Engineering
148,9.142159,-36.475952,17-2051.01,17,Architechture and Engineering
149,-0.4062463,-34.077637,17-2061.00,17,Architechture and Engineering
150,0.88728476,-33.769928,17-2071.00,17,Architechture and Engineering
151,-1.4206203,-38.599796,17-2072.00,17,Architechture and Engineering
152,-12.138889,-31.054428,17-2072.01,17,Architechture and Engineering
153,9.446625,-32.81417,17-2081.00,17,Architechture and Engineering
154,7.778756,-35.87248,17-2081.01,17,Architechture and Engineering
155,3.940359,-19.53273,17-2111.01,17,Architechture and Engineering
156,7.237294,-35.139477,17-2111.02,17,Architechture and Engineering
157,5.0053535,-29.41731,17-2111.03,17,Architechture and Engineering
158,4.931797,-31.261486,17-2112.00,17,Architechture and Engineering
159,11.030316,-39.240875,17-2112.01,17,Architechture and Engineering
160,1.5154209,-40.77749,17-2121.01,17,Architechture and Engineering
161,7.0344296,-39.50069,17-2121.02,17,Architechture and Engineering
162,3.1136575,-35.051945,17-2131.00,17,Architechture and Engineering
163,-0.47876438,-39.381,17-2141.00,17,Architechture and Engineering
164,0.919528,-37.533623,17-2141.01,17,Architechture and Engineering
165,5.800948,-36.04806,17-2141.02,17,Architechture and Engineering
166,8.014134,-36.74987,17-2151.00,17,Architechture and Engineering
167,6.2552733,-37.608944,17-2161.00,17,Architechture and Engineering
168,9.08974,-34.426956,17-2171.00,17,Architechture and Engineering
