,First component,Second component,SOC,Label,Occupation Category
0,23.116034,-17.551613,11-1011.00,11,Management
1,16.27735,-22.01191,11-1011.03,11,Management
2,14.673894,-13.572744,11-1021.00,11,Management
3,24.396095,-14.41458,11-2011.00,11,Management
4,23.78661,-15.07606,11-2021.00,11,Management
5,22.355406,-16.313847,11-2022.00,11,Management
6,25.416815,-14.009906,11-2031.00,11,Management
7,14.815477,-12.752507,11-3011.00,11,Management
8,10.493143,-20.57151,11-3021.00,11,Management
9,32.14147,1.2203258,11-3031.01,11,Management
10,20.65682,-15.013855,11-3031.02,11,Management
11,7.4843903,-18.942026,11-3051.00,11,Management
12,6.1122565,-19.163628,11-3051.01,11,Management
13,6.776618,-17.724358,11-3051.02,11,Management
14,5.273821,-18.354185,11-3051.03,11,Management
15,6.900858,-17.84125,11-3051.04,11,Management
16,6.047785,-17.711742,11-3051.06,11,Management
17,19.241537,-17.696203,11-3061.00,11,Management
18,17.818985,-17.454374,11-3071.01,11,Management
19,13.402792,-13.821189,11-3071.02,11,Management
20,17.732746,-17.586912,11-3071.03,11,Management
21,30.040178,0.014212891,11-3111.00,11,Management
22,24.281038,-18.104301,11-3121.00,11,Management
23,25.488605,-18.945673,11-3131.00,11,Management
24,5.420125,-15.20209,11-9013.01,11,Management
25,3.318777,-16.316954,11-9013.02,11,Management
26,4.6420507,-16.114492,11-9013.03,11,Management
27,13.250447,-18.983545,11-9021.00,11,Management
28,23.718508,-19.865685,11-9031.00,11,Management
29,24.86522,-19.871532,11-9032.00,11,Management
30,24.887371,-18.043308,11-9033.00,11,Management
31,18.97665,-21.364672,11-9039.01,11,Management
32,15.962966,-9.865447,11-9039.02,11,Management
33,13.197507,-20.394297,11-9041.00,11,Management
34,-14.226965,-27.074535,11-9041.01,11,Management
35,12.1021,-11.012675,11-9051.00,11,Management
36,13.7933,-7.985554,11-9061.00,11,Management
37,16.60219,-14.737038,11-9071.00,11,Management
38,16.820953,-12.021368,11-9081.00,11,Management
39,21.97478,-18.368467,11-9111.00,11,Management
40,14.406819,-21.920395,11-9121.00,11,Management
41,29.783194,-5.498892,11-9121.01,11,Management
42,-8.946774,-31.377766,11-9121.02,11,Management
43,15.4043045,-13.435281,11-9131.00,11,Management
44,22.006104,3.815547,11-9141.00,11,Management
45,24.113789,-19.173414,11-9151.00,11,Management
46,24.88064,-22.275337,11-9161.00,11,Management
