,First component,Second component,SOC,Label,Occupation Category
0,19.865429,-28.084526,11-1011.00,11,Management
1,14.211274,-29.244473,11-1011.03,11,Management
2,12.328341,-21.325523,11-1021.00,11,Management
3,21.73008,-23.63893,11-2011.00,11,Management
4,21.189068,-24.19804,11-2021.00,11,Management
5,19.73395,-25.261175,11-2022.00,11,Management
6,22.655016,-23.933979,11-2031.00,11,Management
7,12.536492,-20.391125,11-3011.00,11,Management
8,4.1130023,-28.279194,11-3021.00,11,Management
9,30.33761,-7.7152343,11-3031.01,11,Management
10,24.287073,-22.138247,11-3031.02,11,Management
11,2.8650718,-24.537186,11-3051.00,11,Management
12,1.3716452,-24.334112,11-3051.01,11,Management
13,2.9136999,-22.988052,11-3051.02,11,Management
14,0.9881467,-22.987637,11-3051.03,11,Management
15,2.857085,-23.320889,11-3051.04,11,Management
16,2.2698817,-22.604647,11-3051.06,11,Management
17,17.46391,-26.199675,11-3061.00,11,Management
18,15.613998,-26.187613,11-3071.01,11,Management
19,10.959674,-21.268517,11-3071.02,11,Management
20,16.029282,-26.101135,11-3071.03,11,Management
21,31.996937,-5.7801676,11-3111.00,11,Management
22,22.52257,-27.043457,11-3121.00,11,Management
23,23.710897,-28.578142,11-3131.00,11,Management
24,2.041429,-19.973825,11-9013.01,11,Management
25,-0.2571784,-20.52635,11-9013.02,11,Management
26,0.9824635,-20.762026,11-9013.03,11,Management
27,9.35033,-28.01302,11-9021.00,11,Management
28,21.47908,-28.654215,11-9031.00,11,Management
29,22.441322,-29.239079,11-9032.00,11,Management
30,23.378893,-27.304348,11-9033.00,11,Management
31,17.303043,-30.565126,11-9039.01,11,Management
32,14.139543,-17.588839,11-9039.02,11,Management
33,9.406037,-29.325027,11-9041.00,11,Management
34,-19.573805,-23.36629,11-9041.01,11,Management
35,8.456627,-18.582367,11-9051.00,11,Management
36,12.183961,-16.233202,11-9061.00,11,Management
37,14.249794,-23.271042,11-9071.00,11,Management
38,14.705376,-20.616728,11-9081.00,11,Management
39,21.3156,-26.781229,11-9111.00,11,Management
40,12.327911,-29.689636,11-9121.00,11,Management
41,31.951664,-15.88786,11-9121.01,11,Management
42,-12.83796,-30.189108,11-9121.02,11,Management
43,13.050728,-21.645428,11-9131.00,11,Management
44,24.335396,0.7342554,11-9141.00,11,Management
45,21.888388,-28.054413,11-9151.00,11,Management
46,20.95416,-30.996765,11-9161.00,11,Management
47,31.569304,-14.34288,11-9199.01,11,Management
48,33.446026,-11.5327425,11-9199.02,11,Management
49,29.723692,-6.7995906,11-9199.03,11,Management
50,16.770065,-26.83729,11-9199.04,11,Management
51,10.874546,-22.586525,11-9199.07,11,Management
52,12.328976,-23.625645,11-9199.08,11,Management
53,4.2451315,-22.95888,11-9199.09,11,Management
54,11.689401,-27.932646,11-9199.10,11,Management
55,11.559906,-28.812248,11-9199.11,11,Management
56,36.19591,-3.3622687,13-1011.00,13,Business and Financial Operations
57,23.946293,-0.754091,13-1021.00,13,Business and Financial Operations
58,25.309515,-1.2643682,13-1022.00,13,Business and Financial Operations
59,17.675013,-25.34078,13-1023.00,13,Business and Financial Operations
60,28.071177,3.0190685,13-1031.01,13,Business and Financial Operations
61,27.430628,2.4284244,13-1031.02,13,Business and Financial Operations
62,9.722595,2.2589295,13-1032.00,13,Business and Financial Operations
63,-11.59165,-16.970043,13-1041.01,13,Business and Financial Operations
64,7.4087005,-2.1230516,13-1041.02,13,Business and Financial Operations
65,36.515556,-12.975155,13-1041.03,13,Business and Financial Operations
66,-10.663572,-15.89757,13-1041.04,13,Business and Financial Operations
