,First component,Second component,SOC,Label,Occupation Category
0,-31.426405,-13.226449,11-1011.00,11,Management
1,-26.381233,-16.48381,11-1011.03,11,Management
2,-21.168682,-9.363516,11-1021.00,11,Management
3,-30.076454,-7.632032,11-2011.00,11,Management
4,-29.79913,-8.40581,11-2021.00,11,Management
5,-29.181198,-9.746568,11-2022.00,11,Management
6,-31.01055,-7.4175434,11-2031.00,11,Management
7,-21.05366,-8.215666,11-3011.00,11,Management
8,-19.76479,-24.665215,11-3021.00,11,Management
9,-31.169382,9.979827,11-3031.01,11,Management
10,-31.315456,-5.0597715,11-3031.02,11,Management
11,9.788252,-32.31296,11-3051.00,11,Management
12,8.570132,-32.120697,11-3051.01,11,Management
13,11.069641,-31.539526,11-3051.02,11,Management
14,9.07007,-30.507784,11-3051.03,11,Management
15,10.611731,-31.458227,11-3051.04,11,Management
16,11.875895,-31.821196,11-3051.06,11,Management
17,-28.065557,-11.946573,11-3061.00,11,Management
18,-26.250057,-13.271139,11-3071.01,11,Management
19,-19.882177,-9.921609,11-3071.02,11,Management
20,-26.420858,-12.820532,11-3071.03,11,Management
21,-32.104538,8.192472,11-3111.00,11,Management
22,-32.006046,-10.435225,11-3121.00,11,Management
23,-33.854027,-11.333328,11-3131.00,11,Management
24,8.97713,-28.319643,11-9013.01,11,Management
25,9.314494,-26.988108,11-9013.02,11,Management
26,10.049436,-28.59254,11-9013.03,11,Management
27,-20.191273,-19.683556,11-9021.00,11,Management
28,-24.429003,-11.319293,11-9031.00,11,Management
29,-32.670506,-12.508499,11-9032.00,11,Management
30,-32.996147,-10.099247,11-9033.00,11,Management
31,-34.071186,-15.242515,11-9039.01,11,Management
32,-19.895174,-4.3566437,11-9039.02,11,Management
33,-20.39955,-21.32591,11-9041.00,11,Management
34,-4.2503257,-30.373335,11-9041.01,11,Management
35,-18.036505,-7.3349586,11-9051.00,11,Management
36,-16.482725,-3.0105298,11-9061.00,11,Management
37,-24.032515,-10.522794,11-9071.00,11,Management
38,-22.659266,-10.956816,11-9081.00,11,Management
39,-30.682346,-11.144549,11-9111.00,11,Management
40,-22.943802,-20.689484,11-9121.00,11,Management
41,-32.930935,-2.6056955,11-9121.01,11,Management
42,-15.697173,-25.073925,11-9121.02,11,Management
43,-21.756485,-9.0750675,11-9131.00,11,Management
44,-19.817406,13.444136,11-9141.00,11,Management
45,-31.584366,-11.474658,11-9151.00,11,Management
46,-30.693048,-15.663656,11-9161.00,11,Management
47,-33.898174,3.8344278,11-9199.01,11,Management
48,-35.01065,9.382284,11-9199.02,11,Management
49,-30.08803,10.420031,11-9199.03,11,Management
50,-27.444344,-12.95033,11-9199.04,11,Management
51,-20.010473,-11.427071,11-9199.07,11,Management
52,-21.507692,-12.241563,11-9199.08,11,Management
53,10.8351555,-30.362871,11-9199.09,11,Management
54,-22.229078,-18.291374,11-9199.10,11,Management
55,-22.228416,-19.587257,11-9199.11,11,Management
56,-29.149357,18.077332,13-1011.00,13,Business and Financial Operations
57,-20.313677,11.689995,13-1021.00,13,Business and Financial Operations
58,-21.894793,12.219607,13-1022.00,13,Business and Financial Operations
59,-27.504536,-11.160334,13-1023.00,13,Business and Financial Operations
60,-20.364466,17.821396,13-1031.01,13,Business and Financial Operations
61,-20.392462,16.794199,13-1031.02,13,Business and Financial Operations
62,-4.156526,15.904195,13-1032.00,13,Business and Financial Operations
63,0.52887326,-18.96211,13-1041.01,13,Business and Financial Operations
64,-6.4444942,1.8112378,13-1041.02,13,Business and Financial Operations
65,-37.848106,8.512718,13-1041.03,13,Business and Financial Operations
66,1.4683794,-18.267185,13-1041.04,13,Business and Financial Operations
67,-5.2250834,-1.9130179,13-1041.06,13,Business and Financial Operations
68,-33.666294,4.2325287,13-1041.07,13,Business and Financial Operations
69,-24.388525,12.105248,13-1051.00,13,Business and Financial Operations
70,-17.697727,22.402973,13-1071.00,13,Business and Financial Operations
71,14.816537,22.99008,13-1074.00,13,Business and Financial Operations
72,-36.39451,11.351161,13-1075.00,13,Business and Financial Operations
73,-26.665615,-14.151631,13-1081.00,13,Business and Financial Operations
74,-18.16555,-26.683294,13-1081.01,13,Business and Financial Operations
75,-29.948793,3.534265,13-1081.02,13,Business and Financial Operations
76,-33.734917,1.9585611,13-1111.00,13,Business and Financial Operations
77,-21.555754,-7.3496733,13-1121.00,13,Business and Financial Operations
78,-29.095507,15.965696,13-1131.00,13,Business and Financial Operations
79,-30.923683,7.6221423,13-1141.00,13,Business and Financial Operations
80,-35.76512,-10.582545,13-1151.00,13,Business and Financial Operations
81,-29.65265,7.524379,13-1161.00,13,Business and Financial Operations
82,2.96817,-20.846981,13-1199.01,13,Business and Financial Operations
83,-2.3440776,-36.641247,13-1199.02,13,Business and Financial Operations
84,-17.60151,17.2132,13-1199.03,13,Business and Financial Operations
85,-27.78616,-15.253176,13-1199.04,13,Business and Financial Operations
86,-31.595018,4.2890716,13-1199.05,13,Business and Financial Operations
87,-22.133783,13.616215,13-1199.06,13,Business and Financial Operations
88,-26.65646,12.475783,13-2011.01,13,Business and Financial Operations
89,-30.008207,10.230365,13-2011.02,13,Business and Financial Operations
90,-7.464026,4.216349,13-2021.01,13,Business and Financial Operations
91,-7.7533565,5.292604,13-2021.02,13,Business and Financial Operations
92,-26.806946,12.056281,13-2031.00,13,Business and Financial Operations
93,-22.038166,22.297222,13-2041.00,13,Business and Financial Operations
94,-26.313393,9.589172,13-2051.00,13,Business and Financial Operations
95,-29.27707,12.2494955,13-2052.00,13,Business and Financial Operations
96,-22.124304,20.860336,13-2053.00,13,Business and Financial Operations
97,-32.054344,11.411986,13-2061.00,13,Business and Financial Operations
98,-23.922228,18.95873,13-2071.00,13,Business and Financial Operations
99,-22.764845,18.377964,13-2071.01,13,Business and Financial Operations
100,-21.379375,20.293777,13-2072.00,13,Business and Financial Operations
101,-21.26169,19.575005,13-2081.00,13,Business and Financial Operations
102,-20.471607,21.77445,13-2082.00,13,Business and Financial Operations
103,-26.935568,8.04632,13-2099.01,13,Business and Financial Operations
104,-30.199507,4.0621777,13-2099.02,13,Business and Financial Operations
105,-34.625034,10.310502,13-2099.04,13,Business and Financial Operations
106,-6.144749,-39.579243,15-1111.00,15,Computers and Math
107,-3.9406474,-40.172546,15-1121.00,15,Computers and Math
108,-18.38766,-31.896152,15-1121.01,15,Computers and Math
109,-4.248555,-41.933678,15-1122.00,15,Computers and Math
110,-0.9602249,-42.519623,15-1131.00,15,Computers and Math
111,-2.7525527,-39.901318,15-1132.00,15,Computers and Math
112,-4.117682,-9.871773,15-1133.00,15,Computers and Math
113,-1.9785461,-42.240875,15-1134.00,15,Computers and Math
114,-3.9321434,-40.85365,15-1141.00,15,Computers and Math
115,-5.707033,-37.084743,15-1142.00,15,Computers and Math
116,-4.776404,-37.63073,15-1143.00,15,Computers and Math
117,-2.3092957,-35.46897,15-1143.01,15,Computers and Math
118,28.786724,-23.470806,15-1151.00,15,Computers and Math
119,29.722002,-23.490381,15-1152.00,15,Computers and Math
120,-2.7935514,-42.983997,15-1199.01,15,Computers and Math
121,-5.0577574,-39.744915,15-1199.02,15,Computers and Math
122,-3.450668,-42.026306,15-1199.03,15,Computers and Math
123,-13.069073,-20.636927,15-1199.04,15,Computers and Math
124,-4.4423084,-15.263546,15-1199.05,15,Computers and Math
125,-2.1387432,-41.029472,15-1199.06,15,Computers and Math
126,-1.192485,-41.192272,15-1199.07,15,Computers and Math
127,-27.578856,8.025093,15-1199.08,15,Computers and Math
128,-28.478378,-13.042519,15-1199.09,15,Computers and Math
129,-27.334906,1.6960235,15-1199.10,15,Computers and Math
130,-1.0648497,-44.263477,15-1199.11,15,Computers and Math
131,-27.3397,1.5296377,15-1199.12,15,Computers and Math
132,-28.638954,9.493821,15-2011.00,15,Computers and Math
133,-24.722237,5.8960342,15-2021.00,15,Computers and Math
134,-25.669418,6.04107,15-2031.00,15,Computers and Math
135,-24.335531,5.4516673,15-2041.00,15,Computers and Math
136,-23.986925,4.555798,15-2041.01,15,Computers and Math
137,-10.624691,-16.691957,15-2041.02,15,Computers and Math
138,-21.184593,-22.26988,17-1011.00,17,Architechture and Engineering
139,-25.070843,-19.630695,17-1012.00,17,Architechture and Engineering
140,-4.2111516,-13.003626,17-1021.00,17,Architechture and Engineering
141,5.736802,-22.018986,17-1022.00,17,Architechture and Engineering
142,5.3215814,-22.414047,17-1022.01,17,Architechture and Engineering
143,-15.487088,-30.566519,17-2011.00,17,Architechture and Engineering
144,-11.291608,-29.955044,17-2021.00,17,Architechture and Engineering
145,-11.056393,-35.702015,17-2031.00,17,Architechture and Engineering
146,-13.593479,-29.231186,17-2041.00,17,Architechture and Engineering
147,-18.634798,-27.896057,17-2051.00,17,Architechture and Engineering
148,-17.770933,-27.281044,17-2051.01,17,Architechture and Engineering
