,First component,Second component,SOC,Label,Occupation Category
0,-34.467007,3.9520783,11-1011.00,11,Management
1,-30.845472,10.174266,11-1011.03,11,Management
2,-21.001585,4.5444574,11-1021.00,11,Management
3,-31.916218,0.7054996,11-2011.00,11,Management
4,-32.03279,1.4510883,11-2021.00,11,Management
5,-33.022224,2.4671812,11-2022.00,11,Management
6,-32.792183,-0.886299,11-2031.00,11,Management
7,-20.971825,3.6196213,11-3011.00,11,Management
8,-18.671045,15.24061,11-3021.00,11,Management
9,-26.488611,-6.015939,11-3031.01,11,Management
10,-27.505741,-5.0673738,11-3031.02,11,Management
11,-16.793722,12.253093,11-3051.00,11,Management
12,-15.559586,13.447049,11-3051.01,11,Management
13,-15.101828,11.493382,11-3051.02,11,Management
14,-14.350133,12.854831,11-3051.03,11,Management
15,-15.429444,11.431842,11-3051.04,11,Management
16,-14.307968,11.856252,11-3051.06,11,Management
17,-28.415144,5.0559254,11-3061.00,11,Management
18,-27.717638,6.941006,11-3071.01,11,Management
19,-20.003708,5.129075,11-3071.02,11,Management
20,-27.5038,6.0448666,11-3071.03,11,Management
21,-28.120426,-7.2460003,11-3111.00,11,Management
22,-35.21507,1.7902888,11-3121.00,11,Management
23,-36.790894,1.8959161,11-3131.00,11,Management
24,-13.156711,8.765334,11-9013.01,11,Management
25,-10.369194,13.3120575,11-9013.02,11,Management
26,-12.013942,11.321418,11-9013.03,11,Management
27,-20.076675,10.934671,11-9021.00,11,Management
28,-24.966766,2.4562309,11-9031.00,11,Management
29,-36.24507,3.2166104,11-9032.00,11,Management
30,-35.92966,1.3969433,11-9033.00,11,Management
31,-33.18618,10.14894,11-9039.01,11,Management
32,-21.776512,1.528303,11-9039.02,11,Management
33,-17.480957,22.677057,11-9041.00,11,Management
34,-7.193535,28.359118,11-9041.01,11,Management
35,-16.887186,4.336904,11-9051.00,11,Management
36,-20.596478,-1.5532545,11-9061.00,11,Management
37,-24.023285,3.5494485,11-9071.00,11,Management
38,-24.315966,-0.15540195,11-9081.00,11,Management
39,-30.139318,3.9352803,11-9111.00,11,Management
40,-15.918551,22.12717,11-9121.00,11,Management
41,-25.866447,10.824444,11-9121.01,11,Management
42,-15.774622,25.379892,11-9121.02,11,Management
43,-22.066988,3.8757215,11-9131.00,11,Management
44,-22.031788,-20.006924,11-9141.00,11,Management
45,-35.434055,2.5362158,11-9151.00,11,Management
46,-37.02539,4.676974,11-9161.00,11,Management
47,-26.076408,12.371041,11-9199.01,11,Management
48,-29.704384,-10.186799,11-9199.02,11,Management
49,-25.764349,-8.422883,11-9199.03,11,Management
50,-28.460117,5.897847,11-9199.04,11,Management
51,-20.717606,6.240719,11-9199.07,11,Management
52,-21.886269,6.464584,11-9199.08,11,Management
53,-15.861649,10.326525,11-9199.09,11,Management
54,-18.086622,19.805843,11-9199.10,11,Management
55,-17.81222,20.509682,11-9199.11,11,Management
56,-32.74934,-3.9376478,13-1011.00,13,Business and Financial Operations
57,-21.484468,-19.183264,13-1021.00,13,Business and Financial Operations
58,-24.152967,-17.78622,13-1022.00,13,Business and Financial Operations
59,-27.903969,4.1208205,13-1023.00,13,Business and Financial Operations
60,-19.540588,-22.889334,13-1031.01,13,Business and Financial Operations
61,-20.939318,-23.190815,13-1031.02,13,Business and Financial Operations
62,-10.248247,-17.533573,13-1032.00,13,Business and Financial Operations
63,-1.2195572,18.216223,13-1041.01,13,Business and Financial Operations
64,-8.729254,-7.844607,13-1041.02,13,Business and Financial Operations
65,-31.027128,-11.886732,13-1041.03,13,Business and Financial Operations
66,-1.2036843,14.932364,13-1041.04,13,Business and Financial Operations
67,-5.802206,-0.58018667,13-1041.06,13,Business and Financial Operations
68,-26.358335,13.128034,13-1041.07,13,Business and Financial Operations
69,-23.279316,-15.157257,13-1051.00,13,Business and Financial Operations
70,-18.493092,-26.908234,13-1071.00,13,Business and Financial Operations
71,17.417868,-23.635918,13-1074.00,13,Business and Financial Operations
72,-31.034851,-8.814077,13-1075.00,13,Business and Financial Operations
73,-28.600826,7.1669765,13-1081.00,13,Business and Financial Operations
74,-15.108049,27.787275,13-1081.01,13,Business and Financial Operations
75,-28.455242,12.79949,13-1081.02,13,Business and Financial Operations
76,-33.63289,6.713256,13-1111.00,13,Business and Financial Operations
77,-23.092493,-0.17345789,13-1121.00,13,Business and Financial Operations
78,-32.95847,-1.8901545,13-1131.00,13,Business and Financial Operations
79,-27.837849,-8.745469,13-1141.00,13,Business and Financial Operations
80,-38.836346,1.2456578,13-1151.00,13,Business and Financial Operations
81,-29.147627,20.739378,13-1161.00,13,Business and Financial Operations
82,-1.2056775,20.678675,13-1199.01,13,Business and Financial Operations
83,5.079233,33.88669,13-1199.02,13,Business and Financial Operations
84,-18.419418,-16.836779,13-1199.03,13,Business and Financial Operations
85,-29.100292,10.6376295,13-1199.04,13,Business and Financial Operations
86,-30.54015,12.054605,13-1199.05,13,Business and Financial Operations
87,-23.185822,-17.09853,13-1199.06,13,Business and Financial Operations
88,-22.54641,-13.091872,13-2011.01,13,Business and Financial Operations
89,-26.293142,-8.639069,13-2011.02,13,Business and Financial Operations
90,-10.850673,-17.475658,13-2021.01,13,Business and Financial Operations
91,-12.047948,-18.317833,13-2021.02,13,Business and Financial Operations
92,-23.102453,-12.889607,13-2031.00,13,Business and Financial Operations
93,-14.198643,-20.543352,13-2041.00,13,Business and Financial Operations
94,-31.114944,21.316578,13-2051.00,13,Business and Financial Operations
95,-26.25159,-10.545387,13-2052.00,13,Business and Financial Operations
96,-15.18972,-21.400747,13-2053.00,13,Business and Financial Operations
97,-25.485807,14.838608,13-2061.00,13,Business and Financial Operations
98,-20.293688,-25.398317,13-2071.00,13,Business and Financial Operations
99,-16.60276,-23.309908,13-2071.01,13,Business and Financial Operations
100,-16.491552,-22.312235,13-2072.00,13,Business and Financial Operations
101,-19.147968,-23.765715,13-2081.00,13,Business and Financial Operations
102,-14.007091,-23.578802,13-2082.00,13,Business and Financial Operations
103,-30.969236,23.482706,13-2099.01,13,Business and Financial Operations
104,-29.370771,12.434585,13-2099.02,13,Business and Financial Operations
105,-29.276218,-9.529038,13-2099.04,13,Business and Financial Operations
106,-9.674708,36.156223,15-1111.00,15,Computers and Math
107,0.77136296,37.438824,15-1121.00,15,Computers and Math
108,-20.070375,15.883747,15-1121.01,15,Computers and Math
109,2.2611563,37.131695,15-1122.00,15,Computers and Math
110,1.2979609,39.18615,15-1131.00,15,Computers and Math
111,-1.783336,35.319378,15-1132.00,15,Computers and Math
112,3.3881629,24.88141,15-1133.00,15,Computers and Math
113,-0.13713706,34.71675,15-1134.00,15,Computers and Math
114,1.3842772,37.743423,15-1141.00,15,Computers and Math
115,-2.342085,39.47806,15-1142.00,15,Computers and Math
116,-3.074058,35.500217,15-1143.00,15,Computers and Math
117,5.699586,34.98516,15-1143.01,15,Computers and Math
118,4.0719357,37.698223,15-1151.00,15,Computers and Math
119,5.1665435,37.111855,15-1152.00,15,Computers and Math
