,First component,Second component,SOC,Label,Occupation Category
0,25.959526,-41.65845,11-1011.00,11,Management
1,18.256937,-39.962265,11-1011.03,11,Management
2,-0.37079102,-22.697384,11-1021.00,11,Management
3,23.013405,-35.39285,11-2011.00,11,Management
4,22.50067,-36.011257,11-2021.00,11,Management
5,23.324175,-38.52866,11-2022.00,11,Management
6,23.80937,-35.018143,11-2031.00,11,Management
7,0.8465219,-21.868912,11-3011.00,11,Management
8,-25.091051,-32.192028,11-3021.00,11,Management
9,23.233772,-31.36171,11-3031.01,11,Management
10,24.101559,-36.94132,11-3031.02,11,Management
11,-8.479788,-22.875849,11-3051.00,11,Management
12,-9.608478,-22.293198,11-3051.01,11,Management
13,-8.476885,-21.25015,11-3051.02,11,Management
14,-7.406545,-22.284912,11-3051.03,11,Management
15,-8.120864,-21.088522,11-3051.04,11,Management
16,-9.451533,-21.228441,11-3051.06,11,Management
17,19.778193,-35.479137,11-3061.00,11,Management
18,19.17701,-37.27957,11-3071.01,11,Management
19,-1.2731502,-22.29257,11-3071.02,11,Management
20,18.542019,-36.656227,11-3071.03,11,Management
21,26.566454,-26.784042,11-3111.00,11,Management
22,23.929527,-38.224174,11-3121.00,11,Management
23,25.189281,-39.50427,11-3131.00,11,Management
24,-6.648203,-18.95196,11-9013.01,11,Management
25,-10.233919,-17.949688,11-9013.02,11,Management
26,-8.080246,-19.460215,11-9013.03,11,Management
27,14.660478,-36.219955,11-9021.00,11,Management
28,17.060627,-33.462227,11-9031.00,11,Management
29,25.202585,-40.586994,11-9032.00,11,Management
30,25.048988,-38.08944,11-9033.00,11,Management
31,18.864681,-40.96711,11-9039.01,11,Management
32,0.17661725,-20.03737,11-9039.02,11,Management
33,-27.180063,-30.907743,11-9041.00,11,Management
34,-26.598145,-15.47373,11-9041.01,11,Management
35,-1.5371276,-18.935825,11-9051.00,11,Management
36,3.05475,-19.289461,11-9061.00,11,Management
37,16.21989,-33.95733,11-9071.00,11,Management
38,1.8084338,-24.255934,11-9081.00,11,Management
39,21.86681,-38.067333,11-9111.00,11,Management
40,12.591574,-39.95836,11-9121.00,11,Management
41,21.673908,-34.39581,11-9121.01,11,Management
42,-25.733177,-28.676542,11-9121.02,11,Management
43,0.6814457,-22.722534,11-9131.00,11,Management
44,24.123442,-13.256573,11-9141.00,11,Management
45,23.387556,-39.703865,11-9151.00,11,Management
46,23.537243,-42.23568,11-9161.00,11,Management
47,28.039362,-26.298294,11-9199.01,11,Management
48,30.969225,-14.759761,11-9199.02,11,Management
49,28.634388,-22.18863,11-9199.03,11,Management
50,19.88548,-36.22962,11-9199.04,11,Management
51,-2.055192,-22.988382,11-9199.07,11,Management
52,-0.6722884,-25.933073,11-9199.08,11,Management
53,-6.4999137,-21.087915,11-9199.09,11,Management
54,15.533289,-38.980305,11-9199.10,11,Management
55,14.618449,-38.867786,11-9199.11,11,Management
56,30.54591,-9.714562,13-1011.00,13,Business and Financial Operations
57,23.437294,-13.78866,13-1021.00,13,Business and Financial Operations
58,23.46481,-14.604173,13-1022.00,13,Business and Financial Operations
59,19.826385,-33.745735,13-1023.00,13,Business and Financial Operations
60,27.41497,-5.342126,13-1031.01,13,Business and Financial Operations
61,26.601479,-6.013476,13-1031.02,13,Business and Financial Operations
62,6.4315844,-4.7112656,13-1032.00,13,Business and Financial Operations
63,-15.965974,-16.173798,13-1041.01,13,Business and Financial Operations
64,4.030823,-6.6896687,13-1041.02,13,Business and Financial Operations
65,36.42266,-14.689709,13-1041.03,13,Business and Financial Operations
66,-2.5325165,-8.443907,13-1041.04,13,Business and Financial Operations
67,-0.81445414,-11.150764,13-1041.06,13,Business and Financial Operations
68,29.673065,-23.616825,13-1041.07,13,Business and Financial Operations
69,28.021593,-18.505234,13-1051.00,13,Business and Financial Operations
70,28.94925,-5.7121015,13-1071.00,13,Business and Financial Operations
71,6.9257994,24.013628,13-1074.00,13,Business and Financial Operations
72,32.646133,-13.479623,13-1075.00,13,Business and Financial Operations
73,21.387104,-36.221874,13-1081.00,13,Business and Financial Operations
74,-28.650133,-27.88134,13-1081.01,13,Business and Financial Operations
75,29.339619,-21.499163,13-1081.02,13,Business and Financial Operations
76,28.48771,-27.273348,13-1111.00,13,Business and Financial Operations
77,1.9821322,-22.400324,13-1121.00,13,Business and Financial Operations
78,25.767544,-11.64481,13-1131.00,13,Business and Financial Operations
79,31.150295,-22.46783,13-1141.00,13,Business and Financial Operations
80,27.373909,-38.77985,13-1151.00,13,Business and Financial Operations
81,33.275425,-23.11441,13-1161.00,13,Business and Financial Operations
82,-17.501781,-4.7859044,13-1199.01,13,Business and Financial Operations
83,-32.200573,-7.646273,13-1199.02,13,Business and Financial Operations
84,28.118254,-15.813335,13-1199.03,13,Business and Financial Operations
85,18.05427,-39.75728,13-1199.04,13,Business and Financial Operations
86,31.118004,-24.359632,13-1199.05,13,Business and Financial Operations
87,25.472889,-15.638571,13-1199.06,13,Business and Financial Operations
88,29.487932,-18.780518,13-2011.01,13,Business and Financial Operations
89,29.550926,-22.48257,13-2011.02,13,Business and Financial Operations
90,5.8478894,-5.688799,13-2021.01,13,Business and Financial Operations
91,7.3894773,-5.147596,13-2021.02,13,Business and Financial Operations
92,28.923096,-18.686008,13-2031.00,13,Business and Financial Operations
93,30.942303,-0.9437144,13-2041.00,13,Business and Financial Operations
94,34.49916,-20.123913,13-2051.00,13,Business and Financial Operations
95,31.673265,-18.054096,13-2052.00,13,Business and Financial Operations
96,29.118793,-1.3641288,13-2053.00,13,Business and Financial Operations
97,28.514303,-25.081259,13-2061.00,13,Business and Financial Operations
98,30.664272,-5.0847335,13-2071.00,13,Business and Financial Operations
99,29.359798,-3.8084545,13-2071.01,13,Business and Financial Operations
100,29.019371,-2.5845704,13-2072.00,13,Business and Financial Operations
101,27.973404,-4.0521355,13-2081.00,13,Business and Financial Operations
102,29.116024,1.1946894,13-2082.00,13,Business and Financial Operations
103,35.30296,-22.172886,13-2099.01,13,Business and Financial Operations
104,29.788555,-21.100817,13-2099.02,13,Business and Financial Operations
105,30.730038,-14.152142,13-2099.04,13,Business and Financial Operations
106,-31.804049,-25.72686,15-1111.00,15,Computers and Math
107,-33.945843,-12.961423,15-1121.00,15,Computers and Math
108,-23.639477,-32.370358,15-1121.01,15,Computers and Math
109,-33.705853,-10.995453,15-1122.00,15,Computers and Math
110,-36.748287,-10.0545845,15-1131.00,15,Computers and Math
111,-35.569725,-13.2248955,15-1132.00,15,Computers and Math
112,13.8726,-1.4020936,15-1133.00,15,Computers and Math
113,-35.822025,-11.269422,15-1134.00,15,Computers and Math
114,-34.208996,-12.406133,15-1141.00,15,Computers and Math
115,-34.10993,-16.500515,15-1142.00,15,Computers and Math
116,-34.62724,-14.908125,15-1143.00,15,Computers and Math
117,-31.518208,-5.4505463,15-1143.01,15,Computers and Math
118,-31.85109,-3.046447,15-1151.00,15,Computers and Math
119,-31.46376,-1.735397,15-1152.00,15,Computers and Math
120,-34.93122,-10.186087,15-1199.01,15,Computers and Math
121,-33.36468,-13.725672,15-1199.02,15,Computers and Math
122,-34.55503,-11.125119,15-1199.03,15,Computers and Math
123,-18.805271,-25.037859,15-1199.04,15,Computers and Math
124,-29.406185,-9.778238,15-1199.05,15,Computers and Math
125,-36.458927,-11.934249,15-1199.06,15,Computers and Math
126,-37.033005,-11.641022,15-1199.07,15,Computers and Math
127,34.310997,-22.604706,15-1199.08,15,Computers and Math
128,20.329988,-36.759365,15-1199.09,15,Computers and Math
129,25.19146,-22.043707,15-1199.10,15,Computers and Math
130,-15.546072,-30.035494,15-1199.11,15,Computers and Math
131,25.02011,-21.771011,15-1199.12,15,Computers and Math
132,36.21751,-23.001625,15-2011.00,15,Computers and Math
133,38.990562,-22.511795,15-2021.00,15,Computers and Math
134,37.845646,-22.996294,15-2031.00,15,Computers and Math
135,38.741726,-21.98148,15-2041.00,15,Computers and Math
136,37.658577,-21.319345,15-2041.01,15,Computers and Math
137,33.025192,-21.097658,15-2041.02,15,Computers and Math
138,-28.654486,-30.750362,17-1011.00,17,Architechture and Engineering
139,14.949628,-43.987663,17-1012.00,17,Architechture and Engineering
140,11.944569,0.48684365,17-1021.00,17,Architechture and Engineering
141,-19.35872,-4.891195,17-1022.00,17,Architechture and Engineering
142,-20.266148,-5.076075,17-1022.01,17,Architechture and Engineering
143,-26.671225,-25.02438,17-2011.00,17,Architechture and Engineering
144,-29.011282,-21.551897,17-2021.00,17,Architechture and Engineering
145,-35.64245,-18.362494,17-2031.00,17,Architechture and Engineering
146,-29.622622,-24.823597,17-2041.00,17,Architechture and Engineering
147,-29.76949,-29.204,17-2051.00,17,Architechture and Engineering
148,-28.84213,-28.42653,17-2051.01,17,Architechture and Engineering
149,-32.178818,-11.7726555,17-2061.00,17,Architechture and Engineering
150,-27.895468,-17.589508,17-2071.00,17,Architechture and Engineering
151,-33.619514,-17.41142,17-2072.00,17,Architechture and Engineering
152,-31.760118,-6.5196524,17-2072.01,17,Architechture and Engineering
153,-25.487295,-29.027134,17-2081.00,17,Architechture and Engineering
154,-28.513657,-26.743404,17-2081.01,17,Architechture and Engineering
155,-16.702461,-17.964533,17-2111.01,17,Architechture and Engineering
156,-29.672276,-25.932816,17-2111.02,17,Architechture and Engineering
157,-24.437643,-18.499407,17-2111.03,17,Architechture and Engineering
158,-25.15491,-20.295237,17-2112.00,17,Architechture and Engineering
159,-26.47243,-26.095901,17-2112.01,17,Architechture and Engineering
160,-34.392223,-20.475637,17-2121.01,17,Architechture and Engineering
161,-26.456594,-24.193562,17-2121.02,17,Architechture and Engineering
162,-28.212252,-19.027529,17-2131.00,17,Architechture and Engineering
163,-34.73184,-18.144798,17-2141.00,17,Architechture and Engineering
164,-31.5464,-19.02069,17-2141.01,17,Architechture and Engineering
165,-29.05245,-23.009815,17-2141.02,17,Architechture and Engineering
166,-29.654032,-27.319918,17-2151.00,17,Architechture and Engineering
167,-28.31793,-25.2089,17-2161.00,17,Architechture and Engineering
168,-26.852793,-28.361046,17-2171.00,17,Architechture and Engineering
169,-28.62721,-19.5824,17-2199.01,17,Architechture and Engineering
170,-24.913948,-19.241383,17-2199.02,17,Architechture and Engineering
171,-24.855804,-26.160496,17-2199.03,17,Architechture and Engineering
172,-35.36976,-20.019085,17-2199.04,17,Architechture and Engineering
173,-31.490757,-21.409473,17-2199.05,17,Architechture and Engineering
174,-30.961737,-19.385307,17-2199.06,17,Architechture and Engineering
175,-30.339859,-17.655634,17-2199.07,17,Architechture and Engineering
176,-36.245846,-19.471085,17-2199.08,17,Architechture and Engineering
177,-29.662094,-18.605286,17-2199.09,17,Architechture and Engineering
178,-26.337872,-21.245012,17-2199.10,17,Architechture and Engineering
179,-26.65924,-14.011789,17-2199.11,17,Architechture and Engineering
180,10.842623,-1.6948019,17-3011.01,17,Architechture and Engineering
181,12.440481,-0.8952062,17-3011.02,17,Architechture and Engineering
182,13.659795,-0.2976916,17-3012.01,17,Architechture and Engineering
183,12.92055,-0.91210496,17-3012.02,17,Architechture and Engineering
184,11.149176,-0.5843816,17-3013.00,17,Architechture and Engineering
185,-32.16256,3.6874702,17-3021.00,17,Architechture and Engineering
186,10.767453,-2.252024,17-3022.00,17,Architechture and Engineering
187,-30.14051,1.8580656,17-3023.01,17,Architechture and Engineering
188,-30.853485,2.9546454,17-3023.03,17,Architechture and Engineering
189,-31.203922,10.106564,17-3024.00,17,Architechture and Engineering
190,-34.091583,4.8995414,17-3024.01,17,Architechture and Engineering
191,-19.290924,-3.3515177,17-3025.00,17,Architechture and Engineering
192,-28.06058,-12.2703905,17-3026.00,17,Architechture and Engineering
193,-19.613102,-1.6035284,17-3027.00,17,Architechture and Engineering
194,-31.06184,6.6731925,17-3027.01,17,Architechture and Engineering
195,-18.147028,-0.0061859824,17-3029.01,17,Architechture and Engineering
196,-30.283783,-6.423488,17-3029.02,17,Architechture and Engineering
197,-32.596615,2.5974772,17-3029.03,17,Architechture and Engineering
198,-33.092083,3.984806,17-3029.04,17,Architechture and Engineering
199,-30.112846,-7.7958665,17-3029.05,17,Architechture and Engineering
200,-35.232082,-19.434317,17-3029.06,17,Architechture and Engineering
201,-32.610527,5.46314,17-3029.07,17,Architechture and Engineering
202,-31.048689,2.1984541,17-3029.08,17,Architechture and Engineering
203,-32.087894,8.684643,17-3029.09,17,Architechture and Engineering
204,-28.139328,-8.451703,17-3029.11,17,Architechture and Engineering
205,-29.263416,7.1774454,17-3029.12,17,Architechture and Engineering
206,-18.404245,1.7649645,17-3031.01,17,Architechture and Engineering
207,10.763202,0.18770564,17-3031.02,17,Architechture and Engineering
208,-21.677795,-19.764376,19-1011.00,19,"Life, Physical, and Social Science"
209,-23.092945,-20.049286,19-1012.00,19,"Life, Physical, and Social Science"
210,-21.439592,-19.530619,19-1013.00,19,"Life, Physical, and Social Science"
211,-19.912256,-20.550938,19-1020.01,19,"Life, Physical, and Social Science"
212,-23.716518,-23.063913,19-1021.00,19,"Life, Physical, and Social Science"
213,-22.32507,-22.272543,19-1022.00,19,"Life, Physical, and Social Science"
214,-20.211807,-17.034979,19-1023.00,19,"Life, Physical, and Social Science"
215,-22.200006,-26.207903,19-1029.01,19,"Life, Physical, and Social Science"
216,-23.2889,-23.13593,19-1029.02,19,"Life, Physical, and Social Science"
217,-21.636986,-26.989943,19-1029.03,19,"Life, Physical, and Social Science"
218,-19.229685,-16.065716,19-1031.01,19,"Life, Physical, and Social Science"
