,First component,Second component,SOC,Label,Occupation Category
0,-32.123055,-17.42653,11-1011.00,11,Management
1,-24.705414,-20.763119,11-1011.03,11,Management
2,-16.782276,-15.577041,11-1021.00,11,Management
3,-27.03241,-13.942574,11-2011.00,11,Management
4,-27.067287,-15.035854,11-2021.00,11,Management
5,-28.883993,-17.254175,11-2022.00,11,Management
6,-27.652538,-13.291613,11-2031.00,11,Management
7,-16.48243,-14.53219,11-3011.00,11,Management
8,-16.392572,-21.943876,11-3021.00,11,Management
9,-31.271254,-9.750928,11-3031.01,11,Management
10,-29.43672,-15.863989,11-3031.02,11,Management
11,-14.234566,-21.689194,11-3051.00,11,Management
12,-13.006647,-22.189013,11-3051.01,11,Management
13,-12.151873,-21.17927,11-3051.02,11,Management
14,-13.400722,-20.801594,11-3051.03,11,Management
15,-11.876687,-20.806044,11-3051.04,11,Management
16,-11.940958,-22.147856,11-3051.06,11,Management
17,-26.083628,-17.428486,11-3061.00,11,Management
18,-24.969494,-16.764784,11-3071.01,11,Management
19,-15.643212,-16.038374,11-3071.02,11,Management
20,-24.386839,-17.315718,11-3071.03,11,Management
21,-30.876984,-7.107779,11-3111.00,11,Management
22,-29.5212,-17.387125,11-3121.00,11,Management
23,-30.728952,-18.739851,11-3131.00,11,Management
24,-10.65408,-18.65838,11-9013.01,11,Management
25,-7.163097,-19.734762,11-9013.02,11,Management
26,-10.486345,-20.224508,11-9013.03,11,Management
27,-19.576525,-19.790394,11-9021.00,11,Management
28,-29.576992,-19.840918,11-9031.00,11,Management
29,-31.015945,-19.495352,11-9032.00,11,Management
30,-30.333097,-17.419855,11-9033.00,11,Management
31,-23.940277,-20.758749,11-9039.01,11,Management
32,-14.511451,-13.459603,11-9039.02,11,Management
33,-20.727232,-21.30867,11-9041.00,11,Management
34,14.735477,-18.612682,11-9041.01,11,Management
35,-13.018546,-14.146325,11-9051.00,11,Management
36,-14.630157,-10.100109,11-9061.00,11,Management
37,-19.845596,-16.03397,11-9071.00,11,Management
38,-18.452374,-13.353183,11-9081.00,11,Management
39,-27.58904,-17.815578,11-9111.00,11,Management
40,-23.266487,-22.491964,11-9121.00,11,Management
41,-26.763195,-19.481136,11-9121.01,11,Management
42,19.160658,-32.15039,11-9121.02,11,Management
