,First component,Second component,SOC,Label,Occupation Category
0,-21.679964,17.115076,11-1011.00,11,Management
1,-3.663973,31.160341,11-1011.03,11,Management
2,-11.513967,18.02775,11-1021.00,11,Management
3,-19.897322,12.909475,11-2011.00,11,Management
4,-20.244175,13.508419,11-2021.00,11,Management
5,-20.672674,14.644944,11-2022.00,11,Management
6,-21.063087,11.514484,11-2031.00,11,Management
7,-11.957112,17.274252,11-3011.00,11,Management
8,25.625551,26.907694,11-3021.00,11,Management
9,-27.314964,0.1240201,11-3031.01,11,Management
10,-27.244066,0.9027254,11-3031.02,11,Management
11,-1.6846112,20.165133,11-3051.00,11,Management
12,-0.22200094,20.496357,11-3051.01,11,Management
13,-1.6428093,22.008955,11-3051.02,11,Management
14,-0.1608367,19.318338,11-3051.03,11,Management
15,-1.6122259,21.937431,11-3051.04,11,Management
16,-2.0557823,22.59005,11-3051.06,11,Management
17,-13.229166,21.130077,11-3061.00,11,Management
18,-11.105428,20.107994,11-3071.01,11,Management
19,-9.90946,19.33677,11-3071.02,11,Management
20,-11.4604645,20.668013,11-3071.03,11,Management
21,-25.953283,1.9107056,11-3111.00,11,Management
22,-21.628716,19.295576,11-3121.00,11,Management
23,-22.409128,20.276915,11-3131.00,11,Management
24,-1.2218474,17.352701,11-9013.01,11,Management
25,2.070468,18.284258,11-9013.02,11,Management
26,0.43495664,18.092857,11-9013.03,11,Management
27,-0.6978125,33.811325,11-9021.00,11,Management
28,-16.35879,17.26577,11-9031.00,11,Management
29,-22.515625,18.197933,11-9032.00,11,Management
30,-22.528524,19.294744,11-9033.00,11,Management
31,-19.891378,22.908133,11-9039.01,11,Management
32,-32.378815,16.383825,11-9039.02,11,Management
33,-0.019640448,34.64896,11-9041.00,11,Management
34,13.379357,28.953592,11-9041.01,11,Management
35,-5.3837266,15.799431,11-9051.00,11,Management
36,-30.731342,14.061184,11-9061.00,11,Management
37,-14.958523,17.325275,11-9071.00,11,Management
38,-18.952929,18.002285,11-9081.00,11,Management
39,-16.138443,20.073366,11-9111.00,11,Management
40,-1.1637152,31.094368,11-9121.00,11,Management
41,-11.624651,29.463547,11-9121.01,11,Management
42,4.4755073,33.097786,11-9121.02,11,Management
43,-10.688802,17.648909,11-9131.00,11,Management
44,-16.208035,2.7003877,11-9141.00,11,Management
45,-21.340767,18.733448,11-9151.00,11,Management
46,-10.421736,11.0024185,11-9161.00,11,Management
