,First component,Second component,SOC,Label,Occupation Category
0,-24.41385,9.113701,11-1011.00,11,Management
1,-24.405891,-12.888244,11-1011.03,11,Management
2,-19.482655,2.3204677,11-1021.00,11,Management
3,-19.668816,11.154064,11-2011.00,11,Management
4,-20.18731,10.435248,11-2021.00,11,Management
5,-21.137072,9.485683,11-2022.00,11,Management
6,-17.84584,12.108024,11-2031.00,11,Management
7,-18.61159,3.165822,11-3011.00,11,Management
8,-12.814093,-22.184698,11-3021.00,11,Management
9,-10.5260105,13.346942,11-3031.01,11,Management
10,-11.639053,13.200924,11-3031.02,11,Management
11,-15.273468,-6.802456,11-3051.00,11,Management
12,-15.739662,-7.9297876,11-3051.01,11,Management
13,-12.542236,-7.9256186,11-3051.02,11,Management
14,-14.49548,-9.808992,11-3051.03,11,Management
15,-12.910525,-8.18812,11-3051.04,11,Management
16,-11.99729,-8.037304,11-3051.06,11,Management
17,-20.431168,1.8060793,11-3061.00,11,Management
18,-18.889013,0.17111318,11-3071.01,11,Management
19,-18.997643,-1.2428662,11-3071.02,11,Management
20,-19.975855,-0.76623243,11-3071.03,11,Management
21,-11.139044,14.721587,11-3111.00,11,Management
22,-26.434206,9.14749,11-3121.00,11,Management
23,-28.11342,8.336478,11-3131.00,11,Management
24,-16.027645,-10.214353,11-9013.01,11,Management
25,-14.039088,-12.489712,11-9013.02,11,Management
26,-14.4566765,-10.752371,11-9013.03,11,Management
27,-20.300213,-10.723604,11-9021.00,11,Management
28,-22.184216,6.007905,11-9031.00,11,Management
29,-25.687538,8.411354,11-9032.00,11,Management
30,-27.02416,8.68107,11-9033.00,11,Management
31,-30.554707,6.080759,11-9039.01,11,Management
32,-27.966,18.940804,11-9039.02,11,Management
33,-20.790997,-11.207007,11-9041.00,11,Management
34,-13.946844,-28.53718,11-9041.01,11,Management
35,-13.938142,-0.94199765,11-9051.00,11,Management
36,-25.590473,20.33034,11-9061.00,11,Management
37,-20.289713,4.71695,11-9071.00,11,Management
38,-24.50946,6.8704133,11-9081.00,11,Management
39,-21.604105,4.194887,11-9111.00,11,Management
40,-23.040955,-15.495837,11-9121.00,11,Management
41,-31.27994,-4.4566936,11-9121.01,11,Management
42,-21.502224,-21.793549,11-9121.02,11,Management
43,-18.045773,1.6191756,11-9131.00,11,Management
44,-15.574656,4.974477,11-9141.00,11,Management
45,-26.070267,7.6871524,11-9151.00,11,Management
46,-26.306047,3.9123,11-9161.00,11,Management
47,-31.470993,-5.889335,11-9199.01,11,Management
48,-13.131795,18.125984,11-9199.02,11,Management
49,-9.027521,14.273981,11-9199.03,11,Management
50,-20.757736,-0.5951417,11-9199.04,11,Management
51,-24.887403,3.2866962,11-9199.07,11,Management
52,-24.667227,3.7406037,11-9199.08,11,Management
53,-13.81657,-6.7690187,11-9199.09,11,Management
54,-21.214638,-13.22313,11-9199.10,11,Management
55,-21.61079,-15.093386,11-9199.11,11,Management
56,-15.915514,13.432683,13-1011.00,13,Business and Financial Operations
57,-19.463982,-2.8675888,13-1021.00,13,Business and Financial Operations
58,-1.7232695,7.420422,13-1022.00,13,Business and Financial Operations
59,-20.946753,1.0371976,13-1023.00,13,Business and Financial Operations
60,-10.0476675,23.000654,13-1031.01,13,Business and Financial Operations
61,-8.778727,22.382215,13-1031.02,13,Business and Financial Operations
62,10.106774,14.69948,13-1032.00,13,Business and Financial Operations
63,-19.295805,-19.556828,13-1041.01,13,Business and Financial Operations
64,-10.600673,23.717106,13-1041.02,13,Business and Financial Operations
65,-13.727811,19.307884,13-1041.03,13,Business and Financial Operations
66,-13.40582,-17.930952,13-1041.04,13,Business and Financial Operations
67,-22.67706,25.681675,13-1041.06,13,Business and Financial Operations
68,-31.579416,-6.2860026,13-1041.07,13,Business and Financial Operations
69,-9.239072,7.0423994,13-1051.00,13,Business and Financial Operations
70,1.7764398,23.502668,13-1071.00,13,Business and Financial Operations
71,21.016209,16.017105,13-1074.00,13,Business and Financial Operations
72,-14.107111,17.352058,13-1075.00,13,Business and Financial Operations
73,-19.77054,-0.21431693,13-1081.00,13,Business and Financial Operations
74,-22.95716,-27.414078,13-1081.01,13,Business and Financial Operations
75,-23.408617,-0.57411724,13-1081.02,13,Business and Financial Operations
76,-27.212294,11.666973,13-1111.00,13,Business and Financial Operations
77,-22.703028,12.736706,13-1121.00,13,Business and Financial Operations
78,-17.085192,12.169331,13-1131.00,13,Business and Financial Operations
79,-11.727411,16.030731,13-1141.00,13,Business and Financial Operations
80,-28.900036,8.748308,13-1151.00,13,Business and Financial Operations
81,-6.729433,11.375516,13-1161.00,13,Business and Financial Operations
82,-13.251385,-25.803997,13-1199.01,13,Business and Financial Operations
83,-7.349145,-38.803864,13-1199.02,13,Business and Financial Operations
84,-6.4312367,3.4895222,13-1199.03,13,Business and Financial Operations
85,-23.580416,0.080585055,13-1199.04,13,Business and Financial Operations
86,-24.624603,-13.316712,13-1199.05,13,Business and Financial Operations
87,-1.919692,8.553414,13-1199.06,13,Business and Financial Operations
88,-4.6094346,15.322817,13-2011.01,13,Business and Financial Operations
89,-9.602176,14.136417,13-2011.02,13,Business and Financial Operations
90,0.83655334,14.128726,13-2021.01,13,Business and Financial Operations
91,0.008760978,14.169822,13-2021.02,13,Business and Financial Operations
92,-5.159723,15.41287,13-2031.00,13,Business and Financial Operations
93,-1.8314775,14.984247,13-2041.00,13,Business and Financial Operations
94,-7.6029444,12.167684,13-2051.00,13,Business and Financial Operations
95,-7.921808,16.369518,13-2052.00,13,Business and Financial Operations
96,-1.4946879,16.171526,13-2053.00,13,Business and Financial Operations
97,-6.7607875,14.523591,13-2061.00,13,Business and Financial Operations
98,-4.784252,20.88146,13-2071.00,13,Business and Financial Operations
99,-3.261444,17.251038,13-2071.01,13,Business and Financial Operations
100,-2.8351598,18.089901,13-2072.00,13,Business and Financial Operations
101,-3.0273335,20.595676,13-2081.00,13,Business and Financial Operations
102,-1.0214348,17.187746,13-2082.00,13,Business and Financial Operations
103,-8.6505375,9.705916,13-2099.01,13,Business and Financial Operations
104,-13.467153,8.040359,13-2099.02,13,Business and Financial Operations
105,-12.163133,17.276245,13-2099.04,13,Business and Financial Operations
106,-8.50188,-33.411526,15-1111.00,15,Computers and Math
107,-4.4232855,-33.457123,15-1121.00,15,Computers and Math
108,-32.24607,4.310005,15-1121.01,15,Computers and Math
109,-3.1394103,-34.956802,15-1122.00,15,Computers and Math
