,First component,Second component,SOC,Label,Occupation Category
0,11.575249,-29.194704,11-1011.00,11,Management
1,27.445717,-8.893287,11-1011.03,11,Management
2,9.772852,-23.560253,11-1021.00,11,Management
3,3.8847837,-29.113783,11-2011.00,11,Management
4,4.651976,-28.417292,11-2021.00,11,Management
5,5.814047,-27.418825,11-2022.00,11,Management
6,2.3933923,-28.9132,11-2031.00,11,Management
7,8.945605,-24.008219,11-3011.00,11,Management
8,28.464117,19.958916,11-3021.00,11,Management
9,-14.672575,-30.707571,11-3031.01,11,Management
10,-15.786162,-31.435051,11-3031.02,11,Management
11,16.79099,-9.916928,11-3051.00,11,Management
12,16.278362,-11.266842,11-3051.01,11,Management
13,18.557543,-7.967343,11-3051.02,11,Management
14,18.214094,-11.783906,11-3051.03,11,Management
15,18.331491,-8.398912,11-3051.04,11,Management
16,18.158451,-7.4734282,11-3051.06,11,Management
17,8.723149,-22.201942,11-3061.00,11,Management
18,10.542741,-20.05243,11-3071.01,11,Management
19,11.601833,-19.762363,11-3071.02,11,Management
20,10.254564,-20.734413,11-3071.03,11,Management
21,-15.14718,-31.989552,11-3111.00,11,Management
22,13.186256,-30.239664,11-3121.00,11,Management
23,15.005727,-30.808578,11-3131.00,11,Management
24,16.764587,-14.529259,11-9013.01,11,Management
25,18.563025,-13.531073,11-9013.02,11,Management
26,17.372017,-13.042394,11-9013.03,11,Management
27,24.313637,-7.2718983,11-9021.00,11,Management
28,13.405964,-27.238209,11-9031.00,11,Management
29,13.25262,-28.991617,11-9032.00,11,Management
30,14.061233,-30.040026,11-9033.00,11,Management
31,17.952183,-31.45346,11-9039.01,11,Management
32,9.142806,-34.88413,11-9039.02,11,Management
33,25.06596,-7.133909,11-9041.00,11,Management
34,30.578762,9.973461,11-9041.01,11,Management
35,13.742803,-15.655337,11-9051.00,11,Management
36,10.8581705,-36.328403,11-9061.00,11,Management
37,9.476724,-25.491028,11-9071.00,11,Management
38,12.842963,-26.495756,11-9081.00,11,Management
39,10.445345,-27.233095,11-9111.00,11,Management
40,30.270185,-4.8063936,11-9121.00,11,Management
41,37.16605,-23.421843,11-9121.01,11,Management
42,31.557795,-1.4203856,11-9121.02,11,Management
43,9.598239,-19.34089,11-9131.00,11,Management
44,-1.9236753,-20.736708,11-9141.00,11,Management
45,14.114807,-28.692217,11-9151.00,11,Management
46,15.860796,-24.723919,11-9161.00,11,Management
47,36.257572,-22.233364,11-9199.01,11,Management
48,-5.9650846,-31.514635,11-9199.02,11,Management
49,-13.454042,-28.909626,11-9199.03,11,Management
50,10.222007,-21.472527,11-9199.04,11,Management
51,14.475685,-23.705256,11-9199.07,11,Management
52,13.993295,-24.187258,11-9199.08,11,Management
53,17.120634,-8.7340975,11-9199.09,11,Management
54,26.051138,-7.404299,11-9199.10,11,Management
55,27.739046,-6.3452215,11-9199.11,11,Management
56,-0.25510898,-29.220062,13-1011.00,13,Business and Financial Operations
57,6.6324887,-20.067251,13-1021.00,13,Business and Financial Operations
58,-5.465856,-23.851017,13-1022.00,13,Business and Financial Operations
59,8.108792,-21.59395,13-1023.00,13,Business and Financial Operations
60,-6.8398423,-17.184034,13-1031.01,13,Business and Financial Operations
61,-7.2084985,-17.878618,13-1031.02,13,Business and Financial Operations
62,-22.562641,-10.450046,13-1032.00,13,Business and Financial Operations
63,20.6041,0.72779936,13-1041.01,13,Business and Financial Operations
64,-5.706243,-15.875447,13-1041.02,13,Business and Financial Operations
65,-7.1431117,-33.51744,13-1041.03,13,Business and Financial Operations
66,21.825804,2.50046,13-1041.04,13,Business and Financial Operations
67,3.1119556,-9.6388855,13-1041.06,13,Business and Financial Operations
68,36.15792,-22.177807,13-1041.07,13,Business and Financial Operations
69,0.5769457,-22.378456,13-1051.00,13,Business and Financial Operations
70,-20.953903,-17.629244,13-1071.00,13,Business and Financial Operations
71,-27.19895,2.3286839,13-1074.00,13,Business and Financial Operations
72,-5.970515,-32.98339,13-1075.00,13,Business and Financial Operations
73,11.046491,-20.789438,13-1081.00,13,Business and Financial Operations
74,36.03293,0.9583733,13-1081.01,13,Business and Financial Operations
75,4.027732,-20.103416,13-1081.02,13,Business and Financial Operations
76,11.903641,-32.329094,13-1111.00,13,Business and Financial Operations
77,7.43686,-30.949846,13-1121.00,13,Business and Financial Operations
78,1.4693122,-28.494694,13-1131.00,13,Business and Financial Operations
79,-8.311355,-31.390322,13-1141.00,13,Business and Financial Operations
80,15.373486,-31.547268,13-1151.00,13,Business and Financial Operations
81,-9.655106,-28.668652,13-1161.00,13,Business and Financial Operations
82,28.956135,8.378327,13-1199.01,13,Business and Financial Operations
83,16.813232,-5.1271234,13-1199.02,13,Business and Financial Operations
84,2.8806381,-18.655815,13-1199.03,13,Business and Financial Operations
85,12.601366,-23.629269,13-1199.04,13,Business and Financial Operations
86,28.84861,-9.2689705,13-1199.05,13,Business and Financial Operations
87,-6.3854322,-23.844313,13-1199.06,13,Business and Financial Operations
88,-16.872126,-27.494534,13-2011.01,13,Business and Financial Operations
89,-14.010461,-29.31489,13-2011.02,13,Business and Financial Operations
90,-8.774386,-18.27073,13-2021.01,13,Business and Financial Operations
91,-9.311801,-18.813398,13-2021.02,13,Business and Financial Operations
92,-16.551582,-27.834917,13-2031.00,13,Business and Financial Operations
93,-17.810766,-25.304365,13-2041.00,13,Business and Financial Operations
94,-11.765285,-28.50255,13-2051.00,13,Business and Financial Operations
95,-13.980481,-26.87475,13-2052.00,13,Business and Financial Operations
96,-14.820537,-23.185616,13-2053.00,13,Business and Financial Operations
97,-16.30718,-29.77129,13-2061.00,13,Business and Financial Operations
98,-15.214161,-25.043335,13-2071.00,13,Business and Financial Operations
99,-15.952203,-24.249207,13-2071.01,13,Business and Financial Operations
100,-14.244176,-23.919935,13-2072.00,13,Business and Financial Operations
101,-17.26912,-22.149654,13-2081.00,13,Business and Financial Operations
102,-17.98488,-21.853611,13-2082.00,13,Business and Financial Operations
103,-11.966601,-30.985758,13-2099.01,13,Business and Financial Operations
104,3.8151085,-20.840408,13-2099.02,13,Business and Financial Operations
105,-6.7368317,-30.936975,13-2099.04,13,Business and Financial Operations
106,27.256306,19.437675,15-1111.00,15,Computers and Math
107,24.034082,19.76416,15-1121.00,15,Computers and Math
108,24.6158,-33.44763,15-1121.01,15,Computers and Math
109,22.55656,22.18874,15-1122.00,15,Computers and Math
110,22.239298,17.822233,15-1131.00,15,Computers and Math
111,24.84391,18.778902,15-1132.00,15,Computers and Math
112,21.045307,15.595366,15-1133.00,15,Computers and Math
113,22.229399,18.983938,15-1134.00,15,Computers and Math
114,23.619265,21.557222,15-1141.00,15,Computers and Math
115,25.662777,21.784029,15-1142.00,15,Computers and Math
116,26.856005,21.80899,15-1143.00,15,Computers and Math
117,26.05213,24.23171,15-1143.01,15,Computers and Math
118,21.827152,24.059662,15-1151.00,15,Computers and Math
119,21.220602,25.98833,15-1152.00,15,Computers and Math
120,23.171066,19.437088,15-1199.01,15,Computers and Math
121,26.945839,20.008661,15-1199.02,15,Computers and Math
122,22.283379,20.790293,15-1199.03,15,Computers and Math
123,36.321617,-7.7008986,15-1199.04,15,Computers and Math
124,20.126661,11.898621,15-1199.05,15,Computers and Math
125,23.87237,18.557987,15-1199.06,15,Computers and Math
126,23.397398,17.94365,15-1199.07,15,Computers and Math
127,-9.600068,-26.366802,15-1199.08,15,Computers and Math
128,11.645105,-23.553267,15-1199.09,15,Computers and Math
129,-8.952628,-25.976402,15-1199.10,15,Computers and Math
130,20.723673,18.684744,15-1199.11,15,Computers and Math
131,-8.442498,-24.611254,15-1199.12,15,Computers and Math
132,-12.959225,-30.729101,15-2011.00,15,Computers and Math
133,27.641901,-19.122843,15-2021.00,15,Computers and Math
134,27.353994,-18.839464,15-2031.00,15,Computers and Math
135,28.77328,-20.331587,15-2041.00,15,Computers and Math
136,29.027887,-20.306429,15-2041.01,15,Computers and Math
137,3.1542187,-2.2444432,15-2041.02,15,Computers and Math
138,25.34753,-10.098993,17-1011.00,17,Architechture and Engineering
139,25.455523,-10.579334,17-1012.00,17,Architechture and Engineering
140,18.928074,11.523488,17-1021.00,17,Architechture and Engineering
141,23.266527,5.536945,17-1022.00,17,Architechture and Engineering
142,23.650112,6.042807,17-1022.01,17,Architechture and Engineering
143,32.54031,4.9583225,17-2011.00,17,Architechture and Engineering
144,35.234123,5.026825,17-2021.00,17,Architechture and Engineering
145,37.007774,12.2121105,17-2031.00,17,Architechture and Engineering
146,35.629776,6.463065,17-2041.00,17,Architechture and Engineering
147,33.83796,-0.43136376,17-2051.00,17,Architechture and Engineering
148,34.272575,-0.7034567,17-2051.01,17,Architechture and Engineering
149,33.04143,12.797148,17-2061.00,17,Architechture and Engineering
150,31.13855,8.964974,17-2071.00,17,Architechture and Engineering
151,34.685337,11.354873,17-2072.00,17,Architechture and Engineering
152,26.853388,24.018303,17-2072.01,17,Architechture and Engineering
153,31.384869,-1.6238505,17-2081.00,17,Architechture and Engineering
154,33.22724,1.1550398,17-2081.01,17,Architechture and Engineering
155,23.044619,-0.7034454,17-2111.01,17,Architechture and Engineering
156,32.49637,1.5893518,17-2111.02,17,Architechture and Engineering
157,23.321102,1.0896165,17-2111.03,17,Architechture and Engineering
158,30.25574,6.168966,17-2112.00,17,Architechture and Engineering
159,28.613317,4.703068,17-2112.01,17,Architechture and Engineering
160,37.031796,8.90152,17-2121.01,17,Architechture and Engineering
161,32.544014,4.0860147,17-2121.02,17,Architechture and Engineering
162,33.952335,6.9053483,17-2131.00,17,Architechture and Engineering
163,36.14075,10.199022,17-2141.00,17,Architechture and Engineering
164,33.022964,10.664747,17-2141.01,17,Architechture and Engineering
165,33.337505,3.3995874,17-2141.02,17,Architechture and Engineering
166,35.79805,1.7693464,17-2151.00,17,Architechture and Engineering
167,35.387745,7.5653944,17-2161.00,17,Architechture and Engineering
168,36.096428,2.4371076,17-2171.00,17,Architechture and Engineering
169,34.62655,6.151792,17-2199.01,17,Architechture and Engineering
170,30.702223,6.569857,17-2199.02,17,Architechture and Engineering
171,32.136086,1.054124,17-2199.03,17,Architechture and Engineering
172,38.021374,10.211861,17-2199.04,17,Architechture and Engineering
173,32.649075,9.380463,17-2199.05,17,Architechture and Engineering
174,34.245262,10.660066,17-2199.06,17,Architechture and Engineering
175,33.272438,12.025936,17-2199.07,17,Architechture and Engineering
176,37.73544,11.369072,17-2199.08,17,Architechture and Engineering
177,34.19892,8.807078,17-2199.09,17,Architechture and Engineering
178,32.19741,2.8032072,17-2199.10,17,Architechture and Engineering
179,29.75274,8.87257,17-2199.11,17,Architechture and Engineering
180,21.06161,6.7226086,17-3011.01,17,Architechture and Engineering
181,19.789108,9.61703,17-3011.02,17,Architechture and Engineering
182,-14.507777,21.335945,17-3012.01,17,Architechture and Engineering
183,19.771357,8.23122,17-3012.02,17,Architechture and Engineering
184,21.921413,9.6232195,17-3013.00,17,Architechture and Engineering
185,14.684551,27.982307,17-3021.00,17,Architechture and Engineering
186,19.839186,7.1801767,17-3022.00,17,Architechture and Engineering
187,11.606324,27.80523,17-3023.01,17,Architechture and Engineering
188,12.422108,28.34976,17-3023.03,17,Architechture and Engineering
189,7.717931,28.548502,17-3024.00,17,Architechture and Engineering
190,13.371426,29.087234,17-3024.01,17,Architechture and Engineering
191,26.61212,10.895836,17-3025.00,17,Architechture and Engineering
192,27.883434,10.208379,17-3026.00,17,Architechture and Engineering
193,12.767283,26.114529,17-3027.00,17,Architechture and Engineering
194,14.198358,30.03092,17-3027.01,17,Architechture and Engineering
195,12.189401,23.864693,17-3029.01,17,Architechture and Engineering
196,28.12618,24.459232,17-3029.02,17,Architechture and Engineering
197,13.294216,27.66409,17-3029.03,17,Architechture and Engineering
198,26.068554,25.188444,17-3029.04,17,Architechture and Engineering
199,27.543106,7.714867,17-3029.05,17,Architechture and Engineering
200,37.720394,10.486737,17-3029.06,17,Architechture and Engineering
201,13.968266,27.000534,17-3029.07,17,Architechture and Engineering
202,12.258478,29.145645,17-3029.08,17,Architechture and Engineering
203,10.575253,30.223528,17-3029.09,17,Architechture and Engineering
204,29.656551,12.869211,17-3029.11,17,Architechture and Engineering
205,10.077234,27.626139,17-3029.12,17,Architechture and Engineering
206,17.987171,6.0119886,17-3031.01,17,Architechture and Engineering
207,19.178963,11.073184,17-3031.02,17,Architechture and Engineering
208,33.435005,-11.822632,19-1011.00,19,"Life, Physical, and Social Science"
209,26.060352,-1.5068829,19-1012.00,19,"Life, Physical, and Social Science"
210,33.875942,-11.342121,19-1013.00,19,"Life, Physical, and Social Science"
211,32.42409,-6.1444483,19-1020.01,19,"Life, Physical, and Social Science"
212,41.42837,-15.589449,19-1021.00,19,"Life, Physical, and Social Science"
213,40.159424,-17.994465,19-1022.00,19,"Life, Physical, and Social Science"
214,31.951042,-7.096713,19-1023.00,19,"Life, Physical, and Social Science"
215,39.990612,-17.114012,19-1029.01,19,"Life, Physical, and Social Science"
216,41.352787,-16.457695,19-1029.02,19,"Life, Physical, and Social Science"
217,38.86876,-19.239933,19-1029.03,19,"Life, Physical, and Social Science"
218,29.873516,-7.081276,19-1031.01,19,"Life, Physical, and Social Science"
219,29.400541,-7.633819,19-1031.02,19,"Life, Physical, and Social Science"
220,18.461182,-38.02688,19-1031.03,19,"Life, Physical, and Social Science"
221,28.834919,-5.638182,19-1032.00,19,"Life, Physical, and Social Science"
222,37.734814,-19.858452,19-1041.00,19,"Life, Physical, and Social Science"
223,39.88311,-19.134645,19-1042.00,19,"Life, Physical, and Social Science"
224,41.535637,-12.646028,19-2011.00,19,"Life, Physical, and Social Science"
225,42.115906,-12.897656,19-2012.00,19,"Life, Physical, and Social Science"
226,36.003376,-8.827568,19-2021.00,19,"Life, Physical, and Social Science"
227,29.420906,11.68177,19-2031.00,19,"Life, Physical, and Social Science"
228,33.078323,7.6555996,19-2032.00,19,"Life, Physical, and Social Science"
229,31.463037,-5.720335,19-2041.00,19,"Life, Physical, and Social Science"
230,32.630558,-8.923889,19-2041.01,19,"Life, Physical, and Social Science"
231,30.856276,-6.9076824,19-2041.02,19,"Life, Physical, and Social Science"
232,31.792397,-9.752076,19-2041.03,19,"Life, Physical, and Social Science"
233,34.654873,-8.010724,19-2042.00,19,"Life, Physical, and Social Science"
234,34.740814,-6.816517,19-2043.00,19,"Life, Physical, and Social Science"
235,35.865696,-7.780039,19-2099.01,19,"Life, Physical, and Social Science"
236,-12.078214,-33.722878,19-3011.00,19,"Life, Physical, and Social Science"
237,-12.077936,-33.28916,19-3011.01,19,"Life, Physical, and Social Science"
238,-9.5929575,-28.688478,19-3022.00,19,"Life, Physical, and Social Science"
239,12.719904,-48.026382,19-3031.01,19,"Life, Physical, and Social Science"
240,10.10239,-48.7322,19-3031.02,19,"Life, Physical, and Social Science"
241,10.848676,-48.534145,19-3031.03,19,"Life, Physical, and Social Science"
242,13.141609,-31.899702,19-3032.00,19,"Life, Physical, and Social Science"
243,37.07535,-40.83619,19-3039.01,19,"Life, Physical, and Social Science"
244,26.298706,-50.256546,19-3041.00,19,"Life, Physical, and Social Science"
245,27.93851,-11.39386,19-3051.00,19,"Life, Physical, and Social Science"
246,25.317274,-53.77583,19-3091.01,19,"Life, Physical, and Social Science"
247,25.075138,-54.951626,19-3091.02,19,"Life, Physical, and Social Science"
248,26.671904,-54.09419,19-3092.00,19,"Life, Physical, and Social Science"
249,16.64755,-38.664753,19-3093.00,19,"Life, Physical, and Social Science"
250,26.443733,-50.931255,19-3094.00,19,"Life, Physical, and Social Science"
251,28.486454,-11.836493,19-3099.01,19,"Life, Physical, and Social Science"
252,16.316292,3.3463898,19-4011.01,19,"Life, Physical, and Social Science"
253,2.4747403,16.201712,19-4011.02,19,"Life, Physical, and Social Science"
254,-1.1550775,13.511312,19-4021.00,19,"Life, Physical, and Social Science"
