,First component,Second component,SOC,Label,Occupation Category
0,-28.30674,19.112438,11-1011.00,11,Management
1,-3.2151065,27.9148,11-1011.03,11,Management
2,-18.272287,18.80316,11-1021.00,11,Management
3,-25.23409,13.477187,11-2011.00,11,Management
4,-25.06442,14.455065,11-2021.00,11,Management
5,-27.012547,17.334576,11-2022.00,11,Management
6,-25.821491,11.2137165,11-2031.00,11,Management
7,-19.345354,18.454865,11-3011.00,11,Management
8,-9.803826,19.496393,11-3021.00,11,Management
9,-15.5226555,9.168535,11-3031.01,11,Management
10,-15.802298,9.660552,11-3031.02,11,Management
11,-15.080127,23.142424,11-3051.00,11,Management
12,-13.850002,25.138088,11-3051.01,11,Management
13,-13.160437,23.514273,11-3051.02,11,Management
14,-12.869628,25.89216,11-3051.03,11,Management
15,-12.378402,23.235184,11-3051.04,11,Management
16,-12.037275,24.040335,11-3051.06,11,Management
17,-16.135948,16.7777,11-3061.00,11,Management
18,-17.967602,19.91054,11-3071.01,11,Management
19,-16.295073,19.400806,11-3071.02,11,Management
20,-15.192406,18.391575,11-3071.03,11,Management
21,-17.471777,9.253575,11-3111.00,11,Management
22,-30.909922,18.250286,11-3121.00,11,Management
23,-32.154163,18.509605,11-3131.00,11,Management
24,-14.880297,27.217447,11-9013.01,11,Management
25,4.5173855,0.38079166,11-9013.02,11,Management
26,-12.943054,26.883108,11-9013.03,11,Management
27,-14.17675,20.474865,11-9021.00,11,Management
28,-21.569601,17.228563,11-9031.00,11,Management
29,-29.66719,19.123857,11-9032.00,11,Management
30,-30.389551,18.895208,11-9033.00,11,Management
31,-29.119522,25.029732,11-9039.01,11,Management
32,-33.38285,15.920899,11-9039.02,11,Management
33,-6.33094,25.656595,11-9041.00,11,Management
34,14.789821,22.254496,11-9041.01,11,Management
35,-18.40426,26.009005,11-9051.00,11,Management
36,-32.04652,10.143431,11-9061.00,11,Management
37,-20.163353,17.642252,11-9071.00,11,Management
38,-29.481316,16.6446,11-9081.00,11,Management
39,-18.79099,16.555805,11-9111.00,11,Management
40,-5.3210974,26.355633,11-9121.00,11,Management
41,-12.445004,11.105796,11-9121.01,11,Management
42,7.4489493,28.094084,11-9121.02,11,Management
43,-19.705725,20.592232,11-9131.00,11,Management
44,-18.163475,14.309288,11-9141.00,11,Management
45,-29.90776,18.030993,11-9151.00,11,Management
46,-25.448399,20.314476,11-9161.00,11,Management
47,-11.5898075,11.157601,11-9199.01,11,Management
48,-20.36085,6.8839054,11-9199.02,11,Management
49,-14.90704,7.246974,11-9199.03,11,Management
50,-15.586942,17.701067,11-9199.04,11,Management
51,-23.202372,19.917173,11-9199.07,11,Management
52,-22.83818,19.632757,11-9199.08,11,Management
53,-11.77256,25.085155,11-9199.09,11,Management
54,0.062170457,25.474989,11-9199.10,11,Management
55,1.045578,25.986937,11-9199.11,11,Management
56,-24.085705,9.574575,13-1011.00,13,Business and Financial Operations
57,-13.658618,15.83389,13-1021.00,13,Business and Financial Operations
58,-10.831605,2.61828,13-1022.00,13,Business and Financial Operations
59,-15.316371,15.958525,13-1023.00,13,Business and Financial Operations
60,-18.485308,-0.8210163,13-1031.01,13,Business and Financial Operations
61,-22.050776,-1.4154259,13-1031.02,13,Business and Financial Operations
62,-1.598982,-9.283426,13-1032.00,13,Business and Financial Operations
63,7.296409,21.237627,13-1041.01,13,Business and Financial Operations
64,-17.646095,-0.8742697,13-1041.02,13,Business and Financial Operations
65,-21.38713,5.0857825,13-1041.03,13,Business and Financial Operations
66,7.7355742,10.869304,13-1041.04,13,Business and Financial Operations
67,-34.4482,0.21769975,13-1041.06,13,Business and Financial Operations
68,-10.045328,10.928357,13-1041.07,13,Business and Financial Operations
69,-9.18609,6.6484323,13-1051.00,13,Business and Financial Operations
70,-24.261852,1.4201076,13-1071.00,13,Business and Financial Operations
71,7.953987,-22.778687,13-1074.00,13,Business and Financial Operations
72,-21.469862,7.219151,13-1075.00,13,Business and Financial Operations
73,-16.145266,18.329237,13-1081.00,13,Business and Financial Operations
74,12.501668,28.05178,13-1081.01,13,Business and Financial Operations
75,-10.642463,14.817125,13-1081.02,13,Business and Financial Operations
76,-30.301062,21.408987,13-1111.00,13,Business and Financial Operations
77,-30.083096,11.965107,13-1121.00,13,Business and Financial Operations
78,-25.657179,10.726536,13-1131.00,13,Business and Financial Operations
79,-18.312977,7.7037473,13-1141.00,13,Business and Financial Operations
80,-33.462036,19.063345,13-1151.00,13,Business and Financial Operations
81,-6.13725,7.8375697,13-1161.00,13,Business and Financial Operations
82,8.868485,23.451777,13-1199.01,13,Business and Financial Operations
83,23.512138,14.2617445,13-1199.02,13,Business and Financial Operations
84,-10.529174,14.022033,13-1199.03,13,Business and Financial Operations
85,-11.07851,15.639305,13-1199.04,13,Business and Financial Operations
86,-2.5953774,27.99133,13-1199.05,13,Business and Financial Operations
87,-8.244457,4.1217604,13-1199.06,13,Business and Financial Operations
88,-9.736252,-4.498914,13-2011.01,13,Business and Financial Operations
89,-15.501457,7.967974,13-2011.02,13,Business and Financial Operations
90,-2.1376183,-8.879333,13-2021.01,13,Business and Financial Operations
91,-5.890122,-6.8110094,13-2021.02,13,Business and Financial Operations
92,-10.125018,-4.0755095,13-2031.00,13,Business and Financial Operations
93,-7.0662937,-5.9002805,13-2041.00,13,Business and Financial Operations
94,-7.838723,8.084566,13-2051.00,13,Business and Financial Operations
95,-15.219202,5.2606297,13-2052.00,13,Business and Financial Operations
96,-8.058761,-6.19877,13-2053.00,13,Business and Financial Operations
97,-11.686902,-3.0789373,13-2061.00,13,Business and Financial Operations
98,-20.473982,-0.28479952,13-2071.00,13,Business and Financial Operations
99,-11.663062,-7.8385773,13-2071.01,13,Business and Financial Operations
100,-11.190568,-6.876342,13-2072.00,13,Business and Financial Operations
101,-19.070002,-1.4709318,13-2081.00,13,Business and Financial Operations
102,-8.856982,-6.998064,13-2082.00,13,Business and Financial Operations
103,-5.941995,10.837264,13-2099.01,13,Business and Financial Operations
104,-14.987005,14.207544,13-2099.02,13,Business and Financial Operations
105,-18.682371,6.878667,13-2099.04,13,Business and Financial Operations
106,22.968208,30.923239,15-1111.00,15,Computers and Math
107,21.627502,19.778702,15-1121.00,15,Computers and Math
108,-28.537165,26.306322,15-1121.01,15,Computers and Math
109,20.67207,18.097492,15-1122.00,15,Computers and Math
110,19.743555,19.892473,15-1131.00,15,Computers and Math
111,23.247631,27.202755,15-1132.00,15,Computers and Math
112,23.040846,23.686853,15-1133.00,15,Computers and Math
113,22.765211,25.215979,15-1134.00,15,Computers and Math
114,20.606228,18.832355,15-1141.00,15,Computers and Math
115,22.47987,18.576935,15-1142.00,15,Computers and Math
116,21.651913,27.593863,15-1143.00,15,Computers and Math
117,24.759815,14.199415,15-1143.01,15,Computers and Math
118,20.894577,17.0851,15-1151.00,15,Computers and Math
119,21.68187,16.905714,15-1152.00,15,Computers and Math
120,22.224724,21.289476,15-1199.01,15,Computers and Math
121,20.499184,22.384321,15-1199.02,15,Computers and Math
122,22.150429,23.988165,15-1199.03,15,Computers and Math
123,4.4414086,33.46455,15-1199.04,15,Computers and Math
124,6.190693,34.108856,15-1199.05,15,Computers and Math
125,22.67749,26.816092,15-1199.06,15,Computers and Math
126,23.11054,26.149904,15-1199.07,15,Computers and Math
127,-5.3686075,8.480049,15-1199.08,15,Computers and Math
128,-25.166065,17.801191,15-1199.09,15,Computers and Math
129,-4.6004915,8.585474,15-1199.10,15,Computers and Math
130,-2.337895,17.96978,15-1199.11,15,Computers and Math
131,-6.4736805,4.960512,15-1199.12,15,Computers and Math
132,-6.1218805,10.268804,15-2011.00,15,Computers and Math
133,10.850629,38.117638,15-2021.00,15,Computers and Math
134,10.473974,38.00104,15-2031.00,15,Computers and Math
135,8.420111,37.94224,15-2041.00,15,Computers and Math
136,7.787794,38.026093,15-2041.01,15,Computers and Math
137,-9.368896,10.678812,15-2041.02,15,Computers and Math
138,-2.2384548,22.622704,17-1011.00,17,Architechture and Engineering
139,-2.0866325,22.774858,17-1012.00,17,Architechture and Engineering
140,27.389898,24.982653,17-1021.00,17,Architechture and Engineering
141,5.4357405,25.38161,17-1022.00,17,Architechture and Engineering
142,7.0019484,25.633059,17-1022.01,17,Architechture and Engineering
143,16.768076,32.271584,17-2011.00,17,Architechture and Engineering
144,12.120701,31.100044,17-2021.00,17,Architechture and Engineering
145,15.45962,30.26036,17-2031.00,17,Architechture and Engineering
146,13.906363,33.687096,17-2041.00,17,Architechture and Engineering
147,10.269434,26.122562,17-2051.00,17,Architechture and Engineering
148,9.7313175,26.2661,17-2051.01,17,Architechture and Engineering
149,19.88921,33.75344,17-2061.00,17,Architechture and Engineering
150,15.685864,23.137983,17-2071.00,17,Architechture and Engineering
151,24.163528,18.283178,17-2072.00,17,Architechture and Engineering
152,23.657158,16.208624,17-2072.01,17,Architechture and Engineering
153,7.5347476,28.46618,17-2081.00,17,Architechture and Engineering
154,9.743842,28.4558,17-2081.01,17,Architechture and Engineering
155,6.0160294,17.434982,17-2111.01,17,Architechture and Engineering
156,10.087245,27.784145,17-2111.02,17,Architechture and Engineering
157,7.952167,18.828749,17-2111.03,17,Architechture and Engineering
