,First component,Second component,SOC,Label,Occupation Category
0,35.633705,4.870797,11-1011.00,11,Management
1,34.084126,-3.6330347,11-1011.03,11,Management
2,28.850752,2.7234702,11-1021.00,11,Management
3,31.675701,10.628644,11-2011.00,11,Management
4,32.332676,9.43574,11-2021.00,11,Management
5,34.167717,6.355294,11-2022.00,11,Management
6,32.07496,11.7401085,11-2031.00,11,Management
7,25.985855,3.407342,11-3011.00,11,Management
8,25.663206,-6.864228,11-3021.00,11,Management
9,34.053524,2.4988482,11-3031.01,11,Management
10,32.71432,4.393717,11-3031.02,11,Management
11,24.339813,-3.8478007,11-3051.00,11,Management
12,24.070086,-7.2185984,11-3051.01,11,Management
13,24.003466,-5.1505885,11-3051.02,11,Management
14,25.005463,-6.001763,11-3051.03,11,Management
15,23.321613,-5.447787,11-3051.04,11,Management
16,23.652,-6.333098,11-3051.06,11,Management
17,30.685617,0.20391077,11-3061.00,11,Management
18,29.86872,2.739628,11-3071.01,11,Management
19,26.523897,1.71755,11-3071.02,11,Management
20,29.359764,0.01256712,11-3071.03,11,Management
21,16.435787,7.939016,11-3111.00,11,Management
22,35.12349,7.9401355,11-3121.00,11,Management
23,35.9557,7.041217,11-3131.00,11,Management
24,22.956417,-1.6759664,11-9013.01,11,Management
25,19.403221,-9.030109,11-9013.02,11,Management
26,22.045353,-6.2227697,11-9013.03,11,Management
27,28.167423,-0.41655535,11-9021.00,11,Management
28,31.107784,6.498732,11-9031.00,11,Management
29,36.028225,6.383487,11-9032.00,11,Management
30,34.711243,7.5122914,11-9033.00,11,Management
31,33.165283,-5.3930783,11-9039.01,11,Management
32,27.02254,5.69192,11-9039.02,11,Management
33,27.801622,-7.6087236,11-9041.00,11,Management
34,12.477012,-28.859581,11-9041.01,11,Management
35,22.62155,1.1576471,11-9051.00,11,Management
36,24.995157,9.31126,11-9061.00,11,Management
37,29.898924,4.1893277,11-9071.00,11,Management
38,28.071648,7.830147,11-9081.00,11,Management
39,31.795616,3.076613,11-9111.00,11,Management
40,28.110945,-8.112749,11-9121.00,11,Management
41,33.650776,-0.46192402,11-9121.01,11,Management
