,First component,Second component,SOC,Label,Occupation Category
0,-30.807453,16.341536,11-1011.00,11,Management
1,-30.343008,8.2937975,11-1011.03,11,Management
2,-24.300512,19.55937,11-1021.00,11,Management
3,-34.613487,13.512645,11-2011.00,11,Management
4,-33.38966,14.640537,11-2021.00,11,Management
5,-23.336998,22.07232,11-2022.00,11,Management
6,-35.196205,14.681379,11-2031.00,11,Management
7,-23.172022,17.852783,11-3011.00,11,Management
8,-23.745983,10.740282,11-3021.00,11,Management
9,-21.76779,24.883223,11-3031.01,11,Management
10,-22.941895,23.360546,11-3031.02,11,Management
11,-22.577261,13.094107,11-3051.00,11,Management
12,-20.446661,12.170267,11-3051.01,11,Management
13,-21.792418,10.318908,11-3051.02,11,Management
14,-22.70056,10.296444,11-3051.03,11,Management
15,-21.104452,10.046517,11-3051.04,11,Management
16,-21.871853,9.608924,11-3051.06,11,Management
17,-19.909836,22.025896,11-3061.00,11,Management
18,-22.95834,19.64073,11-3071.01,11,Management
19,-22.510279,17.715199,11-3071.02,11,Management
20,-19.476046,21.511232,11-3071.03,11,Management
21,-23.794485,24.186934,11-3111.00,11,Management
22,-30.622005,18.91113,11-3121.00,11,Management
23,-31.862778,18.980198,11-3131.00,11,Management
24,-18.091085,11.13825,11-9013.01,11,Management
25,-17.547544,7.359174,11-9013.02,11,Management
26,-18.115324,9.960694,11-9013.03,11,Management
27,-22.772236,14.703981,11-9021.00,11,Management
28,-32.181217,21.38826,11-9031.00,11,Management
29,-31.642334,18.316214,11-9032.00,11,Management
30,-31.132504,17.902481,11-9033.00,11,Management
31,-30.08439,5.803631,11-9039.01,11,Management
32,-26.442415,17.417084,11-9039.02,11,Management
33,-24.690035,9.337523,11-9041.00,11,Management
34,-12.60194,-27.986048,11-9041.01,11,Management
35,-18.427862,16.751387,11-9051.00,11,Management
36,-31.565874,23.02166,11-9061.00,11,Management
37,-22.33636,19.744083,11-9071.00,11,Management
38,-29.411966,21.936129,11-9081.00,11,Management
39,-25.010447,22.05462,11-9111.00,11,Management
40,-25.05471,9.03454,11-9121.00,11,Management
41,-28.427656,6.0003653,11-9121.01,11,Management
42,-14.667012,-29.903372,11-9121.02,11,Management
43,-18.440645,17.870302,11-9131.00,11,Management
44,-16.316156,32.66688,11-9141.00,11,Management
45,-31.150024,19.57455,11-9151.00,11,Management
46,-27.3844,20.115877,11-9161.00,11,Management
47,-19.458328,24.916668,11-9199.01,11,Management
48,-9.651075,24.924559,11-9199.02,11,Management
49,-20.331953,27.48525,11-9199.03,11,Management
50,-20.424799,22.099476,11-9199.04,11,Management
51,-22.435234,16.444246,11-9199.07,11,Management
52,-21.077873,17.561876,11-9199.08,11,Management
53,-22.161808,11.031109,11-9199.09,11,Management
54,-27.795198,7.269909,11-9199.10,11,Management
55,-26.832487,7.1279917,11-9199.11,11,Management
56,-37.284477,15.106042,13-1011.00,13,Business and Financial Operations
57,-15.20171,32.16004,13-1021.00,13,Business and Financial Operations
58,-14.049385,31.879889,13-1022.00,13,Business and Financial Operations
59,-18.34404,22.777416,13-1023.00,13,Business and Financial Operations
60,-8.325505,25.865042,13-1031.01,13,Business and Financial Operations
61,-8.065178,27.068832,13-1031.02,13,Business and Financial Operations
62,-4.578471,29.807264,13-1032.00,13,Business and Financial Operations
63,1.7364476,-16.333052,13-1041.01,13,Business and Financial Operations
64,-5.786594,27.473104,13-1041.02,13,Business and Financial Operations
65,-22.544746,31.074778,13-1041.03,13,Business and Financial Operations
