,First component,Second component,SOC,Label,Occupation Category
0,22.968763,30.204836,11-1011.00,11,Management
1,4.533029,33.637672,11-1011.03,11,Management
2,18.964314,21.082834,11-1021.00,11,Management
3,15.563813,27.353067,11-2011.00,11,Management
4,14.878544,28.450714,11-2021.00,11,Management
5,22.055115,27.849888,11-2022.00,11,Management
6,20.09269,30.468248,11-2031.00,11,Management
7,17.64934,21.499125,11-3011.00,11,Management
8,8.235887,24.10081,11-3021.00,11,Management
9,12.895515,24.158499,11-3031.01,11,Management
10,13.584334,23.898792,11-3031.02,11,Management
11,18.589193,18.629515,11-3051.00,11,Management
12,7.681459,25.02125,11-3051.01,11,Management
13,7.5159597,22.209885,11-3051.02,11,Management
14,6.4562135,23.04796,11-3051.03,11,Management
15,7.071204,21.450315,11-3051.04,11,Management
16,6.1831126,22.232178,11-3051.06,11,Management
17,11.107134,21.534071,11-3061.00,11,Management
18,19.525946,21.1564,11-3071.01,11,Management
19,16.75141,20.897493,11-3071.02,11,Management
20,11.0171385,20.617226,11-3071.03,11,Management
21,11.941115,18.505598,11-3111.00,11,Management
22,23.740505,26.97106,11-3121.00,11,Management
23,23.625404,26.252432,11-3131.00,11,Management
24,16.713907,17.806646,11-9013.01,11,Management
25,-9.214786,32.326797,11-9013.02,11,Management
26,4.688578,22.507038,11-9013.03,11,Management
27,13.029854,20.844204,11-9021.00,11,Management
28,25.176317,21.197239,11-9031.00,11,Management
29,23.99941,29.193357,11-9032.00,11,Management
30,23.610327,28.987633,11-9033.00,11,Management
31,9.408493,27.599236,11-9039.01,11,Management
32,22.893375,22.407112,11-9039.02,11,Management
33,5.754215,25.64566,11-9041.00,11,Management
34,-7.2260365,29.45568,11-9041.01,11,Management
35,20.015415,15.810698,11-9051.00,11,Management
36,28.769669,17.811155,11-9061.00,11,Management
37,21.056656,20.839317,11-9071.00,11,Management
38,32.26185,30.034605,11-9081.00,11,Management
39,15.028425,21.866957,11-9111.00,11,Management
40,0.016987624,30.087194,11-9121.00,11,Management
41,7.2311835,17.676813,11-9121.01,11,Management
42,-10.681813,29.719095,11-9121.02,11,Management
43,23.680994,13.807742,11-9131.00,11,Management
44,6.2438555,17.110485,11-9141.00,11,Management
45,24.507734,27.832819,11-9151.00,11,Management
46,22.595263,27.144775,11-9161.00,11,Management
47,8.155561,16.324745,11-9199.01,11,Management
48,16.131845,8.714843,11-9199.02,11,Management
49,10.085035,15.950646,11-9199.03,11,Management
50,11.3799,21.599913,11-9199.04,11,Management
51,18.12929,22.65038,11-9199.07,11,Management
52,18.120193,23.267574,11-9199.08,11,Management
53,6.1244254,23.366808,11-9199.09,11,Management
54,-0.27029923,26.267057,11-9199.10,11,Management
55,-1.4551538,26.018444,11-9199.11,11,Management
56,9.364178,6.4450283,13-1011.00,13,Business and Financial Operations
57,5.388435,16.265125,13-1021.00,13,Business and Financial Operations
58,7.6797256,1.3066334,13-1022.00,13,Business and Financial Operations
59,9.875657,17.245562,13-1023.00,13,Business and Financial Operations
60,15.716423,7.611213,13-1031.01,13,Business and Financial Operations
61,36.271084,1.8007928,13-1031.02,13,Business and Financial Operations
62,-1.8096147,-10.908107,13-1032.00,13,Business and Financial Operations
63,-18.337198,11.725387,13-1041.01,13,Business and Financial Operations
64,7.563395,-1.4810481,13-1041.02,13,Business and Financial Operations
