,First component,Second component,SOC,Label,Occupation Category
0,20.266048,-16.647568,11-1011.00,11,Management
1,-12.182828,-30.61784,11-1011.03,11,Management
2,12.4025135,-15.154467,11-1021.00,11,Management
3,8.623756,-4.755676,11-2011.00,11,Management
4,9.216822,-5.3942533,11-2021.00,11,Management
5,9.871797,-6.0893517,11-2022.00,11,Management
6,9.80792,-3.1922922,11-2031.00,11,Management
7,13.467796,-14.610062,11-3011.00,11,Management
8,-12.047132,-8.767702,11-3021.00,11,Management
9,18.457052,-1.5171592,11-3031.01,11,Management
10,18.147533,-2.4088912,11-3031.02,11,Management
11,4.7381797,-23.488085,11-3051.00,11,Management
12,5.286893,-25.320396,11-3051.01,11,Management
13,1.0199492,-25.555613,11-3051.02,11,Management
14,6.583614,-28.212664,11-3051.03,11,Management
15,1.3798347,-25.31848,11-3051.04,11,Management
16,0.52417165,-25.112976,11-3051.06,11,Management
17,11.0779505,-15.002561,11-3061.00,11,Management
18,8.038028,-17.08083,11-3071.01,11,Management
19,8.943607,-16.379593,11-3071.02,11,Management
20,8.36402,-15.757351,11-3071.03,11,Management
21,19.063251,-3.757803,11-3111.00,11,Management
22,22.399557,-15.9885435,11-3121.00,11,Management
23,23.793877,-17.871769,11-3131.00,11,Management
24,9.754602,-28.665133,11-9013.01,11,Management
25,7.2665987,-29.689043,11-9013.02,11,Management
26,7.875068,-28.501951,11-9013.03,11,Management
27,-16.077368,-25.281841,11-9021.00,11,Management
28,19.075302,-20.9136,11-9031.00,11,Management
29,21.587685,-17.796019,11-9032.00,11,Management
30,22.84832,-17.088457,11-9033.00,11,Management
31,24.388683,-20.686163,11-9039.01,11,Management
32,19.809258,-13.173136,11-9039.02,11,Management
33,-17.161722,-25.510841,11-9041.00,11,Management
34,-26.853815,-14.4360695,11-9041.01,11,Management
35,11.950899,-24.88589,11-9051.00,11,Management
36,44.951107,-19.637274,11-9061.00,11,Management
37,14.289893,-14.060878,11-9071.00,11,Management
38,19.481411,-19.306564,11-9081.00,11,Management
39,16.059301,-14.680723,11-9111.00,11,Management
40,-12.139891,-34.29784,11-9121.00,11,Management
41,9.411155,-41.50691,11-9121.01,11,Management
42,-20.882885,-29.138458,11-9121.02,11,Management
43,8.924857,-18.105993,11-9131.00,11,Management
44,12.151868,-11.649681,11-9141.00,11,Management
45,21.971207,-17.176153,11-9151.00,11,Management
46,16.279509,-19.07744,11-9161.00,11,Management
47,7.6210732,-42.23452,11-9199.01,11,Management
48,24.196402,-8.643059,11-9199.02,11,Management
49,17.177996,-0.037820797,11-9199.03,11,Management
50,7.9234533,-15.1485195,11-9199.04,11,Management
51,15.944721,-18.33926,11-9199.07,11,Management
52,15.46909,-17.558786,11-9199.08,11,Management
53,2.0660388,-23.491888,11-9199.09,11,Management
54,-15.767986,-26.072994,11-9199.10,11,Management
55,-13.092982,-33.22501,11-9199.11,11,Management
56,8.7369375,-1.5326614,13-1011.00,13,Business and Financial Operations
57,9.012524,-13.947597,13-1021.00,13,Business and Financial Operations
58,9.661151,4.1769624,13-1022.00,13,Business and Financial Operations
59,10.429466,-14.736801,13-1023.00,13,Business and Financial Operations
60,25.858084,-2.1577628,13-1031.01,13,Business and Financial Operations
61,25.289385,-1.8466187,13-1031.02,13,Business and Financial Operations
62,6.4157352,19.13033,13-1032.00,13,Business and Financial Operations
63,-9.71775,-35.245476,13-1041.01,13,Business and Financial Operations
64,26.730928,-2.3995328,13-1041.02,13,Business and Financial Operations
65,22.319172,-7.851653,13-1041.03,13,Business and Financial Operations
66,-5.5505705,-25.49389,13-1041.04,13,Business and Financial Operations
67,32.347187,-11.323367,13-1041.06,13,Business and Financial Operations
68,7.60754,-42.27205,13-1041.07,13,Business and Financial Operations
69,-18.147158,-23.204344,13-1051.00,13,Business and Financial Operations
70,23.62532,15.96186,13-1071.00,13,Business and Financial Operations
71,0.3618083,30.377737,13-1074.00,13,Business and Financial Operations
72,21.60314,-7.4891715,13-1075.00,13,Business and Financial Operations
73,7.691099,-16.056145,13-1081.00,13,Business and Financial Operations
74,-23.359663,-22.983261,13-1081.01,13,Business and Financial Operations
75,5.7108455,-14.363866,13-1081.02,13,Business and Financial Operations
76,23.905537,-15.000983,13-1111.00,13,Business and Financial Operations
77,5.6894703,-7.0296297,13-1121.00,13,Business and Financial Operations
78,10.522984,-2.7722912,13-1131.00,13,Business and Financial Operations
79,20.46088,-7.6820292,13-1141.00,13,Business and Financial Operations
80,24.357826,-18.21474,13-1151.00,13,Business and Financial Operations
81,13.581567,-2.2551064,13-1161.00,13,Business and Financial Operations
82,-19.557852,-20.461626,13-1199.01,13,Business and Financial Operations
83,0.038310405,-22.70136,13-1199.02,13,Business and Financial Operations
84,4.714567,-14.723881,13-1199.03,13,Business and Financial Operations
85,13.387766,-17.228598,13-1199.04,13,Business and Financial Operations
86,-12.04713,-30.991417,13-1199.05,13,Business and Financial Operations
