,First component,Second component,SOC,Label,Occupation Category
0,17.017118,-29.651222,11-1011.00,11,Management
1,25.407278,-13.279447,11-1011.03,11,Management
2,10.527399,-20.95278,11-1021.00,11,Management
3,22.298065,-19.32147,11-2011.00,11,Management
4,22.830278,-15.497962,11-2021.00,11,Management
5,12.9288435,-24.15173,11-2022.00,11,Management
6,18.933987,-26.841679,11-2031.00,11,Management
7,13.528743,-17.011398,11-3011.00,11,Management
8,16.015423,-10.642107,11-3021.00,11,Management
9,13.577304,-12.846011,11-3031.01,11,Management
10,15.11766,-12.943372,11-3031.02,11,Management
11,12.176971,-20.84979,11-3051.00,11,Management
12,12.212566,-10.6906805,11-3051.01,11,Management
13,21.861252,-12.456772,11-3051.02,11,Management
14,20.967005,-11.587571,11-3051.03,11,Management
15,22.440767,-10.840124,11-3051.04,11,Management
16,21.410473,-11.115862,11-3051.06,11,Management
17,17.330742,-8.4493475,11-3061.00,11,Management
18,10.069851,-20.317204,11-3071.01,11,Management
19,13.082281,-16.183828,11-3071.02,11,Management
20,17.55472,-6.407009,11-3071.03,11,Management
21,14.442157,-10.9040985,11-3111.00,11,Management
22,15.005091,-25.411394,11-3121.00,11,Management
23,14.88487,-25.7811,11-3131.00,11,Management
24,14.716964,-22.3096,11-9013.01,11,Management
25,21.365461,1.5929097,11-9013.02,11,Management
26,18.822357,-4.616519,11-9013.03,11,Management
27,15.570163,-11.858358,11-9021.00,11,Management
28,4.5786476,-32.21271,11-9031.00,11,Management
29,17.27631,-28.25818,11-9032.00,11,Management
30,17.735832,-28.184721,11-9033.00,11,Management
31,21.231155,-8.443316,11-9039.01,11,Management
32,11.798616,-28.890427,11-9039.02,11,Management
33,27.88325,-4.4028625,11-9041.00,11,Management
34,26.006653,0.50363696,11-9041.01,11,Management
35,8.864542,-20.623137,11-9051.00,11,Management
36,1.8807001,-31.166704,11-9061.00,11,Management
37,9.331138,-19.31978,11-9071.00,11,Management
38,-2.0577354,-45.001648,11-9081.00,11,Management
39,12.613974,-15.283875,11-9111.00,11,Management
40,28.810232,-3.5873415,11-9121.00,11,Management
41,17.56595,-13.268686,11-9121.01,11,Management
42,28.236633,14.379345,11-9121.02,11,Management
43,12.29032,-21.886953,11-9131.00,11,Management
44,16.879023,-14.491605,11-9141.00,11,Management
45,15.849544,-27.9446,11-9151.00,11,Management
46,13.737308,-23.600397,11-9161.00,11,Management
47,14.204969,-6.926292,11-9199.01,11,Management
48,11.5174055,-11.038989,11-9199.02,11,Management
49,14.703334,-8.747027,11-9199.03,11,Management
50,17.64797,-8.633418,11-9199.04,11,Management
51,14.888274,-17.607704,11-9199.07,11,Management
52,15.45319,-16.934105,11-9199.08,11,Management
53,20.112614,-11.538774,11-9199.09,11,Management
54,23.802769,-2.6310587,11-9199.10,11,Management
55,30.864208,6.002867,11-9199.11,11,Management
56,22.759384,-2.1167696,13-1011.00,13,Business and Financial Operations
57,13.656554,-5.090985,13-1021.00,13,Business and Financial Operations
58,-0.8005873,-4.747658,13-1022.00,13,Business and Financial Operations
59,13.484587,-8.025644,13-1023.00,13,Business and Financial Operations
60,10.509259,-10.3202915,13-1031.01,13,Business and Financial Operations
61,-8.252116,-38.39887,13-1031.02,13,Business and Financial Operations
62,-9.087172,16.211077,13-1032.00,13,Business and Financial Operations
63,8.898357,20.469286,13-1041.01,13,Business and Financial Operations
64,5.5529623,-4.858903,13-1041.02,13,Business and Financial Operations
65,9.700683,-10.178201,13-1041.03,13,Business and Financial Operations
66,4.3042493,-10.601855,13-1041.04,13,Business and Financial Operations
67,0.2854614,-24.345354,13-1041.06,13,Business and Financial Operations
68,16.695837,10.999015,13-1041.07,13,Business and Financial Operations
69,18.547499,3.4499936,13-1051.00,13,Business and Financial Operations
70,-6.668755,-27.916914,13-1071.00,13,Business and Financial Operations
71,-34.209095,9.852319,13-1074.00,13,Business and Financial Operations
72,16.328384,-19.437954,13-1075.00,13,Business and Financial Operations
73,16.848806,-12.2635,13-1081.00,13,Business and Financial Operations
74,27.21747,10.67147,13-1081.01,13,Business and Financial Operations
75,19.06502,9.111091,13-1081.02,13,Business and Financial Operations
76,18.879503,-29.09785,13-1111.00,13,Business and Financial Operations
77,1.0817114,-31.394863,13-1121.00,13,Business and Financial Operations
78,18.910328,-26.648956,13-1131.00,13,Business and Financial Operations
79,12.120839,-9.297003,13-1141.00,13,Business and Financial Operations
80,7.1938663,-38.834694,13-1151.00,13,Business and Financial Operations
81,39.249027,5.5638504,13-1161.00,13,Business and Financial Operations
82,10.662799,21.377674,13-1199.01,13,Business and Financial Operations
83,14.041285,-0.3560943,13-1199.02,13,Business and Financial Operations
84,17.800537,7.0949883,13-1199.03,13,Business and Financial Operations
85,23.300995,-3.0834174,13-1199.04,13,Business and Financial Operations
86,23.792679,-5.3566613,13-1199.05,13,Business and Financial Operations
87,20.463125,1.1783942,13-1199.06,13,Business and Financial Operations
88,15.699555,7.763853,13-2011.01,13,Business and Financial Operations
89,13.994437,-6.3082204,13-2011.02,13,Business and Financial Operations
90,-8.352284,15.956024,13-2021.01,13,Business and Financial Operations
91,11.35339,25.619108,13-2021.02,13,Business and Financial Operations
92,14.597379,4.7767076,13-2031.00,13,Business and Financial Operations
93,15.286235,8.960886,13-2041.00,13,Business and Financial Operations
94,36.494427,-1.01054,13-2051.00,13,Business and Financial Operations
95,17.889042,-12.070216,13-2052.00,13,Business and Financial Operations
96,15.631456,8.360333,13-2053.00,13,Business and Financial Operations
97,17.959597,9.151056,13-2061.00,13,Business and Financial Operations
98,2.7251186,-29.291063,13-2071.00,13,Business and Financial Operations
99,-19.403479,-3.4377527,13-2071.01,13,Business and Financial Operations
100,8.363879,-3.9760265,13-2072.00,13,Business and Financial Operations
101,4.629953,-6.6345577,13-2081.00,13,Business and Financial Operations
102,-17.07173,-4.524014,13-2082.00,13,Business and Financial Operations
103,32.589508,17.080727,13-2099.01,13,Business and Financial Operations
104,18.94616,-8.682358,13-2099.02,13,Business and Financial Operations
105,12.671512,-8.292989,13-2099.04,13,Business and Financial Operations
106,24.291252,20.138607,15-1111.00,15,Computers and Math
107,13.947209,2.1793213,15-1121.00,15,Computers and Math
108,10.212053,-13.89105,15-1121.01,15,Computers and Math
