,First component,Second component,SOC,Label,Occupation Category
0,-20.280321,-28.847658,11-1011.00,11,Management
1,24.317171,-9.269037,11-1011.03,11,Management
2,-9.428669,-11.090993,11-1021.00,11,Management
3,-12.846769,-22.196749,11-2011.00,11,Management
4,-12.8783045,-21.086546,11-2021.00,11,Management
5,-12.864818,-19.54605,11-2022.00,11,Management
6,-14.816637,-22.942144,11-2031.00,11,Management
7,-9.848178,-11.91631,11-3011.00,11,Management
8,11.86162,6.8463707,11-3021.00,11,Management
9,-29.397482,-19.558138,11-3031.01,11,Management
10,-28.497822,-17.978245,11-3031.02,11,Management
11,-2.1643777,-7.0409455,11-3051.00,11,Management
12,0.17874861,-5.428538,11-3051.01,11,Management
13,14.57333,-7.0629077,11-3051.02,11,Management
14,9.264668,-5.4204736,11-3051.03,11,Management
15,14.7340765,-6.6545053,11-3051.04,11,Management
16,14.223869,-6.120952,11-3051.06,11,Management
17,-9.257159,-9.77506,11-3061.00,11,Management
18,-7.071133,-5.958799,11-3071.01,11,Management
19,-8.000614,-6.934852,11-3071.02,11,Management
20,-8.431272,-6.172754,11-3071.03,11,Management
21,-27.193619,-24.470942,11-3111.00,11,Management
22,-21.721548,-29.982859,11-3121.00,11,Management
23,-19.227215,-32.460526,11-3131.00,11,Management
24,6.534051,-5.99672,11-9013.01,11,Management
25,8.873254,-3.9009006,11-9013.02,11,Management
26,8.053616,-4.997033,11-9013.03,11,Management
27,17.299025,-5.3365064,11-9021.00,11,Management
28,-17.651585,-36.592865,11-9031.00,11,Management
29,-18.651579,-34.618237,11-9032.00,11,Management
30,-18.50596,-32.084923,11-9033.00,11,Management
31,-14.468804,-28.19008,11-9039.01,11,Management
32,-15.396899,-33.57852,11-9039.02,11,Management
33,19.685081,-3.7226312,11-9041.00,11,Management
34,23.997297,20.239271,11-9041.01,11,Management
35,-15.614296,-4.741903,11-9051.00,11,Management
36,-14.642113,-37.096012,11-9061.00,11,Management
37,-10.7731495,-11.893476,11-9071.00,11,Management
38,-12.77132,-12.336116,11-9081.00,11,Management
39,-21.655258,-25.809122,11-9111.00,11,Management
40,26.572327,-7.16609,11-9121.00,11,Management
41,-28.633104,-31.00847,11-9121.01,11,Management
42,33.67202,7.9450836,11-9121.02,11,Management
43,-6.083994,-7.61721,11-9131.00,11,Management
44,-10.41175,-13.752805,11-9141.00,11,Management
45,-17.856941,-34.42137,11-9151.00,11,Management
46,6.306962,-14.873143,11-9161.00,11,Management
47,0.93843657,-4.0890665,11-9199.01,11,Management
48,-5.560768,-13.440023,11-9199.02,11,Management
49,-26.958305,-18.686766,11-9199.03,11,Management
50,-9.212633,-5.997405,11-9199.04,11,Management
51,5.344497,-14.431554,11-9199.07,11,Management
52,-4.579946,-12.671198,11-9199.08,11,Management
53,15.208624,-4.882991,11-9199.09,11,Management
54,23.324846,-6.292746,11-9199.10,11,Management
55,25.576656,-6.661407,11-9199.11,11,Management
56,-14.985322,-24.071445,13-1011.00,13,Business and Financial Operations
57,-9.683913,-7.5427423,13-1021.00,13,Business and Financial Operations
58,-25.73971,-6.262021,13-1022.00,13,Business and Financial Operations
59,-8.617572,-9.150345,13-1023.00,13,Business and Financial Operations
60,-17.269407,-12.210056,13-1031.01,13,Business and Financial Operations
61,-16.69682,-11.815914,13-1031.02,13,Business and Financial Operations
62,-27.255331,0.50121456,13-1032.00,13,Business and Financial Operations
63,31.674786,-5.517655,13-1041.01,13,Business and Financial Operations
64,-17.489603,-13.085554,13-1041.02,13,Business and Financial Operations
65,-23.433956,-29.81073,13-1041.03,13,Business and Financial Operations
66,13.179673,-11.139753,13-1041.04,13,Business and Financial Operations
67,6.1333833,-19.440773,13-1041.06,13,Business and Financial Operations
68,1.0977211,-3.800724,13-1041.07,13,Business and Financial Operations
69,21.775253,-3.9564857,13-1051.00,13,Business and Financial Operations
70,-26.83903,-26.6676,13-1071.00,13,Business and Financial Operations
71,-21.139103,8.296149,13-1074.00,13,Business and Financial Operations
72,-22.743607,-29.003439,13-1075.00,13,Business and Financial Operations
73,-8.200056,-5.5974035,13-1081.00,13,Business and Financial Operations
74,25.333546,12.775268,13-1081.01,13,Business and Financial Operations
75,-9.909101,-3.6028748,13-1081.02,13,Business and Financial Operations
76,-19.470762,-29.906126,13-1111.00,13,Business and Financial Operations
77,-15.642695,-16.484653,13-1121.00,13,Business and Financial Operations
78,-15.661363,-22.68053,13-1131.00,13,Business and Financial Operations
79,-22.710625,-27.304441,13-1141.00,13,Business and Financial Operations
80,-19.773708,-32.891705,13-1151.00,13,Business and Financial Operations
81,-22.054432,-21.462147,13-1161.00,13,Business and Financial Operations
82,22.10823,-3.051872,13-1199.01,13,Business and Financial Operations
83,24.150928,5.627568,13-1199.02,13,Business and Financial Operations
84,-10.542705,-2.696739,13-1199.03,13,Business and Financial Operations
85,-7.520893,-13.116976,13-1199.04,13,Business and Financial Operations
86,24.659224,-9.725181,13-1199.05,13,Business and Financial Operations
87,-14.394647,-19.689127,13-1199.06,13,Business and Financial Operations
88,-33.88585,-17.543095,13-2011.01,13,Business and Financial Operations
89,-28.801573,-19.535349,13-2011.02,13,Business and Financial Operations
90,-19.07185,-8.93914,13-2021.01,13,Business and Financial Operations
91,-18.76523,-8.835553,13-2021.02,13,Business and Financial Operations
92,-31.86091,-18.77345,13-2031.00,13,Business and Financial Operations
93,-33.22466,-16.922306,13-2041.00,13,Business and Financial Operations
94,-26.522802,-20.712381,13-2051.00,13,Business and Financial Operations
95,-27.854704,-15.95081,13-2052.00,13,Business and Financial Operations
96,-30.871923,-11.013911,13-2053.00,13,Business and Financial Operations
97,-33.17399,-18.03267,13-2061.00,13,Business and Financial Operations
98,-28.487402,-15.298733,13-2071.00,13,Business and Financial Operations
99,-28.54394,-13.685875,13-2071.01,13,Business and Financial Operations
100,-26.912968,-16.31018,13-2072.00,13,Business and Financial Operations
101,-30.888042,-16.571669,13-2081.00,13,Business and Financial Operations
102,-32.333656,-14.066078,13-2082.00,13,Business and Financial Operations
103,18.651628,2.757469,13-2099.01,13,Business and Financial Operations
104,-7.312613,-10.241682,13-2099.02,13,Business and Financial Operations
105,-23.902145,-23.777868,13-2099.04,13,Business and Financial Operations
106,16.343185,7.62639,15-1111.00,15,Computers and Math
107,12.697481,3.1621284,15-1121.00,15,Computers and Math
108,20.762682,-47.71434,15-1121.01,15,Computers and Math
109,11.405103,8.347903,15-1122.00,15,Computers and Math
110,14.097988,5.5955124,15-1131.00,15,Computers and Math
111,15.216422,3.581101,15-1132.00,15,Computers and Math
112,14.711662,7.8060365,15-1133.00,15,Computers and Math
113,12.544525,4.43193,15-1134.00,15,Computers and Math
114,10.661076,8.065479,15-1141.00,15,Computers and Math
115,12.383208,8.629475,15-1142.00,15,Computers and Math
116,14.613922,9.272757,15-1143.00,15,Computers and Math
117,15.366141,11.763994,15-1143.01,15,Computers and Math
118,10.546102,10.045397,15-1151.00,15,Computers and Math
119,12.071638,10.007637,15-1152.00,15,Computers and Math
120,13.069209,3.382561,15-1199.01,15,Computers and Math
121,15.389268,7.866658,15-1199.02,15,Computers and Math
122,9.681686,5.56744,15-1199.03,15,Computers and Math
123,33.598698,-0.91144925,15-1199.04,15,Computers and Math
124,33.523846,0.19144523,15-1199.05,15,Computers and Math
125,14.700254,3.9035647,15-1199.06,15,Computers and Math
126,14.199988,3.1325195,15-1199.07,15,Computers and Math
127,-20.574379,-19.773848,15-1199.08,15,Computers and Math
128,-8.385946,-12.690369,15-1199.09,15,Computers and Math
129,-19.968561,-19.998188,15-1199.10,15,Computers and Math
130,-5.1533246,-22.543884,15-1199.11,15,Computers and Math
131,9.508135,6.1874523,15-1199.12,15,Computers and Math
132,-27.919708,-20.97826,15-2011.00,15,Computers and Math
133,19.724724,4.24568,15-2021.00,15,Computers and Math
134,19.246365,3.6671107,15-2031.00,15,Computers and Math
135,26.80794,-27.0146,15-2041.00,15,Computers and Math
136,26.935043,-27.295662,15-2041.01,15,Computers and Math
137,11.805411,1.5951805,15-2041.02,15,Computers and Math
138,22.43457,-14.640417,17-1011.00,17,Architechture and Engineering
139,22.592531,-14.383061,17-1012.00,17,Architechture and Engineering
140,34.6055,1.559626,17-1021.00,17,Architechture and Engineering
141,28.49558,2.200639,17-1022.00,17,Architechture and Engineering
142,30.016073,1.6950432,17-1022.01,17,Architechture and Engineering
