,First component,Second component,SOC,Label,Occupation Category
0,-26.10365,-7.507009,11-1011.00,11,Management
1,-8.207744,33.960526,11-1011.03,11,Management
2,-18.768513,-3.7812822,11-1021.00,11,Management
3,-5.7067256,-7.811684,11-2011.00,11,Management
4,-6.5986853,-7.7631226,11-2021.00,11,Management
5,-7.6531363,-8.264422,11-2022.00,11,Management
6,-6.572874,-11.758651,11-2031.00,11,Management
7,-20.106937,-4.825802,11-3011.00,11,Management
8,2.4537163,11.226967,11-3021.00,11,Management
9,-15.402221,-24.03166,11-3031.01,11,Management
10,-14.076884,-22.522255,11-3031.02,11,Management
11,-10.535749,6.9454503,11-3051.00,11,Management
12,-14.555797,14.250112,11-3051.01,11,Management
13,-0.75516784,25.771135,11-3051.02,11,Management
14,-13.148335,27.94302,11-3051.03,11,Management
15,-0.49333066,26.176773,11-3051.04,11,Management
16,0.18904614,25.7089,11-3051.06,11,Management
17,-18.054802,-2.0836034,11-3061.00,11,Management
18,-15.221027,0.171529,11-3071.01,11,Management
19,-16.59875,1.1140133,11-3071.02,11,Management
20,-15.721807,1.5652531,11-3071.03,11,Management
21,-19.718462,-21.183483,11-3111.00,11,Management
22,-27.359491,-10.015644,11-3121.00,11,Management
23,-30.296976,-9.154532,11-3131.00,11,Management
24,-15.739969,27.827967,11-9013.01,11,Management
25,-12.794404,29.130737,11-9013.02,11,Management
26,-14.20133,29.132372,11-9013.03,11,Management
27,1.923108,29.416866,11-9021.00,11,Management
28,-33.810097,-3.9664736,11-9031.00,11,Management
29,-32.402985,-7.8748913,11-9032.00,11,Management
30,-30.36298,-8.130529,11-9033.00,11,Management
31,-3.907227,0.8581931,11-9039.01,11,Management
32,-30.856152,-4.6153874,11-9039.02,11,Management
33,3.6534266,32.0213,11-9041.00,11,Management
34,24.13149,34.55777,11-9041.01,11,Management
35,-16.949665,7.6143436,11-9051.00,11,Management
36,-45.42,23.02741,11-9061.00,11,Management
37,-19.251554,-4.6593747,11-9071.00,11,Management
38,-25.122503,-3.8154352,11-9081.00,11,Management
39,-21.937983,-6.356952,11-9111.00,11,Management
40,-10.919335,40.421654,11-9121.00,11,Management
41,-36.498318,13.152888,11-9121.01,11,Management
42,6.0462713,37.390038,11-9121.02,11,Management
43,-15.719615,-1.0589339,11-9131.00,11,Management
44,-18.3003,-5.872944,11-9141.00,11,Management
45,-32.211784,-7.0136065,11-9151.00,11,Management
46,-23.962324,9.829745,11-9161.00,11,Management
47,-15.539853,15.541459,11-9199.01,11,Management
48,-22.96468,-1.1609815,11-9199.02,11,Management
49,-15.983723,-21.81576,11-9199.03,11,Management
50,-15.963445,2.391011,11-9199.04,11,Management
51,-23.80477,9.21742,11-9199.07,11,Management
52,-22.307255,-0.04791777,11-9199.08,11,Management
53,1.3332523,27.00227,11-9199.09,11,Management
54,2.376503,31.420298,11-9199.10,11,Management
55,-8.829809,38.36869,11-9199.11,11,Management
56,-5.1820707,-11.962789,13-1011.00,13,Business and Financial Operations
57,-18.135548,1.4423335,13-1021.00,13,Business and Financial Operations
58,-3.8260999,-21.541025,13-1022.00,13,Business and Financial Operations
59,-17.99871,-1.3405881,13-1023.00,13,Business and Financial Operations
60,-20.790613,-14.28083,13-1031.01,13,Business and Financial Operations
61,-20.420858,-13.818271,13-1031.02,13,Business and Financial Operations
62,3.3607993,-26.639002,13-1032.00,13,Business and Financial Operations
63,-10.182382,37.433357,13-1041.01,13,Business and Financial Operations
64,-21.808578,-14.907757,13-1041.02,13,Business and Financial Operations
65,-26.666782,-11.739122,13-1041.03,13,Business and Financial Operations
66,-21.37409,21.62402,13-1041.04,13,Business and Financial Operations
67,-28.97097,9.364252,13-1041.06,13,Business and Financial Operations
68,-15.760149,15.777596,13-1041.07,13,Business and Financial Operations
69,5.356525,30.018185,13-1051.00,13,Business and Financial Operations
70,-14.704856,-32.32145,13-1071.00,13,Business and Financial Operations
71,23.04265,-32.309265,13-1074.00,13,Business and Financial Operations
72,-26.232933,-10.832461,13-1075.00,13,Business and Financial Operations
73,-15.238876,1.1161243,13-1081.00,13,Business and Financial Operations
74,10.504341,28.534805,13-1081.01,13,Business and Financial Operations
75,-12.1366,1.0381848,13-1081.02,13,Business and Financial Operations
76,-27.928766,-7.753204,13-1111.00,13,Business and Financial Operations
77,-19.28917,-10.420793,13-1121.00,13,Business and Financial Operations
78,-7.22936,-12.409527,13-1131.00,13,Business and Financial Operations
79,-25.352997,-10.077829,13-1141.00,13,Business and Financial Operations
80,-30.721006,-9.821573,13-1151.00,13,Business and Financial Operations
81,-10.001978,-10.50403,13-1161.00,13,Business and Financial Operations
82,7.104551,30.335676,13-1199.01,13,Business and Financial Operations
83,-0.26693103,29.07154,13-1199.02,13,Business and Financial Operations
84,-11.173759,0.2830505,13-1199.03,13,Business and Financial Operations
85,-21.351637,-2.4213016,13-1199.04,13,Business and Financial Operations
86,-8.632931,34.2728,13-1199.05,13,Business and Financial Operations
87,-6.811256,-9.384907,13-1199.06,13,Business and Financial Operations
88,-12.974695,-25.925081,13-2011.01,13,Business and Financial Operations
89,-15.521564,-23.161114,13-2011.02,13,Business and Financial Operations
90,-8.805762,-17.825743,13-2021.01,13,Business and Financial Operations
91,-8.875641,-17.515463,13-2021.02,13,Business and Financial Operations
92,-14.290199,-26.426609,13-2031.00,13,Business and Financial Operations
93,-12.242421,-24.994707,13-2041.00,13,Business and Financial Operations
94,-16.89805,-21.742414,13-2051.00,13,Business and Financial Operations
95,-14.409632,-19.6336,13-2052.00,13,Business and Financial Operations
96,-4.185981,-26.935835,13-2053.00,13,Business and Financial Operations
97,-13.163912,-25.16201,13-2061.00,13,Business and Financial Operations
98,-14.44403,-18.744757,13-2071.00,13,Business and Financial Operations
99,-11.020853,-29.605764,13-2071.01,13,Business and Financial Operations
100,-13.290221,-20.742716,13-2072.00,13,Business and Financial Operations
101,-11.769332,-27.496368,13-2081.00,13,Business and Financial Operations
102,-10.137081,-27.197416,13-2082.00,13,Business and Financial Operations
103,-18.35795,-24.785986,13-2099.01,13,Business and Financial Operations
104,-19.62231,-0.90448785,13-2099.02,13,Business and Financial Operations
