,First component,Second component,SOC,Label,Occupation Category
0,-32.37148,0.5290428,11-1011.00,11,Management
1,-12.298459,27.544247,11-1011.03,11,Management
2,-16.381124,1.7314676,11-1021.00,11,Management
3,-36.50171,9.492193,11-2011.00,11,Management
4,-36.02446,8.363191,11-2021.00,11,Management
5,-35.219894,6.9341264,11-2022.00,11,Management
6,-33.91969,9.489175,11-2031.00,11,Management
7,-17.055996,0.48201755,11-3011.00,11,Management
8,6.61223,12.4003525,11-3021.00,11,Management
9,-13.192814,-11.283596,11-3031.01,11,Management
10,-13.918068,-10.710758,11-3031.02,11,Management
11,-12.940422,9.155487,11-3051.00,11,Management
12,-8.170201,9.940946,11-3051.01,11,Management
13,-14.300457,14.194704,11-3051.02,11,Management
14,-11.114183,16.988533,11-3051.03,11,Management
15,-13.93346,13.873736,11-3051.04,11,Management
16,-13.377681,14.439804,11-3051.06,11,Management
17,-10.408293,2.2297711,11-3061.00,11,Management
18,-11.753731,5.520767,11-3071.01,11,Management
19,-10.378401,5.5295353,11-3071.02,11,Management
20,-9.517382,4.2721415,11-3071.03,11,Management
21,-18.64214,-6.936401,11-3111.00,11,Management
22,-33.721737,-0.62541366,11-3121.00,11,Management
23,-36.113907,0.4926051,11-3131.00,11,Management
24,-9.217083,16.896137,11-9013.01,11,Management
25,-9.972734,20.353714,11-9013.02,11,Management
26,-9.926463,18.357222,11-9013.03,11,Management
27,-11.674103,12.656372,11-9021.00,11,Management
28,-35.789288,-5.4099374,11-9031.00,11,Management
29,-35.212585,-1.448098,11-9032.00,11,Management
30,-35.278065,-0.25167656,11-9033.00,11,Management
31,-38.23772,5.585749,11-9039.01,11,Management
32,-35.47858,-7.856408,11-9039.02,11,Management
33,7.145557,29.618538,11-9041.00,11,Management
34,15.013921,29.507812,11-9041.01,11,Management
35,-13.710345,-0.48011816,11-9051.00,11,Management
36,-31.799906,-6.8913703,11-9061.00,11,Management
37,-16.420843,-0.024751827,11-9071.00,11,Management
38,-33.206486,-2.518696,11-9081.00,11,Management
39,-18.807396,-1.0462022,11-9111.00,11,Management
40,-9.430644,25.613863,11-9121.00,11,Management
41,-22.515127,-9.827505,11-9121.01,11,Management
42,1.4470667,33.905766,11-9121.02,11,Management
43,-13.216702,6.9770756,11-9131.00,11,Management
44,-18.893227,3.247371,11-9141.00,11,Management
45,-34.50882,-1.6105256,11-9151.00,11,Management
46,-21.171944,9.750146,11-9161.00,11,Management
47,-6.310317,9.263579,11-9199.01,11,Management
48,-21.227995,4.4602585,11-9199.02,11,Management
49,-12.292009,-9.636873,11-9199.03,11,Management
50,-9.249772,4.8456497,11-9199.04,11,Management
51,-20.95563,7.897308,11-9199.07,11,Management
52,-20.566385,6.123804,11-9199.08,11,Management
53,-12.283663,13.720732,11-9199.09,11,Management
54,-10.425202,27.607857,11-9199.10,11,Management
55,-9.417232,27.99707,11-9199.11,11,Management
56,-34.177437,10.955641,13-1011.00,13,Business and Financial Operations
57,-8.3847065,2.8429255,13-1021.00,13,Business and Financial Operations
58,-4.767348,-6.6607127,13-1022.00,13,Business and Financial Operations
59,-10.022534,2.629053,13-1023.00,13,Business and Financial Operations
60,-12.408003,-17.849005,13-1031.01,13,Business and Financial Operations
61,-13.624619,-18.182106,13-1031.02,13,Business and Financial Operations
62,24.03847,-1.8108397,13-1032.00,13,Business and Financial Operations
63,-3.3583062,28.61864,13-1041.01,13,Business and Financial Operations
64,-11.723644,-18.368364,13-1041.02,13,Business and Financial Operations
65,-22.544678,-4.6796346,13-1041.03,13,Business and Financial Operations
66,-16.838037,20.786718,13-1041.04,13,Business and Financial Operations
67,-26.25155,9.962338,13-1041.06,13,Business and Financial Operations
68,-5.7913113,9.183459,13-1041.07,13,Business and Financial Operations
69,-4.6353035,15.000812,13-1051.00,13,Business and Financial Operations
70,-19.887207,-4.9401317,13-1071.00,13,Business and Financial Operations
71,23.243502,-21.459044,13-1074.00,13,Business and Financial Operations
72,-22.716017,-3.7731795,13-1075.00,13,Business and Financial Operations
73,-10.275428,4.6277504,13-1081.00,13,Business and Financial Operations
74,8.57527,33.35165,13-1081.01,13,Business and Financial Operations
75,-6.112384,3.8127468,13-1081.02,13,Business and Financial Operations
76,-34.278973,0.7409052,13-1111.00,13,Business and Financial Operations
77,-30.145107,-4.0162797,13-1121.00,13,Business and Financial Operations
78,-33.36727,9.392482,13-1131.00,13,Business and Financial Operations
79,-21.506954,-3.0961163,13-1141.00,13,Business and Financial Operations
80,-36.79578,0.8584211,13-1151.00,13,Business and Financial Operations
81,-1.217253,8.835792,13-1161.00,13,Business and Financial Operations
82,-3.9145136,15.890323,13-1199.01,13,Business and Financial Operations
83,-14.738791,18.46042,13-1199.02,13,Business and Financial Operations
84,-5.652424,3.3104656,13-1199.03,13,Business and Financial Operations
85,-17.37327,5.799254,13-1199.04,13,Business and Financial Operations
86,-12.27907,27.871132,13-1199.05,13,Business and Financial Operations
87,-5.8965797,-6.2643356,13-1199.06,13,Business and Financial Operations
88,-9.373385,-13.562305,13-2011.01,13,Business and Financial Operations
89,-12.332103,-11.217227,13-2011.02,13,Business and Financial Operations
90,2.6164103,5.2882113,13-2021.01,13,Business and Financial Operations
91,2.039254,4.5126433,13-2021.02,13,Business and Financial Operations
92,-10.548966,-13.524341,13-2031.00,13,Business and Financial Operations
93,-7.733723,-12.291543,13-2041.00,13,Business and Financial Operations
94,-9.682141,-8.943432,13-2051.00,13,Business and Financial Operations
95,-14.703751,-9.2235365,13-2052.00,13,Business and Financial Operations
96,-6.6058617,-12.902901,13-2053.00,13,Business and Financial Operations
97,-9.482507,-12.699871,13-2061.00,13,Business and Financial Operations
98,-15.94842,-9.67573,13-2071.00,13,Business and Financial Operations
99,-7.650131,-18.08705,13-2071.01,13,Business and Financial Operations
100,-13.460224,-7.584459,13-2072.00,13,Business and Financial Operations
101,-12.384231,-16.16584,13-2081.00,13,Business and Financial Operations
102,-5.953821,-15.124831,13-2082.00,13,Business and Financial Operations
103,-0.2136125,13.990754,13-2099.01,13,Business and Financial Operations
104,-11.646109,2.7715347,13-2099.02,13,Business and Financial Operations
105,-22.456177,-1.2342541,13-2099.04,13,Business and Financial Operations
106,5.635087,18.442038,15-1111.00,15,Computers and Math
107,4.7309375,12.428574,15-1121.00,15,Computers and Math
108,-51.849724,-17.136183,15-1121.01,15,Computers and Math
109,7.603893,12.057609,15-1122.00,15,Computers and Math
110,7.3211403,14.383859,15-1131.00,15,Computers and Math
111,3.0191422,15.924061,15-1132.00,15,Computers and Math
112,6.473734,16.684418,15-1133.00,15,Computers and Math
113,4.080697,14.452423,15-1134.00,15,Computers and Math
114,7.281657,10.973697,15-1141.00,15,Computers and Math
115,7.812333,12.922357,15-1142.00,15,Computers and Math
116,7.7535458,17.611738,15-1143.00,15,Computers and Math
117,14.359213,19.98558,15-1143.01,15,Computers and Math
118,8.925983,11.341004,15-1151.00,15,Computers and Math
119,8.91126,12.712296,15-1152.00,15,Computers and Math
120,4.2073617,12.87981,15-1199.01,15,Computers and Math
121,6.528307,16.168386,15-1199.02,15,Computers and Math
122,5.3514013,14.684228,15-1199.03,15,Computers and Math
123,-3.4260044,32.328262,15-1199.04,15,Computers and Math
124,-2.3174236,32.112026,15-1199.05,15,Computers and Math
125,2.8480449,15.273307,15-1199.06,15,Computers and Math
126,2.6014946,14.557197,15-1199.07,15,Computers and Math
127,0.11589436,10.725806,15-1199.08,15,Computers and Math
128,-17.649195,4.8324895,15-1199.09,15,Computers and Math
129,-0.27479184,10.456909,15-1199.10,15,Computers and Math
130,-37.496128,17.327703,15-1199.11,15,Computers and Math
131,4.2718077,8.081743,15-1199.12,15,Computers and Math
132,-8.809389,-10.399239,15-2011.00,15,Computers and Math
133,10.044976,43.135155,15-2021.00,15,Computers and Math
134,9.405479,43.408966,15-2031.00,15,Computers and Math
135,-13.242803,36.110752,15-2041.00,15,Computers and Math
136,-13.092266,36.419193,15-2041.01,15,Computers and Math
137,2.8697097,8.917031,15-2041.02,15,Computers and Math
138,-35.279434,23.779493,17-1011.00,17,Architechture and Engineering
139,-35.141407,23.916735,17-1012.00,17,Architechture and Engineering
140,0.3058918,23.012342,17-1021.00,17,Architechture and Engineering
141,-0.3808985,27.398012,17-1022.00,17,Architechture and Engineering
142,0.8942439,27.018324,17-1022.01,17,Architechture and Engineering
143,15.941054,34.92037,17-2011.00,17,Architechture and Engineering
144,6.1479063,37.922417,17-2021.00,17,Architechture and Engineering
145,8.523525,38.53394,17-2031.00,17,Architechture and Engineering
146,10.521193,38.700924,17-2041.00,17,Architechture and Engineering
147,4.1405334,31.315905,17-2051.00,17,Architechture and Engineering
148,3.4343781,30.59551,17-2051.01,17,Architechture and Engineering
149,16.113588,37.224957,17-2061.00,17,Architechture and Engineering
150,13.0315895,31.704958,17-2071.00,17,Architechture and Engineering
151,13.458881,33.128235,17-2072.00,17,Architechture and Engineering
152,13.469349,23.891926,17-2072.01,17,Architechture and Engineering
153,2.2823799,34.27153,17-2081.00,17,Architechture and Engineering
154,3.1544948,33.545044,17-2081.01,17,Architechture and Engineering
155,-17.966719,17.809599,17-2111.01,17,Architechture and Engineering
156,3.8412392,33.910484,17-2111.02,17,Architechture and Engineering
157,-16.824223,18.449585,17-2111.03,17,Architechture and Engineering
158,11.842411,30.84416,17-2112.00,17,Architechture and Engineering
159,10.445908,28.814503,17-2112.01,17,Architechture and Engineering
160,7.9043393,34.25339,17-2121.01,17,Architechture and Engineering
161,8.806912,35.595535,17-2121.02,17,Architechture and Engineering
162,10.478058,37.11475,17-2131.00,17,Architechture and Engineering
163,14.157414,32.072014,17-2141.00,17,Architechture and Engineering
164,13.022144,39.552235,17-2141.01,17,Architechture and Engineering
165,8.817245,31.395775,17-2141.02,17,Architechture and Engineering
166,6.926305,32.95677,17-2151.00,17,Architechture and Engineering
167,2.7740195,35.771263,17-2161.00,17,Architechture and Engineering
168,6.749142,33.54865,17-2171.00,17,Architechture and Engineering
169,7.065803,38.442043,17-2199.01,17,Architechture and Engineering
170,10.866036,30.166475,17-2199.02,17,Architechture and Engineering
171,4.928659,31.663076,17-2199.03,17,Architechture and Engineering
172,10.831008,32.291786,17-2199.04,17,Architechture and Engineering
173,14.417147,36.07183,17-2199.05,17,Architechture and Engineering
174,14.814972,36.606606,17-2199.06,17,Architechture and Engineering
175,15.903464,37.954826,17-2199.07,17,Architechture and Engineering
176,12.625177,33.881832,17-2199.08,17,Architechture and Engineering
177,11.881319,39.91442,17-2199.09,17,Architechture and Engineering
178,7.8743663,30.72355,17-2199.10,17,Architechture and Engineering
179,4.664455,34.856033,17-2199.11,17,Architechture and Engineering
180,4.52306,24.017063,17-3011.01,17,Architechture and Engineering
181,2.0058336,24.84228,17-3011.02,17,Architechture and Engineering
182,26.078085,28.77667,17-3012.01,17,Architechture and Engineering
183,4.48034,25.313011,17-3012.02,17,Architechture and Engineering
184,18.587454,31.861378,17-3013.00,17,Architechture and Engineering
185,19.132841,28.505041,17-3021.00,17,Architechture and Engineering
186,4.9532185,26.561789,17-3022.00,17,Architechture and Engineering
187,21.78996,29.758347,17-3023.01,17,Architechture and Engineering
188,21.183418,26.81785,17-3023.03,17,Architechture and Engineering
189,23.84984,27.859865,17-3024.00,17,Architechture and Engineering
190,20.498976,29.092436,17-3024.01,17,Architechture and Engineering
191,7.7357597,25.438108,17-3025.00,17,Architechture and Engineering
192,20.690567,27.216381,17-3026.00,17,Architechture and Engineering
193,20.730255,31.778723,17-3027.00,17,Architechture and Engineering
194,17.511574,26.86948,17-3027.01,17,Architechture and Engineering
195,8.476401,25.042854,17-3029.01,17,Architechture and Engineering
196,13.398426,25.085314,17-3029.02,17,Architechture and Engineering
197,19.614855,30.987535,17-3029.03,17,Architechture and Engineering
198,15.109667,20.741795,17-3029.04,17,Architechture and Engineering
199,10.857433,33.94676,17-3029.05,17,Architechture and Engineering
200,11.106825,33.01486,17-3029.06,17,Architechture and Engineering
201,12.939366,30.633478,17-3029.07,17,Architechture and Engineering
202,21.64471,30.53389,17-3029.08,17,Architechture and Engineering
203,18.60561,26.384428,17-3029.09,17,Architechture and Engineering
204,14.539383,39.727127,17-3029.11,17,Architechture and Engineering
205,22.783485,30.669441,17-3029.12,17,Architechture and Engineering
206,0.6330614,26.496082,17-3031.01,17,Architechture and Engineering
207,0.9917699,22.577026,17-3031.02,17,Architechture and Engineering
208,-8.093414,35.927216,19-1011.00,19,"Life, Physical, and Social Science"
209,6.0704246,39.37258,19-1012.00,19,"Life, Physical, and Social Science"
210,-7.887058,36.632137,19-1013.00,19,"Life, Physical, and Social Science"
211,-5.721148,29.73176,19-1020.01,19,"Life, Physical, and Social Science"
212,-7.509095,41.532803,19-1021.00,19,"Life, Physical, and Social Science"
213,-7.067386,38.06429,19-1022.00,19,"Life, Physical, and Social Science"
214,-6.5638967,29.45772,19-1023.00,19,"Life, Physical, and Social Science"
215,-7.22933,40.52401,19-1029.01,19,"Life, Physical, and Social Science"
216,-6.8006296,41.12783,19-1029.02,19,"Life, Physical, and Social Science"
217,-10.32446,40.150017,19-1029.03,19,"Life, Physical, and Social Science"
218,-8.145454,27.263372,19-1031.01,19,"Life, Physical, and Social Science"
219,-7.3591166,27.00149,19-1031.02,19,"Life, Physical, and Social Science"
220,-45.938877,-6.253024,19-1031.03,19,"Life, Physical, and Social Science"
221,-6.086635,27.16595,19-1032.00,19,"Life, Physical, and Social Science"
222,-10.52254,38.849297,19-1041.00,19,"Life, Physical, and Social Science"
223,-9.758492,40.96825,19-1042.00,19,"Life, Physical, and Social Science"
224,11.29235,42.562748,19-2011.00,19,"Life, Physical, and Social Science"
225,11.546581,41.564075,19-2012.00,19,"Life, Physical, and Social Science"
226,-4.6332335,34.253117,19-2021.00,19,"Life, Physical, and Social Science"
227,16.124063,29.172962,19-2031.00,19,"Life, Physical, and Social Science"
228,11.708118,39.336136,19-2032.00,19,"Life, Physical, and Social Science"
229,-4.876681,29.541483,19-2041.00,19,"Life, Physical, and Social Science"
230,-8.247599,32.282898,19-2041.01,19,"Life, Physical, and Social Science"
231,-7.9732714,29.70001,19-2041.02,19,"Life, Physical, and Social Science"
232,-9.112768,32.51168,19-2041.03,19,"Life, Physical, and Social Science"
233,-5.7097607,33.11073,19-2042.00,19,"Life, Physical, and Social Science"
234,-5.0339036,33.143707,19-2043.00,19,"Life, Physical, and Social Science"
235,-3.9312365,32.774017,19-2099.01,19,"Life, Physical, and Social Science"
236,-18.333931,33.818512,19-3011.00,19,"Life, Physical, and Social Science"
237,-18.074627,33.81973,19-3011.01,19,"Life, Physical, and Social Science"
238,-1.2758948,8.639638,19-3022.00,19,"Life, Physical, and Social Science"
239,-44.73378,-17.960588,19-3031.01,19,"Life, Physical, and Social Science"
240,-46.78309,-17.83687,19-3031.02,19,"Life, Physical, and Social Science"
241,-46.57393,-16.966902,19-3031.03,19,"Life, Physical, and Social Science"
242,-34.801785,1.9202243,19-3032.00,19,"Life, Physical, and Social Science"
243,-50.11804,-23.42947,19-3039.01,19,"Life, Physical, and Social Science"
244,-55.15377,-0.10371145,19-3041.00,19,"Life, Physical, and Social Science"
245,-14.654766,27.009544,19-3051.00,19,"Life, Physical, and Social Science"
246,-54.49682,3.5760298,19-3091.01,19,"Life, Physical, and Social Science"
247,-54.623188,4.31288,19-3091.02,19,"Life, Physical, and Social Science"
248,-55.672874,3.8145578,19-3092.00,19,"Life, Physical, and Social Science"
249,-52.64128,7.899961,19-3093.00,19,"Life, Physical, and Social Science"
250,-56.179466,-0.37050548,19-3094.00,19,"Life, Physical, and Social Science"
251,2.1667562,30.165985,19-3099.01,19,"Life, Physical, and Social Science"
252,-7.1193604,23.839205,19-4011.01,19,"Life, Physical, and Social Science"
253,14.88993,7.6886244,19-4011.02,19,"Life, Physical, and Social Science"
254,5.186853,-1.9339278,19-4021.00,19,"Life, Physical, and Social Science"
255,55.106655,0.33549234,19-4031.00,19,"Life, Physical, and Social Science"
256,1.8754818,26.71156,19-4041.01,19,"Life, Physical, and Social Science"
257,23.996061,32.340797,19-4041.02,19,"Life, Physical, and Social Science"
258,32.737476,29.14421,19-4051.01,19,"Life, Physical, and Social Science"
259,32.51938,28.151947,19-4051.02,19,"Life, Physical, and Social Science"
