,First component,Second component,SOC,Label,Occupation Category
0,35.68265,10.31301,11-1011.00,11,Management
1,25.492682,14.67872,11-1011.03,11,Management
2,24.18618,8.248768,11-1021.00,11,Management
3,32.01947,2.6077704,11-2011.00,11,Management
4,31.736343,3.5257158,11-2021.00,11,Management
5,31.312029,4.726751,11-2022.00,11,Management
6,32.100243,1.6805737,11-2031.00,11,Management
7,23.575855,6.355372,11-3011.00,11,Management
8,16.435986,16.22274,11-3021.00,11,Management
9,31.086021,-14.525059,11-3031.01,11,Management
10,29.409847,3.2329895,11-3031.02,11,Management
11,15.19358,14.733279,11-3051.00,11,Management
12,13.637255,15.160171,11-3051.01,11,Management
13,14.14969,13.54967,11-3051.02,11,Management
14,15.626237,12.091915,11-3051.03,11,Management
15,14.54307,13.374102,11-3051.04,11,Management
16,13.434105,13.914433,11-3051.06,11,Management
17,26.308142,8.292815,11-3061.00,11,Management
18,24.668842,9.40225,11-3071.01,11,Management
19,23.088085,10.037378,11-3071.02,11,Management
20,24.31519,9.922071,11-3071.03,11,Management
21,30.084524,-13.35208,11-3111.00,11,Management
22,34.039616,7.378291,11-3121.00,11,Management
23,35.815815,8.057453,11-3131.00,11,Management
24,16.213228,8.440406,11-9013.01,11,Management
25,16.054445,10.259367,11-9013.02,11,Management
26,14.997821,10.859225,11-9013.03,11,Management
27,22.150295,13.30608,11-9021.00,11,Management
28,31.502707,7.455454,11-9031.00,11,Management
29,35.094513,8.976088,11-9032.00,11,Management
30,34.819515,7.142695,11-9033.00,11,Management
31,28.408836,13.783427,11-9039.01,11,Management
32,25.487532,3.687647,11-9039.02,11,Management
33,21.89512,14.95229,11-9041.00,11,Management
34,0.98393553,28.352396,11-9041.01,11,Management
35,18.028557,6.1636977,11-9051.00,11,Management
36,23.288538,1.4731339,11-9061.00,11,Management
37,28.000307,5.8869543,11-9071.00,11,Management
38,30.103617,7.0563703,11-9081.00,11,Management
39,32.991604,6.1141877,11-9111.00,11,Management
40,21.005419,17.521152,11-9121.00,11,Management
41,29.232302,-5.028304,11-9121.01,11,Management
42,12.239934,28.13901,11-9121.02,11,Management
43,23.537428,7.0863075,11-9131.00,11,Management
44,22.356627,-22.921083,11-9141.00,11,Management
45,33.309853,8.823854,11-9151.00,11,Management
46,33.28507,9.837162,11-9161.00,11,Management
47,28.833216,-6.7026644,11-9199.01,11,Management
48,32.00178,-7.952215,11-9199.02,11,Management
49,29.583256,-14.903883,11-9199.03,11,Management
50,25.858242,9.526773,11-9199.04,11,Management
51,25.50856,12.347492,11-9199.07,11,Management
52,31.28381,10.4749365,11-9199.08,11,Management
53,16.108486,13.6162405,11-9199.09,11,Management
54,20.427235,15.027491,11-9199.10,11,Management
55,20.43793,15.934421,11-9199.11,11,Management
56,32.706463,-1.4559535,13-1011.00,13,Business and Financial Operations
57,23.249475,-22.029743,13-1021.00,13,Business and Financial Operations
58,25.382624,-23.012947,13-1022.00,13,Business and Financial Operations
59,25.97299,7.459268,13-1023.00,13,Business and Financial Operations
60,17.34729,-23.492683,13-1031.01,13,Business and Financial Operations
61,19.216618,-24.28907,13-1031.02,13,Business and Financial Operations
62,10.71987,-23.687857,13-1032.00,13,Business and Financial Operations
63,6.3725343,24.815817,13-1041.01,13,Business and Financial Operations
64,16.360353,-22.842226,13-1041.02,13,Business and Financial Operations
65,35.662933,-9.117592,13-1041.03,13,Business and Financial Operations
66,6.703437,21.143116,13-1041.04,13,Business and Financial Operations
67,11.604281,-2.8008907,13-1041.06,13,Business and Financial Operations
68,28.629313,-7.172439,13-1041.07,13,Business and Financial Operations
69,26.94842,-19.944607,13-1051.00,13,Business and Financial Operations
70,11.828263,-28.725807,13-1071.00,13,Business and Financial Operations
71,-11.560295,-23.443771,13-1074.00,13,Business and Financial Operations
72,34.13647,-6.050304,13-1075.00,13,Business and Financial Operations
73,25.155607,10.484108,13-1081.00,13,Business and Financial Operations
74,9.29347,33.501305,13-1081.01,13,Business and Financial Operations
75,27.988338,-10.350533,13-1081.02,13,Business and Financial Operations
76,34.06252,15.445064,13-1111.00,13,Business and Financial Operations
77,28.486433,7.939582,13-1121.00,13,Business and Financial Operations
78,31.523756,0.60157764,13-1131.00,13,Business and Financial Operations
79,27.82146,-13.886075,13-1141.00,13,Business and Financial Operations
80,38.07165,8.339952,13-1151.00,13,Business and Financial Operations
81,24.885618,-13.060169,13-1161.00,13,Business and Financial Operations
82,1.6277795,26.82488,13-1199.01,13,Business and Financial Operations
83,-15.174499,28.921183,13-1199.02,13,Business and Financial Operations
84,21.365263,-18.934797,13-1199.03,13,Business and Financial Operations
85,26.729761,13.311769,13-1199.04,13,Business and Financial Operations
86,18.98659,24.074251,13-1199.05,13,Business and Financial Operations
87,25.634188,-22.017115,13-1199.06,13,Business and Financial Operations
88,26.108356,-17.339647,13-2011.01,13,Business and Financial Operations
89,29.100819,-14.377388,13-2011.02,13,Business and Financial Operations
90,15.2465725,-23.710562,13-2021.01,13,Business and Financial Operations
91,14.4499855,-25.068817,13-2021.02,13,Business and Financial Operations
92,26.419445,-17.018532,13-2031.00,13,Business and Financial Operations
93,14.639003,-26.736706,13-2041.00,13,Business and Financial Operations
94,23.644762,-14.486816,13-2051.00,13,Business and Financial Operations
95,28.904604,-16.593914,13-2052.00,13,Business and Financial Operations
96,15.927282,-27.314388,13-2053.00,13,Business and Financial Operations
97,30.94668,-11.853374,13-2061.00,13,Business and Financial Operations
98,19.363459,-28.83029,13-2071.00,13,Business and Financial Operations
99,18.139664,-27.882608,13-2071.01,13,Business and Financial Operations
100,16.86643,-27.581875,13-2072.00,13,Business and Financial Operations
101,15.999296,-28.867794,13-2081.00,13,Business and Financial Operations
102,14.944684,-29.200766,13-2082.00,13,Business and Financial Operations
103,22.80742,-10.845819,13-2099.01,13,Business and Financial Operations
104,28.169834,-10.882197,13-2099.02,13,Business and Financial Operations
105,31.71658,-8.723918,13-2099.04,13,Business and Financial Operations
106,2.9061882,36.811264,15-1111.00,15,Computers and Math
107,-8.5782795,32.942314,15-1121.00,15,Computers and Math
108,25.471115,25.592852,15-1121.01,15,Computers and Math
109,-10.270658,31.509653,15-1122.00,15,Computers and Math
110,-12.203007,34.641026,15-1131.00,15,Computers and Math
111,-8.725613,34.833557,15-1132.00,15,Computers and Math
112,-5.354728,15.865301,15-1133.00,15,Computers and Math
