,First component,Second component,SOC,Label,Occupation Category
0,-15.637494,32.016247,11-1011.00,11,Management
1,-4.307928,29.36357,11-1011.03,11,Management
2,-7.7462444,24.945782,11-1021.00,11,Management
3,-17.603245,27.037882,11-2011.00,11,Management
4,-16.685991,27.436419,11-2021.00,11,Management
5,-15.5598135,28.343489,11-2022.00,11,Management
6,-18.453392,26.37204,11-2031.00,11,Management
7,-8.552724,23.274683,11-3011.00,11,Management
8,5.197273,21.490536,11-3021.00,11,Management
9,-21.302748,20.077036,11-3031.01,11,Management
10,-19.046406,22.315863,11-3031.02,11,Management
11,3.741631,19.814264,11-3051.00,11,Management
12,4.8353105,18.512194,11-3051.01,11,Management
13,3.036632,18.321163,11-3051.02,11,Management
14,0.94018644,19.169838,11-3051.03,11,Management
15,2.740053,18.696432,11-3051.04,11,Management
16,3.6941023,17.800465,11-3051.06,11,Management
17,-9.560741,26.182161,11-3061.00,11,Management
18,-6.8246365,26.365555,11-3071.01,11,Management
19,-5.7928686,24.866001,11-3071.02,11,Management
20,-6.7882075,25.756458,11-3071.03,11,Management
21,-20.073544,20.839817,11-3111.00,11,Management
22,-14.1803665,32.838463,11-3121.00,11,Management
23,-14.064142,35.11447,11-3131.00,11,Management
24,-2.6499581,18.39343,11-9013.01,11,Management
25,-0.9045941,18.974783,11-9013.02,11,Management
26,0.08950314,18.163588,11-9013.03,11,Management
27,-2.16444,25.12843,11-9021.00,11,Management
28,-12.451688,29.394735,11-9031.00,11,Management
29,-13.450412,34.2818,11-9032.00,11,Management
30,-14.770862,33.810013,11-9033.00,11,Management
31,-6.1039257,32.891743,11-9039.01,11,Management
32,-14.162959,25.57546,11-9039.02,11,Management
33,-0.74771845,25.646046,11-9041.00,11,Management
34,23.545431,13.694944,11-9041.01,11,Management
35,-5.2806478,19.083035,11-9051.00,11,Management
36,-23.909296,32.74788,11-9061.00,11,Management
37,-12.15564,27.880093,11-9071.00,11,Management
38,-11.759056,30.493649,11-9081.00,11,Management
39,-14.194689,30.518955,11-9111.00,11,Management
40,18.350466,27.714796,11-9121.00,11,Management
41,-15.19877,21.8443,11-9121.01,11,Management
42,16.610008,25.239994,11-9121.02,11,Management
43,-8.05925,23.856955,11-9131.00,11,Management
44,-30.862879,9.932106,11-9141.00,11,Management
45,-12.322373,32.980377,11-9151.00,11,Management
46,-11.543364,33.66461,11-9161.00,11,Management
47,-15.540338,20.138563,11-9199.01,11,Management
48,-26.0516,21.688599,11-9199.02,11,Management
49,-21.582687,18.444664,11-9199.03,11,Management
50,-8.0528965,26.48446,11-9199.04,11,Management
51,-6.7097573,29.509142,11-9199.07,11,Management
52,-10.096466,32.49748,11-9199.08,11,Management
53,2.2350123,20.250355,11-9199.09,11,Management
54,0.9566583,25.093948,11-9199.10,11,Management
55,2.017067,25.57019,11-9199.11,11,Management
56,-29.32859,17.361233,13-1011.00,13,Business and Financial Operations
57,-29.66474,10.9827385,13-1021.00,13,Business and Financial Operations
58,-27.270792,10.341667,13-1022.00,13,Business and Financial Operations
59,-10.087428,25.001196,13-1023.00,13,Business and Financial Operations
60,-29.282444,3.4026132,13-1031.01,13,Business and Financial Operations
61,-30.565094,4.9815407,13-1031.02,13,Business and Financial Operations
62,-14.241178,-16.334005,13-1032.00,13,Business and Financial Operations
63,16.564041,16.807074,13-1041.01,13,Business and Financial Operations
64,-28.493925,2.7161112,13-1041.02,13,Business and Financial Operations
65,-27.786394,22.088015,13-1041.03,13,Business and Financial Operations
66,12.994553,16.025501,13-1041.04,13,Business and Financial Operations
67,-33.984314,28.375713,13-1041.06,13,Business and Financial Operations
68,-15.60491,19.584305,13-1041.07,13,Business and Financial Operations
69,-24.180178,11.793039,13-1051.00,13,Business and Financial Operations
70,-30.440609,-3.2705622,13-1071.00,13,Business and Financial Operations
71,-16.13527,-25.235584,13-1074.00,13,Business and Financial Operations
72,-24.614372,23.354177,13-1075.00,13,Business and Financial Operations
73,-6.2377176,27.102938,13-1081.00,13,Business and Financial Operations
74,22.472393,25.189484,13-1081.01,13,Business and Financial Operations
75,-17.211987,17.07066,13-1081.02,13,Business and Financial Operations
76,-18.353725,29.409779,13-1111.00,13,Business and Financial Operations
77,-8.52402,30.223196,13-1121.00,13,Business and Financial Operations
78,-18.995182,25.38798,13-1131.00,13,Business and Financial Operations
79,-20.86156,16.048698,13-1141.00,13,Business and Financial Operations
80,-14.626295,37.260715,13-1151.00,13,Business and Financial Operations
81,-19.86725,14.430983,13-1161.00,13,Business and Financial Operations
82,22.204542,13.2874155,13-1199.01,13,Business and Financial Operations
83,31.262972,1.7337292,13-1199.02,13,Business and Financial Operations
84,-22.993866,7.507012,13-1199.03,13,Business and Financial Operations
85,-5.6779523,30.291096,13-1199.04,13,Business and Financial Operations
86,11.072073,25.383793,13-1199.05,13,Business and Financial Operations
87,-25.953823,9.933319,13-1199.06,13,Business and Financial Operations
88,-24.364792,14.227354,13-2011.01,13,Business and Financial Operations
