,First component,Second component,SOC,Label,Occupation Category
0,-27.220924,12.329785,11-1011.00,11,Management
1,-19.44226,19.463512,11-1011.03,11,Management
2,-20.17983,12.269085,11-1021.00,11,Management
3,-29.798609,10.005663,11-2011.00,11,Management
4,-28.72876,10.241533,11-2021.00,11,Management
5,-26.16252,10.907373,11-2022.00,11,Management
6,-30.131979,9.289697,11-2031.00,11,Management
7,-19.25388,10.82362,11-3011.00,11,Management
8,-12.641691,19.472507,11-3021.00,11,Management
9,-26.026964,5.9884806,11-3031.01,11,Management
10,-25.881023,8.5061,11-3031.02,11,Management
11,-11.728025,18.444305,11-3051.00,11,Management
12,-10.148325,18.454998,11-3051.01,11,Management
13,-11.183654,17.248789,11-3051.02,11,Management
14,-12.234366,16.366886,11-3051.03,11,Management
15,-11.267042,16.96315,11-3051.04,11,Management
16,-10.62301,17.373198,11-3051.06,11,Management
17,-22.348392,13.053949,11-3061.00,11,Management
18,-20.42081,13.277737,11-3071.01,11,Management
19,-19.116549,13.724205,11-3071.02,11,Management
20,-21.15247,13.997459,11-3071.03,11,Management
21,-26.052122,7.710613,11-3111.00,11,Management
22,-26.996456,13.861929,11-3121.00,11,Management
23,-28.042704,14.758173,11-3131.00,11,Management
24,-12.474577,12.843251,11-9013.01,11,Management
25,-12.1880665,14.461207,11-9013.02,11,Management
26,-11.2127495,14.526762,11-9013.03,11,Management
27,-16.813011,16.663015,11-9021.00,11,Management
28,-27.811342,16.1622,11-9031.00,11,Management
29,-27.428724,14.980237,11-9032.00,11,Management
30,-27.679678,13.927642,11-9033.00,11,Management
31,-22.04121,19.64079,11-9039.01,11,Management
32,-20.963404,8.907603,11-9039.02,11,Management
33,-16.247051,18.012373,11-9041.00,11,Management
34,8.271112,26.039787,11-9041.01,11,Management
35,-14.699824,10.8427515,11-9051.00,11,Management
36,-18.543825,7.699781,11-9061.00,11,Management
37,-22.122477,11.3220625,11-9071.00,11,Management
38,-22.654314,8.936022,11-9081.00,11,Management
39,-25.38186,12.713841,11-9111.00,11,Management
40,-15.685317,18.740671,11-9121.00,11,Management
41,-24.853662,2.585045,11-9121.01,11,Management
42,0.9905144,30.686867,11-9121.02,11,Management
43,-19.166243,11.590348,11-9131.00,11,Management
44,-24.53058,-10.28901,11-9141.00,11,Management
45,-26.487734,15.17587,11-9151.00,11,Management
46,-25.50789,15.789122,11-9161.00,11,Management
47,-25.397516,1.1706132,11-9199.01,11,Management
48,-22.332115,2.068291,11-9199.02,11,Management
49,-27.026169,-2.8797019,11-9199.03,11,Management
50,-21.775854,13.909283,11-9199.04,11,Management
51,-20.18769,15.869337,11-9199.07,11,Management
52,-21.627653,15.641116,11-9199.08,11,Management
53,-12.454354,17.41548,11-9199.09,11,Management
54,-17.907217,18.658936,11-9199.10,11,Management
55,-17.509188,18.977907,11-9199.11,11,Management
56,-31.966135,7.63974,13-1011.00,13,Business and Financial Operations
