,First component,Second component,SOC,Label,Occupation Category
0,-0.3077565,-25.930609,11-1011.00,11,Management
1,-24.10797,-17.631363,11-1011.03,11,Management
2,-4.164323,-20.054403,11-1021.00,11,Management
3,3.8290405,-20.912512,11-2011.00,11,Management
4,2.8579361,-21.200428,11-2021.00,11,Management
5,1.6245717,-21.401756,11-2022.00,11,Management
6,5.4634905,-20.014393,11-2031.00,11,Management
7,-2.889839,-19.70556,11-3011.00,11,Management
8,-39.21664,6.5463085,11-3021.00,11,Management
9,11.08119,-14.98649,11-3031.01,11,Management
10,9.737802,-16.196236,11-3031.02,11,Management
11,-15.883732,-11.742978,11-3051.00,11,Management
12,-16.750685,-12.736406,11-3051.01,11,Management
13,-17.427895,-9.736197,11-3051.02,11,Management
14,-15.934599,-14.069527,11-3051.03,11,Management
15,-17.207386,-10.2017975,11-3051.04,11,Management
16,-17.08874,-9.154879,11-3051.06,11,Management
17,-4.1298723,-19.146805,11-3061.00,11,Management
18,-6.438777,-18.483519,11-3071.01,11,Management
19,-7.8263445,-18.464687,11-3071.02,11,Management
20,-7.1628985,-19.241879,11-3071.03,11,Management
21,11.0239935,-16.474298,11-3111.00,11,Management
22,-0.39449045,-27.797377,11-3121.00,11,Management
23,-1.026436,-29.59736,11-3131.00,11,Management
24,-13.514463,-15.992067,11-9013.01,11,Management
25,-15.653132,-15.70722,11-9013.02,11,Management
26,-14.881572,-14.7614355,11-9013.03,11,Management
27,-21.0721,-14.98176,11-9021.00,11,Management
28,-2.712627,-25.851744,11-9031.00,11,Management
29,-1.5401026,-27.113466,11-9032.00,11,Management
30,-1.0058677,-28.392002,11-9033.00,11,Management
31,-1.1191188,-32.501446,11-9039.01,11,Management
32,6.572499,-28.996296,11-9039.02,11,Management
33,-21.779072,-15.141671,11-9041.00,11,Management
34,-34.80462,-2.069114,11-9041.01,11,Management
35,-10.3644,-15.505591,11-9051.00,11,Management
36,8.2795925,-30.455284,11-9061.00,11,Management
37,-2.358635,-21.313501,11-9071.00,11,Management
38,-3.1908145,-24.7895,11-9081.00,11,Management
39,-1.842569,-23.124092,11-9111.00,11,Management
40,-26.21084,-15.490137,11-9121.00,11,Management
41,-24.302097,-34.481403,11-9121.01,11,Management
42,-32.450516,-12.106929,11-9121.02,11,Management
43,-5.700316,-17.605381,11-9131.00,11,Management
44,3.0727568,-14.04459,11-9141.00,11,Management
45,-2.2700052,-27.631292,11-9151.00,11,Management
46,-6.090108,-26.519396,11-9161.00,11,Management
47,-24.974201,-33.172256,11-9199.01,11,Management
48,14.0691395,-19.665571,11-9199.02,11,Management
49,12.341581,-13.7066965,11-9199.03,11,Management
50,-7.122201,-20.17714,11-9199.04,11,Management
