,First component,Second component,SOC,Label,Occupation Category
0,20.077734,20.726286,11-1011.00,11,Management
1,30.031132,21.443562,11-1011.03,11,Management
2,-3.2932358,16.077585,11-1021.00,11,Management
3,22.891258,20.906042,11-2011.00,11,Management
4,23.173052,21.304487,11-2021.00,11,Management
5,24.312433,22.2692,11-2022.00,11,Management
6,22.10167,22.442892,11-2031.00,11,Management
7,-3.2806745,16.414783,11-3011.00,11,Management
8,31.789967,9.828744,11-3021.00,11,Management
9,23.675524,34.206043,11-3031.01,11,Management
10,22.696043,33.04179,11-3031.02,11,Management
11,11.530432,-15.4798765,11-3051.00,11,Management
12,12.56145,-14.28748,11-3051.01,11,Management
13,11.100122,-17.763481,11-3051.02,11,Management
14,12.545517,-15.061036,11-3051.03,11,Management
15,11.058626,-17.532862,11-3051.04,11,Management
16,10.958113,-18.926062,11-3051.06,11,Management
17,26.32927,23.704584,11-3061.00,11,Management
18,27.545218,21.75421,11-3071.01,11,Management
19,-3.553479,15.246104,11-3071.02,11,Management
20,26.930326,22.247816,11-3071.03,11,Management
21,19.271471,39.340477,11-3111.00,11,Management
22,19.551916,22.841969,11-3121.00,11,Management
23,18.774956,22.000914,11-3131.00,11,Management
24,7.6942353,-19.951384,11-9013.01,11,Management
25,7.664869,-23.185461,11-9013.02,11,Management
26,7.9327507,-21.157125,11-9013.03,11,Management
27,16.040508,-16.073229,11-9021.00,11,Management
28,15.454762,19.038918,11-9031.00,11,Management
29,16.400665,19.856863,11-9032.00,11,Management
30,19.749823,22.194035,11-9033.00,11,Management
31,24.695612,18.363415,11-9039.01,11,Management
32,0.05568043,6.8601813,11-9039.02,11,Management
33,39.395935,2.212282,11-9041.00,11,Management
34,25.680908,-9.167306,11-9041.01,11,Management
35,-8.589391,12.576061,11-9051.00,11,Management
36,-5.1937776,17.477829,11-9061.00,11,Management
37,1.9075068,16.452412,11-9071.00,11,Management
38,-1.6899459,14.996421,11-9081.00,11,Management
39,19.828875,23.943604,11-9111.00,11,Management
40,30.929558,21.6152,11-9121.00,11,Management
41,24.546942,29.334982,11-9121.01,11,Management
42,37.09252,3.2718923,11-9121.02,11,Management
43,-0.9303111,17.9553,11-9131.00,11,Management
44,19.921532,42.32342,11-9141.00,11,Management
45,17.857178,20.631481,11-9151.00,11,Management
46,17.996998,-13.365878,11-9161.00,11,Management
47,26.236635,29.732738,11-9199.01,11,Management
48,23.89337,27.54516,11-9199.02,11,Management
49,24.785147,33.478695,11-9199.03,11,Management
50,26.807756,23.2223,11-9199.04,11,Management
51,7.172375,-30.12844,11-9199.07,11,Management
52,2.0133302,15.689762,11-9199.08,11,Management
53,9.504996,-18.031713,11-9199.09,11,Management
54,29.093079,20.009377,11-9199.10,11,Management
55,30.233746,20.580412,11-9199.11,11,Management
56,15.20753,29.689974,13-1011.00,13,Business and Financial Operations
57,5.885566,32.41974,13-1021.00,13,Business and Financial Operations
58,6.756436,33.560165,13-1022.00,13,Business and Financial Operations
59,20.362564,36.37664,13-1023.00,13,Business and Financial Operations
60,14.644163,37.593204,13-1031.01,13,Business and Financial Operations
61,15.989982,37.212666,13-1031.02,13,Business and Financial Operations
62,-9.52798,-7.623379,13-1032.00,13,Business and Financial Operations
63,14.138649,-28.63807,13-1041.01,13,Business and Financial Operations
64,8.749008,-28.912226,13-1041.02,13,Business and Financial Operations
65,21.75538,28.438765,13-1041.03,13,Business and Financial Operations
66,13.10047,-29.761284,13-1041.04,13,Business and Financial Operations
67,10.241402,-31.59933,13-1041.06,13,Business and Financial Operations
68,26.310303,29.83064,13-1041.07,13,Business and Financial Operations
69,27.323595,36.904995,13-1051.00,13,Business and Financial Operations
70,13.814002,44.857197,13-1071.00,13,Business and Financial Operations
71,-31.246838,-3.671005,13-1074.00,13,Business and Financial Operations
72,22.711073,25.09934,13-1075.00,13,Business and Financial Operations
73,27.465004,23.059698,13-1081.00,13,Business and Financial Operations
74,36.524162,1.4690909,13-1081.01,13,Business and Financial Operations
75,27.909935,27.03334,13-1081.02,13,Business and Financial Operations
76,22.229494,23.530622,13-1111.00,13,Business and Financial Operations
77,-1.7963195,15.700452,13-1121.00,13,Business and Financial Operations
78,14.701116,30.071125,13-1131.00,13,Business and Financial Operations
79,19.448284,38.70342,13-1141.00,13,Business and Financial Operations
80,17.730974,22.384808,13-1151.00,13,Business and Financial Operations
81,27.403826,33.90624,13-1161.00,13,Business and Financial Operations
82,14.51364,-23.97958,13-1199.01,13,Business and Financial Operations
83,35.930897,5.5864778,13-1199.02,13,Business and Financial Operations
84,18.27866,36.123886,13-1199.03,13,Business and Financial Operations
85,27.45517,24.62958,13-1199.04,13,Business and Financial Operations
86,29.898653,24.767418,13-1199.05,13,Business and Financial Operations
87,18.105297,41.26342,13-1199.06,13,Business and Financial Operations
88,24.204285,37.809307,13-2011.01,13,Business and Financial Operations
89,24.573654,34.080048,13-2011.02,13,Business and Financial Operations
90,-8.503907,-8.469828,13-2021.01,13,Business and Financial Operations
91,-8.743328,-8.231218,13-2021.02,13,Business and Financial Operations
92,23.559387,37.16885,13-2031.00,13,Business and Financial Operations
93,24.273909,38.416122,13-2041.00,13,Business and Financial Operations
94,27.352285,36.073746,13-2051.00,13,Business and Financial Operations
95,23.799913,32.433064,13-2052.00,13,Business and Financial Operations
96,16.177198,41.689354,13-2053.00,13,Business and Financial Operations
97,24.463974,34.916786,13-2061.00,13,Business and Financial Operations
98,15.463122,43.620464,13-2071.00,13,Business and Financial Operations
99,14.584104,39.65887,13-2071.01,13,Business and Financial Operations
100,14.922684,42.00921,13-2072.00,13,Business and Financial Operations
101,15.125574,38.451912,13-2081.00,13,Business and Financial Operations
102,10.292892,43.757145,13-2082.00,13,Business and Financial Operations
103,28.829144,36.200436,13-2099.01,13,Business and Financial Operations
104,28.70061,25.835594,13-2099.02,13,Business and Financial Operations
105,24.34947,28.487213,13-2099.04,13,Business and Financial Operations
106,31.763802,6.6194806,15-1111.00,15,Computers and Math
107,30.907547,8.756865,15-1121.00,15,Computers and Math
108,32.221043,11.435204,15-1121.01,15,Computers and Math
109,30.432896,9.759218,15-1122.00,15,Computers and Math
110,27.898058,7.8824472,15-1131.00,15,Computers and Math
111,29.904211,7.5127983,15-1132.00,15,Computers and Math
112,27.626024,6.8937335,15-1133.00,15,Computers and Math
113,29.005892,8.801246,15-1134.00,15,Computers and Math
114,30.74256,9.139172,15-1141.00,15,Computers and Math
115,24.449804,-3.2534409,15-1142.00,15,Computers and Math
116,29.749743,4.408141,15-1143.00,15,Computers and Math
117,18.77705,-3.4746516,15-1143.01,15,Computers and Math
118,-0.1901568,-5.879548,15-1151.00,15,Computers and Math
119,19.879526,-2.6443408,15-1152.00,15,Computers and Math
120,28.61539,7.749693,15-1199.01,15,Computers and Math
121,31.183239,7.8325796,15-1199.02,15,Computers and Math
122,29.501852,8.9443245,15-1199.03,15,Computers and Math
123,32.996002,3.0305703,15-1199.04,15,Computers and Math
124,24.963839,-0.13945763,15-1199.05,15,Computers and Math
125,28.026585,9.346044,15-1199.06,15,Computers and Math
126,27.57073,9.753533,15-1199.07,15,Computers and Math
127,28.312471,34.509686,15-1199.08,15,Computers and Math
128,27.009209,24.336378,15-1199.09,15,Computers and Math
