,First component,Second component,SOC,Label,Occupation Category
0,39.05567,-4.1188273,11-1011.00,11,Management
1,24.793371,-40.002163,11-1011.03,11,Management
2,15.107251,5.9113116,11-1021.00,11,Management
3,35.884563,0.6080876,11-2011.00,11,Management
4,36.410034,0.83879584,11-2021.00,11,Management
5,36.93093,2.4515836,11-2022.00,11,Management
6,37.059498,-0.17581268,11-2031.00,11,Management
7,15.449057,5.9847875,11-3011.00,11,Management
8,23.595623,-32.046173,11-3021.00,11,Management
9,49.027283,6.4385524,11-3031.01,11,Management
10,48.10115,4.813856,11-3031.02,11,Management
11,-3.5313613,-24.934593,11-3051.00,11,Management
12,-2.6625,-26.196873,11-3051.01,11,Management
13,-6.103411,-25.456795,11-3051.02,11,Management
14,-3.7299204,-26.245476,11-3051.03,11,Management
15,-5.8293743,-25.253975,11-3051.04,11,Management
16,-7.122497,-25.830221,11-3051.06,11,Management
17,38.774246,5.436459,11-3061.00,11,Management
18,36.981396,4.4217286,11-3071.01,11,Management
19,14.284327,5.5610075,11-3071.02,11,Management
20,37.639584,5.3056746,11-3071.03,11,Management
21,39.81631,13.897503,11-3111.00,11,Management
22,36.535934,-2.638179,11-3121.00,11,Management
23,36.13668,-3.5141993,11-3131.00,11,Management
24,-10.633815,-25.401503,11-9013.01,11,Management
25,-12.8297415,-25.728937,11-9013.02,11,Management
26,-11.4827585,-24.670664,11-9013.03,11,Management
27,15.557649,-37.075954,11-9021.00,11,Management
28,31.595022,-4.5356083,11-9031.00,11,Management
29,33.664032,-4.8301597,11-9032.00,11,Management
30,37.426792,-3.234908,11-9033.00,11,Management
31,33.35447,2.0923288,11-9039.01,11,Management
32,9.046775,-1.6388872,11-9039.02,11,Management
33,17.600382,-43.1366,11-9041.00,11,Management
34,3.5194025,-33.685486,11-9041.01,11,Management
35,9.2092495,12.382213,11-9051.00,11,Management
36,12.802593,7.728736,11-9061.00,11,Management
37,19.617363,3.3013196,11-9071.00,11,Management
38,15.689512,3.6793413,11-9081.00,11,Management
39,35.984585,-1.7054911,11-9111.00,11,Management
40,26.215292,-40.00006,11-9121.00,11,Management
41,44.01674,3.1159523,11-9121.01,11,Management
42,18.828857,-40.242374,11-9121.02,11,Management
43,19.158096,6.369608,11-9131.00,11,Management
44,36.136066,9.455096,11-9141.00,11,Management
45,34.82715,-3.1344237,11-9151.00,11,Management
46,16.554249,0.5404925,11-9161.00,11,Management
47,43.32847,4.4246764,11-9199.01,11,Management
48,42.370987,1.815335,11-9199.02,11,Management
49,47.949306,6.0971956,11-9199.03,11,Management
50,38.513405,4.9700155,11-9199.04,11,Management
51,17.147097,2.0595229,11-9199.07,11,Management
52,18.601463,2.6356676,11-9199.08,11,Management
53,-6.646445,-24.001202,11-9199.09,11,Management
54,24.00016,-38.570866,11-9199.10,11,Management
