,First component,Second component,SOC,Label,Occupation Category
0,30.045069,8.525806,11-1011.00,11,Management
1,39.621227,0.8556535,11-1011.03,11,Management
2,6.4423413,15.733814,11-1021.00,11,Management
3,32.946285,7.294319,11-2011.00,11,Management
4,33.369965,7.278812,11-2021.00,11,Management
5,34.62067,6.800861,11-2022.00,11,Management
6,33.041805,8.905453,11-2031.00,11,Management
7,6.3902683,15.21971,11-3011.00,11,Management
8,32.40447,-7.182659,11-3021.00,11,Management
9,41.810974,10.394189,11-3031.01,11,Management
10,40.394913,11.174396,11-3031.02,11,Management
11,15.019262,-21.797089,11-3051.00,11,Management
12,17.302422,-21.582699,11-3051.01,11,Management
13,4.368602,-26.100082,11-3051.02,11,Management
14,16.44394,-22.24798,11-3051.03,11,Management
15,4.339711,-25.882925,11-3051.04,11,Management
16,3.5475318,-27.010586,11-3051.06,11,Management
17,36.696728,6.248391,11-3061.00,11,Management
18,36.92174,3.4717376,11-3071.01,11,Management
19,5.7774954,16.104338,11-3071.02,11,Management
20,36.43523,4.367063,11-3071.03,11,Management
21,24.999504,29.531116,11-3111.00,11,Management
22,31.062288,10.838025,11-3121.00,11,Management
23,29.909616,10.7772665,11-3131.00,11,Management
24,-4.8320866,-24.547703,11-9013.01,11,Management
25,-8.026894,-27.853622,11-9013.02,11,Management
26,-5.4134364,-26.028187,11-9013.03,11,Management
27,45.914227,-8.910778,11-9021.00,11,Management
28,24.929333,10.7812605,11-9031.00,11,Management
29,26.506676,10.783448,11-9032.00,11,Management
30,30.725063,10.193934,11-9033.00,11,Management
31,31.04474,5.3616734,11-9039.01,11,Management
32,3.3014252,6.1654053,11-9039.02,11,Management
33,42.34677,-7.3889,11-9041.00,11,Management
34,18.98956,-20.762741,11-9041.01,11,Management
35,-1.0609374,19.207518,11-9051.00,11,Management
36,3.1316774,16.18828,11-9061.00,11,Management
37,11.32076,11.836002,11-9071.00,11,Management
38,7.1935735,13.327214,11-9081.00,11,Management
39,32.110622,11.594911,11-9111.00,11,Management
40,39.985897,1.790634,11-9121.00,11,Management
41,35.20219,13.283065,11-9121.01,11,Management
42,40.095917,-5.4684916,11-9121.02,11,Management
43,9.774382,16.029129,11-9131.00,11,Management
44,27.524239,30.844706,11-9141.00,11,Management
45,28.310867,10.260971,11-9151.00,11,Management
46,7.945966,-23.32886,11-9161.00,11,Management
47,37.03613,13.083405,11-9199.01,11,Management
48,35.241783,15.46871,11-9199.02,11,Management
49,42.20503,11.674386,11-9199.03,11,Management
50,36.823757,5.362678,11-9199.04,11,Management
51,4.244326,-22.765865,11-9199.07,11,Management
52,10.880744,10.742886,11-9199.08,11,Management
53,3.3132188,-24.729982,11-9199.09,11,Management
54,37.59978,0.7170108,11-9199.10,11,Management
55,39.375553,-0.16966546,11-9199.11,11,Management
56,30.015148,26.918373,13-1011.00,13,Business and Financial Operations
57,11.615676,24.080294,13-1021.00,13,Business and Financial Operations
58,12.683572,25.222246,13-1022.00,13,Business and Financial Operations
59,27.092827,29.180502,13-1023.00,13,Business and Financial Operations
60,20.68231,28.543886,13-1031.01,13,Business and Financial Operations
61,22.002098,27.66073,13-1031.02,13,Business and Financial Operations
62,4.831819,-16.168856,13-1032.00,13,Business and Financial Operations
63,3.7178128,-31.006851,13-1041.01,13,Business and Financial Operations
64,2.9348407,-19.865246,13-1041.02,13,Business and Financial Operations
65,32.679638,16.979248,13-1041.03,13,Business and Financial Operations
66,3.2708058,-31.927362,13-1041.04,13,Business and Financial Operations
67,1.8041619,-35.670696,13-1041.06,13,Business and Financial Operations
68,37.115704,13.060322,13-1041.07,13,Business and Financial Operations
69,46.817352,13.7410555,13-1051.00,13,Business and Financial Operations
70,21.961378,36.68261,13-1071.00,13,Business and Financial Operations
71,-38.45122,7.902873,13-1074.00,13,Business and Financial Operations
72,34.58131,10.881636,13-1075.00,13,Business and Financial Operations
73,37.38841,4.88657,13-1081.00,13,Business and Financial Operations
74,38.645466,-6.6004043,13-1081.01,13,Business and Financial Operations
75,37.062763,-4.8475256,13-1081.02,13,Business and Financial Operations
76,33.56504,9.625314,13-1111.00,13,Business and Financial Operations
77,7.380501,14.05413,13-1121.00,13,Business and Financial Operations
78,29.149504,26.849455,13-1131.00,13,Business and Financial Operations
79,24.488222,28.936974,13-1141.00,13,Business and Financial Operations
80,29.56086,11.897035,13-1151.00,13,Business and Financial Operations
81,45.18715,11.630471,13-1161.00,13,Business and Financial Operations
82,-4.456324,-28.001844,13-1199.01,13,Business and Financial Operations
83,38.979355,-1.8126358,13-1199.02,13,Business and Financial Operations
84,17.168638,28.224863,13-1199.03,13,Business and Financial Operations
85,38.01589,6.6436224,13-1199.04,13,Business and Financial Operations
86,40.03151,6.0472918,13-1199.05,13,Business and Financial Operations
87,24.76076,31.745735,13-1199.06,13,Business and Financial Operations
88,44.436012,14.519806,13-2011.01,13,Business and Financial Operations
89,42.51079,11.240007,13-2011.02,13,Business and Financial Operations
90,4.9387884,-17.74603,13-2021.01,13,Business and Financial Operations
91,5.297759,-17.133419,13-2021.02,13,Business and Financial Operations
92,43.67521,14.084418,13-2031.00,13,Business and Financial Operations
93,44.994347,14.9250765,13-2041.00,13,Business and Financial Operations
94,46.11475,13.386,13-2051.00,13,Business and Financial Operations
95,41.13211,12.733645,13-2052.00,13,Business and Financial Operations
96,23.289045,32.80868,13-2053.00,13,Business and Financial Operations
97,43.129753,10.218348,13-2061.00,13,Business and Financial Operations
98,23.563925,34.98261,13-2071.00,13,Business and Financial Operations
99,20.625683,30.94036,13-2071.01,13,Business and Financial Operations
100,22.03978,33.628574,13-2072.00,13,Business and Financial Operations
101,21.216486,29.396833,13-2081.00,13,Business and Financial Operations
102,17.743944,36.36931,13-2082.00,13,Business and Financial Operations
103,47.950024,13.348623,13-2099.01,13,Business and Financial Operations
104,39.929737,6.9188333,13-2099.02,13,Business and Financial Operations
105,36.042194,14.780858,13-2099.04,13,Business and Financial Operations
106,31.676003,-9.599504,15-1111.00,15,Computers and Math
107,31.058481,-7.4135027,15-1121.00,15,Computers and Math
108,33.583683,-6.8359833,15-1121.01,15,Computers and Math
109,31.07304,-6.4084744,15-1122.00,15,Computers and Math
110,28.082453,-6.704027,15-1131.00,15,Computers and Math
111,29.765018,-7.814187,15-1132.00,15,Computers and Math
112,27.859564,-5.365417,15-1133.00,15,Computers and Math
113,29.762362,-5.580046,15-1134.00,15,Computers and Math
114,31.086588,-7.0228,15-1141.00,15,Computers and Math
115,21.151731,-15.444193,15-1142.00,15,Computers and Math
116,29.778433,-10.7884,15-1143.00,15,Computers and Math
117,15.841988,-12.917944,15-1143.01,15,Computers and Math
118,-0.86356765,-3.9561546,15-1151.00,15,Computers and Math
119,17.509663,-12.505658,15-1152.00,15,Computers and Math
120,28.820612,-6.801602,15-1199.01,15,Computers and Math
121,31.364964,-8.228361,15-1199.02,15,Computers and Math
122,29.552479,-5.973115,15-1199.03,15,Computers and Math
123,35.264297,-9.942728,15-1199.04,15,Computers and Math
124,22.30609,-12.233898,15-1199.05,15,Computers and Math
125,31.065691,-4.6627946,15-1199.06,15,Computers and Math
126,31.491385,-4.0033364,15-1199.07,15,Computers and Math
127,46.410957,11.891433,15-1199.08,15,Computers and Math
128,37.41913,6.6832356,15-1199.09,15,Computers and Math
129,28.980341,-2.7805698,15-1199.10,15,Computers and Math
130,26.908665,-3.1159816,15-1199.11,15,Computers and Math
131,28.837664,-3.5451097,15-1199.12,15,Computers and Math
132,43.51661,11.659651,15-2011.00,15,Computers and Math
133,49.749958,11.329442,15-2021.00,15,Computers and Math
134,49.399944,11.673554,15-2031.00,15,Computers and Math
135,49.095116,10.481651,15-2041.00,15,Computers and Math
136,48.778442,9.481313,15-2041.01,15,Computers and Math
137,45.56609,9.557585,15-2041.02,15,Computers and Math
138,43.961155,-6.7305565,17-1011.00,17,Architechture and Engineering
139,42.017925,-2.2664547,17-1012.00,17,Architechture and Engineering
140,22.099365,-10.539435,17-1021.00,17,Architechture and Engineering
141,-2.2133777,-29.319372,17-1022.00,17,Architechture and Engineering
142,-2.4772115,-30.073168,17-1022.01,17,Architechture and Engineering
143,39.041733,-8.229092,17-2011.00,17,Architechture and Engineering
144,12.422931,-27.185558,17-2021.00,17,Architechture and Engineering
145,28.736261,-18.539013,17-2031.00,17,Architechture and Engineering
146,39.69371,-11.065308,17-2041.00,17,Architechture and Engineering
147,43.269623,-6.390942,17-2051.00,17,Architechture and Engineering
148,41.9526,-7.79446,17-2051.01,17,Architechture and Engineering
149,28.813807,-9.309186,17-2061.00,17,Architechture and Engineering
150,28.516916,-14.334851,17-2071.00,17,Architechture and Engineering
151,20.65253,-20.167658,17-2072.00,17,Architechture and Engineering
152,29.044931,-11.453097,17-2072.01,17,Architechture and Engineering
153,39.888668,-5.2227044,17-2081.00,17,Architechture and Engineering
154,40.782917,-7.450569,17-2081.01,17,Architechture and Engineering
155,5.7380476,-29.470898,17-2111.01,17,Architechture and Engineering
156,41.768234,-5.3195696,17-2111.02,17,Architechture and Engineering
157,25.874384,-13.513975,17-2111.03,17,Architechture and Engineering
158,27.004932,-14.58868,17-2112.00,17,Architechture and Engineering
159,42.140724,4.1439342,17-2112.01,17,Architechture and Engineering
160,-3.7760031,-30.897396,17-2121.01,17,Architechture and Engineering
161,42.7693,-9.338713,17-2121.02,17,Architechture and Engineering
162,27.780287,-17.99965,17-2131.00,17,Architechture and Engineering
163,29.389252,-15.866618,17-2141.00,17,Architechture and Engineering
164,24.215841,-18.963287,17-2141.01,17,Architechture and Engineering
165,12.793432,-26.07323,17-2141.02,17,Architechture and Engineering
166,41.10323,-9.097705,17-2151.00,17,Architechture and Engineering
167,39.700863,-10.203003,17-2161.00,17,Architechture and Engineering
168,39.91242,-6.830747,17-2171.00,17,Architechture and Engineering
169,20.390959,-21.882893,17-2199.01,17,Architechture and Engineering
170,27.572845,-14.391268,17-2199.02,17,Architechture and Engineering
171,40.365932,-6.3075366,17-2199.03,17,Architechture and Engineering
172,22.69496,-23.623938,17-2199.04,17,Architechture and Engineering
173,23.978935,-15.524453,17-2199.05,17,Architechture and Engineering
174,23.65043,-20.246069,17-2199.06,17,Architechture and Engineering
175,26.55476,-19.267862,17-2199.07,17,Architechture and Engineering
176,23.681065,-22.69625,17-2199.08,17,Architechture and Engineering
177,27.518423,-19.815878,17-2199.09,17,Architechture and Engineering
178,24.202503,-14.55807,17-2199.10,17,Architechture and Engineering
179,18.330551,-19.42358,17-2199.11,17,Architechture and Engineering
180,24.199814,-10.873974,17-3011.01,17,Architechture and Engineering
181,23.623482,-8.286443,17-3011.02,17,Architechture and Engineering
182,23.515785,-6.916472,17-3012.01,17,Architechture and Engineering
183,23.778873,-8.119456,17-3012.02,17,Architechture and Engineering
184,23.709194,-9.1593275,17-3013.00,17,Architechture and Engineering
185,-5.096822,-13.48463,17-3021.00,17,Architechture and Engineering
186,24.355942,-12.775749,17-3022.00,17,Architechture and Engineering
187,19.750051,-14.579334,17-3023.01,17,Architechture and Engineering
188,-5.5266194,-11.899735,17-3023.03,17,Architechture and Engineering
189,-28.232832,-30.446411,17-3024.00,17,Architechture and Engineering
190,-20.35974,-25.147888,17-3024.01,17,Architechture and Engineering
191,-4.4934163,-29.142033,17-3025.00,17,Architechture and Engineering
192,15.982303,-18.398642,17-3026.00,17,Architechture and Engineering
193,-5.367559,-29.353107,17-3027.00,17,Architechture and Engineering
194,-14.933501,-19.858936,17-3027.01,17,Architechture and Engineering
195,-18.43775,-26.970001,17-3029.01,17,Architechture and Engineering
196,22.175936,-15.093926,17-3029.02,17,Architechture and Engineering
197,-6.2478237,-12.901335,17-3029.03,17,Architechture and Engineering
198,-13.271463,-18.85235,17-3029.04,17,Architechture and Engineering
199,23.047619,-14.7186365,17-3029.05,17,Architechture and Engineering
200,22.854689,-23.469616,17-3029.06,17,Architechture and Engineering
201,-20.006418,-26.026457,17-3029.07,17,Architechture and Engineering
202,-3.954547,-12.026429,17-3029.08,17,Architechture and Engineering
203,-15.699064,-19.26414,17-3029.09,17,Architechture and Engineering
