,First component,Second component,SOC,Label,Occupation Category
0,14.677131,28.69278,11-1011.00,11,Management
1,13.765346,38.566185,11-1011.03,11,Management
2,11.730156,3.2313473,11-1021.00,11,Management
3,16.53679,31.692184,11-2011.00,11,Management
4,16.57458,32.03642,11-2021.00,11,Management
5,14.531226,32.47048,11-2022.00,11,Management
6,17.54075,31.041014,11-2031.00,11,Management
7,12.079897,3.09951,11-3011.00,11,Management
8,-3.5821273,37.121822,11-3021.00,11,Management
9,28.652338,27.910694,11-3031.01,11,Management
10,26.292578,28.187561,11-3031.02,11,Management
11,-18.371418,18.975193,11-3051.00,11,Management
12,-17.525894,21.219519,11-3051.01,11,Management
13,-26.710732,7.792233,11-3051.02,11,Management
14,-18.515123,20.401575,11-3051.03,11,Management
15,-26.50627,7.720571,11-3051.04,11,Management
16,-27.898123,7.5397897,11-3051.06,11,Management
17,16.704018,34.285686,11-3061.00,11,Management
18,14.419495,36.145275,11-3071.01,11,Management
19,10.644793,3.095861,11-3071.02,11,Management
20,14.486101,35.125244,11-3071.03,11,Management
21,35.044437,23.58295,11-3111.00,11,Management
22,17.024422,28.383722,11-3121.00,11,Management
23,15.711791,27.427021,11-3131.00,11,Management
24,-26.090647,-2.7994788,11-9013.01,11,Management
25,-28.890612,-5.3561006,11-9013.02,11,Management
26,-27.435995,-3.067657,11-9013.03,11,Management
27,7.942567,48.011806,11-9021.00,11,Management
28,13.482871,23.604105,11-9031.00,11,Management
29,14.573207,23.372175,11-9032.00,11,Management
30,16.743448,27.760727,11-9033.00,11,Management
31,12.7044325,30.296812,11-9039.01,11,Management
32,0.7744985,4.431129,11-9039.02,11,Management
33,8.583146,44.349354,11-9041.00,11,Management
34,-16.741205,22.215818,11-9041.01,11,Management
35,14.56865,-3.2006533,11-9051.00,11,Management
36,10.411892,-0.28653064,11-9061.00,11,Management
37,9.125473,9.916559,11-9071.00,11,Management
38,10.468918,4.535072,11-9081.00,11,Management
39,18.022903,28.626556,11-9111.00,11,Management
40,14.868883,38.785725,11-9121.00,11,Management
41,20.941969,29.080116,11-9121.01,11,Management
42,9.039582,41.658318,11-9121.02,11,Management
43,14.61029,4.9773164,11-9131.00,11,Management
44,39.301655,23.79302,11-9141.00,11,Management
45,13.83581,24.79688,11-9151.00,11,Management
46,-23.926746,11.35718,11-9161.00,11,Management
47,21.961945,30.809088,11-9199.01,11,Management
48,23.400402,29.232101,11-9199.02,11,Management
49,28.016392,29.183756,11-9199.03,11,Management
50,15.806415,35.262424,11-9199.04,11,Management
51,-24.059753,7.9111915,11-9199.07,11,Management
52,8.237518,10.036663,11-9199.08,11,Management
53,-25.501957,6.450397,11-9199.09,11,Management
54,12.638622,36.29419,11-9199.10,11,Management
55,13.126652,38.907093,11-9199.11,11,Management
56,38.64766,26.562965,13-1011.00,13,Business and Financial Operations
57,23.198828,4.9723797,13-1021.00,13,Business and Financial Operations
58,24.721375,6.073069,13-1022.00,13,Business and Financial Operations
59,28.88155,24.309965,13-1023.00,13,Business and Financial Operations
60,31.899273,19.103933,13-1031.01,13,Business and Financial Operations
61,32.56954,21.135254,13-1031.02,13,Business and Financial Operations
62,14.177883,-10.245447,13-1032.00,13,Business and Financial Operations
63,-30.677345,10.198938,13-1041.01,13,Business and Financial Operations
64,-22.416632,5.345569,13-1041.02,13,Business and Financial Operations
65,22.013615,23.253334,13-1041.03,13,Business and Financial Operations
66,-32.133717,10.051294,13-1041.04,13,Business and Financial Operations
67,-32.46284,6.550759,13-1041.06,13,Business and Financial Operations
68,21.983389,30.704872,13-1041.07,13,Business and Financial Operations
69,32.208378,29.694065,13-1051.00,13,Business and Financial Operations
70,40.50457,18.23887,13-1071.00,13,Business and Financial Operations
71,4.215344,-34.649418,13-1074.00,13,Business and Financial Operations
72,18.969763,30.658478,13-1075.00,13,Business and Financial Operations
73,15.278565,34.69655,13-1081.00,13,Business and Financial Operations
74,7.544409,40.545948,13-1081.01,13,Business and Financial Operations
75,7.6332684,38.248848,13-1081.02,13,Business and Financial Operations
76,19.339058,32.15598,13-1111.00,13,Business and Financial Operations
77,11.617819,4.642881,13-1121.00,13,Business and Financial Operations
78,38.742123,25.820742,13-1131.00,13,Business and Financial Operations
79,34.04315,23.718079,13-1141.00,13,Business and Financial Operations
80,15.991571,26.404305,13-1151.00,13,Business and Financial Operations
81,27.520746,31.397667,13-1161.00,13,Business and Financial Operations
82,-27.950281,-0.2010238,13-1199.01,13,Business and Financial Operations
83,11.319672,39.27501,13-1199.02,13,Business and Financial Operations
84,30.191698,22.03839,13-1199.03,13,Business and Financial Operations
85,17.631084,34.90424,13-1199.04,13,Business and Financial Operations
86,19.353817,35.965336,13-1199.05,13,Business and Financial Operations
87,37.383327,21.913671,13-1199.06,13,Business and Financial Operations
88,31.934393,27.503649,13-2011.01,13,Business and Financial Operations
89,28.309599,28.862337,13-2011.02,13,Business and Financial Operations
90,3.7103608,-0.59286255,13-2021.01,13,Business and Financial Operations
91,4.345946,-0.6519934,13-2021.02,13,Business and Financial Operations
92,31.174559,27.040152,13-2031.00,13,Business and Financial Operations
93,32.58036,27.498629,13-2041.00,13,Business and Financial Operations
