,First component,Second component,SOC,Label,Occupation Category
0,30.313753,7.4567046,11-1011.00,11,Management
1,36.674,1.8902758,11-1011.03,11,Management
2,8.286817,17.40886,11-1021.00,11,Management
3,31.386816,4.083589,11-2011.00,11,Management
4,31.845669,4.4129796,11-2021.00,11,Management
5,31.918447,6.4077516,11-2022.00,11,Management
6,32.46604,10.671419,11-2031.00,11,Management
7,8.259981,17.494196,11-3011.00,11,Management
8,36.537125,-7.02017,11-3021.00,11,Management
9,43.26463,6.619809,11-3031.01,11,Management
10,42.463215,7.631735,11-3031.02,11,Management
11,7.2171545,-19.90194,11-3051.00,11,Management
12,8.365578,-20.647324,11-3051.01,11,Management
13,4.8940105,-21.867844,11-3051.02,11,Management
14,7.936341,-21.088099,11-3051.03,11,Management
15,5.162204,-21.770037,11-3051.04,11,Management
16,4.020032,-22.753256,11-3051.06,11,Management
17,36.42531,5.841602,11-3061.00,11,Management
18,35.737183,4.4823055,11-3071.01,11,Management
19,3.1273193,-18.622366,11-3071.02,11,Management
20,37.553146,5.926904,11-3071.03,11,Management
21,39.57371,14.888428,11-3111.00,11,Management
22,29.501587,8.739483,11-3121.00,11,Management
23,29.31522,9.43283,11-3131.00,11,Management
24,1.0063783,-21.349236,11-9013.01,11,Management
25,-8.380269,-27.502617,11-9013.02,11,Management
26,0.07209246,-22.302658,11-9013.03,11,Management
27,8.497672,-24.152615,11-9021.00,11,Management
28,13.346309,13.600972,11-9031.00,11,Management
29,26.499565,9.243577,11-9032.00,11,Management
30,30.499512,9.1231785,11-9033.00,11,Management
31,32.946064,2.812821,11-9039.01,11,Management
32,4.6828656,7.2247496,11-9039.02,11,Management
33,40.957455,-17.653732,11-9041.00,11,Management
34,20.884651,-21.804192,11-9041.01,11,Management
35,0.23015317,12.203649,11-9051.00,11,Management
36,5.9324236,19.513042,11-9061.00,11,Management
37,12.248926,15.846603,11-9071.00,11,Management
38,9.147176,13.53871,11-9081.00,11,Management
39,36.569164,8.027904,11-9111.00,11,Management
40,36.901157,0.977694,11-9121.00,11,Management
41,39.108974,9.017279,11-9121.01,11,Management
42,38.151844,-15.811143,11-9121.02,11,Management
43,9.413896,16.37074,11-9131.00,11,Management
44,36.518284,13.372482,11-9141.00,11,Management
45,28.188822,8.490601,11-9151.00,11,Management
46,7.4944477,-15.065975,11-9161.00,11,Management
47,42.06345,3.8259695,11-9199.01,11,Management
48,39.150124,11.132599,11-9199.02,11,Management
49,44.615765,7.0743804,11-9199.03,11,Management
50,36.84118,5.3882585,11-9199.04,11,Management
51,4.1153045,-16.847513,11-9199.07,11,Management
52,11.81616,14.993245,11-9199.08,11,Management
