,First component,Second component,SOC,Label,Occupation Category
0,40.46984,-6.5644937,11-1011.00,11,Management
1,37.486458,-5.3144064,11-1011.03,11,Management
2,11.026489,7.2350826,11-1021.00,11,Management
3,36.41369,-0.8568309,11-2011.00,11,Management
4,36.888103,-0.9509318,11-2021.00,11,Management
5,33.432503,-1.8632474,11-2022.00,11,Management
6,36.57524,0.27259117,11-2031.00,11,Management
7,11.5538435,7.643223,11-3011.00,11,Management
8,35.584595,-16.199759,11-3021.00,11,Management
9,45.22265,-2.6784973,11-3031.01,11,Management
10,43.589966,-0.7589955,11-3031.02,11,Management
11,6.889661,-21.454853,11-3051.00,11,Management
12,8.820258,-23.479647,11-3051.01,11,Management
13,-3.8338778,-27.311996,11-3051.02,11,Management
14,8.059656,-22.886362,11-3051.03,11,Management
15,-3.766198,-27.060682,11-3051.04,11,Management
16,-4.965341,-28.456615,11-3051.06,11,Management
17,38.50265,-1.1492181,11-3061.00,11,Management
18,36.527252,-4.7975407,11-3071.01,11,Management
19,10.268847,7.1178412,11-3071.02,11,Management
20,34.932735,-4.06262,11-3071.03,11,Management
21,36.943665,19.86367,11-3111.00,11,Management
22,34.26357,-0.792018,11-3121.00,11,Management
23,33.55525,0.18785399,11-3131.00,11,Management
24,-12.968981,-21.725779,11-9013.01,11,Management
25,-17.903517,-23.431263,11-9013.02,11,Management
26,-13.472799,-23.861105,11-9013.03,11,Management
27,-1.1305035,-30.495314,11-9021.00,11,Management
28,18.113733,4.002578,11-9031.00,11,Management
29,27.284822,1.6618025,11-9032.00,11,Management
30,35.01623,0.5974629,11-9033.00,11,Management
31,36.491875,-4.376296,11-9039.01,11,Management
32,5.999332,-1.4005442,11-9039.02,11,Management
33,40.291885,-17.00398,11-9041.00,11,Management
34,9.845215,-24.725304,11-9041.01,11,Management
35,3.110414,9.3847885,11-9051.00,11,Management
36,10.208713,10.507533,11-9061.00,11,Management
37,16.415533,1.0066516,11-9071.00,11,Management
38,11.854602,4.848557,11-9081.00,11,Management
39,35.142925,-2.4522808,11-9111.00,11,Management
40,38.310837,-6.09484,11-9121.00,11,Management
41,39.782585,-0.1764788,11-9121.01,11,Management
42,42.4095,-14.327849,11-9121.02,11,Management
43,15.8725395,4.672748,11-9131.00,11,Management
44,39.990276,17.773687,11-9141.00,11,Management
45,31.894423,-0.91190934,11-9151.00,11,Management
46,1.434577,-27.268072,11-9161.00,11,Management
47,41.917686,2.0763497,11-9199.01,11,Management
48,41.834682,4.0800285,11-9199.02,11,Management
49,45.28741,-4.194867,11-9199.03,11,Management
50,39.049244,-1.5023235,11-9199.04,11,Management
51,-4.5450735,-25.102072,11-9199.07,11,Management
52,16.00569,0.398114,11-9199.08,11,Management
53,-5.424499,-25.439842,11-9199.09,11,Management
54,34.03444,-5.6231403,11-9199.10,11,Management
55,40.14111,-11.060329,11-9199.11,11,Management
56,41.40332,18.068958,13-1011.00,13,Business and Financial Operations
57,14.1794815,17.83898,13-1021.00,13,Business and Financial Operations
58,15.362463,17.650066,13-1022.00,13,Business and Financial Operations
59,37.19943,17.801216,13-1023.00,13,Business and Financial Operations
60,30.766323,18.048676,13-1031.01,13,Business and Financial Operations
61,31.65601,16.616901,13-1031.02,13,Business and Financial Operations
62,8.343724,17.280434,13-1032.00,13,Business and Financial Operations
63,-5.412406,-33.32952,13-1041.01,13,Business and Financial Operations
64,-3.4400783,-19.993212,13-1041.02,13,Business and Financial Operations
65,36.779156,6.8158407,13-1041.03,13,Business and Financial Operations
66,-6.2991385,-34.224606,13-1041.04,13,Business and Financial Operations
67,-9.680643,-33.40974,13-1041.06,13,Business and Financial Operations
68,42.58918,1.7790954,13-1041.07,13,Business and Financial Operations
69,49.278183,-1.6839211,13-1051.00,13,Business and Financial Operations
70,37.507656,24.670301,13-1071.00,13,Business and Financial Operations
71,-27.045671,16.832182,13-1074.00,13,Business and Financial Operations
72,37.946346,1.3389679,13-1075.00,13,Business and Financial Operations
73,37.589375,-2.1367483,13-1081.00,13,Business and Financial Operations
74,42.29911,-16.102201,13-1081.01,13,Business and Financial Operations
75,45.378677,-6.0521717,13-1081.02,13,Business and Financial Operations
76,39.7646,2.5805285,13-1111.00,13,Business and Financial Operations
