,First component,Second component,SOC,Label,Occupation Category
0,23.244436,-30.099043,11-1011.00,11,Management
1,21.109426,-26.52558,11-1011.03,11,Management
2,12.366596,-3.4241393,11-1021.00,11,Management
3,24.623758,-22.147633,11-2011.00,11,Management
4,24.941917,-22.414595,11-2021.00,11,Management
5,22.495546,-22.0489,11-2022.00,11,Management
6,25.385248,-21.628052,11-2031.00,11,Management
7,13.035565,-3.1142504,11-3011.00,11,Management
8,9.078016,-32.025223,11-3021.00,11,Management
9,29.52262,-29.516502,11-3031.01,11,Management
10,27.384132,-28.74403,11-3031.02,11,Management
11,-10.4708605,-17.849283,11-3051.00,11,Management
12,-9.126033,-20.232235,11-3051.01,11,Management
13,-19.562595,-13.764545,11-3051.02,11,Management
14,-9.281024,-19.14711,11-3051.03,11,Management
15,-19.332642,-13.671275,11-3051.04,11,Management
16,-20.70773,-14.448853,11-3051.06,11,Management
17,24.317465,-24.191042,11-3061.00,11,Management
18,20.963593,-25.200544,11-3071.01,11,Management
19,11.544308,-2.952071,11-3071.02,11,Management
20,21.664661,-22.969408,11-3071.03,11,Management
21,37.727554,-3.6753128,11-3111.00,11,Management
22,23.512169,-20.698626,11-3121.00,11,Management
23,23.8156,-19.39035,11-3131.00,11,Management
24,-25.597555,-3.3027978,11-9013.01,11,Management
25,-29.027191,-1.9470369,11-9013.02,11,Management
26,-27.422438,-4.6986523,11-9013.03,11,Management
27,-22.963367,-17.16219,11-9021.00,11,Management
28,19.980452,-13.543724,11-9031.00,11,Management
29,20.799704,-14.60131,11-9032.00,11,Management
30,25.092735,-20.188776,11-9033.00,11,Management
31,20.841854,-24.620407,11-9039.01,11,Management
32,2.7291164,-7.232262,11-9039.02,11,Management
33,13.760219,-36.556026,11-9041.00,11,Management
34,-8.94659,-21.689144,11-9041.01,11,Management
35,11.101419,7.5394998,11-9051.00,11,Management
36,12.719407,-0.91284233,11-9061.00,11,Management
37,11.683344,-10.4012785,11-9071.00,11,Management
38,-16.976145,-12.296349,11-9081.00,11,Management
39,22.304127,-20.674145,11-9111.00,11,Management
40,22.241835,-27.49139,11-9121.00,11,Management
41,26.154263,-25.286272,11-9121.01,11,Management
42,17.025814,-36.05862,11-9121.02,11,Management
43,15.144361,-7.544335,11-9131.00,11,Management
44,38.37059,-7.980847,11-9141.00,11,Management
45,21.47911,-19.143545,11-9151.00,11,Management
46,-17.691723,-17.203312,11-9161.00,11,Management
47,30.21273,-23.98529,11-9199.01,11,Management
48,28.847713,-23.41134,11-9199.02,11,Management
49,28.339056,-30.685429,11-9199.03,11,Management
50,25.002888,-24.960823,11-9199.04,11,Management
51,-18.172686,-11.419825,11-9199.07,11,Management
52,11.032909,-10.480402,11-9199.08,11,Management
53,-17.813753,-12.056791,11-9199.09,11,Management
54,20.139618,-22.559278,11-9199.10,11,Management
55,20.51296,-27.212034,11-9199.11,11,Management
56,39.50261,-9.08088,13-1011.00,13,Business and Financial Operations
57,21.996294,0.514714,13-1021.00,13,Business and Financial Operations
58,23.190943,0.60329694,13-1022.00,13,Business and Financial Operations
59,34.23224,-7.301782,13-1023.00,13,Business and Financial Operations
60,30.887686,-3.245042,13-1031.01,13,Business and Financial Operations
61,33.079582,-3.3839147,13-1031.02,13,Business and Financial Operations
62,11.053109,2.5010471,13-1032.00,13,Business and Financial Operations
63,-26.860792,-16.09165,13-1041.01,13,Business and Financial Operations
64,-16.171608,-6.5431013,13-1041.02,13,Business and Financial Operations
65,31.13548,-20.261932,13-1041.03,13,Business and Financial Operations
66,-28.503736,-15.694054,13-1041.04,13,Business and Financial Operations
67,-28.845533,-11.838957,13-1041.06,13,Business and Financial Operations
68,29.885464,-24.646597,13-1041.07,13,Business and Financial Operations
69,33.86475,-30.055689,13-1051.00,13,Business and Financial Operations
