,First component,Second component,SOC,Label,Occupation Category
0,0.38628957,-35.445774,11-1011.00,11,Management
1,8.158153,-35.38356,11-1011.03,11,Management
2,-9.200189,-7.8836784,11-1021.00,11,Management
3,4.63789,-32.8897,11-2011.00,11,Management
4,4.4697437,-33.565434,11-2021.00,11,Management
5,4.142981,-35.827747,11-2022.00,11,Management
6,3.6643615,-33.347107,11-2031.00,11,Management
7,-9.931669,-7.955662,11-3011.00,11,Management
8,21.750021,-30.641012,11-3021.00,11,Management
9,7.379215,-44.586918,11-3031.01,11,Management
10,6.618111,-41.366936,11-3031.02,11,Management
11,-8.640575,-11.309549,11-3051.00,11,Management
12,25.682766,-5.7033896,11-3051.01,11,Management
13,24.263899,21.972685,11-3051.02,11,Management
14,24.753668,-5.0572205,11-3051.03,11,Management
15,23.90387,21.874537,11-3051.04,11,Management
16,25.026123,23.005213,11-3051.06,11,Management
17,6.1131744,-37.77332,11-3061.00,11,Management
18,6.366166,-35.889645,11-3071.01,11,Management
19,-8.539188,-7.0115137,11-3071.02,11,Management
20,5.0553236,-36.82826,11-3071.03,11,Management
21,-11.0690565,-42.14488,11-3111.00,11,Management
22,2.477598,-35.4398,11-3121.00,11,Management
23,1.8845555,-33.288998,11-3131.00,11,Management
24,20.941322,22.564524,11-9013.01,11,Management
25,20.686306,25.986807,11-9013.02,11,Management
26,22.358213,23.460588,11-9013.03,11,Management
27,-5.7777023,-13.780042,11-9021.00,11,Management
28,-0.49547988,-31.62133,11-9031.00,11,Management
29,-1.4271107,-31.630033,11-9032.00,11,Management
30,1.7280809,-34.86241,11-9033.00,11,Management
31,6.5943923,-35.463154,11-9039.01,11,Management
32,1.0404228,-6.403089,11-9039.02,11,Management
33,32.751854,-33.122894,11-9041.00,11,Management
34,26.802061,-6.9163327,11-9041.01,11,Management
35,-15.646751,-4.4306726,11-9051.00,11,Management
36,-10.473647,-6.033301,11-9061.00,11,Management
37,-7.9673853,-14.008501,11-9071.00,11,Management
38,-7.846581,-8.724494,11-9081.00,11,Management
39,2.6993294,-36.26481,11-9111.00,11,Management
40,9.694666,-35.24962,11-9121.00,11,Management
41,8.53811,-39.07592,11-9121.01,11,Management
42,29.377825,-31.49136,11-9121.02,11,Management
