,First component,Second component,SOC,Label,Occupation Category
0,-8.014587,32.631012,11-1011.00,11,Management
1,-43.46196,14.610575,11-1011.03,11,Management
2,-5.1043983,7.2156157,11-1021.00,11,Management
3,-12.179821,30.437492,11-2011.00,11,Management
4,-12.183455,30.93735,11-2021.00,11,Management
5,-11.977996,31.977991,11-2022.00,11,Management
6,-13.298016,29.933008,11-2031.00,11,Management
7,-4.894817,7.814465,11-3011.00,11,Management
8,-31.305086,3.8519537,11-3021.00,11,Management
9,-30.92373,32.94258,11-3031.01,11,Management
10,-30.014317,33.178627,11-3031.02,11,Management
11,-9.618719,2.4325578,11-3051.00,11,Management
12,-11.358503,2.3404033,11-3051.01,11,Management
13,-10.954564,-0.7122714,11-3051.02,11,Management
14,-11.3210945,1.381312,11-3051.03,11,Management
15,-10.718207,-0.37577966,11-3051.04,11,Management
16,-10.724444,-1.5086926,11-3051.06,11,Management
17,-37.31689,20.477768,11-3061.00,11,Management
18,-37.155506,18.35109,11-3071.01,11,Management
19,-4.6827993,6.2464476,11-3071.02,11,Management
20,-36.834473,19.229517,11-3071.03,11,Management
21,-26.004671,32.33163,11-3111.00,11,Management
22,-7.4643292,34.235973,11-3121.00,11,Management
23,-7.946928,35.229256,11-3131.00,11,Management
24,-5.335616,0.2530367,11-9013.01,11,Management
25,-10.008908,-6.5628076,11-9013.02,11,Management
26,-8.932304,-5.733913,11-9013.03,11,Management
27,-41.831127,9.9498,11-9021.00,11,Management
28,0.16713959,22.117605,11-9031.00,11,Management
29,-5.1734023,33.812473,11-9032.00,11,Management
30,-8.171336,34.301537,11-9033.00,11,Management
31,-12.806642,34.79293,11-9039.01,11,Management
32,16.601894,24.211245,11-9039.02,11,Management
33,-43.16538,7.8877597,11-9041.00,11,Management
34,-26.93593,-10.757016,11-9041.01,11,Management
35,5.296415,11.840242,11-9051.00,11,Management
36,1.4622029,15.964054,11-9061.00,11,Management
37,-3.4305387,9.545002,11-9071.00,11,Management
38,-0.62958753,18.974167,11-9081.00,11,Management
39,-17.075996,35.097946,11-9111.00,11,Management
40,-42.02723,14.209523,11-9121.00,11,Management
41,-28.159048,36.29253,11-9121.01,11,Management
42,-44.11466,5.4516344,11-9121.02,11,Management
43,-6.1062946,8.175384,11-9131.00,11,Management
44,-20.875666,32.31291,11-9141.00,11,Management
45,-6.4852695,34.11032,11-9151.00,11,Management
46,0.018725092,7.7805047,11-9161.00,11,Management
47,-39.384113,25.513374,11-9199.01,11,Management
48,-23.924952,33.7274,11-9199.02,11,Management
49,-32.035416,32.60293,11-9199.03,11,Management
50,-37.535442,19.530584,11-9199.04,11,Management
