,First component,Second component,SOC,Label,Occupation Category
0,-4.2815948,-31.780535,11-1011.00,11,Management
1,12.91032,-45.65973,11-1011.03,11,Management
2,-16.028788,-7.682817,11-1021.00,11,Management
3,-8.509745,-35.800613,11-2011.00,11,Management
4,-8.647978,-36.09462,11-2021.00,11,Management
5,-8.680833,-38.914227,11-2022.00,11,Management
6,-8.513606,-34.64545,11-2031.00,11,Management
7,-16.247835,-8.018134,11-3011.00,11,Management
8,8.312105,-35.870953,11-3021.00,11,Management
9,-10.838134,-44.937347,11-3031.01,11,Management
10,-10.483706,-42.821587,11-3031.02,11,Management
11,20.24032,-2.5974975,11-3051.00,11,Management
12,20.293348,-4.1557455,11-3051.01,11,Management
13,23.551006,-1.0726161,11-3051.02,11,Management
14,21.379984,-3.6553388,11-3051.03,11,Management
15,23.527441,-0.91618085,11-3051.04,11,Management
16,24.152983,-2.0059183,11-3051.06,11,Management
17,-3.92177,-42.32687,11-3061.00,11,Management
18,-3.1483424,-40.010025,11-3071.01,11,Management
19,-15.41035,-7.1700883,11-3071.02,11,Management
20,-3.8796043,-40.996304,11-3071.03,11,Management
21,-21.365772,-47.259857,11-3111.00,11,Management
22,-6.107851,-33.759396,11-3121.00,11,Management
23,-7.2539945,-32.280254,11-3131.00,11,Management
24,22.295496,13.317981,11-9013.01,11,Management
25,24.615997,11.839782,11-9013.02,11,Management
26,23.262959,12.632379,11-9013.03,11,Management
27,27.553896,-3.5053341,11-9021.00,11,Management
28,-12.246721,-21.60804,11-9031.00,11,Management
29,-9.325858,-24.098574,11-9032.00,11,Management
30,-6.281446,-32.72541,11-9033.00,11,Management
31,0.25766718,-35.9233,11-9039.01,11,Management
32,-4.8724856,-6.7234406,11-9039.02,11,Management
33,20.855947,-40.160683,11-9041.00,11,Management
34,24.176126,-24.072454,11-9041.01,11,Management
35,-15.172115,1.1645907,11-9051.00,11,Management
36,-17.92939,-7.1607866,11-9061.00,11,Management
37,-12.572376,-12.961692,11-9071.00,11,Management
38,-14.260835,-8.836446,11-9081.00,11,Management
39,-4.9391356,-36.489994,11-9111.00,11,Management
40,11.305936,-46.73893,11-9121.00,11,Management
41,-5.9387794,-43.747654,11-9121.01,11,Management
42,17.781294,-41.06481,11-9121.02,11,Management
43,-16.042675,-13.965842,11-9131.00,11,Management
44,-19.351183,-49.351624,11-9141.00,11,Management
45,-7.3576035,-30.530329,11-9151.00,11,Management
46,29.331324,0.75950664,11-9161.00,11,Management
47,-5.445551,-45.153812,11-9199.01,11,Management
48,-6.8256745,-41.159306,11-9199.02,11,Management
49,-10.275037,-44.07145,11-9199.03,11,Management
50,-3.3587267,-41.915455,11-9199.04,11,Management
51,28.41496,3.855093,11-9199.07,11,Management
52,-11.390665,-12.433698,11-9199.08,11,Management
53,24.100548,0.5776501,11-9199.09,11,Management
54,12.622911,-44.019188,11-9199.10,11,Management
55,13.593905,-44.839497,11-9199.11,11,Management
56,-12.34084,-34.828,13-1011.00,13,Business and Financial Operations
57,-21.611055,-15.751664,13-1021.00,13,Business and Financial Operations
58,-22.546818,-17.17546,13-1022.00,13,Business and Financial Operations
59,-17.512388,-44.90575,13-1023.00,13,Business and Financial Operations
60,-17.18996,-41.735916,13-1031.01,13,Business and Financial Operations
61,-15.513053,-43.02545,13-1031.02,13,Business and Financial Operations
62,-10.0533905,-1.4848754,13-1032.00,13,Business and Financial Operations
63,32.847004,4.6680026,13-1041.01,13,Business and Financial Operations
64,28.917091,7.130592,13-1041.02,13,Business and Financial Operations
65,-4.9844213,-34.755947,13-1041.03,13,Business and Financial Operations
66,33.954453,5.8239164,13-1041.04,13,Business and Financial Operations
67,32.17364,8.184925,13-1041.06,13,Business and Financial Operations
68,-5.5357423,-45.42125,13-1041.07,13,Business and Financial Operations
69,-10.050442,-49.221962,13-1051.00,13,Business and Financial Operations
70,-22.88286,-46.820435,13-1071.00,13,Business and Financial Operations
71,-17.800735,41.737377,13-1074.00,13,Business and Financial Operations
72,-6.7656293,-37.068043,13-1075.00,13,Business and Financial Operations
73,-2.5340836,-41.728268,13-1081.00,13,Business and Financial Operations
74,19.171932,-38.94495,13-1081.01,13,Business and Financial Operations
75,-0.044219263,-41.63605,13-1081.02,13,Business and Financial Operations
76,-6.953291,-34.88395,13-1111.00,13,Business and Financial Operations
77,-14.743763,-9.4900465,13-1121.00,13,Business and Financial Operations
78,-11.824933,-35.24231,13-1131.00,13,Business and Financial Operations
79,-16.396915,-44.45363,13-1141.00,13,Business and Financial Operations
80,-8.441739,-31.886456,13-1151.00,13,Business and Financial Operations
81,-7.390396,-47.849426,13-1161.00,13,Business and Financial Operations
82,19.442392,12.123285,13-1199.01,13,Business and Financial Operations
83,14.816698,-43.656948,13-1199.02,13,Business and Financial Operations
84,-21.418413,-40.751694,13-1199.03,13,Business and Financial Operations
85,-1.2043009,-43.86918,13-1199.04,13,Business and Financial Operations
86,-1.8769557,-45.520996,13-1199.05,13,Business and Financial Operations
87,-17.20077,-48.167637,13-1199.06,13,Business and Financial Operations
88,-12.704622,-47.192204,13-2011.01,13,Business and Financial Operations
89,-9.976353,-45.21564,13-2011.02,13,Business and Financial Operations
90,-8.991826,-2.272404,13-2021.01,13,Business and Financial Operations
91,-9.312996,-2.144689,13-2021.02,13,Business and Financial Operations
92,-12.53944,-46.03222,13-2031.00,13,Business and Financial Operations
93,-13.056521,-47.645454,13-2041.00,13,Business and Financial Operations
94,-9.97536,-48.49924,13-2051.00,13,Business and Financial Operations
95,-9.10003,-43.63738,13-2052.00,13,Business and Financial Operations
96,-18.049515,-46.953922,13-2053.00,13,Business and Financial Operations
97,-9.215425,-45.525635,13-2061.00,13,Business and Financial Operations
98,-21.210299,-45.642975,13-2071.00,13,Business and Financial Operations
99,-19.341785,-42.958557,13-2071.01,13,Business and Financial Operations
100,-19.621328,-46.33704,13-2072.00,13,Business and Financial Operations
101,-17.216366,-42.644257,13-2081.00,13,Business and Financial Operations
102,-28.20797,-45.07553,13-2082.00,13,Business and Financial Operations
103,-12.109029,-49.358036,13-2099.01,13,Business and Financial Operations
104,-2.9138885,-43.78962,13-2099.02,13,Business and Financial Operations
105,-6.052574,-42.614136,13-2099.04,13,Business and Financial Operations
106,11.822713,-37.16175,15-1111.00,15,Computers and Math
107,7.5788026,-37.27667,15-1121.00,15,Computers and Math
108,4.3078823,-34.90445,15-1121.01,15,Computers and Math
109,7.418897,-36.250847,15-1122.00,15,Computers and Math
110,9.040912,-40.061573,15-1131.00,15,Computers and Math
111,7.7689667,-39.52363,15-1132.00,15,Computers and Math
112,9.668533,-38.558872,15-1133.00,15,Computers and Math
