,First component,Second component,SOC,Label,Occupation Category
0,-36.794796,13.63034,11-1011.00,11,Management
1,-38.981228,6.3331766,11-1011.03,11,Management
2,-14.477752,-3.8849757,11-1021.00,11,Management
3,-33.31616,6.279927,11-2011.00,11,Management
4,-33.835564,5.961211,11-2021.00,11,Management
5,-36.518673,2.3563886,11-2022.00,11,Management
6,-32.81097,5.6815596,11-2031.00,11,Management
7,-14.66819,-4.3021135,11-3011.00,11,Management
8,-9.937923,34.784935,11-3021.00,11,Management
9,-46.584785,1.089084,11-3031.01,11,Management
10,-45.172203,-1.274307,11-3031.02,11,Management
11,16.282671,12.567224,11-3051.00,11,Management
12,15.628593,13.890136,11-3051.01,11,Management
13,18.842747,12.749197,11-3051.02,11,Management
14,16.450441,13.800362,11-3051.03,11,Management
15,18.595566,12.644718,11-3051.04,11,Management
16,20.08395,12.743043,11-3051.06,11,Management
17,-40.25931,3.5136275,11-3061.00,11,Management
18,-39.223633,1.8346874,11-3071.01,11,Management
19,-13.545251,-3.147684,11-3071.02,11,Management
20,-39.131226,2.3860042,11-3071.03,11,Management
21,-43.174587,-9.525126,11-3111.00,11,Management
22,-36.50492,11.263121,11-3121.00,11,Management
23,-34.443897,11.502461,11-3131.00,11,Management
24,22.459482,10.429079,11-9013.01,11,Management
25,25.259274,10.943203,11-9013.02,11,Management
26,23.545988,10.723084,11-9013.03,11,Management
27,14.83182,17.250221,11-9021.00,11,Management
28,-29.792864,12.144599,11-9031.00,11,Management
29,-29.531418,13.275153,11-9032.00,11,Management
30,-35.9618,12.030676,11-9033.00,11,Management
31,-34.440136,8.539452,11-9039.01,11,Management
32,-7.478491,6.527472,11-9039.02,11,Management
33,1.0861447,44.490147,11-9041.00,11,Management
34,9.0819,28.838984,11-9041.01,11,Management
35,-9.084622,-14.932064,11-9051.00,11,Management
36,-14.515182,-5.548333,11-9061.00,11,Management
37,-18.824907,-1.4768325,11-9071.00,11,Management
38,-14.193444,-2.3613126,11-9081.00,11,Management
39,-37.01055,10.2872925,11-9111.00,11,Management
40,-39.213642,7.315277,11-9121.00,11,Management
41,-43.432446,5.7074714,11-9121.01,11,Management
42,-1.4068956,41.30669,11-9121.02,11,Management
43,-20.30968,-4.0210834,11-9131.00,11,Management
44,-44.41206,-7.54789,11-9141.00,11,Management
45,-30.80045,11.875873,11-9151.00,11,Management
46,-14.085674,1.9031606,11-9161.00,11,Management
47,-42.841736,3.208424,11-9199.01,11,Management
48,-40.587303,0.5223105,11-9199.02,11,Management
49,-46.226707,-0.57775253,11-9199.03,11,Management
50,-39.915974,3.0516348,11-9199.04,11,Management
51,-9.905387,-3.2382228,11-9199.07,11,Management
52,-18.111702,-1.4299788,11-9199.08,11,Management
53,19.18326,11.203352,11-9199.09,11,Management
54,-37.769764,5.1438923,11-9199.10,11,Management
55,-38.551666,6.315376,11-9199.11,11,Management
56,-31.7015,3.2884116,13-1011.00,13,Business and Financial Operations
57,-23.937353,-6.111996,13-1021.00,13,Business and Financial Operations
58,-25.773918,-6.3927627,13-1022.00,13,Business and Financial Operations
59,-39.93313,-2.7019725,13-1023.00,13,Business and Financial Operations
60,-38.25196,-4.417176,13-1031.01,13,Business and Financial Operations
61,-41.50931,-1.7406147,13-1031.02,13,Business and Financial Operations
62,-11.692597,-8.354343,13-1032.00,13,Business and Financial Operations
63,28.12765,21.408846,13-1041.01,13,Business and Financial Operations
64,-8.280912,-5.420613,13-1041.02,13,Business and Financial Operations
65,-37.361294,11.607542,13-1041.03,13,Business and Financial Operations
66,30.204084,20.43042,13-1041.04,13,Business and Financial Operations
67,27.818024,19.245352,13-1041.06,13,Business and Financial Operations
68,-43.02884,3.277984,13-1041.07,13,Business and Financial Operations
69,-47.13977,3.4567902,13-1051.00,13,Business and Financial Operations
70,-42.966255,-10.547132,13-1071.00,13,Business and Financial Operations
71,9.572413,-30.882734,13-1074.00,13,Business and Financial Operations
72,-39.332294,9.932368,13-1075.00,13,Business and Financial Operations
73,-39.07398,3.3729744,13-1081.00,13,Business and Financial Operations
74,-0.6678812,42.49753,13-1081.01,13,Business and Financial Operations
75,-48.742916,3.1736248,13-1081.02,13,Business and Financial Operations
76,-41.792973,8.256913,13-1111.00,13,Business and Financial Operations
77,-15.528589,-2.9311686,13-1121.00,13,Business and Financial Operations
78,-32.05813,3.6895995,13-1131.00,13,Business and Financial Operations
79,-40.954533,-3.3556197,13-1141.00,13,Business and Financial Operations
80,-33.096245,13.004909,13-1151.00,13,Business and Financial Operations
81,-46.238747,6.367476,13-1161.00,13,Business and Financial Operations
82,23.069654,13.150469,13-1199.01,13,Business and Financial Operations
83,-0.7093116,38.034515,13-1199.02,13,Business and Financial Operations
84,-38.312756,-1.8536611,13-1199.03,13,Business and Financial Operations
85,-41.109905,5.2833557,13-1199.04,13,Business and Financial Operations
86,-40.728535,6.537866,13-1199.05,13,Business and Financial Operations
