,First component,Second component,SOC,Label,Occupation Category
0,29.407816,-9.14588,11-1011.00,11,Management
1,37.336334,-2.515322,11-1011.03,11,Management
2,6.986976,-23.14486,11-1021.00,11,Management
3,31.731457,-5.9127135,11-2011.00,11,Management
4,32.021008,-6.288589,11-2021.00,11,Management
5,32.65262,-8.099078,11-2022.00,11,Management
6,32.694515,-11.19081,11-2031.00,11,Management
7,7.022729,-22.62557,11-3011.00,11,Management
8,31.206202,9.423285,11-3021.00,11,Management
9,42.795902,-1.5524044,11-3031.01,11,Management
10,42.782635,-2.9997175,11-3031.02,11,Management
11,10.504167,-20.527258,11-3051.00,11,Management
12,8.351187,15.3864765,11-3051.01,11,Management
13,4.452404,16.107624,11-3051.02,11,Management
14,7.775062,15.5686245,11-3051.03,11,Management
15,4.3592196,16.356825,11-3051.04,11,Management
16,4.5074034,14.898678,11-3051.06,11,Management
17,37.89407,-5.8553953,11-3061.00,11,Management
18,38.201035,-7.743119,11-3071.01,11,Management
19,6.3626623,-23.563747,11-3071.02,11,Management
20,38.883152,-6.9819965,11-3071.03,11,Management
21,44.302155,-13.724267,11-3111.00,11,Management
22,29.479988,-11.148658,11-3121.00,11,Management
23,29.947737,-11.5752735,11-3131.00,11,Management
24,-4.1001735,9.392875,11-9013.01,11,Management
25,-6.9818525,23.360407,11-9013.02,11,Management
26,-4.536887,20.779968,11-9013.03,11,Management
27,6.570943,19.343601,11-9021.00,11,Management
28,14.431807,-15.842999,11-9031.00,11,Management
29,26.298084,-11.719628,11-9032.00,11,Management
30,30.593557,-10.524994,11-9033.00,11,Management
31,33.55558,-5.230726,11-9039.01,11,Management
32,2.7995157,-13.582106,11-9039.02,11,Management
33,37.797405,19.586115,11-9041.00,11,Management
34,17.100271,21.5272,11-9041.01,11,Management
35,-6.728338,-20.933805,11-9051.00,11,Management
36,3.7360725,-23.465094,11-9061.00,11,Management
37,12.936698,-18.777542,11-9071.00,11,Management
38,7.929872,-18.86492,11-9081.00,11,Management
39,40.85998,-8.552975,11-9111.00,11,Management
40,38.254936,-1.9501925,11-9121.00,11,Management
41,42.90562,-7.304603,11-9121.01,11,Management
42,34.86023,17.670477,11-9121.02,11,Management
43,11.167053,-21.46454,11-9131.00,11,Management
44,44.968227,-11.994776,11-9141.00,11,Management
45,26.266949,-13.224836,11-9151.00,11,Management
46,3.2481153,7.5916696,11-9161.00,11,Management
47,45.73645,-5.330862,11-9199.01,11,Management
48,40.94195,-10.173299,11-9199.02,11,Management
49,44.11238,-2.04006,11-9199.03,11,Management
50,38.463436,-6.0341578,11-9199.04,11,Management
51,-8.12097,11.623066,11-9199.07,11,Management
52,12.2088375,-17.926975,11-9199.08,11,Management
53,2.4581058,16.282413,11-9199.09,11,Management
54,32.638565,16.143456,11-9199.10,11,Management
55,33.330357,17.437828,11-9199.11,11,Management
56,35.168686,-13.247184,13-1011.00,13,Business and Financial Operations
57,17.253008,-27.600197,13-1021.00,13,Business and Financial Operations
58,14.989609,-26.39618,13-1022.00,13,Business and Financial Operations
59,43.306087,-11.985074,13-1023.00,13,Business and Financial Operations
60,41.23267,-14.45932,13-1031.01,13,Business and Financial Operations
61,40.938416,-12.822076,13-1031.02,13,Business and Financial Operations
62,0.26329765,12.563086,13-1032.00,13,Business and Financial Operations
63,1.5679883,23.575123,13-1041.01,13,Business and Financial Operations
64,-3.6206427,14.532081,13-1041.02,13,Business and Financial Operations
65,44.115704,-7.8847494,13-1041.03,13,Business and Financial Operations
66,1.8319297,21.28582,13-1041.04,13,Business and Financial Operations
67,0.02210818,0.12611356,13-1041.06,13,Business and Financial Operations
68,46.285927,-4.503529,13-1041.07,13,Business and Financial Operations
69,45.670486,3.5626702,13-1051.00,13,Business and Financial Operations
70,49.99087,-21.226973,13-1071.00,13,Business and Financial Operations
71,-36.061188,-9.628476,13-1074.00,13,Business and Financial Operations
72,34.99353,-8.988263,13-1075.00,13,Business and Financial Operations
73,39.201664,-6.1504307,13-1081.00,13,Business and Financial Operations
74,36.470688,16.767778,13-1081.01,13,Business and Financial Operations
75,36.935654,15.484853,13-1081.02,13,Business and Financial Operations
76,32.98282,-9.375452,13-1111.00,13,Business and Financial Operations
77,7.8990207,-19.57268,13-1121.00,13,Business and Financial Operations
78,34.256325,-12.291745,13-1131.00,13,Business and Financial Operations
79,43.305294,-13.328325,13-1141.00,13,Business and Financial Operations
80,30.381111,-12.515333,13-1151.00,13,Business and Financial Operations
81,43.45738,3.9290028,13-1161.00,13,Business and Financial Operations
82,-4.3875537,26.125277,13-1199.01,13,Business and Financial Operations
83,31.86493,17.763464,13-1199.02,13,Business and Financial Operations
84,39.275784,-20.990105,13-1199.03,13,Business and Financial Operations
85,37.30469,-5.0496926,13-1199.04,13,Business and Financial Operations
86,37.694443,-3.607067,13-1199.05,13,Business and Financial Operations
87,44.80025,-17.38849,13-1199.06,13,Business and Financial Operations
88,46.81163,0.6237295,13-2011.01,13,Business and Financial Operations
89,43.670826,-1.3461769,13-2011.02,13,Business and Financial Operations
90,0.6146778,13.252509,13-2021.01,13,Business and Financial Operations
91,1.4274572,12.516345,13-2021.02,13,Business and Financial Operations
92,46.30044,-0.33731243,13-2031.00,13,Business and Financial Operations
93,47.550583,1.0157112,13-2041.00,13,Business and Financial Operations
94,45.09868,4.39611,13-2051.00,13,Business and Financial Operations
95,42.916435,-4.1220856,13-2052.00,13,Business and Financial Operations
96,45.466614,-21.172522,13-2053.00,13,Business and Financial Operations
97,44.128185,-0.0063295956,13-2061.00,13,Business and Financial Operations
98,43.575855,-14.845992,13-2071.00,13,Business and Financial Operations
99,42.259216,-20.517696,13-2071.01,13,Business and Financial Operations
100,47.011948,-21.659288,13-2072.00,13,Business and Financial Operations
101,41.42177,-14.176838,13-2081.00,13,Business and Financial Operations
102,45.621548,-22.354902,13-2082.00,13,Business and Financial Operations
