,First component,Second component,SOC,Label,Occupation Category
0,42.96136,7.7860785,11-1011.00,11,Management
1,35.457108,-6.814044,11-1011.03,11,Management
2,2.1434758,20.442871,11-1021.00,11,Management
3,37.541218,2.7779975,11-2011.00,11,Management
4,37.954147,2.9062567,11-2021.00,11,Management
5,38.85111,4.5089407,11-2022.00,11,Management
6,40.65008,4.305276,11-2031.00,11,Management
7,2.6341307,20.119194,11-3011.00,11,Management
8,20.480112,-12.7227,11-3021.00,11,Management
9,44.56676,-12.498638,11-3031.01,11,Management
10,44.287594,-11.577986,11-3031.02,11,Management
11,8.546354,18.085787,11-3051.00,11,Management
12,1.0532885,28.593937,11-3051.01,11,Management
13,-2.2467563,27.13428,11-3051.02,11,Management
14,0.4694532,28.363853,11-3051.03,11,Management
15,-1.9997491,27.148941,11-3051.04,11,Management
16,-3.3759959,26.713793,11-3051.06,11,Management
17,37.102417,-9.360773,11-3061.00,11,Management
18,34.89805,-9.674495,11-3071.01,11,Management
19,1.2476606,20.824112,11-3071.02,11,Management
20,36.28788,-10.979134,11-3071.03,11,Management
21,38.615566,-18.647879,11-3111.00,11,Management
22,39.656677,7.4068246,11-3121.00,11,Management
23,39.83407,7.8477254,11-3131.00,11,Management
24,-5.995554,21.776085,11-9013.01,11,Management
25,-13.177421,22.941347,11-9013.02,11,Management
26,-8.337609,22.208584,11-9013.03,11,Management
27,-2.0547173,31.198559,11-9021.00,11,Management
28,29.378992,17.972057,11-9031.00,11,Management
29,38.300133,10.805137,11-9032.00,11,Management
30,41.10986,7.138421,11-9033.00,11,Management
31,37.9315,0.69049793,11-9039.01,11,Management
32,17.833221,21.0811,11-9039.02,11,Management
33,26.954205,-3.6273894,11-9041.00,11,Management
34,16.832817,3.670261,11-9041.01,11,Management
35,9.218162,14.163034,11-9051.00,11,Management
36,3.1825795,17.963385,11-9061.00,11,Management
37,10.448239,20.742619,11-9071.00,11,Management
38,6.077445,23.043139,11-9081.00,11,Management
39,37.00517,-3.4652693,11-9111.00,11,Management
40,36.26439,-6.1960993,11-9121.00,11,Management
41,40.087337,-12.20505,11-9121.01,11,Management
42,27.78545,-7.3237667,11-9121.02,11,Management
43,9.681441,17.846933,11-9131.00,11,Management
44,36.16431,-15.919436,11-9141.00,11,Management
45,38.627064,9.113475,11-9151.00,11,Management
46,3.4372218,25.708761,11-9161.00,11,Management
47,40.25999,-15.238386,11-9199.01,11,Management
48,34.272797,-13.653636,11-9199.02,11,Management
49,45.301422,-13.272675,11-9199.03,11,Management
50,36.91841,-9.972016,11-9199.04,11,Management
51,0.85781455,24.126007,11-9199.07,11,Management
52,9.553294,21.440407,11-9199.08,11,Management
53,-1.3687664,25.711376,11-9199.09,11,Management
