,First component,Second component,SOC,Label,Occupation Category
0,-36.96914,-17.15702,11-1011.00,11,Management
1,-40.939426,-9.4192295,11-1011.03,11,Management
2,-11.9621,8.982523,11-1021.00,11,Management
3,-36.351357,-14.173572,11-2011.00,11,Management
4,-37.00335,-14.141982,11-2021.00,11,Management
5,-38.177242,-8.650058,11-2022.00,11,Management
6,-37.329178,-12.580583,11-2031.00,11,Management
7,-12.622183,8.81715,11-3011.00,11,Management
8,-26.93531,-25.00995,11-3021.00,11,Management
9,-44.345318,-19.81221,11-3031.01,11,Management
10,-46.400272,-17.741962,11-3031.02,11,Management
11,-12.711158,2.8242877,11-3051.00,11,Management
12,-2.3872237,-21.040503,11-3051.01,11,Management
13,13.010372,-16.93177,11-3051.02,11,Management
14,-2.303003,-19.908194,11-3051.03,11,Management
15,12.966353,-17.007074,11-3051.04,11,Management
16,14.916764,-18.368773,11-3051.06,11,Management
17,-40.463024,-15.21396,11-3061.00,11,Management
18,-41.119762,-7.996554,11-3071.01,11,Management
19,-11.145501,9.000805,11-3071.02,11,Management
20,-39.178165,-6.075997,11-3071.03,11,Management
21,-44.951042,4.694817,11-3111.00,11,Management
22,-37.681652,-10.140881,11-3121.00,11,Management
23,-36.610992,-10.542572,11-3131.00,11,Management
24,11.211085,-4.972159,11-9013.01,11,Management
25,23.162485,-9.964352,11-9013.02,11,Management
26,19.961424,-13.595193,11-9013.03,11,Management
27,12.379014,-26.084381,11-9021.00,11,Management
28,-19.983088,0.49158686,11-9031.00,11,Management
29,-22.930801,-2.139544,11-9032.00,11,Management
30,-38.275955,-11.848466,11-9033.00,11,Management
31,-40.672436,-8.026443,11-9039.01,11,Management
32,-4.670301,-0.5784237,11-9039.02,11,Management
33,-32.101177,-31.157484,11-9041.00,11,Management
34,-2.5985296,-22.40371,11-9041.01,11,Management
35,-2.1441085,13.069517,11-9051.00,11,Management
36,-12.092161,11.335817,11-9061.00,11,Management
37,-15.243254,0.2852119,11-9071.00,11,Management
38,-11.620496,5.9107523,11-9081.00,11,Management
39,-39.69702,-7.6667194,11-9111.00,11,Management
40,-42.107883,-9.6089735,11-9121.00,11,Management
41,-42.81466,-13.754064,11-9121.01,11,Management
42,-35.709415,-29.332253,11-9121.02,11,Management
43,-17.704487,1.6492096,11-9131.00,11,Management
44,-46.9241,2.0716116,11-9141.00,11,Management
45,-33.109028,-8.364191,11-9151.00,11,Management
46,9.475389,-20.919746,11-9161.00,11,Management
47,-45.24536,-14.39602,11-9199.01,11,Management
48,-41.94832,-6.0680118,11-9199.02,11,Management
49,-42.449306,-20.109558,11-9199.03,11,Management
50,-41.830074,-15.213841,11-9199.04,11,Management
51,14.417739,-9.502315,11-9199.07,11,Management
52,-14.494278,-0.34199303,11-9199.08,11,Management
53,13.07281,-10.270389,11-9199.09,11,Management
54,-37.82783,-5.806003,11-9199.10,11,Management
55,-38.677887,-31.892,11-9199.11,11,Management
56,-48.116714,1.6837306,13-1011.00,13,Business and Financial Operations
57,-21.674995,12.020459,13-1021.00,13,Business and Financial Operations
58,-23.177168,12.022184,13-1022.00,13,Business and Financial Operations
59,-43.63574,1.299596,13-1023.00,13,Business and Financial Operations
60,-38.55729,0.012545157,13-1031.01,13,Business and Financial Operations
61,-38.313496,2.2206783,13-1031.02,13,Business and Financial Operations
62,-8.928794,8.184957,13-1032.00,13,Business and Financial Operations
63,21.767965,-22.716541,13-1041.01,13,Business and Financial Operations
64,12.457461,-8.635427,13-1041.02,13,Business and Financial Operations
65,-44.099503,-13.033019,13-1041.03,13,Business and Financial Operations
66,22.772636,-23.31019,13-1041.04,13,Business and Financial Operations
67,14.529715,-22.745083,13-1041.06,13,Business and Financial Operations
68,-45.759254,-14.856649,13-1041.07,13,Business and Financial Operations
69,-46.49101,-22.697586,13-1051.00,13,Business and Financial Operations
70,-47.34426,6.3160973,13-1071.00,13,Business and Financial Operations
71,22.272236,27.381744,13-1074.00,13,Business and Financial Operations
72,-39.276516,-14.320608,13-1075.00,13,Business and Financial Operations
73,-41.342167,-13.779447,13-1081.00,13,Business and Financial Operations
74,-34.461147,-29.357544,13-1081.01,13,Business and Financial Operations
75,-36.184906,-25.937084,13-1081.02,13,Business and Financial Operations
76,-44.68328,-9.915341,13-1111.00,13,Business and Financial Operations
77,-12.306406,5.539391,13-1121.00,13,Business and Financial Operations
78,-47.67795,-0.70990723,13-1131.00,13,Business and Financial Operations
79,-41.700504,2.0134287,13-1141.00,13,Business and Financial Operations
80,-35.565346,-9.37765,13-1151.00,13,Business and Financial Operations
81,-41.61598,-23.689775,13-1161.00,13,Business and Financial Operations
82,21.322712,-14.627969,13-1199.01,13,Business and Financial Operations
83,-37.916145,-32.25222,13-1199.02,13,Business and Financial Operations
84,-41.571114,0.10975547,13-1199.03,13,Business and Financial Operations
85,-40.85473,-16.09942,13-1199.04,13,Business and Financial Operations
86,-39.615105,-16.170156,13-1199.05,13,Business and Financial Operations
87,-43.51394,4.9056034,13-1199.06,13,Business and Financial Operations
88,-47.955414,-23.165306,13-2011.01,13,Business and Financial Operations
89,-43.82864,-20.548649,13-2011.02,13,Business and Financial Operations
90,11.274507,-12.772109,13-2021.01,13,Business and Financial Operations
91,-8.341476,7.567982,13-2021.02,13,Business and Financial Operations
92,-47.189487,-20.7442,13-2031.00,13,Business and Financial Operations
93,-48.410156,-22.60432,13-2041.00,13,Business and Financial Operations
94,-46.134846,-22.360828,13-2051.00,13,Business and Financial Operations
95,-45.298264,-18.15931,13-2052.00,13,Business and Financial Operations
96,-43.10461,3.760658,13-2053.00,13,Business and Financial Operations
97,-43.96047,-21.25107,13-2061.00,13,Business and Financial Operations
98,-45.4379,5.2401853,13-2071.00,13,Business and Financial Operations
99,-39.03422,-2.3914952,13-2071.01,13,Business and Financial Operations
100,-45.810966,7.912199,13-2072.00,13,Business and Financial Operations
101,-39.027023,0.5352868,13-2081.00,13,Business and Financial Operations
102,-46.504597,12.303846,13-2082.00,13,Business and Financial Operations
103,-45.762596,-24.248865,13-2099.01,13,Business and Financial Operations
104,-43.01579,-17.83005,13-2099.02,13,Business and Financial Operations
105,-43.226395,-15.004017,13-2099.04,13,Business and Financial Operations
106,-28.997305,-28.028793,15-1111.00,15,Computers and Math
107,-28.668737,-25.433,15-1121.00,15,Computers and Math
108,-29.568981,-26.513206,15-1121.01,15,Computers and Math
109,-27.770494,-24.175627,15-1122.00,15,Computers and Math
110,-26.740278,-21.666025,15-1131.00,15,Computers and Math
111,-30.036963,-23.834677,15-1132.00,15,Computers and Math
112,-27.95089,-21.111017,15-1133.00,15,Computers and Math
