,First component,Second component,SOC,Label,Occupation Category
0,-8.726388,33.79935,11-1011.00,11,Management
1,-40.067303,13.258746,11-1011.03,11,Management
2,0.44090566,7.62195,11-1021.00,11,Management
3,-11.697824,27.811935,11-2011.00,11,Management
4,-12.329108,28.05623,11-2021.00,11,Management
5,-14.055423,28.692358,11-2022.00,11,Management
6,-10.654259,28.639202,11-2031.00,11,Management
7,0.21971887,7.8929133,11-3011.00,11,Management
8,-25.438295,16.798897,11-3021.00,11,Management
9,-30.356382,35.804386,11-3031.01,11,Management
10,-28.244162,36.490475,11-3031.02,11,Management
11,-12.479485,-0.89717114,11-3051.00,11,Management
12,-14.076463,-0.523524,11-3051.01,11,Management
13,-13.529934,-3.6702392,11-3051.02,11,Management
14,-13.940796,-1.5732691,11-3051.03,11,Management
15,-13.188147,-3.434987,11-3051.04,11,Management
16,-13.260637,-4.5832267,11-3051.06,11,Management
17,-20.08538,30.075996,11-3061.00,11,Management
18,-20.22291,27.556147,11-3071.01,11,Management
19,1.7065643,7.384177,11-3071.02,11,Management
20,-20.512619,28.257315,11-3071.03,11,Management
21,-19.854248,36.312695,11-3111.00,11,Management
22,-8.389892,35.390476,11-3121.00,11,Management
23,-6.3458905,33.582283,11-3131.00,11,Management
24,-12.729859,-8.604535,11-9013.01,11,Management
25,-14.272354,-10.152229,11-9013.02,11,Management
26,-13.271091,-9.681732,11-9013.03,11,Management
27,-21.274189,0.92052466,11-9021.00,11,Management
28,-0.22432745,30.53985,11-9031.00,11,Management
29,0.6968916,31.464247,11-9032.00,11,Management
30,-7.3422422,34.485523,11-9033.00,11,Management
31,-6.5751076,31.000637,11-9039.01,11,Management
32,22.206228,23.479622,11-9039.02,11,Management
33,-40.198757,7.247076,11-9041.00,11,Management
34,-29.780111,-9.0046625,11-9041.01,11,Management
35,7.498635,6.363602,11-9051.00,11,Management
36,3.7939796,11.74613,11-9061.00,11,Management
37,-3.1698008,6.3940434,11-9071.00,11,Management
38,2.3546486,8.284787,11-9081.00,11,Management
39,-14.1023035,34.636868,11-9111.00,11,Management
40,-38.58602,13.326122,11-9121.00,11,Management
41,-23.756346,33.035843,11-9121.01,11,Management
42,-38.21347,6.9087405,11-9121.02,11,Management
43,-1.2367811,7.527916,11-9131.00,11,Management
44,-17.288868,36.878613,11-9141.00,11,Management
45,-0.8749054,31.78732,11-9151.00,11,Management
46,-2.3634765,2.4060576,11-9161.00,11,Management
47,-24.280348,31.588724,11-9199.01,11,Management
48,-18.86038,33.735573,11-9199.02,11,Management
49,-29.085463,34.84131,11-9199.03,11,Management
50,-20.334064,28.834515,11-9199.04,11,Management
51,-3.2541904,2.6155243,11-9199.07,11,Management
52,-3.1964328,5.0377817,11-9199.08,11,Management
53,-11.799119,-3.5056562,11-9199.09,11,Management
54,-38.84383,11.623471,11-9199.10,11,Management
55,-39.12383,12.300761,11-9199.11,11,Management
56,-9.679431,29.68626,13-1011.00,13,Business and Financial Operations
57,-19.173471,26.017002,13-1021.00,13,Business and Financial Operations
58,-20.472128,40.51624,13-1022.00,13,Business and Financial Operations
59,-21.159786,30.316872,13-1023.00,13,Business and Financial Operations
60,-23.610397,35.665222,13-1031.01,13,Business and Financial Operations
61,-22.690405,35.124165,13-1031.02,13,Business and Financial Operations
62,15.821302,1.6205887,13-1032.00,13,Business and Financial Operations
63,-19.376423,-6.7522297,13-1041.01,13,Business and Financial Operations
64,-6.069432,2.1270301,13-1041.02,13,Business and Financial Operations
65,-9.532959,36.824177,13-1041.03,13,Business and Financial Operations
66,-16.31311,-6.228036,13-1041.04,13,Business and Financial Operations
67,-7.061891,-1.5954008,13-1041.06,13,Business and Financial Operations
68,-24.397676,31.702688,13-1041.07,13,Business and Financial Operations
69,-25.714336,29.096117,13-1051.00,13,Business and Financial Operations
70,-19.918324,46.069744,13-1071.00,13,Business and Financial Operations
71,9.584998,-19.04074,13-1074.00,13,Business and Financial Operations
72,-9.68715,35.738907,13-1075.00,13,Business and Financial Operations
73,-21.185015,28.568834,13-1081.00,13,Business and Financial Operations
74,-38.435307,8.731489,13-1081.01,13,Business and Financial Operations
75,-23.708576,27.589104,13-1081.02,13,Business and Financial Operations
76,-6.782101,36.64776,13-1111.00,13,Business and Financial Operations
77,2.1004837,9.913943,13-1121.00,13,Business and Financial Operations
78,-10.765507,29.53972,13-1131.00,13,Business and Financial Operations
79,-19.800592,35.116035,13-1141.00,13,Business and Financial Operations
80,-5.6618276,33.440277,13-1151.00,13,Business and Financial Operations
81,-29.436422,30.921337,13-1161.00,13,Business and Financial Operations
82,-18.55328,-16.050335,13-1199.01,13,Business and Financial Operations
83,-35.049084,6.2673182,13-1199.02,13,Business and Financial Operations
84,-22.740118,26.554771,13-1199.03,13,Business and Financial Operations
85,-18.077227,30.423136,13-1199.04,13,Business and Financial Operations
86,-40.243656,14.130354,13-1199.05,13,Business and Financial Operations
87,-20.307497,39.46496,13-1199.06,13,Business and Financial Operations
88,-30.688044,38.215088,13-2011.01,13,Business and Financial Operations
89,-29.916515,35.368877,13-2011.02,13,Business and Financial Operations
90,-6.7704706,11.048582,13-2021.01,13,Business and Financial Operations
91,-6.831035,11.182063,13-2021.02,13,Business and Financial Operations
92,-29.964048,37.43417,13-2031.00,13,Business and Financial Operations
93,-30.607307,38.788746,13-2041.00,13,Business and Financial Operations
94,-30.02321,32.74587,13-2051.00,13,Business and Financial Operations
95,-27.37928,35.933586,13-2052.00,13,Business and Financial Operations
96,-23.54128,41.2911,13-2053.00,13,Business and Financial Operations
97,-31.220215,36.643787,13-2061.00,13,Business and Financial Operations
98,-25.847452,38.85995,13-2071.00,13,Business and Financial Operations
99,-27.205383,39.80576,13-2071.01,13,Business and Financial Operations
100,-24.67914,40.909203,13-2072.00,13,Business and Financial Operations
101,-23.987808,36.451134,13-2081.00,13,Business and Financial Operations
102,-24.743547,42.38741,13-2082.00,13,Business and Financial Operations
103,-32.69147,28.792171,13-2099.01,13,Business and Financial Operations
104,-20.463835,31.569206,13-2099.02,13,Business and Financial Operations
105,-20.178862,33.09477,13-2099.04,13,Business and Financial Operations
106,-29.028646,14.716198,15-1111.00,15,Computers and Math
107,-27.649025,17.951698,15-1121.00,15,Computers and Math
108,-3.3248599,34.10168,15-1121.01,15,Computers and Math
109,-26.460554,16.05009,15-1122.00,15,Computers and Math
110,-29.447126,17.563473,15-1131.00,15,Computers and Math
111,-29.334606,18.908241,15-1132.00,15,Computers and Math
112,-29.35555,16.314037,15-1133.00,15,Computers and Math
113,-27.366455,19.111664,15-1134.00,15,Computers and Math
114,-26.793573,16.661156,15-1141.00,15,Computers and Math
115,-25.091953,14.570157,15-1142.00,15,Computers and Math
116,-27.206163,14.367537,15-1143.00,15,Computers and Math
117,-24.249199,11.813779,15-1143.01,15,Computers and Math
118,-23.31407,14.236771,15-1151.00,15,Computers and Math
119,-24.718834,13.56345,15-1152.00,15,Computers and Math
120,-28.511486,18.266932,15-1199.01,15,Computers and Math
121,-28.612793,15.634126,15-1199.02,15,Computers and Math
122,-26.11205,18.432364,15-1199.03,15,Computers and Math
123,-32.077427,9.914655,15-1199.04,15,Computers and Math
124,-30.293165,8.992086,15-1199.05,15,Computers and Math
125,-28.97087,19.805159,15-1199.06,15,Computers and Math
126,-29.142,20.54738,15-1199.07,15,Computers and Math
127,-30.633905,29.552591,15-1199.08,15,Computers and Math
128,-18.342865,30.056927,15-1199.09,15,Computers and Math
129,-29.301819,29.024475,15-1199.10,15,Computers and Math
130,-11.065443,20.000212,15-1199.11,15,Computers and Math
131,-25.234331,18.560696,15-1199.12,15,Computers and Math
132,-31.027822,34.27757,15-2011.00,15,Computers and Math
133,-32.72122,26.71985,15-2021.00,15,Computers and Math
134,-32.680695,27.313711,15-2031.00,15,Computers and Math
135,-31.388828,25.2475,15-2041.00,15,Computers and Math
136,-31.082937,24.796688,15-2041.01,15,Computers and Math
137,-28.724518,25.128569,15-2041.02,15,Computers and Math
138,-43.36839,9.007577,17-1011.00,17,Architechture and Engineering
139,-43.371063,9.735232,17-1012.00,17,Architechture and Engineering
140,-29.405952,8.4443,17-1021.00,17,Architechture and Engineering
141,-20.664295,-13.068091,17-1022.00,17,Architechture and Engineering
142,-21.545149,-13.032243,17-1022.01,17,Architechture and Engineering
143,-37.523098,1.7674994,17-2011.00,17,Architechture and Engineering
144,-26.80432,-5.5966835,17-2021.00,17,Architechture and Engineering
145,-34.588116,-2.4934666,17-2031.00,17,Architechture and Engineering
146,-37.532482,-0.9407043,17-2041.00,17,Architechture and Engineering
147,-40.882244,5.4911733,17-2051.00,17,Architechture and Engineering
148,-40.711826,6.386372,17-2051.01,17,Architechture and Engineering
149,-31.078075,14.699848,17-2061.00,17,Architechture and Engineering
150,-35.501503,1.4749234,17-2071.00,17,Architechture and Engineering
151,-32.706207,-4.5598187,17-2072.00,17,Architechture and Engineering
152,-26.970247,12.339593,17-2072.01,17,Architechture and Engineering
153,-38.51215,6.6692853,17-2081.00,17,Architechture and Engineering
154,-39.479187,5.4776254,17-2081.01,17,Architechture and Engineering
155,-18.196257,-3.4603465,17-2111.01,17,Architechture and Engineering
156,-37.60381,5.634424,17-2111.02,17,Architechture and Engineering
157,-34.6932,5.1252165,17-2111.03,17,Architechture and Engineering
158,-34.231995,2.31504,17-2112.00,17,Architechture and Engineering
159,-35.968082,14.186335,17-2112.01,17,Architechture and Engineering
160,-25.287577,-12.476673,17-2121.01,17,Architechture and Engineering
161,-41.00977,2.939502,17-2121.02,17,Architechture and Engineering
162,-35.724766,-1.7199728,17-2131.00,17,Architechture and Engineering
163,-36.12291,0.6443858,17-2141.00,17,Architechture and Engineering
164,-37.15162,-3.5164824,17-2141.01,17,Architechture and Engineering
165,-34.58727,-0.5132638,17-2141.02,17,Architechture and Engineering
166,-39.40068,3.645298,17-2151.00,17,Architechture and Engineering
167,-37.930817,0.08676317,17-2161.00,17,Architechture and Engineering
168,-38.27779,4.1421404,17-2171.00,17,Architechture and Engineering
169,-29.036192,-5.9844475,17-2199.01,17,Architechture and Engineering
170,-34.911175,2.3124793,17-2199.02,17,Architechture and Engineering
171,-38.730312,5.567928,17-2199.03,17,Architechture and Engineering
172,-31.62634,-6.7496567,17-2199.04,17,Architechture and Engineering
173,-32.909092,0.8998148,17-2199.05,17,Architechture and Engineering
174,-34.24152,-4.4811935,17-2199.06,17,Architechture and Engineering
175,-35.85805,-4.5170083,17-2199.07,17,Architechture and Engineering
176,-33.04388,-5.936467,17-2199.08,17,Architechture and Engineering
177,-35.250584,-3.1940215,17-2199.09,17,Architechture and Engineering
178,-32.03515,3.5785272,17-2199.10,17,Architechture and Engineering
179,-31.931252,-10.79982,17-2199.11,17,Architechture and Engineering
180,-31.118137,5.483075,17-3011.01,17,Architechture and Engineering
181,-28.973354,5.509197,17-3011.02,17,Architechture and Engineering
182,-25.828436,7.1751294,17-3012.01,17,Architechture and Engineering
183,-29.486273,5.414803,17-3012.02,17,Architechture and Engineering
184,-29.406525,3.823742,17-3013.00,17,Architechture and Engineering
185,-25.620245,-19.926577,17-3021.00,17,Architechture and Engineering
186,-32.955616,4.4715557,17-3022.00,17,Architechture and Engineering
187,-25.820602,-17.845165,17-3023.01,17,Architechture and Engineering
188,-25.020742,-18.816797,17-3023.03,17,Architechture and Engineering
189,-22.578638,-24.549599,17-3024.00,17,Architechture and Engineering
190,-20.555407,-22.221247,17-3024.01,17,Architechture and Engineering
191,-19.895142,-17.135035,17-3025.00,17,Architechture and Engineering
192,-23.831621,-18.228113,17-3026.00,17,Architechture and Engineering
193,-21.156673,-19.63272,17-3027.00,17,Architechture and Engineering
194,-17.530964,-21.42021,17-3027.01,17,Architechture and Engineering
195,-19.372665,-18.947365,17-3029.01,17,Architechture and Engineering
196,-32.131958,2.762853,17-3029.02,17,Architechture and Engineering
197,-24.279884,-19.60649,17-3029.03,17,Architechture and Engineering
198,-17.099236,-23.408405,17-3029.04,17,Architechture and Engineering
199,-32.62353,2.0988467,17-3029.05,17,Architechture and Engineering
200,-31.894493,-6.637149,17-3029.06,17,Architechture and Engineering
201,-19.7269,-21.248877,17-3029.07,17,Architechture and Engineering
202,-26.295736,-18.18519,17-3029.08,17,Architechture and Engineering
203,-16.986456,-21.281734,17-3029.09,17,Architechture and Engineering
204,-37.653877,-4.4571977,17-3029.11,17,Architechture and Engineering
205,-23.787018,-22.024574,17-3029.12,17,Architechture and Engineering
206,-19.797241,-13.894905,17-3031.01,17,Architechture and Engineering
207,-28.76569,8.760367,17-3031.02,17,Architechture and Engineering
208,-25.927114,-5.663859,19-1011.00,19,"Life, Physical, and Social Science"
209,-28.578756,-5.8708115,19-1012.00,19,"Life, Physical, and Social Science"
210,-23.684395,-6.611232,19-1013.00,19,"Life, Physical, and Social Science"
211,-22.238512,-7.6472087,19-1020.01,19,"Life, Physical, and Social Science"
212,-16.855759,10.022133,19-1021.00,19,"Life, Physical, and Social Science"
213,-15.238333,9.836585,19-1022.00,19,"Life, Physical, and Social Science"
214,-21.149258,-9.406913,19-1023.00,19,"Life, Physical, and Social Science"
215,-17.693321,11.986994,19-1029.01,19,"Life, Physical, and Social Science"
216,-16.265574,9.982687,19-1029.02,19,"Life, Physical, and Social Science"
217,-16.007978,11.685096,19-1029.03,19,"Life, Physical, and Social Science"
218,-19.549149,-9.81811,19-1031.01,19,"Life, Physical, and Social Science"
219,-18.858616,-9.434421,19-1031.02,19,"Life, Physical, and Social Science"
220,7.9552517,21.983974,19-1031.03,19,"Life, Physical, and Social Science"
221,-20.61605,-10.689921,19-1032.00,19,"Life, Physical, and Social Science"
222,-14.864049,14.102727,19-1041.00,19,"Life, Physical, and Social Science"
223,-16.553114,12.404775,19-1042.00,19,"Life, Physical, and Social Science"
224,-41.626118,-1.12862,19-2011.00,19,"Life, Physical, and Social Science"
225,-41.251377,-0.870481,19-2012.00,19,"Life, Physical, and Social Science"
226,-33.363903,10.069278,19-2021.00,19,"Life, Physical, and Social Science"
227,-29.451466,-9.343655,19-2031.00,19,"Life, Physical, and Social Science"
228,-36.347305,-2.1237333,19-2032.00,19,"Life, Physical, and Social Science"
229,-21.349716,-7.281532,19-2041.00,19,"Life, Physical, and Social Science"
230,-36.687653,26.98071,19-2041.01,19,"Life, Physical, and Social Science"
231,-20.25809,-9.2497,19-2041.02,19,"Life, Physical, and Social Science"
232,-39.64314,15.164138,19-2041.03,19,"Life, Physical, and Social Science"
233,-23.646603,-8.091771,19-2042.00,19,"Life, Physical, and Social Science"
234,-23.777323,-8.230641,19-2043.00,19,"Life, Physical, and Social Science"
235,-32.289867,9.915235,19-2099.01,19,"Life, Physical, and Social Science"
236,-35.315243,28.682373,19-3011.00,19,"Life, Physical, and Social Science"
237,-35.577515,28.487461,19-3011.01,19,"Life, Physical, and Social Science"
238,-29.596006,30.878544,19-3022.00,19,"Life, Physical, and Social Science"
239,18.080036,35.052658,19-3031.01,19,"Life, Physical, and Social Science"
240,16.664484,34.88225,19-3031.02,19,"Life, Physical, and Social Science"
241,17.380957,34.396984,19-3031.03,19,"Life, Physical, and Social Science"
242,-6.462437,35.444923,19-3032.00,19,"Life, Physical, and Social Science"
243,26.184357,35.618362,19-3039.01,19,"Life, Physical, and Social Science"
244,-0.49465576,45.22955,19-3041.00,19,"Life, Physical, and Social Science"
245,-41.68465,11.234397,19-3051.00,19,"Life, Physical, and Social Science"
246,0.9998585,48.9967,19-3091.01,19,"Life, Physical, and Social Science"
247,2.6923697,25.031734,19-3091.02,19,"Life, Physical, and Social Science"
248,0.15213063,49.182243,19-3092.00,19,"Life, Physical, and Social Science"
249,5.020531,45.30358,19-3093.00,19,"Life, Physical, and Social Science"
250,-1.028103,45.4613,19-3094.00,19,"Life, Physical, and Social Science"
251,-40.343655,9.26666,19-3099.01,19,"Life, Physical, and Social Science"
252,-17.244188,-10.536583,19-4011.01,19,"Life, Physical, and Social Science"
253,3.1473088,-6.8437233,19-4011.02,19,"Life, Physical, and Social Science"
254,6.752597,-2.911606,19-4021.00,19,"Life, Physical, and Social Science"
255,6.056533,-3.8192637,19-4031.00,19,"Life, Physical, and Social Science"
256,-27.513508,4.986702,19-4041.01,19,"Life, Physical, and Social Science"
257,-20.73815,-17.545456,19-4041.02,19,"Life, Physical, and Social Science"
258,-15.716355,-34.9685,19-4051.01,19,"Life, Physical, and Social Science"
259,-28.233204,-21.305614,19-4051.02,19,"Life, Physical, and Social Science"
260,-27.857193,26.249033,19-4061.00,19,"Life, Physical, and Social Science"
261,-38.22417,19.554762,19-4061.01,19,"Life, Physical, and Social Science"
262,-19.264147,-11.019928,19-4091.00,19,"Life, Physical, and Social Science"
263,-18.314823,-6.3353376,19-4092.00,19,"Life, Physical, and Social Science"
264,-8.3490095,-11.092087,19-4093.00,19,"Life, Physical, and Social Science"
265,3.2350578,-6.7900248,19-4099.01,19,"Life, Physical, and Social Science"
266,-18.402391,-11.510503,19-4099.02,19,"Life, Physical, and Social Science"
267,-29.605427,9.401119,19-4099.03,19,"Life, Physical, and Social Science"
268,15.702161,31.458529,21-1011.00,21,Community and Social Services
269,15.310583,29.782446,21-1012.00,21,Community and Social Services
270,16.816078,33.37594,21-1013.00,21,Community and Social Services
271,17.197704,32.305954,21-1014.00,21,Community and Social Services
272,14.092524,31.730885,21-1015.00,21,Community and Social Services
273,15.141019,27.994843,21-1021.00,21,Community and Social Services
274,16.150793,30.852335,21-1022.00,21,Community and Social Services
275,16.769855,31.524199,21-1023.00,21,Community and Social Services
276,11.759511,33.361183,21-1091.00,21,Community and Social Services
277,15.145906,26.3185,21-1092.00,21,Community and Social Services
278,14.569468,27.61847,21-1093.00,21,Community and Social Services
279,19.218037,19.91162,21-1094.00,21,Community and Social Services
280,2.8135316,32.891186,21-2011.00,21,Community and Social Services
281,1.2536978,34.05329,21-2021.00,21,Community and Social Services
282,-11.719578,36.72597,23-1011.00,23,Legal
283,-29.687325,46.11681,23-1012.00,23,Legal
284,-11.964272,38.56941,23-1021.00,23,Legal
285,-10.616544,39.398483,23-1022.00,23,Legal
286,-11.491701,38.78176,23-1023.00,23,Legal
287,-28.654305,47.050617,23-2011.00,23,Legal
288,-28.514755,53.896656,23-2091.00,23,Legal
289,-28.005901,50.953907,23-2093.00,23,Legal
290,-3.6930485,38.914085,25-1011.00,25,"Education, Training, and Library"
291,-2.4776025,36.02201,25-1021.00,25,"Education, Training, and Library"
292,5.6488338,39.4411,25-1022.00,25,"Education, Training, and Library"
