,First component,Second component,SOC,Label,Occupation Category
0,36.922935,4.364171,11-1011.00,11,Management
1,9.153017,44.532547,11-1011.03,11,Management
2,6.5177164,10.212966,11-1021.00,11,Management
3,29.570517,2.1792321,11-2011.00,11,Management
4,30.27879,2.0706077,11-2021.00,11,Management
5,31.488302,1.7968781,11-2022.00,11,Management
6,28.947664,1.0207713,11-2031.00,11,Management
7,7.0014896,10.050536,11-3011.00,11,Management
8,5.0561457,33.443436,11-3021.00,11,Management
9,39.895763,-9.225101,11-3031.01,11,Management
10,39.38468,-8.317193,11-3031.02,11,Management
11,0.37422872,17.258038,11-3051.00,11,Management
12,-0.5334313,18.29925,11-3051.01,11,Management
13,-0.7877042,15.951895,11-3051.02,11,Management
14,-1.2093066,17.682531,11-3051.03,11,Management
15,-0.4906359,16.054974,11-3051.04,11,Management
16,-1.5608104,16.052837,11-3051.06,11,Management
17,33.02701,-0.9334525,11-3061.00,11,Management
18,32.2308,-2.1953936,11-3071.01,11,Management
19,5.408948,10.736995,11-3071.02,11,Management
20,32.81373,-2.362007,11-3071.03,11,Management
21,37.188473,-6.6679397,11-3111.00,11,Management
22,35.49719,5.0972805,11-3121.00,11,Management
23,34.70896,6.343047,11-3131.00,11,Management
24,-3.3080518,14.211583,11-9013.01,11,Management
25,-5.4998775,16.010359,11-9013.02,11,Management
26,-4.257162,14.961605,11-9013.03,11,Management
27,5.5174823,41.85082,11-9021.00,11,Management
28,11.380082,11.248623,11-9031.00,11,Management
29,36.851593,6.1088276,11-9032.00,11,Management
30,34.935856,5.4977484,11-9033.00,11,Management
31,31.714045,4.3815756,11-9039.01,11,Management
32,15.40004,11.741367,11-9039.02,11,Management
33,4.1473413,42.49026,11-9041.00,11,Management
34,-9.14488,33.25394,11-9041.01,11,Management
35,5.469937,6.989436,11-9051.00,11,Management
36,10.428694,4.5573997,11-9061.00,11,Management
37,10.041176,9.765695,11-9071.00,11,Management
38,7.9283085,12.512305,11-9081.00,11,Management
39,35.999718,2.39904,11-9111.00,11,Management
40,7.975208,43.97679,11-9121.00,11,Management
41,37.973904,0.7587572,11-9121.01,11,Management
42,2.8112454,43.66505,11-9121.02,11,Management
43,7.6942897,9.581842,11-9131.00,11,Management
44,30.094055,-5.49437,11-9141.00,11,Management
45,35.90278,5.9914193,11-9151.00,11,Management
46,9.778542,15.193433,11-9161.00,11,Management
47,39.291107,0.5715701,11-9199.01,11,Management
48,38.31055,-4.3650336,11-9199.02,11,Management
49,38.693817,-9.514738,11-9199.03,11,Management
50,33.048813,-1.6172704,11-9199.04,11,Management
51,-3.727814,7.4708157,11-9199.07,11,Management
52,9.617348,10.543862,11-9199.08,11,Management
53,0.37794667,15.145691,11-9199.09,11,Management
54,6.3655925,43.15942,11-9199.10,11,Management
55,6.368939,43.762115,11-9199.11,11,Management
56,27.402248,-0.7865248,13-1011.00,13,Business and Financial Operations
57,28.10544,-8.884293,13-1021.00,13,Business and Financial Operations
58,30.782484,-8.756999,13-1022.00,13,Business and Financial Operations
59,31.682543,-3.666542,13-1023.00,13,Business and Financial Operations
60,32.16208,-13.493898,13-1031.01,13,Business and Financial Operations
61,32.057972,-12.605358,13-1031.02,13,Business and Financial Operations
62,19.676394,-17.531715,13-1032.00,13,Business and Financial Operations
63,-14.545871,20.90865,13-1041.01,13,Business and Financial Operations
64,-3.1480727,4.0427804,13-1041.02,13,Business and Financial Operations
65,41.58537,-4.036706,13-1041.03,13,Business and Financial Operations
66,-13.361781,18.171274,13-1041.04,13,Business and Financial Operations
67,-5.900992,9.110624,13-1041.06,13,Business and Financial Operations
68,39.452225,0.6015988,13-1041.07,13,Business and Financial Operations
69,33.566147,-7.9031053,13-1051.00,13,Business and Financial Operations
70,28.701935,-18.9286,13-1071.00,13,Business and Financial Operations
71,-4.5041723,-24.906076,13-1074.00,13,Business and Financial Operations
72,40.06049,-3.333307,13-1075.00,13,Business and Financial Operations
73,33.524963,-2.152286,13-1081.00,13,Business and Financial Operations
74,1.9640772,41.8056,13-1081.01,13,Business and Financial Operations
75,35.225292,-3.038165,13-1081.02,13,Business and Financial Operations
76,32.39192,7.0664515,13-1111.00,13,Business and Financial Operations
77,8.282126,11.601008,13-1121.00,13,Business and Financial Operations
78,28.583189,0.021714754,13-1131.00,13,Business and Financial Operations
79,37.14671,-5.926948,13-1141.00,13,Business and Financial Operations
80,34.786057,7.4645247,13-1151.00,13,Business and Financial Operations
81,21.638231,35.49288,13-1161.00,13,Business and Financial Operations
82,-18.586338,20.053219,13-1199.01,13,Business and Financial Operations
83,0.8826111,35.257725,13-1199.02,13,Business and Financial Operations
84,27.81424,-12.778987,13-1199.03,13,Business and Financial Operations
85,34.42008,-0.44409224,13-1199.04,13,Business and Financial Operations
86,10.088748,44.22286,13-1199.05,13,Business and Financial Operations
87,31.553091,-9.026193,13-1199.06,13,Business and Financial Operations
88,38.240345,-13.029259,13-2011.01,13,Business and Financial Operations
89,39.21315,-9.838902,13-2011.02,13,Business and Financial Operations
90,20.735075,-16.385862,13-2021.01,13,Business and Financial Operations
91,21.059381,-16.174892,13-2021.02,13,Business and Financial Operations
92,38.311607,-12.263576,13-2031.00,13,Business and Financial Operations
93,37.89795,-14.184806,13-2041.00,13,Business and Financial Operations
94,23.134432,35.978897,13-2051.00,13,Business and Financial Operations
95,37.27583,-10.043034,13-2052.00,13,Business and Financial Operations
96,33.856583,-16.7794,13-2053.00,13,Business and Financial Operations
97,40.136356,-10.972121,13-2061.00,13,Business and Financial Operations
98,34.715546,-13.219008,13-2071.00,13,Business and Financial Operations
99,35.652027,-15.079765,13-2071.01,13,Business and Financial Operations
