,First component,Second component
0,-28.77345,-20.644253
1,1.572681,-46.06617
2,15.117274,-14.127816
3,-28.534716,-17.293915
4,-29.091167,-17.260593
5,-30.279562,-16.448565
6,-27.914356,-16.392986
7,15.178619,-13.835482
8,-5.989939,-35.32279
9,-46.528343,-15.502099
10,-46.2469,-16.656773
11,16.011871,-20.733475
12,15.8685,-23.499807
13,18.230574,-20.486576
14,16.71647,-22.301012
15,17.9282,-20.354055
16,19.048729,-20.188072
17,-33.616108,-14.4705715
18,-33.430313,-12.303106
19,14.947137,-15.129179
20,-33.941063,-12.887517
21,-38.258366,-16.870686
22,-29.709362,-21.805735
23,-28.44192,-23.246454
24,22.805027,-19.553806
25,24.967024,-19.393652
26,23.935074,-19.083748
27,5.2785416,-45.56049
28,10.342845,-13.287083
29,-25.4012,-22.642126
30,-28.688606,-22.163109
31,-28.966482,-25.38252
32,-5.3555775,-5.5610023
33,8.154627,-44.66541
34,15.667986,-30.603653
35,11.726054,-8.318745
36,-11.292383,-2.8118386
37,15.107757,-11.001154
38,13.191667,-14.509868
39,-31.284952,-20.189535
40,1.3729585,-44.58744
41,-39.650463,-22.377071
42,6.0564866,-43.19786
43,14.729993,-12.589629
44,-36.774036,-10.8544855
45,-27.259563,-22.150782
46,21.026106,-10.835106
47,-40.847504,-22.623331
48,-35.841564,-19.056957
49,-45.12836,-15.775988
50,-33.709743,-13.544464
51,21.710562,-10.458496
52,15.978479,-10.857987
53,17.610008,-18.792866
54,3.532711,-45.047344
55,2.7855155,-44.9736
56,-27.137373,-14.452902
57,-32.404655,-9.362486
58,-40.611534,-11.053313
59,-35.0954,-12.044245
60,-40.59295,-6.926717
61,-39.641403,-7.2440386
62,-25.971945,2.3874896
63,27.28374,-5.761613
64,23.742546,-7.6153803
65,-34.628235,-21.773457
66,28.889868,-5.4208703
67,25.987125,-9.548115
68,-40.868504,-22.461996
69,-39.89934,-14.089865
70,-38.9062,-0.3667474
71,4.1162143,19.45415
72,-33.91078,-20.801432
73,-34.44323,-13.5634985
74,6.7726245,-40.97594
75,-35.855885,-14.180693
76,-31.04389,-23.188238
77,11.855157,-13.681357
78,-28.01045,-15.148077
79,-37.483425,-17.24628
80,-27.964626,-23.67875
81,-42.09749,-17.163513
82,25.211233,2.0763254
83,3.202849,-43.01698
84,-35.24211,-7.6081333
85,-33.77491,-16.483305
86,0.30022448,-46.356358
87,-39.9211,-10.379823
88,-45.55124,-12.011746
89,-45.551918,-15.239557
90,-26.95699,0.7753736
91,-27.021992,0.70520306
92,-45.570168,-12.824069
93,-44.91578,-11.378703
94,-41.994556,-15.19183
95,-43.86757,-15.607939
96,-42.567825,-9.292613
97,-46.80133,-14.138543
98,-45.073524,-7.3829665
99,-43.067093,-6.2135825
100,-43.097153,-8.169005
101,-41.675606,-6.4538965
102,-43.74107,-2.0212424
103,-42.61705,-12.945629
104,-35.9093,-15.808622
105,-36.536816,-18.695953
106,-5.0587964,-36.984756
107,-7.8907943,-35.890793
108,-27.427773,-25.852192
109,-6.5680604,-34.38157
110,-9.952783,-36.34736
111,-8.51248,-37.466923
112,-6.964434,-37.586235
113,-9.210247,-35.30858
114,-6.999286,-34.768677
115,-4.858397,-33.694054
116,-4.023896,-35.556854
117,-3.215824,-33.180298
118,-5.7122183,-31.705006
119,-5.412291,-32.80972
120,-8.795594,-36.36881
121,-6.0858126,-36.43252
122,-8.450896,-34.533188
123,0.9603055,-38.661297
124,1.4831685,-36.04335
125,-9.5103035,-37.650036
126,-10.216457,-37.91985
127,-41.744225,-18.664597
128,-33.459164,-16.206547
129,-25.190784,-11.888472
130,-11.869891,-32.0828
131,-8.180067,-33.19775
132,-45.293636,-14.475571
133,-23.97058,-44.770824
134,-24.16348,-44.766804
135,-22.960333,-43.20106
136,-22.559225,-43.18196
137,-42.19029,-21.107677
138,7.4379673,-47.524063
139,6.370018,-48.45815
140,1.6449583,-34.887207
141,29.854906,-20.970745
142,30.174887,-21.634443
143,9.317805,-40.01986
144,21.439518,-28.956789
145,14.583929,-37.54806
146,11.955928,-39.34529
147,7.7702675,-45.79463
148,8.734592,-45.08457
149,8.110822,-38.00363
150,9.581382,-37.376293
151,15.69107,-34.201946
152,-3.0112586,-34.762287
153,6.2446136,-42.950123
154,7.680645,-43.17052
155,20.25158,-23.982523
156,6.691648,-44.518654
157,9.6368475,-32.27705
158,9.773511,-35.584896
159,-2.0688179,-44.90829
160,19.742092,-33.541706
161,10.0713,-44.24327
162,12.889001,-37.728123
163,10.613125,-38.19018
164,13.171274,-34.769623
165,14.217807,-39.70407
166,9.42402,-42.579807
167,11.115081,-40.146824
168,8.059468,-41.939682
169,17.983181,-30.574986
170,10.005084,-36.120262
171,7.107914,-43.714573
172,18.571651,-34.09982
173,8.333974,-35.852177
174,14.832539,-35.001846
175,13.126886,-35.847416
176,17.31921,-34.981102
177,14.095039,-36.371334
178,8.569114,-33.7988
179,14.156235,-30.119482
180,5.6718135,-32.277145
181,3.272742,-32.850014
182,0.8205807,-31.286238
183,3.826153,-32.69459
184,4.24967,-33.666256
185,20.81906,3.0984173
186,6.956073,-32.41059
187,19.249607,3.2809186
188,19.985579,4.1167946
189,23.279333,19.900196
190,26.178495,8.578608
191,25.553013,3.2732644
192,22.53183,3.1153815
193,24.606358,4.0792913
194,24.163399,7.440642
195,25.99826,4.870864
196,7.4535947,-34.132614
197,21.082516,4.4301405
198,22.154,8.891944
199,7.5962586,-34.811825
200,18.230526,-34.289227
201,26.186813,7.380231
202,18.937126,3.7319362
203,23.752474,7.716782
204,12.89254,-33.683277
205,21.984083,5.377748
206,30.310545,-18.99767
207,1.1519859,-34.663715
208,22.401508,-28.15043
209,18.462807,-30.14577
210,24.555416,-26.690577
211,26.212029,-26.13154
212,3.1165483,-24.693266
213,2.494933,-23.142914
214,27.17917,-24.144335
215,0.52711195,-24.65592
216,2.8829505,-24.078278
217,1.059147,-23.267328
218,26.001678,-22.989435
219,26.499529,-22.50661
220,23.773806,-12.3941145
221,27.791437,-22.736393
222,-4.7740035,-22.145525
223,0.31108814,-23.660275
224,14.403568,-43.30334
225,14.029288,-43.13817
226,0.99803776,-39.73497
227,15.822904,-30.856869
228,12.541593,-37.252796
229,25.94835,-25.39237
230,-29.723095,-41.792618
231,26.293268,-23.88171
232,-0.6706914,-46.08866
233,26.06067,-27.465221
234,26.335928,-27.6252
235,1.0751709,-38.70311
236,-27.587185,-42.11529
237,-27.75775,-42.4397
238,-42.40684,-17.350307
239,-13.66247,-18.202475
240,-14.8039,-17.34167
241,-14.059201,-17.238811
242,-29.922504,-22.815899
243,-7.0571637,-19.837624
244,-30.859451,-36.692806
245,3.589492,-48.158203
246,-33.117943,-39.61364
247,-18.887894,-28.900297
248,-32.15426,-40.08339
249,-34.87503,-33.037937
250,-30.621134,-37.235218
251,4.151158,-47.46124
252,28.01433,-18.700422
253,12.516332,2.8713088
254,9.098379,1.1101826
255,10.311522,0.87087446
256,3.2084057,-31.097853
257,26.49193,3.3430498
258,20.56925,19.229088
259,16.938498,0.2339694
260,-43.570496,-21.165741
261,-32.000134,-5.191592
262,27.858204,-20.319185
263,26.413944,-6.1773987
264,29.812002,-16.719353
265,12.599768,2.9791846
266,26.825987,-20.426191
267,0.95252585,-35.593403
268,-13.255049,-13.529016
269,-15.120299,-14.457898
