SOC,Title,Task
11-2022.00,Sales Managers,Resolve customer complaints regarding sales and service.
11-2022.00,Sales Managers,Monitor customer preferences to determine focus of sales efforts.
11-2022.00,Sales Managers,"Direct and coordinate activities involving sales of manufactured products, services, commodities, real estate or other subjects of sale."
11-2022.00,Sales Managers,Determine price schedules and discount rates.
11-2022.00,Sales Managers,Review operational records and reports to project sales and determine profitability.
11-2022.00,Sales Managers,"Direct, coordinate, and review activities in sales and service accounting and record-keeping, and in receiving and shipping operations."
11-2022.00,Sales Managers,Confer or consult with department heads to plan advertising services and to secure information on equipment and customer specifications.
11-2022.00,Sales Managers,Advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.
11-2022.00,Sales Managers,Prepare budgets and approve budget expenditures.
11-2022.00,Sales Managers,Represent company at trade association meetings to promote products.
11-2022.00,Sales Managers,"Plan and direct staffing, training, and performance evaluations to develop and control sales and service programs."
11-2022.00,Sales Managers,Visit franchised dealers to stimulate interest in establishment or expansion of leasing programs.
11-2022.00,Sales Managers,Confer with potential customers regarding equipment needs and advise customers on types of equipment to purchase.
11-2022.00,Sales Managers,Oversee regional and local sales managers and their staffs.
11-2022.00,Sales Managers,"Direct clerical staff to keep records of export correspondence, bid requests, and credit collections, and to maintain current information on tariffs, licenses, and restrictions."
11-2022.00,Sales Managers,Direct foreign sales and service outlets of an organization.
11-2022.00,Sales Managers,"Assess marketing potential of new and existing store locations, considering statistics and expenditures."
11-3011.00,Administrative Services Managers,"Monitor the facility to ensure that it remains safe, secure, and well-maintained."
11-3011.00,Administrative Services Managers,"Direct or coordinate the supportive services department of a business, agency, or organization."
11-3011.00,Administrative Services Managers,Set goals and deadlines for the department.
11-3011.00,Administrative Services Managers,Prepare and review operational reports and schedules to ensure accuracy and efficiency.
11-3011.00,Administrative Services Managers,"Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records."
11-3011.00,Administrative Services Managers,"Acquire, distribute and store supplies."
11-3011.00,Administrative Services Managers,"Plan, administer, and control budgets for contracts, equipment, and supplies."
11-3011.00,Administrative Services Managers,"Oversee construction and renovation projects to improve efficiency and to ensure that facilities meet environmental, health, and security standards, and comply with government regulations."
11-3011.00,Administrative Services Managers,Hire and terminate clerical and administrative personnel.
11-3011.00,Administrative Services Managers,"Oversee the maintenance and repair of machinery, equipment, and electrical and mechanical systems."
11-3011.00,Administrative Services Managers,Manage leasing of facility space.
11-3011.00,Administrative Services Managers,"Participate in architectural and engineering planning and design, including space and installation management."
11-3011.00,Administrative Services Managers,Conduct classes to teach procedures to staff.
11-3011.00,Administrative Services Managers,"Dispose of, or oversee the disposal of, surplus or unclaimed property."
11-3051.00,Industrial Production Managers,"Direct or coordinate production, processing, distribution, or marketing activities of industrial organizations."
11-3051.00,Industrial Production Managers,"Develop budgets or approve expenditures for supplies, materials, or human resources, ensuring that materials, labor, or equipment are used efficiently to meet production targets."
11-3051.00,Industrial Production Managers,"Review processing schedules or production orders to make decisions concerning inventory requirements, staffing requirements, work procedures, or duty assignments, considering budgetary limitations and time constraints."
11-3051.00,Industrial Production Managers,Review operations and confer with technical or administrative staff to resolve production or processing problems.
11-3051.00,Industrial Production Managers,"Hire, train, evaluate, or discharge staff or resolve personnel grievances."
11-3051.00,Industrial Production Managers,Initiate or coordinate inventory or cost control programs.
11-3051.00,Industrial Production Managers,Prepare and maintain production reports or personnel records.
11-3051.00,Industrial Production Managers,"Set and monitor product standards, examining samples of raw products or directing testing during processing, to ensure finished products are of prescribed quality."
11-3051.00,Industrial Production Managers,"Develop or implement production tracking or quality control systems, analyzing production, quality control, maintenance, or other operational reports to detect production problems."
11-3051.00,Industrial Production Managers,Review plans and confer with research or support staff to develop new products or processes.
11-3051.00,Industrial Production Managers,Institute employee suggestion or involvement programs.
11-3051.00,Industrial Production Managers,"Coordinate or recommend procedures for facility or equipment maintenance or modification, including the replacement of machines."
11-3051.00,Industrial Production Managers,"Maintain current knowledge of the quality control field, relying on current literature pertaining to materials use, technological advances, or statistical studies."
11-3051.00,Industrial Production Managers,Negotiate materials prices with suppliers.
11-9111.00,Medical and Health Services Managers,"Direct, supervise and evaluate work activities of medical, nursing, technical, clerical, service, maintenance, and other personnel."
11-9111.00,Medical and Health Services Managers,Establish objectives and evaluative or operational criteria for units managed.
11-9111.00,Medical and Health Services Managers,"Direct or conduct recruitment, hiring, and training of personnel."
11-9111.00,Medical and Health Services Managers,"Develop and maintain computerized record management systems to store and process data, such as personnel activities and information, and to produce reports."
11-9111.00,Medical and Health Services Managers,Develop and implement organizational policies and procedures for the facility or medical unit.
11-9111.00,Medical and Health Services Managers,"Conduct and administer fiscal operations, including accounting, planning budgets, authorizing expenditures, establishing rates for services, and coordinating financial reporting."
11-9111.00,Medical and Health Services Managers,"Establish work schedules and assignments for staff, according to workload, space, and equipment availability."
11-9111.00,Medical and Health Services Managers,"Maintain communication between governing boards, medical staff, and department heads by attending board meetings and coordinating interdepartmental functioning."
11-9111.00,Medical and Health Services Managers,"Monitor the use of diagnostic services, inpatient beds, facilities, and staff to ensure effective use of resources and assess the need for additional staff, equipment, and services."
11-9111.00,Medical and Health Services Managers,"Maintain awareness of advances in medicine, computerized diagnostic and treatment equipment, data processing technology, government regulations, health insurance changes, and financing options."
11-9111.00,Medical and Health Services Managers,"Manage change in integrated health care delivery systems, such as work restructuring, technological innovations, and shifts in the focus of care."
11-9111.00,Medical and Health Services Managers,"Prepare activity reports to inform management of the status and implementation plans of programs, services, and quality initiatives."
11-9111.00,Medical and Health Services Managers,"Plan, implement, and administer programs and services in a health care or medical facility, including personnel administration, training, and coordination of medical, nursing and physical plant staff."
11-9111.00,Medical and Health Services Managers,"Consult with medical, business, and community groups to discuss service problems, respond to community needs, enhance public relations, coordinate activities and plans, and promote health programs."
11-9111.00,Medical and Health Services Managers,"Inspect facilities and recommend building or equipment modifications to ensure emergency readiness and compliance to access, safety, and sanitation regulations."
11-9111.00,Medical and Health Services Managers,Review and analyze facility activities and data to aid planning and cash and risk management and to improve service utilization.
11-9111.00,Medical and Health Services Managers,"Develop or expand and implement medical programs or health services that promote research, rehabilitation, and community health."
11-9111.00,Medical and Health Services Managers,Develop instructional materials and conduct in-service and community-based educational programs.
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products","Monitor and analyze sales records, trends, or economic conditions to anticipate consumer buying patterns and determine what the company will sell and how much inventory is needed."
